Malayalam,Marathi
ഉപേക്ഷിക്കുക,गर्भपात
ടൈമർ നിർത്തുക,गर्भपात टाइमर
കേവല വിലാസം,परिपूर्ण पत्ता
കേവല വിലാസം,परिपूर्ण पत्ता
കേവല അസംബന്ധം,परिपूर्ण असेंबलर
കേവല കോഡ്,परिपूर्ण कोड
കേവല കോഡിംഗ്,परिपूर्ण कोडिंग
കേവല കമാൻഡ്,परिपूर्ण आज्ञा
കേവല കോർഡിനേറ്റ്,परिपूर्ण समन्वय
കേവല ഡാറ്റ,परिपूर्ण डेटा
കേവല പിശക്,परिपूर्ण त्रुटी
കേവല പദപ്രയോഗം,परिपूर्ण अभिव्यक्ती
കേവല പ്രബോധനം,परिपूर्ण सूचना
കേവല ലോഡർ,परिपूर्ण लोडर
കേവല ക്രമം,परिपूर्ण ऑर्डर
കേവല പ്രോഗ്രാമിംഗ്,परिपूर्ण प्रोग्रामिंग
കേവല പദം,परिपूर्ण संज्ञा
യഥാർത്ഥ മൂല്യം,परिपूर्ण मूल्य
കേവല വെക്റ്റർ,परिपूर्ण वेक्टर
വേര്പെട്ടുനില്ക്കുന്ന,गोषवारा
അമൃതിയുള്ള,अमूर्त
അമൂർത്ത ചിഹ്നം,अमूर्त प्रतीक
ത്വരിതപ്പെടുത്തൽ കാലയളവ്,प्रवेग कालावधी
ത്വരണം സമയം,प्रवेग वेळ
സരഭാരം,उच्चारण
സ്വീകാര്യത പരിശോധന,स्वीकृती चाचणी
പ്രവേശനം,प्रवेश
കൈ,प्रवेश आर्म
ആക്സസ് ക്രമീകരണം,प्रवेश व्यवस्था
അതോറിറ്റി ആക്സസ് ചെയ്യുക,प्रवेश प्राधिकरण
ആക്സസ് ചാർജ്,प्रवेश शुल्क
ആക്സസ് ക്ലാസ്,प्रवेश वर्ग
ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക,प्रवेश डेटा बेस व्यवस्थापन
പ്രവേശന അന്തരീക്ഷം,प्रवेश वातावरण
വിടവ് ആക്സസ് ചെയ്യുക,प्रवेश अंतर
ആക്സസ് സൂചിക,प्रवेश निर्देशांक
ആക്സസ് ലൈൻ,Line क्सेस लाइन
ആക്സസ് സംവിധാനം,प्रवेश यंत्रणा
ആക്സസ് രീതി,प्रवेश पद्धत
ആക്സസ് രീതി പതിവ്,प्रवेश पद्धत दिनचर्या
ആക്സസ് മോഡ്,प्रवेश मोड
വലത് ആക്സസ്,प्रवेश बरोबर
ആക്സസ് സ്കാൻ,प्रवेश स्कॅन
ആക്സസ് സമയം,प्रवेश वेळ
അക്കൌണ്ടിംഗ്,लेखा
അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം,लेखा वित्त प्रणाली
അക്ക ing ണ്ടിംഗ് മെഷീൻ,लेखा मशीन
അക്കൗണ്ട് നമ്പർ,खाते क्रमांक
അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം,पुनरुत्पादक संचय
സഞ്ചിതം,संचयक
സഞ്ചിത രജിസ്റ്റർ,संचयक नोंदणी
സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം,संचयक शिफ्ट सूचना
കൃതത,अचूकता
കൃത്യത നിയന്ത്രണ പ്രതീകം,अचूकता नियंत्रण वर्ण
കൃത്യത നിയന്ത്രണ സംവിധാനം,अचूकता नियंत्रण प्रणाली
എയ്സ് പൈലറ്റ്,ऐस पायलट
പ്രതീകം അംഗീകരിക്കുക,चरित्र कबूल करा
അക്കോസ്റ്റിക് കപ്ലർ,ध्वनिक कपलर
അക്കോസ്റ്റിക് കപ്ലിംഗ്,ध्वनिक कपलिंग
അക്ക ou സ്റ്റിക് കാലതാമസം,ध्वनिक विलंब रेखा
അക്കോസ്റ്റിക് മെമ്മറി,ध्वनिक मेमरी
അക്കോസ്റ്റിക് മോഡം,ध्वनिक मॉडेम
അക്കോസ്റ്റിക് സിഗ്നൽ,ध्वनिक सिग्नल
അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്,ध्वनिक संचयन
സംക്ഷേപം,परिवर्णी शब्द
പവര്ത്തി,क्रिया
പ്രവർത്തന ചക്രം,कृती चक्र
ആക്ഷൻ ലൈൻ,कृती ओळ
ആക്ഷൻ സന്ദേശം,कृती संदेश
പ്രവർത്തന സവിശേഷത,कृती तपशील
സജീവമാക്കല്,सक्रियकरण
സജീവമായ,सक्रिय
സജീവ ഫയൽ,सक्रिय फाईल
സജീവ ലൈൻ,सक्रिय ओळ
സജീവ ലിങ്ക്,सक्रिय दुवा
സജീവ മാസ്റ്റർ ഫയൽ,सक्रिय मास्टर फाइल
സജീവ മാസ്റ്റർ ഇനം,सक्रिय मास्टर आयटम
സജീവ ഉപഗ്രഹം,सक्रिय उपग्रह
സജീവ സ്റ്റേഷൻ,सक्रिय स्टेशन
സജീവ സംഭരണം,सक्रिय संचयन
പ്രവർത്തനം,क्रियाकलाप
പ്രവർത്തന നില,क्रियाकलाप पातळी
പ്രവർത്തന ലോഡിംഗ്,क्रियाकलाप लोडिंग
പ്രവർത്തന അനുപാതം,क्रियाकलाप प्रमाण
യഥാർത്ഥ വിലാസം (= കേവല വിലാസം),वास्तविक पत्ता (= परिपूर्ण पत्ता)
യഥാർത്ഥ കോഡ് (= കേവല കോഡ്),वास्तविक कोड (= परिपूर्ण कोड)
യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്,वास्तविक डेटा हस्तांतरण दर
യഥാർത്ഥ ദശാംശസ്ഥാനം,वास्तविक दशांश बिंदू
യഥാർത്ഥ നിർദ്ദേശം (= ഫലപ്രദമായ നിർദ്ദേശം),वास्तविक सूचना (= प्रभावी सूचना)
യഥാർത്ഥ കീ,वास्तविक की
യഥാർത്ഥ സമയം,वास्तविक वेळ
യഥാർത്ഥ ജോലി സമയം,वास्तविक कामाची वेळ
ആരംഭിക്കുന്ന സിഗ്നൽ,अ‍ॅक्ट्युएटिंग सिग्नल
പൊരുത്തപ്പെടലി,अनुकूलता
അഡാപ്റ്റർ,अ‍ॅडॉप्टर
അഡാപ്റ്റീവ് ചാനൽ അനുവദിക്കൽ,अ‍ॅडॉप्टिव्ह चॅनेल वाटप
അഡാപ്റ്റീവ് ഇന്റഗ്രേഷൻ,अनुकूली एकत्रीकरण
അഡാപ്റ്റീവ് ട്രാൻസ്വേഴ്സ് ഇക്വൈസർ,अ‍ॅडॉप्टिव्ह ट्रान्सव्हर्सल इक्वेलायझर
എൻട്രി ചേർത്തു,जोडलेली प्रविष्टी
കൂട്ടിച്ചേര്ക്കുക,परिशिष्ट
ആംഗം,अ‍ॅडर
എ ഷട്രക്റ്റർ,अ‍ॅडडर सबट्रॅक्टर
ഫയൽ ചേർക്കുക,फाईल जोडा
അധിക പ്രതീകം (= പ്രത്യേക പ്രതീകം),अतिरिक्त वर्ण (= विशेष वर्ण)
ബഹുമതി,व्यतिरिक्त रेकॉर्डर
കൂട്ടിച്ചേർക്കലാ പട്ടിക,व्यतिरिक्त सारणी
അഡിറ്റീവ് ആട്രിബ്യൂട്ട്,अ‍ॅडिटिव्ह विशेषता
മോഡ് ചേർക്കുക,मोड जोडा
പ്രവർത്തനം ചേർക്കുക,ऑपरेशन जोडा
അഭിസംബോധന ചെയ്യുക,पत्ता
വിലാസ നടപടി,पत्तेपणाचा उपाय
അഭിസംബോധന ചെയ്യാവുന്ന തിരശ്ചീന സ്ഥാനം,पत्ते करण्यायोग्य क्षैतिज स्थिती
വിലാസ പോയിന്റ്,पत्ता योग्य बिंदू
അഭിസംബോധന ചെയ്യാവുന്ന സ്ഥാനം,पत्ता योग्य स्थिती
വിലാസ രജിസ്റ്റർ,पत्ते करण्यायोग्य नोंदणी
വിലാസ സംഭരണം,पत्ता योग्य स्टोरेज
അഭിസംബോധന ചെയ്യാവുന്ന ലംബ സ്ഥാനം,पत्ता योग्य अनुलंब स्थिती
വിലാസ ബസ്,अ‍ॅड्रेस बस
വിലാസ കോഡ്,पत्ता कोड
വിലാസ താരതമ്യക്കാരൻ,पत्ता तुलनात्मक
വിലാസ കണക്കുകൂട്ടൽ,पत्ता गणना
വിലാസ സ്ഥിരത,पत्ता स्थिर
വിലാസ പരിവർത്തനം,पत्ता रूपांतरण
വിലാസ ഡാറ്റ,पत्ता डेटा
മെമ്മറി അഭിസംബോധന ചെയ്തു,संबोधित मेमरी
വിലാസ ഫലപ്രദമാണ്,पत्ता प्रभावी
വിലാസ ഫീൽഡ്,पत्ता फील्ड
വിലാസ ഫോർമാറ്റ്,पत्ता स्वरूप
വിലാസ സ contry ജന്യ പ്രോഗ്രാം,पत्ता विनामूल्य कार्यक्रम
അഭിസംബോധന,पत्ता
അഭിസംബോധന  കഥാപാതം,पत्ता  वर्ण
അഭിസംബോധന ഇന്ററപ്റ്റ്,व्यत्यय संबोधित करणे
വിലാസം ലൂപ്പ്,पळवाट पळवाट
വെർച്വൽ മെമ്മറി അഭിസംബോധന ചെയ്യുന്നു,आभासी मेमरी संबोधित करणे
വിലാസം ഇന്റർലേസിംഗ്,पत्ता इंटरलॅकिंग
വിലാസരഹിതമായ നിർദ്ദേശങ്ങൾ ഫോർമാറ്റ്,पत्ता नसलेली सूचना स्वरूप
വിലാസ ലൈൻ,पत्ता ओळ
വിലാസ മാപ്പിംഗ്,पत्ता मॅपिंग
വിലാസ അടയാളം,पत्ता चिन्ह
വിലാസ പരിഷ്ക്കരണം,पत्ता बदल
വിലാസ ഭാഗം,पत्ता भाग
വിലാസം പോയിന്റർ,पत्ता पॉईंटर
വിലാസ രജിസ്റ്റർ,पत्ता नोंदणी
വിലാസ സിഗ്നൽ,पत्ता सिग्नल
വിലാസ വലുപ്പം,पत्ता आकार
വിലാസ ഇടം,पत्ता जागा
വിലാസ ബഹിരാകാശ ഐഡന്റിഫയർ,पत्ता जागा अभिज्ञापक
വിലാസ സ്റ്റോപ്പ്,पत्ता थांबा
വിലാസ ട്രെയ്സ്,पत्ता ट्रेस
വിലാസ ട്രാക്ക്,पत्ता ट्रॅक
വിവർത്തനം വിവർത്തനം ചെയ്യുക,पत्ता अनुवाद
വിലാസ പരിഭാഷകന്,पत्ता अनुवादक
ചേർക്കുക-കുറയ്ക്കുക സമയം,अ‍ॅड-सबस्ट्रॅक्ट वेळ
സമയം ചേർക്കുക,वेळ जोडा
വാര്ത്താവകം,समीप
അഡ്ജഞ്ചൻസിൻസ് ഘടന,जवळची रचना
തൊട്ടടുത്തുള്ള ചാനൽ,समीप चॅनेल
അടുത്തുള്ള ഡൊമെയ്ൻ,समीप डोमेन
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,समीप मॅट्रिक्स
തൊട്ടടുത്തുള്ള നോഡ്,समीप नोड
തൊട്ടടുത്തുള്ള സുബരിയ,समीप सुबेरिया
കസ്റ്റേഴ്സ് (സിസ്റ്റം),संक्षिप्त रुप (सिस्टम)
കമപ്പെടുത്തുക,समायोजित करा
ക്രമീകരിക്കാവുന്ന പരിധി,समायोज्य मर्यादा
ടെക്സ്റ്റ് മോഡ് ക്രമീകരിക്കുക,मजकूर मोड समायोजित करा
അഡ്മിനിസ്ട്രേറ്റീവ് ഡാറ്റ പ്രോസസ്സിംഗ്,प्रशासकीय डेटा प्रक्रिया
അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം,प्रशासकीय ऑपरेशन
അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ,प्रशासकीय ऑपरेटर
അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ സ്റ്റേഷൻ,प्रशासकीय ऑपरेटर स्टेशन
അഡ്മിനിസ്ട്രേറ്റീവ് സപ്പോർട്ട് സിസ്റ്റം,प्रशासकीय समर्थन प्रणाली
നൂതന ആശയവിനിമയ സേവനം,प्रगत संप्रेषण सेवा
വിപുലമായ വിവര സിസ്റ്റം,प्रगत माहिती प्रणाली
വിപുലമായ ഒപ്റ്റിക്കൽ പ്രതീക റീഡർ,प्रगत ऑप्टिकल कॅरेक्टर रीडर
വിപുലമായ ശാസ്ത്ര കമ്പ്യൂട്ടർ,प्रगत वैज्ञानिक संगणक
ഏരിയൽ,हवाई
ആകെത്തുകയായുള്ള,एकूण
മൊത്തം എക്സ്പ്രഷൻ,एकूण अभिव्यक्ती
ലക്ഷ്യമിടുന്നു,लक्ष्य वर्तुळ
ലക്ഷ്യമിടുന്ന ഫീൽഡ് (= ലക്ഷ്യമിടുന്നത്),लक्ष्य फील्ड (= लक्ष्य चिन्ह)
എഡിയൽ ചിഹ്നം,लक्ष्य प्रतीक
എയർബോൺ കമ്പ്യൂട്ടർ സിസ്റ്റം,एअरबोर्न संगणक प्रणाली
ബീജഗണിത ഐജൻവാലു പ്രശ്നം,बीजगणित ईगेनव्हल्यू समस्या
ബീജഗണിത  സംയോജനം,बीजगणित  एकत्रीकरण
ബീജഗണിത ഭാഷ,बीजगणित भाषा
ബീജഗണിത കൃത്രിമത്വം,बीजगणित हाताळणी
ബീജഗണിത കൃത്രിമ ഭാഷ,बीजगणित मॅनिपुलेशन भाषा
ബീജഗണിത ഓറിയന്റഡ് ഭാഷ,बीजगणित ओरिएंटेड भाषा
ബീജഗണിത മാറ്റം,बीजगणित शिफ्ट
ബീജഗണിത ചിഹ്ന കൺവെൻഷൻ,बीजगणित साइन कन्व्हेन्शन
അൽഗോൾ,अल्गोल
അൽഗോൾ സവിശേഷത,अल्गोल वैशिष्ट्य
അൽഗോൾ പ്രോഗ്രാമിംഗ്,अल्गोल प्रोग्रामिंग
അൽഗോരിതം,अल्गोरिदम
അൽഗോരിതം അസോസിയേറ്റീവ് ഭാഷ,अल्गोरिदम असोसिएटिव्ह भाषा
അൽഗോരിതം വർഗ്ഗീകരണം,अल्गोरिदम वर्गीकरण
അൽഗോരിതം സങ്കീർണ്ണത,अल्गोरिदम जटिलता
അൽഗോരിതം കേസബിലിറ്റി,अल्गोरिदम संगणन
അൽഗോരിത്ത്മിക് വിശകലനം,अल्गोरिदम विश्लेषण
അൽഗോരിത്തിസ് സമീപനം,अल्गोरिदम दृष्टिकोन
അൽഗോറിത്ത്മിക് ഭാഷ,अल्गोरिदम भाषा
അൽഗോരിഥമ്മിക് പതിവ്,अल्गोरिदम नित्यक्रम
അൽഗോരിതംസിക് സിദ്ധാന്തം,अल्गोरिदम सिद्धांत
അപരാഭിധാനം,उर्फ
അപരനാത്മകം,अलियासिंग
അപരനാമം (= ഇതര പേര്),उर्फ नाव (= वैकल्पिक नाव)
വിന്യാപകമായ,संरेखन
നീക്കിവയ്ക്കുക,वाटप
അലോക്കേഷൻ ഘടന,वाटप रचना
എല്ലാ ഉദ്ദേശ്യ കമ്പ്യൂട്ടറും,सर्व हेतू संगणक
അക്ഷരമാല പ്രതീകം,वर्णमाला वर्ण
അക്ഷരമാല പ്രതീക സെറ്റ്,वर्णमाला वर्ण सेट
അക്ഷരമാല പ്രതീക സബ്സെറ്റ്,अल्फाबेटिक कॅरेक्टर सबसेट
അക്ഷരമാല കോഡ്,वर्णमाला कोड
അക്ഷരമാല മാറ്റം,वर्णमाला शिफ्ट
അക്ഷരമാല സ്ട്രിംഗ്,वर्णमाला स्ट्रिंग
അക്ഷരമാല വാക്ക്,वर्णमाला शब्द
അക്ഷരമാലാളം,वर्णमाला
ആഫറാമോമെട്രിക്സ്,अल्फेजोमेट्रिक्स
ആഫളാചിക്,अल्फामेरिक
ആൽഫമോസയ്ക്ക്,अल्फामोसॅक
ആൽഫാന്യൂമെറിക്,अल्फान्यूमेरिक
ആൽഫാന്യൂമെറിക്കൽ കീബോർഡ് ഉപകരണം,अल्फान्यूमरिकल कीबोर्ड डिव्हाइस
ആൽഫാന്യൂമെറിക് പ്രതീക സെറ്റ്,अल्फान्यूमेरिक कॅरेक्टर सेट
ആൽഫാന്യൂമെറിക് കോഡ്,अल्फान्यूमेरिक कोड
