Gujarati,Bengali
"1.એબેકસ, 2. ગણતરી","1.অ্যাবাকাস, 2. গণনা"
અસામાન્ય અંત,অস্বাভাবিক সমাপ্তি
ઇન્ટરસેપ્ટ,পথিমধ্যে রোধ করা
"1. સંપૂર્ણ, 2. સર્વોચ્ચ","1. পরম, 2. সর্বোচ্চ"
સંપૂર્ણ સરનામું,পরম ঠিকানা
સંપૂર્ણ સંબોધનક્ષમતા,পরম ঠিকানাযোগ্যতা
સંપૂર્ણ એસેમ્બલર,পরম সংযোজনকারী
"1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ","1. পরম কোড, 2. পরম কোড"
સંપૂર્ણ આદેશ,পরম আদেশ
"1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા","1. পরম পরিসংখ্যান, 2. পরম তথ্য"
સંપૂર્ણ સૂચના,পরম নির্দেশ
સંપૂર્ણ મોડ,পরম মোড
સંપૂર્ણ માર્ગ,পরম পথ
"1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ","1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং"
અમૂર્ત વર્ગ,বিমূর্ত ক্লাস
અમૂર્ત ડેટા પ્રકાર,বিমূর্ত তথ্য প্রকার
અમૂર્ત મશીન,বিমূর্ত মেশিন
અમૂર્ત પ્રતીક,বিমূর্ত প্রতীক
અમૂર્ત વાક્યરચના,বিমূর্ত বাক্য গঠন
સ્વીકૃતિ કસોટી,স্বীকৃতি পরীক্ষা
પ્રવેશ પ્રમાણપત્ર,অ্যাক্সেস সার্টিফিকেশন
"1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ","1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড"
વપરાશ નિયંત્રણ,প্রবেশাধিকার নিয়ন্ত্রণ
ઍક્સેસ સ્કેનિંગ,অ্যাক্সেস স্ক্যানিং
એસેસરીઝ,আনুষাঙ্গিক
નામું,অ্যাকাউন্টিং
"1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ","1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ"
સંચયક,সঞ্চয়কারী
"1. ચોકસાઈ, 2. ચોકસાઈ","1. নির্ভুলতা, 2. সঠিকতা"
ઍક્સેસ,অ্যাক্সেস
એક્સેસ કંટ્રોલ બાઇટ્સ,অ্যাক্সেস নিয়ন্ত্রণ বাইট
ઍક્સેસ સૂચક,অ্যাক্সেস সূচক
ઍક્સેસ કી,অ্যাক্সেস কী
"1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ","1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স"
ઍક્સેસ મોડ,অ্যাক্সেস মোড
ઍક્સેસ વિશેષાધિકારો,সুযোগ সুবিধা
ઍક્સેસ સુરક્ષા,অ্যাক্সেস নিরাপত্তা
"1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો","1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার"
ઍક્સેસ સમય,প্রবেশাধিকার সময়
સ્વીકૃતિ,স্বীকৃতি
ધ્વનિશાસ્ત્ર,ধ্বনিবিদ্যা
"1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું","1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত"
ક્રિયા સંદેશ,কর্ম বার্তা
સક્રિયકરણ,সক্রিয়করণ
સક્રિય સર્વર પૃષ્ઠ,সক্রিয় সার্ভার পৃষ্ঠা
સક્રિય સંસ્કરણ,সক্রিয় সংস্করণ
એસાયક્લિક,অ্যাসাইক্লিক
"1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ","1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ"
અદા કોમ્પ્યુટર ભાષા,অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ
"1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર","1. অপ্টিমাইজার, 2. অপ্টিমাইজার"
સરવાળે),যোগ করা)
સરવાળો ફાઇલ,সমষ্টি ফাইল
"1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી","1. সংযোজন অপারেশন, 2. যোগফল অপারেশন"
ઉમેરનાર,যোগকারী
જાણો,জানি
સરનામું બસ,ঠিকানা বাস
સરનામું ફાઇલ,ঠিকানা ফাইল
સરનામું ફોર્મેટ,ঠিকানা বিন্যাস
સરનામું જનરેટર,ঠিকানা জেনারেটর
