Assamese,English
অজৈৱিক প্ৰজনন,abiogenesis
অস্বাভাৱিক,abnormal
১/ চতুৰ্থ পেট ২) ইভ’মাজম,abomasum
ষ্টোমেটাল বৃদ্ধিৰ অংগ,aborted organ
স্তব্ধ বৃদ্ধিৰ বীজ,aborted seed
১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা,abortion
১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ,absolute weed
শোষিত কেটিয়ন,absorbed cation
শোষণ,absorption
এবিচিনিয়ান সৰিয়হ,abyssinian mustard
১.একেৰিচাইড,acaricide
centripetal,accentric
বৃদ্ধি (কোষ),accentuate (cell)
অনুমোদিত সহনশীলতা,accepted tolerance
1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক,accessory
অভিযোজন,acclimatization
সঞ্চয়,accumulation
1.vaccuracy 2. নিখুঁততা,accuracy
১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট,acervulus
১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন,acetification
১.এচিডিকৰণ ২.এচিডিকৰণ,acidification
১.এচিডমিটাৰ ২.এচিডিমিটাৰ,acidimeter
এচিডিটি,acidity
এচিডোফাইল,acidophilic
এচিডিফাইড ৰক ফছফেট,acidulated rock phosphate
এচিডিফাইড,aciduric
জলধাৰা,acquifer
অধিগ্ৰহণ,acquisition
একৰ,acre
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,acreage
শেষ বিন্দু ক্ৰম’জম,acrocentric chromosome
আগলৈ চাই থকা,acropetal
acrosome,acrosome
actinomycetes,actinomycetes
সক্ৰিয় কোৰ,active root zone
1. উত্তেজিত 2. তীব্ৰ,acute
অভিযোজন ক্ষমতা,adaptability
কাষ্টমাইজেচন,adaptation
১.আঠাযুক্ততা ২.আঠাযুক্ততা,adhesion
তৈলাক্ত,adipose
সমন্বয় সমীকৰণ,adjustment equation
এডোব মাটি,adobe soil
ব্যভিচাৰী,adulterant
এক্ট&#39;পিক,adventitious
Isidiospore Isidium বিজাণু,aecidiospore
বায়ুগতিশীল প্ৰক্ৰিয়া,aeolian process
ventral,aeolian
বায়ুমণ্ডলীয় কৰা,aerate
১.বায়ু ২.আকাশী,aerial
১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ,aerometer
এৰ&#39;ছল,aerosol
১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা,aestivation
ৰোগৰ বিজ্ঞান,aetiology (etiology)
বনানীকৰণ,afforestation
১.আন্দোলন ২.অস্থিৰতা,agitation
আগমাৰ্ক,agmark
১/ ভূমি সম্পৰ্কীয় ২/ কৃষি,agrarian
কৃষি ক্লিনিক,agricultural clinic
১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম,agricultural labour
কৃষি বিপণন,agricultural marketing
কৃষি প্ৰযুক্তি,agricultural technology
1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান,agriculture
কৃষি বনজ,agrisilviculture
কৃষি জৈৱ বৈচিত্ৰ্য,agrobiodiversity
কৃষি জৈৱিক দোষ,agrobiological defects
কৃষি জীৱবিজ্ঞান,agrobiology
কৃষি-জলবায়ু বৈচিত্ৰ্য,agroclimatic diversity
কৃষি জলবায়ু মণ্ডল সৃষ্টি,agroclimatic zoning
কৃষি বনানীকৰণ,agroforestry
কৃষি বিজ্ঞান,agrology
কৃষিভিত্তিক,agronomy
কৃষি পশুপালন,agropastoral
শস্য প্ৰক্ৰিয়াকৰণ,agroprocessing
ঘাঁহ বিজ্ঞান,agrostology
শস্যৰ প্ৰকাৰ,agrotype
এপিফাইট,air plant
আইকিওচি মাটি,akiochi soil
ৰঙৰ অন্ধতা,albinism
আলফিছল,alfisols
শেলাই,algae
শেলাইৰ ৰোগ,algal disease
ক্ষাৰকীয় পানী,alkali water
ক্ষাৰকীয়,alkaline
বিকল্প,allele
allelo ৰসায়ন বিজ্ঞান,allelochemicals
এলিল,allelomorph
এলেল&#39;পেথী,allelopathy
ভেঠী শস্য,alley cropping
consummation,allocarpy
নিষেচন কৰা,allogamy
১.আপেক্ষিকতা ২.এলোমেট্ৰি,allometry
multiploidy,allopolyploid
১/ পেৰাজাইগোচিটি,allosynapsis (allosyndesis)
1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন,alternate bearing
বিকল্প ভূমি ব্যৱহাৰ,alternate land use
পৰিৱেশ,ambient
সংস্কাৰক,ameliorant
মাইট’ছিছ,amitosis
আমিনন,amminization
এমোনিয়ন,ammonification
amniferous,ammonifier
১.অকাৰ্যকৰী ৰূপ ২.অৰূপী,amorph
উভচৰ মিশ্ৰণ,amphimixis
এম্ফোটেৰিক,amphoteric
ষ্টকপাইলিং,anabolism
১/ এনাৰোবিক ২.এনাৰোবিক জীৱ,anaerobe
হেপ্লয়ড,aneuploid
কৌণিক ৰোপণ,angle planting
পশুপালন,animal husbandry
পশুৰ মল-মূত্ৰ,animal refuse
জীৱন্ত শক্তি,animate energy
অস্বাভাৱিক,anisoploid
এবছৰীয়া উদ্ভিদ,annual plant
বছেৰেকীয়া,annual
1. আনন্দ 2. উজ্জ্বলতা,anthesis
এন্থ্ৰেক্স,anthrax
মানৱজনিত কাৰকসমূহ,anthropogenic factor
জীয়াই থকা,antibiosis
১/ এন্টিবায়টিক ২। এন্টিবায়টিক,antibiotic
repulsive,antidote
এন্টিঅক্সিডেন্ট,antioxidants
এন্টিটক্সিন,antitoxin
ৰিং ফিংগাৰ,anulus
১.এফিড ২.মহু ৩.চেপা,aphid
শীৰ্ষ কলি,apical bud
শীৰ্ষ ফলপ্ৰসূতা,apical dominance
মৌমাখি ৰখা,apiculture (bee keeping)
অযৌনতা,apomixis
এপ&#39;প্টোছিছ,apoptosis
appendages,appendage
appetizer,appetizer
প্ৰয়োগ কৰা হৈছে,applied
জলজ অপতৃণ,aquatic weed
১.গছ ২.গছৰ বাসিন্দা,arboreal
শাখা-প্ৰশাখা,arborization
প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড,archaeo-botanical records
জ&#39;ন নম্বৰ,area statistics
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,area
শুকান পৰিৱেশ তন্ত্ৰ,arid ecosystem
কুটিলডন,aril
সৌৰভ,aroma
সুগন্ধিযুক্ত উদ্ভিদ,aromatic plant
সুগন্ধি চাউল,aromatic rice
ইক্ষু পুষ্পন,arrowing
বীজাণুমুক্ত,asepsis
১.এচেপ্টিক ২.এচেপ্টিক,aseptic
অযৌন প্ৰজনন,asexual propagation
আকাৰ,assay
সম্পত্তি,assets
১/ আত্মসাৎ ২. আত্মসাৎ,assimilation
১.সংঘ ২.সংঘ,association
1. স্তম্ভ 2. astringency,astringent
হেটেৰ&#39;জাইগোচিটি,asynapsis
১.পূৰ্বপুৰুষ ২.আটাভিজম,atavism
কণা,atomizer
1. অনিশ্চয়তা 2. বিকলতা,atrophy
self pairing,autogamy
অটোলাইছিছ,autolysis
1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন,autooxidation
self multiplexed,autopolyploid
অক্সিন,auxins
১/ জোকাৰি যোৱা ২. টোড,awn (bristle)
পেনাল ভাইৰাছ,baccilovirus
১.বেচিলাছ ২.বেচিলাছ,bacillus
১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া,bacteria
বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ,bacteriotoxin
বাগাছ,bagasse
বেলেন্স শ্বীট,balance sheet
সুষম সাৰৰ ব্যৱহাৰ,balanced fertilization
বাৰ গ্ৰাফ,bar diagram
বাকলি,bark
১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ,barometer
১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত,barren
1. ভিত্তি 2. ভিত্তি 3. কুপাং,base
১.তালা ২.বেচিন,basin
তালাবিছাৰী,basipetal
১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী,basisternum
