Tamil,Kannada
உயிரற்ற இனப்பெருக்கம்,ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ
அமானுஷ்ய,ಅಧಿಸಾಮಾನ್ಯ
1. நான்காவது வயிறு 2. எவோமாசோம்,1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್
வயிற்று வளர்ச்சி உறுப்பு,ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ
வளர்ச்சி குன்றிய விதை,ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ
1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு,1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ
1. தேவையற்ற களைகள் 2. முழுமையான களைகள்,1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು
உறிஞ்சப்பட்ட கேஷன்,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್
உறிஞ்சுதல்,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
அபிசீனிய கடுகு,ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ
1. காரக்கொல்லி,1. ಅಕಾರಿಸೈಡ್
மையவிலக்கு,ಕೇಂದ್ರಾಭಿಮುಖ
பெருக்கம் (செல்),ವರ್ಧನೆ (ಕೋಶ)
அனுமதிக்கப்பட்ட சகிப்புத்தன்மை,ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ
1.கூடுதல் 2.துணை 3.துணை,1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ
தழுவல்,ರೂಪಾಂತರ
திரட்சி,ಶೇಖರಣೆ
1.vacuracy 2. துல்லியம்,1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ
1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்,1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್
1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்,1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್
1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்,1. ಆಮ್ಲೀಕರಣ 2. ಆಮ್ಲೀಕರಣ
1. அமிலமானி 2. அமிலமானி,1. ಆಸಿಡೋಮೀಟರ್ 2. ಆಸಿಡಿಮೀಟರ್
அமிலத்தன்மை,ಆಮ್ಲೀಯತೆ
அமிலத்தன்மை,ಅಸಿಡೋಫೈಲ್
அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்,ಆಮ್ಲೀಕೃತ ರಾಕ್ ಫಾಸ್ಫೇಟ್
அமிலமாக்கப்பட்ட,ಆಮ್ಲೀಕೃತ
நீர்நிலை,ಜಲಚರ
கையகப்படுத்தல்,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ
ஏக்கர்,ಎಕರೆ
1. பகுதி 2. பகுதி,1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ
இறுதி புள்ளி குரோமோசோம்,ಎಂಡ್ ಪಾಯಿಂಟ್ ಕ್ರೋಮೋಸೋಮ್
முன்னோக்கு,ಮುಂದೆ ನೋಡುವ
குரோசோம்,ಅಕ್ರೋಸೋಮ್
ஆக்டினோமைசீட்ஸ்,ಆಕ್ಟಿನೊಮೈಸೆಟ್ಸ್
செயலில் உள்ள மைய,ಸಕ್ರಿಯ ಕೋರ್
1. சீற்றம் 2. தீவிரம்,1. ಉಗ್ರ 2. ತೀವ್ರ
தழுவல்,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
தனிப்பயனாக்கம்,ಗ್ರಾಹಕೀಕರಣ
1. ஒட்டுதல் 2. ஒட்டுதல்,1. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ 2. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
செபாசியஸ்,ಮೇದಸ್ಸಿನ
சரிசெய்தல் சமன்பாடு,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
அடோப் மண்,ಅಡೋಬ್ ಮಣ್ಣು
கலப்படம்,ಕಲಬೆರಕೆ
எக்டோபிக்,ಅಪಸ್ಥಾನೀಯ
