Bengali,Tamil
এসি সমতুল্য সার্কিট,ஏசி சமமான சுற்று
এনালগ থেকে সাংখ্যিক রূপান্তরকারী,எண் மாற்றிக்கு ஒப்புமை
পরম শূন্য,முழுமையான பூஜ்ஜியம்
শোষণ গুণাঙ্ক,உறிஞ்சுதல் குணகம்
শোষণ বর্ণালী,உறிஞ்சுதல் நிறமாலை
রিসেপ্টর পরমাণু,ஏற்பி அணு
বিকল্প বর্তমান যুগল,மாற்று மின்னோட்ட இணைப்பு
ইলেক্ট্রন সংগ্রহ,எலக்ட்ரான் அறுவடை
গর্ত স্টোরেজ,துளை சேமிப்பு
অ্যাক্টিভেশন শক্তি,செயல்படுத்தும் ஆற்றல்
সক্রিয় পরিবর্ধক,செயலில் பெருக்கி
সক্রিয় ডায়োড সার্কিট,செயலில் உள்ள டையோடு சுற்று
সক্রিয় ফিল্টার,செயலில் வடிகட்டி
সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার,செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி
সক্রিয় লোড,செயலில் சுமை
সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার,செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி
সক্রিয় এলাকা,செயலில் உள்ள பகுதி
অভিযোজিত ইলেকট্রনিক্স,தகவமைப்பு மின்னணுவியல்
যোগকারী,சேர்ப்பான்
সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন,சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு
অনুপ্রবেশ,ஊடுருவல்
এরিয়েল,ஏரியல்
পিপ ফ্রিকোয়েন্সি,பெப் அதிர்வெண்
এয়ার কন্ডিশনার,காற்றுச்சீரமைப்பி
প্রান্তিককরণ,சீரமைப்பு
অ্যালগরিদম,அல்காரிதம்
সমস্ত পাস ফিল্টার,அனைத்து பாஸ் வடிகட்டி
খাদ জংশন,அலாய் சந்திப்பு
ক্ষয়,தணிவு
বিবর্তিত বিদ্যুৎ,மாறுதிசை மின்னோட்டம்
পরিবেষ্টিত তাপমাত্রা,சுற்றுப்புற வெப்பநிலை
বাইপোলার,இருமுனை
পরিবর্ধন,பெருக்கம்
পরিবর্ধক,பெருக்கி
পরিবর্ধক দক্ষতা,பெருக்கி செயல்திறன்
মাত্রা,பரிமாணங்கள்
প্রশস্ততা ক্ষয়,வீச்சு குறைதல்
প্রশস্ততা মডুলেটেড এএম অসিলেটর,அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்
প্রশস্ততা মড্যুলেশন,வீச்சு பண்பேற்றம்
প্রশস্ততা মডুলেটর,வீச்சு மாடுலேட்டர்
অ্যাংস্ট্রম ইউনিট,angstrom அலகு
এনালগ সার্কিট,அனலாக் சுற்று
এনালগ কম্পিউটার,அனலாக் கணினி
এনালগ ফিল্টার,அனலாக் வடிகட்டி
এনালগ মাল্টিমিটার,அனலாக் மல்டிமீட்டர்
এনালগ সুইচ,அனலாக் சுவிட்ச்
এবং গেট,மற்றும் வாயில்
কৌণিক কম্পাংক,கோண அதிர்வெண்
"anion, anion","அயனி, அயனி"
অ্যানিলিং তাপমাত্রা,அனீலிங் வெப்பநிலை
অ্যানোড,நேர்மின்முனை
অ্যানোড পরিবর্ধক,அனோட் பெருக்கி
anodyne,அனோடைன்
অ্যান্টেনা,ஆண்டெனா
অ্যান্টেনা উপাদান,ஆண்டெனா கூறு
বিরোধী প্রতিফলিত আবরণ,எதிர்ப்பு பிரதிபலிப்பு பூச்சு
অ্যান্টিলগইন পরিবর্ধক,ஆன்டிலோகின் பெருக்கி
অ্যান্টিরেজোন্যান্ট সার্কিট,எதிரொலி சுற்று
দ্বারক যুগ,துவாரகர் காலம்
ভার্চুয়াল শক্তি,மெய்நிகர் சக்தி
তারের সংযোগ,கம்பி இணைப்பு
আনুমানিক ভোল্টেজ লাভ,தோராயமான மின்னழுத்த ஆதாயம்
আর্মস্ট্রং মডুলেটর,ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்
অ্যান্টেনা অ্যারে,ஆண்டெனா வரிசை
"সাইজ রেশিও, অ্যাসপেক্ট রেশিও","அளவு விகிதம், தோற்ற விகிதம்"
ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট),மிதக்கும் சுற்று (இலவச இயக்க சுற்று)
স্বয়ংক্রিয় মাল্টিভাইব্রেটর,தானியங்கி மல்டிவிபிரேட்டர்
ভাসমান মাল্টিভাইব্রেটর,மிதக்கும் மல்டிவிபிரேட்டர்
অপ্রতিসম জংশন,சமச்சீரற்ற சந்திப்பு
অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর,ஒத்திசைவற்ற கால்குலேட்டர்
পারমাণবিক,அணுக்கரு
পারমাণবিক সংখ্যা,அணு எண்
পারমাণবিক গঠন,அணு அமைப்பு
অডিও পরিবর্ধক,ஒலி பெருக்கி
অডিও পরিবর্ধক,ஒலி பெருக்கி
অডিও ক্যাসেট,ஆடியோ கேசட்
অডিও সার্কিট,ஒலி சுற்று
শ্রবণযোগ্য ফ্রিকোয়েন্সি,கேட்கக்கூடிய அதிர்வெண்
স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ,தானியங்கி மின்னழுத்த கட்டுப்பாடு
তুষারপাত,பனிச்சரிவு
গড় আবিষ্কারক,சராசரி கண்டுபிடிப்பான்
অক্ষীয় মোড,அச்சு முறை
অক্ষীয় অনুপাত,அச்சு விகிதம்
অ্যান্টেনা,ஆண்டெனா
ব্যাক ইলেক্ট্রোমোটিভ ফোর্স,பின் மின்னோட்ட விசை
পিছনের এলাকা,பின் பகுதி
ব্যাক স্ক্যাটার,மீண்டும் சிதறல்
ব্যাকগ্রাউন্ড চার্জ,பின்னணி கட்டணம்
পার্শ্ব গোলমাল,பக்க சத்தம்
পশ্চাদপসরণ,பின்னடைவு
পোস্টেরিয়র বিকিরণ,பின்புற கதிர்வீச்சு
ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড,பின்னோக்கி டையோடு / பின்தங்கிய டையோடு
ব্যাকওয়ার্ড ওয়েভ অসিলেটর,பின்னோக்கி அலை ஆஸிலேட்டர்
"বাধা, বাধা","தடை, தடை"
বাধা,தடை
সুষম সেতু,சீரான பாலம்
সুষম মডুলেটর,சமநிலை மாடுலேட்டர்
সুষম মডুলেটর,சமநிலை மாடுலேட்டர்
সুষম সার্কিট,சமநிலை சுற்று
সুষম গ্রেডিয়েন্ট ডিটেক্টর,சமச்சீர் சாய்வு கண்டறிதல்
বর্তমান স্টেবিলাইজার প্রতিরোধের,தற்போதைய நிலைப்படுத்தி எதிர்ப்பு
বোলোমিটার,போலோமீட்டர்
বোলোমিটার সেতু,போலோமீட்டர் பாலம்
বেলুন,பலூன்
কলা জ্যাক,வாழை பலா
কলা প্লাগ,வாழை பிளக்
"ব্যান্ড, ব্যান্ডেজ","பட்டை, கட்டு"
ব্যান্ড ড্রাইভার,இசைக்குழு இயக்கி
ব্যান্ড শক্তি,இசைக்குழு ஆற்றல்
ব্যান্ড ফাঁক,பட்டை இடைவெளியை
ব্যাডপার্ক পরিবর্ধক,பேட்பார்க் பெருக்கி
ব্যান্ড পাস ফিল্টার,பேண்ட் பாஸ் வடிகட்டி
বড রেট জেনারেটর,பாட் ரேட் ஜெனரேட்டர்
banddispersion,பட்டை பரவல்
ব্যান্ড প্রতিরোধক,இசைக்குழு மின்தடை
ব্যান্ড ব্রেকার ফিল্টার,பேண்ட் பிரேக்கர் வடிகட்டி
ব্যান্ড সম্প্রসারণ,இசைக்குழு விரிவாக்கம்
ব্যান্ড রিমুভার ফিল্টার,பேண்ட் ரிமூவர் வடிகட்டி
ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার,பேண்ட் விரிவாக்கம் விலகல் பெருக்கி
ব্যান্ড এক্সটেনশন দূরত্ব গুণক,பேண்ட் நீட்டிப்பு தூரம் பெருக்கி
"বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর","பீம் மின்தேக்கி, வங்கி மின்தேக்கி"
"বার্কার কোড, বার্কার কোড","குரைக்கும் குறியீடு, குரைக்கும் குறியீடு"
barravaugen মানদণ্ড,barravaugen அளவுகோல்
বাধাদানকারী,பார்ப்பனர்
বাধা,தடை
অন্তরক ক্যাপাসিটর,இன்சுலேடிங் மின்தேக்கி
বাধা শক্তি,தடை ஆற்றல்
প্রতিরোধক ভোল্টেজ,மின்தடை மின்னழுத்தம்
বার্টলেট উইন্ডো,பார்ட்லெட் ஜன்னல்
"ভিত্তি, ভিত্তি","அடிப்படை, அடிப்படை"
বেস ব্যান্ড,அடிப்படை இசைக்குழு
বেস ব্যান্ড ট্রান্সমিশন,அடிப்படை இசைக்குழு பரிமாற்றம்
বেস চার্জ,அடிப்படை கட்டணம்
ভিত্তি বর্তমান,அடிப்படை மின்னோட்டம்
ভিত্তি বর্তমান উৎস,அடிப்படை தற்போதைய ஆதாரம்
বেস শিয়ারিং,அடிப்படை வெட்டுதல்
আধার মদন,ஆதார் மதன்
বেস ইমিটার ফিড,அடிப்படை உமிழ்ப்பான் ஊட்டம்
বেস ইমিটার জংশন,அடிப்படை உமிழ்ப்பான் சந்திப்பு
বেস ইনজেকশন,அடிப்படை ஊசி
স্থল লাইন,தரை வரி
বেস প্রতিরোধের,அடிப்படை எதிர்ப்பு
ভিত্তি উৎস,அடிப்படை ஆதாரம்
বেস সম্প্রসারণ প্রতিরোধের,அடிப்படை விரிவாக்க எதிர்ப்பு
বেস সম্প্রসারণ প্রতিরোধের,அடிப்படை விரிவாக்க எதிர்ப்பு
