Bengali,Kannada
ওয়েস্টমিনস্টারের অ্যাবে,ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ
বর্জনীয়,ವ್ಯಭಿಚಾರ
দাসত্বের সমাপ্তি,ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ
আদিবাসী,ಮೂಲನಿವಾಸಿಗಳು
আব্রাহাম যুগ,ಅಬ್ರಹಾಂ ಯುಗ
অনুপস্থিত জমির মালিক,ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು
একাডেমী,ಅಕಾಡೆಮಿ
আকরা সম্মেলন,ಅಕ್ರಾ ಸಮ್ಮೇಳನ
সঞ্চয়,ಸಂಚಯಗಳು
সংগ্রহ,ಸಂಸ್ಕಾರ
অ্যাসেলডামা,ಅಸೆಲ್ಡಾಮಾ
আচিয়ান (=আচিয়ান),ಅಚೆಯನ್ (=ಅಚಿಯನ್)
আচিয়ান লীগ (=আচিয়ান লীগ),ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್)
অ্যাক্রোপলিস,ಆಕ್ರೊಪೊಲಿಸ್
Acta Diurna,ಆಕ್ಟಾ ಡೈರ್ನಾ
Acta Senatus,ಆಕ್ಟಾ ಸೆನಾಟಸ್
অ্যাক্ট অ্যাডিশনেল,ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ
সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ)
প্রাপ্তির কাজ,ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ
ক্ষতিপূরণ এবং বিস্মৃতির আইন,ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ
নিষ্পত্তির আইন,ವಸಾಹತು ಕಾಯಿದೆ
বিজ্ঞাপন চুক্তি সীল,ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ
আদুল্লামাইটস,ಅಡುಲಮೈಟ್ಸ್
প্রতিপক্ষ,ಎದುರಾಳಿ
প্রতিপক্ষ,ಎದುರಾಳಿ
Aeon,ಏಯಾನ್
এরারিয়াম,ಏರೋರಿಯಮ್
বায়বীয় যুদ্ধ,ವೈಮಾನಿಕ ಯುದ್ಧ
এটোলিয়ান লীগ,ಏಟೋಲಿಯನ್ ಲೀಗ್
বয়স,ವಯಸ್ಸು
বার্ধক্য (=বার্ধক্য),ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ)
বার্ধক্য প্রক্রিয়া,ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ
এগেলাই,ಅಗೆಲೈ
বীরত্বের বয়স,ಅಶ್ವದಳದ ವಯಸ್ಸು
এনলাইটমেন্টের বয়স,ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು
পেরিক্লেসের বয়স,ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು
কারণ বয়স,ಕಾರಣದ ವಯಸ್ಸು
কৃষিবাদ,ಕೃಷಿಧರ್ಮ
কৃষি আন্দোলন,ಕೃಷಿ ಚಳುವಳಿ
অ্যালবিয়ন,ಅಲ್ಬಿಯಾನ್
অ্যালবাম,ಆಲ್ಬಮ್
অল্ডারম্যান,ಆಲ್ಡರ್ಮನ್
লোভনীয় অস্ত্র,ಸೂಚಿಸುವ ತೋಳುಗಳು
বন্ধুত্ব,ಸೌಹಾರ್ದತೆ
অ্যাম্ফিক্টোনিক কাউন্সিল,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್
Amphictyonic লীগ,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್
অ্যাম্ফিথিয়েটার,ಆಂಫಿಥಿಯೇಟರ್
আমরি নল দল (মৃৎপাত্রের),ಅಮ್ರಿ ನಲ್ ಗುಂಪು (ಕುಂಬಾರಿಕೆ)
অ্যানাক্রোনিজম,ಅನಾಕ್ರೊನಿಸಂ
অ্যানাক্রোনিস্টিক,ಅನಾಕ್ರೊನಿಸ್ಟಿಕ್
পূর্বপুরুষ,ಪೂರ್ವಜ
পূর্ব পুরুষের পুজা,ಪೂರ್ವಜರ ಆರಾಧನೆ
বংশ,ಪೂರ್ವಜರು
বংশ,ಪೂರ್ವಜರು
বংশ,ಪೂರ್ವಜರು
বংশ,ಪೂರ್ವಜರು
প্রাচীন শাসন,ಪ್ರಾಚೀನ ಆಡಳಿತ
প্রাচীন,ಪ್ರಾಚೀನ
প্রাচীন গীতিনাট্য,ಪ್ರಾಚೀನ ಲಾವಣಿ
প্রাচীন বিশ্বাস,ಪ್ರಾಚೀನ ನಂಬಿಕೆ
প্রাচীন রীতি,ಪ್ರಾಚೀನ ಪದ್ಧತಿ
প্রাচীন ইতিহাস,ಪುರಾತನ ಇತಿಹಾಸ
প্রাচীন স্মৃতিস্তম্ভ,ಪ್ರಾಚೀನ ಸ್ಮಾರಕಗಳು
উপাখ্যান,ಉಪಾಖ್ಯಾನ
অ্যাঞ্জেলট,ಏಂಜೆಲೋಟ್
এঞ্জেলাস,ಏಂಜೆಲಸ್
অ্যাঞ্জেভিন (=এনজেভিন),ಆಂಜೆವಿನ್ (=ಆಂಜೆವಿನ್)
কোণ,ಕೋನಗಳು
অ্যাংলিকান,ಆಂಗ್ಲಿಕನ್
অ্যাংলিকান কমিউনিয়ন,ಆಂಗ್ಲಿಕನ್ ಕಮ್ಯುನಿಯನ್
অ্যাংলিকানিজম,ಆಂಗ್ಲಿಕನಿಸಂ
অ্যাংলো-ফোব,ಆಂಗ್ಲೋ-ಫೋಬ್
অ্যাংলো-ফোবিয়া,ಆಂಗ್ಲೋ-ಫೋಬಿಯಾ
অ্যাংলো-স্যাক্সন,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸನ್
