Malayalam,Kannada
"1.അബാക്കസ്, 2. എണ്ണുന്നു","1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ"
അസാധാരണമായ അവസാനം,ಅಸಹಜ ಅಂತ್ಯ
തടസ്സപ്പെടുത്തുക,ತಡೆಹಿಡಿಯಿರಿ
"1. കേവലം, 2. പരമോന്നത","1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ"
സമ്പൂർണ്ണ വിലാസം,ಸಂಪೂರ್ಣ ವಿಳಾಸ
സമ്പൂർണ്ണ വിലാസക്ഷമത,ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ
കേവല അസംബ്ലർ,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
"1. കേവല കോഡ്, 2. കേവല കോഡ്","1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್"
സമ്പൂർണ്ണ കമാൻഡ്,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
"1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ","1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ"
സമ്പൂർണ്ണ നിർദ്ദേശം,ಸಂಪೂರ್ಣ ಸೂಚನೆ
കേവല മോഡ്,ಸಂಪೂರ್ಣ ಮೋಡ್
കേവല പാത,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
"1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്","1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
അമൂർത്ത ക്ലാസ്,ಅಮೂರ್ತ ವರ್ಗ
അമൂർത്ത ഡാറ്റ തരം,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
അമൂർത്ത യന്ത്രം,ಅಮೂರ್ತ ಯಂತ್ರ
അമൂർത്ത ചിഹ്നം,ಅಮೂರ್ತ ಚಿಹ್ನೆ
അമൂർത്തമായ വാക്യഘടന,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
സ്വീകാര്യത പരിശോധന,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
പ്രവേശന സർട്ടിഫിക്കേഷൻ,ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ
"1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്","1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್"
പ്രവേശന നിയന്ത്രണം,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
ആക്സസ് സ്കാനിംഗ്,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್
സാധനങ്ങൾ,ಬಿಡಿಭಾಗಗಳು
അക്കൌണ്ടിംഗ്,ಲೆಕ್ಕಪತ್ರ
"1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ","1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ"
ശേഖരണം,ಸಂಚಯಕ
"1. കൃത്യത, 2. കൃത്യത","1. ನಿಖರತೆ, 2. ನಿಖರತೆ"
പ്രവേശനം,ಪ್ರವೇಶ
ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು
പ്രവേശന സൂചകം,ಪ್ರವೇಶ ಸೂಚಕ
ആക്സസ് കീ,ಪ್ರವೇಶ ಕೀ
"1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്","1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್"
ആക്സസ് മോഡ്,ಪ್ರವೇಶ ಮೋಡ್
പ്രവേശനാവകാശങ്ങൾ,ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು
ആക്സസ് സുരക്ഷ,ಪ್ರವೇಶ ಭದ್ರತೆ
"1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ","1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್"
പ്രവേശന സമയം,ಪ್ರವೇಶ ಸಮಯ
അംഗീകാരം,ಸ್ವೀಕೃತಿ
ശബ്ദശാസ്ത്രം,ಅಕೌಸ್ಟಿಕ್ಸ್
"1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി","1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ"
