English,Gujarati
abacus,"1.એબેકસ, 2. ગણતરી"
abnormal termination,અસામાન્ય અંત
abort,ઇન્ટરસેપ્ટ
absolute,"1. સંપૂર્ણ, 2. સર્વોચ્ચ"
absolute address,સંપૂર્ણ સરનામું
absolute addressing,સંપૂર્ણ સંબોધનક્ષમતા
absolute assembler,સંપૂર્ણ એસેમ્બલર
absolute code,"1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ"
absolute command,સંપૂર્ણ આદેશ
absolute data,"1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા"
absolute instruction,સંપૂર્ણ સૂચના
absolute mode,સંપૂર્ણ મોડ
absolute path,સંપૂર્ણ માર્ગ
absolute programming,"1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ"
abstract class,અમૂર્ત વર્ગ
abstract data type,અમૂર્ત ડેટા પ્રકાર
abstract machine,અમૂર્ત મશીન
abstract symbol,અમૂર્ત પ્રતીક
abstract syntax,અમૂર્ત વાક્યરચના
acceptance testing,સ્વીકૃતિ કસોટી
access authentication,પ્રવેશ પ્રમાણપત્ર
access code,"1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ"
access control,વપરાશ નિયંત્રણ
access scan,ઍક્સેસ સ્કેનિંગ
accessory,એસેસરીઝ
account,નામું
account ID,"1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ"
accumulator,સંચયક
accuracy,"1. ચોકસાઈ, 2. ચોકસાઈ"
acess,ઍક્સેસ
acess control byte,એક્સેસ કંટ્રોલ બાઇટ્સ
acess index,ઍક્સેસ સૂચક
acess key,ઍક્સેસ કી
acess matrix,"1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ"
acess mode,ઍક્સેસ મોડ
acess privilege,ઍક્સેસ વિશેષાધિકારો
acess security,ઍક્સેસ સુરક્ષા
acess server,"1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો"
acess time,ઍક્સેસ સમય
acknowledgement,સ્વીકૃતિ
acoustics,ધ્વનિશાસ્ત્ર
acronym,"1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું"
action message,ક્રિયા સંદેશ
activation,સક્રિયકરણ
active server page (ASP),સક્રિય સર્વર પૃષ્ઠ
active version,સક્રિય સંસ્કરણ
acyclic,એસાયક્લિક
acyclic graph,"1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ"
Ada language,અદા કોમ્પ્યુટર ભાષા
adapter,"1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર"
add,સરવાળે)
add file,સરવાળો ફાઇલ
add operation,"1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી"
