Bengali,English
আবেলি গ্রুপ,Abelian group
আবেলি গ্রুপ,abelian semigroup
হাত,abscissa
"পরম, পরম, ধ্রুবক, সুনির্দিষ্ট",absolute
পরম মিলন,absolute convergence
পরম ত্রুটি,absolute error
সর্বোচ্চ সর্বোচ্চ,absolute maximum
পরম সর্বনিম্ন,absolute minimum
পরম মান,absolute value
পরম বেগ,absolute velocity
বিমূর্ত বীজগণিত,abstract algebra
বিমূর্ত গ্রুপ তত্ত্ব,abstract group theory
ত্বরণ,acceleration
মহাকর্ষীয় ত্বরণ,acceleration due to gravity
গ্রহণযোগ্য নির্বাচক,acceptable choice set
গ্রহণযোগ্য মানের স্তর,acceptable quality level
গ্রহণযোগ্য প্রাঙ্গনে,acceptable range
বৈধ নির্ভরযোগ্যতা স্তর,acceptable reliability level
গ্রহণযোগ্যতা নমুনা,acceptable sampling
সঞ্চিত ত্রুটি,accumulated error
সঠিকতা,accuracy
প্রযুক্ত বল,acting force
"কর্ম, কাজ",action
কর্ম এবং প্রতিক্রিয়া,action and reaction
বীমা বিজ্ঞান,acturial science
তীব্র ত্রিভুজ,acute angled triangle
অ্যাসাইক্লিক,acyclic
যোগফল,add
যোগকারী,adder
"যোগফল, যোগ, যোগফল (গ.), যোগ (v.)",addition
যোগের সূত্র,addition formula
জটিল সংখ্যার যোগফল,addition of complex numbers
ফাংশনের যোগফল,addition of functions
ম্যাট্রিক্সের যোগফল,addition of matrices
বহুপদীর সমষ্টি,addition of polynomials
সম্ভাবনার যোগফল,addition of probabilities
ভেক্টরের সমষ্টি,addition of vectors
"যোগ উপপাদ্য, বেরি তত্ত্ব,",addition theorem
সংযোজনকারী গ্রুপ,additive group
সংযোজন বিপরীত,additive inverse
যোগযোগ্যতা,additive property
যোগযোগ্যতা,additivity
অন্তিক ম্যাট্রিক্স,adjacency matrix
"সংলগ্ন, সংলগ্ন, সংলগ্ন",adjacent
সংলগ্ন কোণ,adjacent angles
সংলগ্ন শীর্ষবিন্দু,adjacent vertex
যুক্ত করা,adjoin
"সংযুক্ত ঘের,",adjoining
সাধারণ নির্ধারক,adjoint determinant
সংযুক্ত ডিফারেনশিয়াল সমীকরণ,adjoint differential equation
সংযুক্ত সমীকরণ,adjoint equation
সমগোত্রীয় ম্যাট্রিক্স,adjoint matrix
