Tamil,Malayalam
A B வகுப்பு பெருக்கி,എ ബി ക്ലാസ് ആംപ്ലിഫയർ
பிறழ்வு,അപഭ്രംശം
அசாதாரண பரிமாற்றம்,അസാധാരണമായ സംക്രമണം
"இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு","ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ"
ஸ்பெக்ட்ரம் காணவில்லை,സ്പെക്ട്രം കാണുന്നില്ല
"முழுமையான, முழுமையான, நிலையான, சரியான","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
முழுமையான ஈரப்பதம்,കേവല ഈർപ്പം
முழுமையான வேகம்,കേവല വേഗത
முழுமையான கவனிப்பு,സമ്പൂർണ നിരീക്ഷണം
முழுமையான வெப்பநிலை,കേവല താപനില
முழுமையான பூஜ்ஜியம்,കേവല പൂജ്യം
உறிஞ்சி,ആഗിരണം ചെയ്യുക
"உறிஞ்சும், உறிஞ்சும்","ആഗിരണം, ആഗിരണം"
உறிஞ்சும் திறன்,ആഗിരണം ശേഷി
உறிஞ்சுதல்,ആഗിരണം
உறிஞ்சக்கூடியது,ആഗിരണം ചെയ്യാവുന്ന
உறிஞ்சும் தன்மை,ആഗിരണം
பன்மடங்கு விகிதம்,ഗുണിത അനുപാതം
முடுக்கி,ത്വരിതപ്പെടുത്തുക
விரைந்தார்,തിടുക്കപ്പെട്ടു
முடுக்கம்,ത്വരണം
ஈர்ப்பு முடுக்கம்,ഗുരുത്വാകർഷണ ത്വരണം
முடுக்கி,ആക്സിലറേറ്റർ
முடுக்கி,ആക്സിലറേറ്റർ
முடுக்கமானி,ആക്സിലറോമീറ്റർ
முன் அழுத்தம் கொடுப்பவர்,പ്രിസ്ട്രെസർ
ஏற்றுக்கொள்ளக்கூடிய சோதனை,സ്വീകാര്യമായ പരിശോധന
ஏற்பவர்,സ്വീകർത്താവ്
நன்கொடையாளர் மூலக்கூறு,ദാതാവിന്റെ തന്മാത്ര
"அணுகல், காத்திருப்பு, அணுகல்","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത"
அணுகல்,പ്രവേശനക്ഷമത
"கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)","സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)"
அணுகல் நேரம்,പ്രവേശന സമയം
பார்வையாளர் பிழை,സന്ദർശക പിശക്
சரிசெய்தல்,ക്രമീകരിക്കൽ
திரட்டப்பட்டது,കുമിഞ്ഞുകൂടി
"திரட்சி, குவிப்பு","ശേഖരണം, ശേഖരണം"
திரட்டி,ശേഖരണം
துல்லியம்,കൃത്യത
யதார்த்தம்,റിയാലിറ്റി
நிறமற்ற லென்ஸ்,അക്രോമാറ്റിക് ലെൻസ്
வண்ணமயமான,അക്രോമാറ്റിക്
வண்ணமயமான தன்மை,അക്രോമാറ്റിറ്റി
ஒலியியல்,അക്കോസ്റ്റിക്
ஒலி எதிர்ப்பு,ശബ്ദപ്രതിരോധം
ஒலி ஃபோனான்,അക്കോസ്റ്റിക് ഫോണോൺ
ஒலி அலகு,ശബ്ദ യൂണിറ്റ്
ஒலியியல்,അക്കോസ്റ്റിക്
ஒலி ஜெனரேட்டர்,ശബ്ദ ജനറേറ്റർ
செயல் மற்றும் எதிர்வினை,പ്രവർത്തനവും പ്രതികരണവും
செயல்படுத்துதல்,സജീവമാക്കൽ
செயல்படுத்தும் ஆற்றல்,സജീവമാക്കൽ ഊർജ്ജം
"செயல்படுத்துபவர், செயல்படுத்துபவர்","ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ"
செயலில்,സജീവമാണ്
செயற்பாடு,ആക്ടിവിസം
உண்மையான மன அழுத்தம்,യഥാർത്ഥ സമ്മർദ്ദം
கிசுகிசுத்தல்,മന്ത്രിക്കുന്നു
மொத்தத்தில்,സംഗ്രഹിക്കാനായി
