Kannada,Hindi
ಸ್ಥಗಿತಗೊಳಿಸು,विफलन
ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ,विफलन कालद
ಸಂಪೂರ್ಣ ವಿಳಾಸ,निरपेक्ष पता
ಸಂಪೂರ್ಣ ವಿಳಾಸ,निरपेक्ष पताभिगमन
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,निरपेक्ष कोडांतरक
ಸಂಪೂರ್ಣ ಕೋಡ್,निरपेक्ष कूट
ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್,निरपेक्ष कूटलेखन
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,निरपेक्ष समादेश
ಸಂಪೂರ್ಣ ಸಮನ್ವಯ,निरपेक्ष निर्देशांक
ಸಂಪೂರ್ಣ ಡೇಟಾ,निरपेक्ष आंकड़े
ಸಂಪೂರ್ಣ ದೋಷ,निरपेक्ष त्रुटि
ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ,निरपेक्ष व्यंजक
ಸಂಪೂರ್ಣ ಸೂಚನೆ,निरपेक्ष अनुदेश
ಸಂಪೂರ್ಣ ಲೋಡರ್,निरपेक्ष भारक
ಸಂಪೂರ್ಣ ಕ್ರಮ,निरपेक्ष आदेश
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,निरपेक्ष क्रमादेशन
ಸಂಪೂರ್ಣ ಪದ,निरपेक्ष पद
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,निरपेक्ष मान
ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್,निरपेक्ष सदिश
ಅಮೂರ್ತ,"सारांश, अमूर्त"
ಅಮೂರ್ತಗೊಳಿಸುವ,"सारांशन, अमूर्तकरण, साराहरण"
ಅಮೂರ್ತ ಚಿಹ್ನೆ,अमूर्त प्रतीक
ವೇಗವರ್ಧನೆ ಅವಧಿ,त्वरण अवधि
ವೇಗವರ್ಧಕ ಸಮಯ,त्वरण काल
ಉಚ್ಚಾರಣಾ,उच्चारण चिह्न
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,स्वीकरण परीक्षण
ಪ್ರವೇಶ,अभिगम
ಪ್ರವೇಶ,अभिगम बाहु
ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ,अभिगम व्यवस्था
ಪ್ರವೇಶ,अभिगम प्राधिकारक
ಪ್ರವೇಶ,अभिगम शुल्क
ಪ್ರವೇಶ ವರ್ಗ,अभिगम वर्ग
ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ,अभिगम आँकड़ासंचय प्रबंध
ಪ್ರವೇಶ ಪರಿಸರ,अभिगम परिवेश
ಪ್ರವೇಶದ ಅಂತರ,अभिगम अंतराल
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,अभिगम सूचक
ಪ್ರವೇಶ,अभिगम लाइन
ಪ್ರವೇಶ ಕಾರ್ಯ,अभिगम यांत्रिकत्व
ಪ್ರವೇಶ ವಿಧಾನ,अभिगम विधि
ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ,अभिगम विधि नेमका
ಪ್ರವೇಶ ಕ್ರಮ,अभिगम विधा
ಪ್ರವೇಶ ಬಲ,अभिगम अधिकार
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,अभिगम क्रमवीक्षण
ಪ್ರವೇಶ ಸಮಯ,अभिगम काल
ಲೆಕ್ಕಪತ್ರ,लेखा कार्य
ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ,लेखाकार्य वित्त तंत्र
ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ,लेखा यंत्र
ಖಾತೆ ಸಂಖ್ಯೆ,खाता संख्या
ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು,संचयी पुनरुत्पादक
ಸಂಗ್ರಹಣೆದಾರ,संचायक
ಸಂಚಯಕ ನೋಂದಣಿ,संचायक पंजी
ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ,संचायक विस्थापन अनुदेश
ನಿಖರತೆ,परिशुद्धता
ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ,परिशुद्धता नियंत्रण संप्रतीक
ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ,परिशुद्धता नियंत्रण तंत्र
ಏಸ್ ಪೈಲಟ್,उत्कृष्ठ मार्गदर्शी
ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ,पावती संप्रतीक
ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್,ध्वनिक युग्मक
ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ,ध्वनिक युग्मन
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,ध्वनिक विलंब लाइन
ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ,ध्वनिक स्मृति
ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್,ध्वनिक मोडेम
ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ,ध्वनिक संकेत
ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ,ध्वनिक भंडारण
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,परिवर्णी शब्द
ಕ್ರಿಯಾಶೀಲತೆ,क्रिया
ಕ್ರಿಯಾಶೀಲತೆ,क्रिया चक्र
ಕ್ರಿಯಾಶೀಲ ರೇಖೆ,क्रिया लाइन
ಕ್ರಿಯಾಶೀಲ,क्रिया संदेश
ಕ್ರಿಯಾಶೀಲತೆ,क्रिया विनिर्देश
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,सक्रियण
ಸಕ್ರಿಯ,सक्रिय
ಸಕ್ರಿಯ ಫೈಲ್,सक्रिय संचिका
ಸಕ್ರಿಯ ರೇಖೆ,सक्रिय लाइन
ಸಕ್ರಿಯ ಲಿಂಕ್,सक्रिय कड़ी
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್,सक्रिय प्रधान संचिका
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ,सक्रिय प्रधान मद
ಸಕ್ರಿಯ ಉಪಗ್ರಹ,सक्रिय उपग्रह
ಸಕ್ರಿಯ ನಿಲ್ದಾಣ,सक्रिय केन्द्र
ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ,सक्रिय भंडारण
ಚಟುವಟಿಕೆ,सक्रियता
ಚಟುವಟಿಕೆ ಮಟ್ಟ,सक्रियता स्तर
ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್,सक्रियता भारण
ಚಟುವಟಿಕೆ ಅನುಪಾತ,सक्रियता अनुपात
ನಿಜವಾದ ವಿಳಾಸ (= ಸಂಪೂರ್ಣ ವಿಳಾಸ),निरपेक्ष पता
ನಿಜವಾದ ಕೋಡ್ (= ಸಂಪೂರ್ಣ ಕೋಡ್),निरपेक्ष कूट
ನಿಜವಾದ ಡೇಟಾ ವರ್ಗಾವಣೆ ದರ,वास्तविक आँकडा स्थानांतरण दर
ವಾಸ್ತವಿಕ ದಶಮಾಂಶ ಬಿಂದು,वास्तविक दशमलव बिन्दु
ನಿಜವಾದ ಸೂಚನೆ (= ಪರಿಣಾಮಕಾರಿ ಸೂಚನೆ),प्रभावी अनुदेश
ವಾಸ್ತವಿಕ ಕೀ,वास्तविक कुंजी
ವಾಸ್ತವಿಕ ಸಮಯ,वास्तविक काल
ನಿಜವಾದ ಕೆಲಸದ ಸಮಯ,वास्तविक कार्य काल
ಸಂಕೇತ,प्रवर्तक संकेत
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,अनुकूलनीयता
ಅಳವಡಗಾರ,अनुकूलित्र
ಹೊಂದಾಣಿಕೆಯ ಚಾನಲ್ ಹಂಚಿಕೆ,अनुकूली प्रणाल नियतन
ಹೊಂದಾಣಿಕೆಯ ಏಕೀಕರಣ,अनुकूली समाकलन
ಅಡಾಪ್ಟಿವ್ ಟ್ರಾನ್ಸ್‌ವರ್ಸಲ್ ಈಕ್ವಲೈಜರ್,अनुकूली अनुप्रस्थ तुल्यकारक
ಪ್ರವೇಶವನ್ನು ಸೇರಿಸಲಾಗಿದೆ,योजित प्रविष्ट
ಸೇರಿಸು,योज्य
ಸೇರಿಸುವವನು,योजक
ಸೇಡ್ ಸಬ್ಟ್ರಾಕ್ಟರ್,योजक व्यवकलक
ಕಡತವನ್ನು ಸೇರಿಸು,योजी संचिका
ಹೆಚ್ಚುವರಿ ಅಕ್ಷರ (= ವಿಶೇಷ ಅಕ್ಷರ),विशिष्ट संप्रतीक
ಸೇರ್ಪಡೆ ರೆಕಾರ್ಡರ್,योग अभिलेख
ಸೇರ್ಪಡೆ ಮೇಜು,योग सारणी
ಸಂಯೋಜಕ ಗುಣಲಕ್ಷಣ,योज्य गुण
ಮೋಡ್ ಸೇರಿಸಿ,योग विधा
ಕಾರ್ಯಾಚರಣೆ ಸೇರಿಸಿ,योग संक्रिया
ಭಾಷಣ,पता
ವಿಳಾಸದ ಅಳತೆ,पतायोग्यता माप
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಮತಲ ಸ್ಥಾನ,पतायोग्य क्षौतिज स्थिति
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಬಿಂದು,पतायोग्य बिन्दु
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಥಾನ,पतायोग्य स्थिति
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ರಿಜಿಸ್ಟರ್,पतायोग्य पंजी
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಂಗ್ರಹಣೆ,पतायोग्य भंडारण
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಲಂಬ ಸ್ಥಾನ,पतायोग्य ऊर्ध्वाधर स्थिति
ವಿಳಾಸ ಬಸ್,पता बस
ವಿಳಾಸ ಕೋಡ್,पता कूट
ವಿಳಾಸ ಹೋಲಿಕೆದಾರ,पता तुलनित्र
ವಿಳಾಸ ಗಣನೆ,पता अभिकलन
ವಿಳಾಸ ಸ್ಥಿರ,पता अचर
ವಿಳಾಸ ಪರಿವರ್ತನೆ,पता रूपांतरण
ವಿಳಾಸ ಡೇಟಾ,पता आँकड़े
ವಿಳಾಸ ಮೆಮೊರಿ,पतायुक्त स्मृति
ವಿಳಾಸ ಪರಿಣಾಮಕಾರಿ,प्रभावी पता
ವಿಳಾಸ ಕ್ಷೇತ್ರ,पता क्षेत्र
ವಿಳಾಸ ಸ್ವರೂಪ,पता संरूप
ವಿಳಾಸ ಉಚಿತ ಕಾರ್ಯಕ್ರಮ,पता निरपेक्ष क्रमादेश
ಸಂಬೋಧಿಸುವುದು,पताभिगमन
ಸಂಬೋಧಿಸುವುದು  ಪಾತ್ರ,पताभिगमन संप्रतीक
ಅಡಚಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,पताभिगमन अंतरायन
ವಿಳಾಸ ಲೂಪ್,पताभिगमन पाश
ವರ್ಚುವಲ್ ಮೆಮೊರಿಯನ್ನು ಉದ್ದೇಶಿಸಿ,पताभिगमन आभासी स्मृति
ವಿಳಾಸ ಇಂಟರ್ಲೇಟಿಂಗ್,पता अंतर्ग्रथन
ವಿಳಾಸವಿಲ್ಲದ ಸೂಚನಾ ಸ್ವರೂಪ,पतारहित अनुदेश संरुप
ವಿಳಾಸ ಸಾಲು,पता लाइन
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,पता प्रतिचित्रण
ವಿಳಾಸ ಗುರುತು,पता चिह्न
ವಿಳಾಸ ಮಾರ್ಪಾಡು,पता आपरिवर्तन
ವಿಳಾಸದ ಭಾಗ,पता भाग
ವಿಳಾಸ ಪಾಯಿಂಟರ್,पता संकेतक
ವಿಳಾಸ ನೋಂದಣಿ,पता पंजी
ವಿಳಾಸ ಸಂಕೇತ,पता संकेत
ವಿಳಾಸದ ಗಾತ್ರ,पता आमाप
ವಿಳಾಸ ಸ್ಥಳ,पता स्थान
ವಿಳಾಸ ಬಾಹ್ಯಾಕಾಶ ಗುರುತಿಸುವಿಕೆ,पता स्थान अभिज्ञापक
ವಿಳಾಸ ನಿಲುಗಡೆ,पता विराम
ವಿಳಾಸ ಜಾಡಿನ,पता अनुरेख
ವಿಳಾಸ ಟ್ರ್ಯಾಕ್,पता मार्ग
ವಿಳಾಸ ಅನುವಾದ,पता अनुवाद
ವಿಳಾಸ ಅನುವಾದಕ,पता अनुवादक
ಕಕ್ಸಚ್ಚುವಿಕೆಯನ್ನು ಸೇರಿಸಿ ಸಮಯ,संकलन व्यवकलन काल
ಸಮಯವನ್ನು ಸೇರಿಸಿ,संकलन काल
ಪಕ್ಕದ,संलग्नता
ಪಕ್ಕದ ರಚನೆ,संलग्नता संरचना
ಪಕ್ಕದ ಚಾನಲ್,संलग्न प्रणाल
ಪಕ್ಕದ ಡೊಮೇನ್,संलग्न प्रांत
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,सहखंडज मैट्रिक्स
ಪಕ್ಕದ ನೋಡ್,संलग्न आसंधि
ಪಕ್ಕದ ಸುಬೇರಿಯಾ,संलग्न उपक्षेत्र
ಹೊಂದಾಣಿಕೆ (ಸಿಸ್ಟಮ್),संलग्न (तंत्र)
ಸರಿಹೊಂದಿಸು,समायोजन
ಹೊಂದಾಣಿಕೆ ವ್ಯಾಪ್ತಿ,समायोज्य विस्तार
ಪಠ್ಯ ಮೋಡ್ ಅನ್ನು ಹೊಂದಿಸಿ,समायोज्य पाठ्यांश विधा
ಆಡಳಿತ ದತ್ತಾಂಶ ಸಂಸ್ಕರಣೆ,प्रशासनिक आँकड़ा संसाधन
ಆಡಳಿತಾತ್ಮಕ ಕಾರ್ಯಾಚರಣೆ,प्रशासनिक प्रचालन
ಆಡಳಿತಕಾರಕ,प्रशासनिक प्रचालक
ಆಡಳಿತ ನಿರ್ವಾಹಕ ಕೇಂದ್ರ,प्रशासनिक प्रचालन केन्द्र
ಆಡಳಿತಾತ್ಮಕ ಬೆಂಬಲ ವ್ಯವಸ್ಥೆ,प्रशासन सहाय तंत्र
ಸುಧಾರಿತ ಸಂವಹನ ಸೇವೆ,उन्नत संचार सेवा
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,उन्नत सूचना तंत्र
ಸುಧಾರಿತ ಆಪ್ಟಿಕಲ್ ಕ್ಯಾರೆಕ್ಟರ್ ರೀಡರ್,उन्नत प्रकाशिक संप्रतीक पठित्र
