Hindi,Punjabi
ऐम्पियर (मात्रक),ਐਂਪੀਅਰ (ਯੂਨਿਟ)
ऐंगस्ट्रम,angstrum
ए-वर्ग प्रवर्धक,ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
ए.एन रेडियो सहाय,ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ
ए-क्रमवीक्षण प्रस्तुति,ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ
ए-दर्श,a-ਦਰਸ਼
ए-स्कोप प्रदर्शन,ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ
ए-टी कर्तित क्रिस्टल,A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ
"ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन","AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ"
पूर्वाह्न,am
ए.एम.यू. (परमाणु संहति मात्रक),ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ)
आर्ड-वार्क*,ਆਰਡ-ਵਰਕ*
ऐब-ऐम्पियर,ਐਬ-ਐਂਪੀਅਰ
ए-बी वर्ग प्रवर्धक,ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
आदितः,adah
ए-बी शक्ति पिटक,ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ
एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़,abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ
ऐबे संख्या (ऐबे नियतांक),ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ)
ऐबे अपवर्तनमापी,abe refractometer
ऐबे ज्या अवस्था,ਅਬੇ ਸਾਈਨ ਸਟੇਟ
स्वचालित बायस प्रतिकार,ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ
ऐबकूलॉम,abcoulom
"विपथन, अपेरण",ਵਿਗਾੜ
विपथन संशोधक लेन्स,ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ
आकाश-विपथन,ਅਸਮਾਨ ਵਿਕਾਰ
एबफैराड,abfarad
एबहेनरी,ਈਬੇਨਰੀ
ऐबनी प्रभाव (ऐबनी नियम),ਈਬੋਨੀ ਪ੍ਰਭਾਵ
अपसामान्य ध्रुवण,ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ
अपसामान्य संचरण,ਅਸਧਾਰਨ ਸੰਚਾਰ
अपसामान्य परावर्तन,ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ
अपसामान्य अपवर्तन*,ਅਸਧਾਰਨ ਅਪਵਰਤਨ*
अपसामान्य प्रतिरोध,ਅਲੌਕਿਕ ਵਿਰੋਧ
ऐब-ओम,ab-om
"पूर्वपात, विफलन","ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ"
"असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित","ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
सहसा जंप,ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ
भुज*,ਹੱਥ*
लुप्त परावर्तन,ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ
लुप्त स्पैक्ट्रम,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
