Kannada,Malayalam
ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್,എ.സി തുല്യമായ സർക്യൂട്ട്
ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,കേവല പൂജ്യം
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,ആഗിരണം ഗുണകം
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ,ആഗിരണം സ്പെക്ട്രം
ಗ್ರಾಹಕ ಪರಮಾಣು,റിസപ്റ്റർ ആറ്റം
ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ,ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്
ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು,ഇലക്ട്രോൺ വിളവെടുപ്പ്
ರಂಧ್ರ ಸಂಗ್ರಹಣೆ,ദ്വാര സംഭരണം
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,സജീവമാക്കൽ ഊർജ്ജം
ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್,സജീവ ആംപ്ലിഫയർ
ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್,സജീവ ഡയോഡ് സർക്യൂട്ട്
ಸಕ್ರಿಯ ಫಿಲ್ಟರ್,സജീവ ഫിൽട്ടർ
ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್,സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ
ಸಕ್ರಿಯ ಲೋಡ್,സജീവ ലോഡ്
ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್,സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ
ಸಕ್ರಿಯ ಪ್ರದೇಶ,സജീവമായ പ്രദേശം
ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്
ಸೇರಿಸುವವನು,ചേർക്കുന്നയാൾ
ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ,ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം
ನುಗ್ಗುವಿಕೆ,നുഴഞ്ഞുകയറ്റം
ಏರಿಯಲ್,ഏരിയൽ
ಪೆಪ್ ಆವರ್ತನ,പെപ് ആവൃത്തി
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,എയർ കണ്ടീഷണർ
ಜೋಡಣೆ,വിന്യാസം
ಅಲ್ಗಾರಿದಮ್,അൽഗോരിതം
ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್,എല്ലാ പാസ് ഫിൽട്ടറും
ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್,അലോയ് ജംഗ്ഷൻ
ಕ್ಷೀಣತೆ,ശോഷണം
ಪರ್ಯಾಯ ಪ್ರವಾಹ,ആൾട്ടർനേറ്റിംഗ് കറന്റ്
ಹೊರಗಿನ ತಾಪಮಾನ,അന്തരീക്ഷ ഊഷ്മാവ്
ಬೈಪೋಲಾರ್,ബൈപോളാർ
ವರ್ಧನೆ,ആംപ്ലിഫിക്കേഷൻ
ಆಂಪ್ಲಿಫಯರ್,ആംപ്ലിഫയർ
ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ,ആംപ്ലിഫയർ കാര്യക്ഷമത
ಆಯಾಮಗಳು,അളവുകൾ
