Gujarati,Marathi
ખર્ચ,Uptement
સંક્ષેપ,संक्षेप
અપહરણ,अपहरण
સ્થગ,अबाधित
ક્ષમતા,क्षमता
આરંભ,अब इनिशिओ
કઠોર,सक्षम
અસામાન્ય,असामान्य
નાબૂદી,निर्मूलन
નાબૂદી પોસ્ટ,रद्दबातल पोस्ट
ઉપર ઉલ્લેખ કર્યો છે,वर दिल्याप्रमाणे
ઉપર જણાવેલ,वर उद्धृत
ઉપર જણાવ્યું હતું કે,वरील म्हणाले
ગેરહાજરી,अनुपस्थिती
ગેરહાજર,अनुपस्थित
ગેરહાજરી,अनुपस्थिति
અનુપસ્થિત નિવેદનો,अनुपस्थित विधान
અબાધિત,परिपूर्ण
અબાધિત ઈજારો,परिपूर्ण मक्तेदारी
અબાધિત માલિકી,परिपूर्ण मालकी
સમાવેશ,शोषण
નિષ્ક્રિય,गोषवारा
અખબારો,अमूर्त स्टेटमेंट
વાહિયાત,बेशुद्ध
વિપુલતા,विपुलता
સત્તાનો દુરુપયોગ,शक्तीचा गैरवापर
અપશબ્દો,अपमानास्पद भाषा
શૈક્ષણિક,शैक्षणिक
શૈક્ષણિક ચર્ચા,शैक्षणिक चर्चा
શૈક્ષણિક રજા,शैक्षणिक रजा
શૈક્ષણિક લાયકાત,शैक्षणिक पात्रता
વિદ્યા,शैक्षणिक नोंद
સહયોગ કરવો,प्रवेश
સ્વીકારવું,स्वीकारा
સ્વીકૃતિ,स्वीकृती
પદની સ્વીકૃતિ,कार्यालय स्वीकारणे
પ્રતિજ્ ofા,निविदा स्वीकारणे
પ્રવેશ,प्रवेश
સંચાર,प्रवेश
સહાયક,Ory क्सेसरी
અકસ્માત,अपघात
સ્વાર્થીકરણ,सहनशीलता
આવાસ,निवास
સંલગ્ન,सोबत
સંલગ્ન,करार
અનુસાર,अनुयायी
તદનુસાર,त्यानुसार
હિસાબ,खाते
જવાબદારી,उत्तरदायित्व
જવાબદાર,जबाबदार
હિસાબની સંખ્યા,अकाउंटन्सी
હિસાબ રાખનાર,अकाउंटंट
