Hindi,Marathi
"1.एबेकस ,2. गिनतारा","1.अॅबॅकस, 2. मोजणी"
असामान्य समापन,असामान्य शेवट
अवरोधन,इंटरसेप्ट
"1. निरपेक्ष ,2. परम","1. निरपेक्ष, 2. सर्वोच्च"
निरपेक्ष पता,परिपूर्ण पत्ता
निरपेक्ष पताभिगमन,परिपूर्ण पत्ता योग्यता
निरपेक्ष कोडांतरक,परिपूर्ण असेंबलर
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड","1. संपूर्ण कोड, 2. परिपूर्ण कोड"
निरपेक्ष समादेश,निरपेक्ष आज्ञा
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा","1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा"
निरपेक्ष अनुदेश,परिपूर्ण सूचना
निरपेक्ष विधा,परिपूर्ण मोड
निरपेक्ष पथ,परिपूर्ण मार्ग
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन","1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग"
अमूर्त वर्ग,अमूर्त वर्ग
अमूर्त आंकड़ा प्रकार,अमूर्त डेटा प्रकार
अमूर्त मशीन,अमूर्त मशीन
अमूर्त प्रतीक,अमूर्त चिन्ह
अमूर्त वाक्य विन्यास,अमूर्त वाक्यरचना
स्वीकृति परीक्षण,स्वीकृती चाचणी
अभिगम प्रमाणन,प्रवेश प्रमाणपत्र
"1. अभिगम कूट ,2. अभिगम कोड","1. प्रवेश कोड, 2. प्रवेश कोड"
अभिगम नियंत्रण,प्रवेश नियंत्रण
अभिगम क्रमवीक्षण,प्रवेश स्कॅनिंग
सहयंत्र,उपकरणे
लेखा,लेखा
"1. एकाउंट आई डी ,2. लेखा पहचान","1. खाते आयडी, 2. लेखा ओळख"
संचायक,संचयक
"1. विशुद्धता ,2. यर्थाथता","1. अचूकता, 2. अचूकता"
अभिगम,प्रवेश
अभिगम नियंत्रण बाइट,प्रवेश नियंत्रण बाइट्स
अभिगम सूचक,प्रवेश सूचक
अभिगम कुंजी,प्रवेश की
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स","1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स"
अभिगम विधा,प्रवेश मोड
अभिगम विशेषाधिकार,प्रवेश विशेषाधिकार
अभिगम सुरक्षा,प्रवेश सुरक्षा
"1. अभिगम परिसेवक ,2. अभिगम सर्वर","1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर"
अभिगम काल,प्रवेश वेळ
अभिस्वीकृति,पोचपावती
ध्वनिकी,ध्वनीशास्त्र
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप","1. संक्षेप, 2. संक्षेप, 3. पासून लहान"
क्रिया संदेश,क्रिया संदेश
सक्रियण,सक्रियकरण
सक्रिय सर्वर पृष्ठ,सक्रिय सर्व्हर पृष्ठ
सक्रिय वर्जन,सक्रिय आवृत्ती
अचक्रीय,अॅसायक्लिक
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ","1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख"
एडा कंप्यूटर भाषा,अडा संगणक भाषा
"1. अनुकूलक ,2. अनुकूलित्र","1. ऑप्टिमायझर, 2. अनुकूलक"
योग (करना),बेरीज करण्यासाठी)
योग संचिका,बेरीज फाइल
"1. जोड़ संक्रिया ,2. योग संक्रिया","1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन"
योजक,जोडणारा
पता,जाणून घ्या
पता बस,पत्ता बस
पता संचिका,पत्ता फाइल
पता आरूप,पत्त्याचे स्वरूप
पता जनक,पत्ता जनरेटर
पता पंक्ति,पत्ता ओळ
पता प्रतिचित्रण,पत्ता मॅपिंग
पता संकेतक,पत्ता सूचक
पता पंजी,पत्ता नोंदवही
पता विघटन,पत्ता ब्रेकडाउन
पता अनुवाद,पत्ता अनुवाद
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी","1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी"
पताभिगमन,संबोधित
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी","1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष"
संलग्न,संलग्नक
"1. प्रबंधन ,2. नियंत्रण","1. व्यवस्थापन, 2. नियंत्रण"
"1. प्रबंधक ,2. नियंत्रक","1. व्यवस्थापक, 2. नियंत्रक"
ऐडोब एक्रोबेट,adobe acrobat
ऐडोब फोटोशोप,अडोब फोटोशाॅप
ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),ABAP (प्रगत व्यवसाय प्रोग्रामिंग)
"1. उन्नत आंकड़ा ,2. उन्नत डाटा","1. प्रगत डेटा, 2. प्रगत डेटा"
उन्नत सूचना तंत्र,प्रगत माहिती प्रणाली
उन्नत प्रौद्योगिकी (ए टी),प्रगत तंत्रज्ञान (AT)
कर्मक,क्रिया
समुच्चयन,एकत्रीकरण
विमानवाहित कंप्यूटर तंत्र,एअरबोर्न संगणक प्रणाली
