Kannada,Tamil
ದಾಟುವುದು,குறைப்பு
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,சுருக்கம்
ಅಪಹರಣ,கடத்தல்
ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ,நிறுத்துதல்
ಸಾಮರ್ಥ್ಯ,திறன்
ಎಬಿ ಇನಿಶಿಯೋ,Ab initio
ಸಮರ್ಥ,முடியும்
ಅಸಹಜ,அசாதாரணமானது
ನಿರ್ಮೂಲನ,ஒழிப்பு
ರದ್ದುಮಾಡುವಿಕೆ,இடுகை ஒழிப்பு
ಮೇಲೆ ತಿಳಿಸಿದ,மேலே குறிப்பிட்டுள்ள
ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ,மேலே மேற்கோள் காட்டப்பட்டுள்ளது
ಮೇಲೆ ಹೇಳಿದರು,மேலே கூறினார்
ಅನುಪಸ್ಥಿತಿ,இல்லாதது
ಗೈರುಹಾಜರಿ,வராதவர்
ಗೈರುಹಾಜರಿ,இல்லாதது
ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ,இல்லாத அறிக்கை
ಸಂಪೂರ್ಣ,அறுதி
ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ,முழுமையான ஏகபோகம்
ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ,முழுமையான உரிமை
ಹೀರುವಿಕೆ,உறிஞ்சுதல்
ಅಮೂರ್ತ,சுருக்கம்
ಅಮೂರ್ತತೆ,சுருக்கம்
ಅಸಂಬದ್ಧ,அபத்தமான
ಹೇರಳವಾಗಿರುವುದು,ஏராளமாக
ಅಧಿಕಾರದ ದುರುಪಯೋಗ,அதிகார துஷ்பிரயோகம்
ನಿಂದಕ ಭಾಷೆ,தவறான மொழி
ಶೈಕ್ಷಣಿಕ,கல்வி
ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ,கல்வி விவாதம்
ಶೈಕ್ಷಣಿಕ ರಜೆ,கல்வி விடுப்பு
ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ,கல்வி தகுதி
ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ,கல்வி சாதனையை
ತಪ್ಪೊಟ್ಟು,ஏற்றுக்கொள்ளுங்கள்
ಒಪ್ಪಿಕೊಳ್ಳಿ,ஏற்றுக்கொள்
ಸ್ವೀಕಾರಾರ್ಹತೆ,ஏற்றுக்கொள்ளல்
ಕಚೇರಿಯ ಸ್ವೀಕಾರ,பதவியை ஏற்றுக்கொள்வது
ಟೆಂಡರ್ ಸ್ವೀಕಾರ,டெண்டரை ஏற்றுக்கொள்வது
ಪ್ರವೇಶ,அணுகல்
ಪ್ರವೇಶ,அணுகல்
ಪರಿಕರ,துணை
ಅಪಘಾತ,விபத்து
ಒಗ್ಗೂಡಿಸುವಿಕೆ,பழக்கவழக்கமயமாக்கல்
ಸೌಕರ್ಯ,தங்குமிடம்
ಜೊತೆಗಾರ,துணையுடன்
ಸ ೦ ಗೀತ,உடன்பாடு
ಪ್ರೇಕ್ಷಕ,ஒப்புதல்
ಹಾಗೆಯೇ,அதன்படி
ಖಾತೆ,கணக்கு
ಹೊಣೆಗಾರಿಕೆ,பொறுப்புக்கூறல்
ಹೊಣೆಗಾರ,பொறுப்பு
ಹೊಣೆ,கணக்கியல்
ಲೆಕ್ಕಪರಿಶೋಧಕ,கணக்காளர்
ಇದಕ್ಕೆ ಖಾತೆ,கணக்கு
ಖಾತೆ,கணக்கு தலை
ಸಂಚಿತ ಲಾಭ,திரட்டப்பட்ட நன்மை
ಸಂಚಿತ ಪಿಂಚಣಿ,திரட்டப்பட்ட ஓய்வூதியம்
ಸಂಗ್ರಹಣೆ,குவிப்பு
ನಿಖರತೆ,துல்லியம்
ನಿಖರವಾದ,துல்லியமானது
ಆರೋಪಿಸು,குற்றம்
ಆರೋಪಿ,குற்றம் சாட்டப்பட்டவர்
ಸಾಧನೆ,சாதனை
ಸ್ವೀಕೃತಿ,ஒப்புதல்
ಸ್ವೀಕೃತಿ ಕಾರಣ,ஒப்புதல் காரணமாக
ಪರಿಚಯ,அறிமுகம்
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,கையகப்படுத்தல்
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,விடுவித்தல்
ಕಯ,நாடகம்
ನಟನಾ ಭತ್ಯೆ,நடிப்பு கொடுப்பனவு
ಕ್ರಿಯಾಶೀಲತೆ,செயல்
ಕಾರ್ಯ ತಂತ್ರ,செயல் திட்டம்
ಸಕ್ರಿಯ,செயலில்
ಸಕ್ರಿಯವಾಗಿ,சுறுசுறுப்பாக
ಕಾರ್ಯಕರ್ತ,ஆர்வலர்
ಭಗವಂತನ ಆಟ,கடவுளின் செயல்
ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ,தவறான நடத்தை செயல்
ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ,கமிஷன் மற்றும் விடுபடுதல் சட்டம்
ನಿಜವಾದ,உண்மையான
ವಾಸ್ತವಿಕ,உண்மையான
ರೂಪಾಂತರ,தழுவல்
ಸೇರ್ಪಡೆ,கூடுதலாக
ಹೆಚ್ಚುವರಿ ಶುಲ್ಕ,கூடுதல் கட்டணம்
ಹೆಚ್ಚುವರಿ ನಿಧಿ,கூடுதல் நிதி
ಹೆಚ್ಚುವರಿ ಅನುದಾನ,கூடுதல் மானியம்
ಹೆಚ್ಚುವರಿ ಮಾಹಿತಿ,கூடுதல் தகவல்
ಹೆಚ್ಚುವರಿ ವೇತನ,கூடுதல் ஊதியம்
ಸೇರ್ಪಡೆ ಮತ್ತು ಬದಲಾವಣೆ,கூட்டல் மற்றும் மாற்றம்
ಭಾಷಣ,முகவரி
ವಿಳಾಸದಾರ,முகவரி
ಸ್ವಾಗತದ ವಿಳಾಸ,வரவேற்பின் முகவரி
ಸಮರ್ಪಕ,போதுமானது
ಅಂಟಿಕೊಳ್ಳಿ,பின்பற்றவும்
ತಾತ್ಕಾಲಿಕ,தற்காலிக
ತಾತ್ಕಾಲಿಕ ಹಕ್ಕು,தற்காலிக உரிமைகோரல்
ತಾತ್ಕಾಲಿಕ ಸಮಿತಿ,தற்காலிக குழு
ತಾತ್ಕಾಲಿಕ ಹೆಚ್ಚಳ,தற்காலிக அதிகரிப்பு
ತಾತ್ಕಾಲಿಕ ಪಾವತಿ,தற்காலிக கட்டணம்
ಪಕ್ಕದ,அருகில்
ಪಕ್ಕದ (= ಸಮೀಪ),அருகிலுள்ள (= தொடர்ச்சியான)
ಮುಂದೂಡಿಕೆ,ஒத்திவைப்பு
ಮುಂದೂಡುವ ಚಲನೆ,ஒத்திவைப்பு இயக்கம்
ತೀರ್ಪು,தீர்ப்பளிக்கவும்
ತೀರ್ಮಾನಿಸು,தீர்ப்பளிக்கவும்
ಯಜಮಾನ,தீர்ப்பு
ತೀರ್ಪುಗಾರ,தீர்ப்பாளர்
ಹೊಂದಾಣಿಕೆ,சரிசெய்தல்
ನಿರ್ವಹಿಸು,நிர்வாகி
ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸಿ,சத்தியப்பிரமாணத்தை நிர்வகிக்கவும்
ಆಡಳಿತ,நிர்வாகம்
ನ್ಯಾಯದ ಆಡಳಿತ,நீதி நிர்வாகம்
ಆಡಳಿತಕಾರಿಯಾದ,நிர்வாக
ಆಡಳಿತಾಧಿಕಾರಿ ಕ್ರಿಯೆ,நிர்வாக நடவடிக்கை
ಆಡಳಿತಾಧಿಕಾರಿ ಮೌಲ್ಯಮಾಪನ,நிர்வாக மதிப்பீடு
ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ,நிர்வாக ஒப்புதல்
ಆಡಳಿತ ಪ್ರಾಧಿಕಾರದ,நிர்வாக அதிகாரம்
ಆಡಳಿತ ನಿಯಂತ್ರಣ,நிர்வாக கட்டுப்பாடு
ಆಡಳಿತಾತ್ಮಕ ನಿರ್ಧಾರ,நிர்வாக முடிவு
ಆಡಳಿತ ಇಲಾಖೆ,நிர்வாகத் துறை
ಆಡಳಿತಾಧಿಕಾರಿ,நிர்வாகத் தலைவர்
ಆಡಳಿತ ಕೇಂದ್ರ ಕಚೇರಿ,நிர்வாக தலைமையகம்
ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು,நிர்வாக நடவடிக்கைகள்
ಆಡಳಿತ ಅಧಿಕಾರ,நிர்வாக சக்தி
ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ,நிர்வாக அனுமதி
ಆಡಳಿತ ತಂತ್ರ,நிர்வாக நுட்பம்
ಆಡಳಿತ ನ್ಯಾಯಸಮ್ಮತ,நிர்வாக தீர்ப்பாயம்
ಪ್ರವೇಶಸಾಧ್ಯತೆ,ஒப்புதல்
ಸ್ವೀಕಾರಾರ್ಹ ಖರ್ಚು,ஏற்றுக்கொள்ளக்கூடிய செலவு
