Odiya,Gujarati
"1. ଆବାକସ୍, ୨। ଗଣନା","1.એબેકસ, 2. ગણતરી"
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,અસામાન્ય અંત
ବାଧା,ઇન્ટરસેપ્ટ
"1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ","1. સંપૂર્ણ, 2. સર્વોચ્ચ"
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,સંપૂર્ણ સરનામું
ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |,સંપૂર્ણ સંબોધનક્ષમતા
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,સંપૂર્ણ એસેમ્બલર
"1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍","1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,સંપૂર્ણ આદેશ
"1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |","1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,સંપૂર્ણ સૂચના
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,સંપૂર્ણ મોડ
ସଂପୂର୍ଣ୍ଣ ପଥ,સંપૂર્ણ માર્ગ
"1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |","1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ"
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,અમૂર્ત વર્ગ
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,અમૂર્ત ડેટા પ્રકાર
