Kannada,Tamil
ಆಸಿಡಾಯ್ಡ್,அமிலத்தன்மை
ಅಯೋಲಿಯನ್ ಮಣ್ಣು,அயோலியன் மண்
ಒಟ್ಟು,மதிப்பீட்டு
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,திரட்டுதல்
ಕೃಷಿಶಾಸ್ತ್ರ,வேளாண்மை
ಕೃಷಿಶಾಸ್ತ್ರ,வேளாண்மை
ಎ-ಹಾರಿಜಾನ್,A- அடிவானம்
Ao-ಹಾರಿಜಾನ್,Ao- அடிவானம்
Aoo-ಹಾರಿಜಾನ್,Aoo- அடிவானம்
ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ,மண்ணின் காற்று திறன்
ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ,மண்ணின் காற்றின் உள்ளடக்கம்
ಏರ್ ಪಿಕ್ನೋಮೀಟರ್,காற்று பிக்னோமீட்டர்
ಆಲಿಟಿಕ್ ಮಣ್ಣು,அல்லிடிக் மண்
ಮೆಕ್ಕಲು ಮಣ್ಣು,வண்டல் மண்
ಆಂಫೋಲಿಟಾಯ್ಡ್,ஆம்போலிடாய்டு
ಅಯಾನ್,அயன்
"ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;","வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;"
ಅರ್ರಿಸ್,அரிஸ்
ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು,Ashlar நன்றாக கொத்து
ಆಶ್ಲರ್ ಕಲ್ಲು,ஆஷ்லர் கொத்து
ಅಜೋನಲ್ ಮಣ್ಣು,அசோனல் மண்
ಹಿಂದೆ ನಟ,பின் நடிகர்
ಹಿಂದಿನ ಕಮಾನು,பின் வளைவு
ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್,பின் இசைக்குழு
ಬ್ಯಾಕ್ ಬ್ರಷ್,பின் தூரிகை
ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ,மீண்டும் சரிபார்க்கவும்
ಹಿಂದಿನ ಕೌಂಟರ್,பின் கவுண்டர்
ಬೆನ್ನು ಕತ್ತರಿಸುವುದು,முதுகு வெட்டுதல்
ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್,பின் வரைவு damper
ಬ್ಯಾಕ್ ಡ್ರೈನ್,பின் வடிகால்
ಬ್ಯಾಕ್ ಡ್ರಾಪ್,பின் துளி
ಹಿಂದೆ ಭರ್ತಿ,பின் நிரப்பவும்
ಬ್ಯಾಕ್ ಫಿಲೆಟ್,பின் ஃபில்லட்
ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್,பின் மடல் கீல்
