Kannada,Hindi
ಆಂಪಿಯರ್ (ಘಟಕ),ऐम्पियर (मात्रक)
ಆಂಗ್ಸ್ಟ್ರಮ್,ऐंगस्ट्रम
ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್,ए-वर्ग प्रवर्धक
ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್,ए.एन रेडियो सहाय
ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ,ए-क्रमवीक्षण प्रस्तुति
a-ದರ್ಶ್,ए-दर्श
ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ,ए-स्कोप प्रदर्शन
A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್,ए-टी कर्तित क्रिस्टल
"ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ","ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन"
ಬೆಳಗ್ಗೆ,पूर्वाह्न
AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ),ए.एम.यू. (परमाणु संहति मात्रक)
aard-vark*,आर्ड-वार्क*
ಅಬ್-ಆಂಪಿಯರ್,ऐब-ऐम्पियर
A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್,ए-बी वर्ग प्रवर्धक
ಅದಾ,आदितः
ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ,ए-बी शक्ति पिटक
abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್,एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़
ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ),ऐबे संख्या (ऐबे नियतांक)
ಅಬೆ ವಕ್ರೀಕಾರಕ,ऐबे अपवर्तनमापी
ಅಬೆ ಸೈನ್ ರಾಜ್ಯ,ऐबे ज्या अवस्था
ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ,स्वचालित बायस प्रतिकार
abcoulom,ऐबकूलॉम
"ವಿಪಥನ, ವಿಪಥನ","विपथन, अपेरण"
ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ,विपथन संशोधक लेन्स
ಆಕಾಶ ವಿಪಥನ,आकाश-विपथन
abfarad,एबफैराड
ಎಬೆನ್ರಿ,एबहेनरी
ಎಬೊನಿ ಎಫೆಕ್ಟ್,ऐबनी प्रभाव (ऐबनी नियम)
ಅಸಹಜ ಧ್ರುವೀಕರಣ,अपसामान्य ध्रुवण
ಅಸಹಜ ಪ್ರಸರಣ,अपसामान्य संचरण
ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ,अपसामान्य परावर्तन
ಅಸಹಜ ವಕ್ರೀಭವನ*,अपसामान्य अपवर्तन*
ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ,अपसामान्य प्रतिरोध
ab-om,ऐब-ओम
"ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ","पूर्वपात, विफलन"
"ಲಗತ್ತಿಸಲಾಗಿದೆ, ಸಾಮಾನ್ಯವಾಗಿ, ನಿಂತಿರುವ, ಕತ್ತರಿಸಿದ, ವಿಭಜಿತ","असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित"
ಆಗಾಗ್ಗೆ ಜಿಗಿತಗಳು,सहसा जंप
ಕೈ*,भुज*
ಕಳೆದುಹೋದ ಪ್ರತಿಬಿಂಬ,लुप्त परावर्तन
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,लुप्त स्पैक्ट्रम
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ","निरपेक्ष, परम, अचर, परिशुद्ध"
ಸಂಪೂರ್ಣ ವೇಗವರ್ಧನೆ,निरपेक्ष त्वरण
ಸಂಪೂರ್ಣ ವಾಸ್ತವ,निरपेक्ष यथार्थता
ಸಂಪೂರ್ಣ ವಿಳಾಸ,निरपेक्ष पता
ಜಿಯೋರೆಲೇಟಿವ್ ಅಲ್ಟಿಮೀಟರ್,भूसापेक्ष तुंगतामापी
ಭೂವೈಜ್ಞಾನಿಕ ಎತ್ತರ,भूसापेक्ष तुंगता
ಸಂಪೂರ್ಣ ಆಂಪಿಯರ್,निरपेक्ष ऐम्पियर
ಸಂಪೂರ್ಣ ಕುದಿಯುವ ಬಿಂದು,परम क्वथनांक
ಸಂಪೂರ್ಣ ಪ್ರಕಾಶಮಾನತೆ,निरपेक्ष तेजमापीय दीप्ति
ಸಂಪೂರ್ಣ ಸಾಮರ್ಥ್ಯ,निरपेक्ष धारिता
ಸಂಪೂರ್ಣ ಎತ್ತರ,निरपेक्ष ऊँचाई
ಸಂಪೂರ್ಣ ವರ್ಣದ್ರವ್ಯ,निरपेक्ष वर्णाक
"ಸಂಪೂರ್ಣ ಸಂರಚನೆ, ನಿಸ್ಸಂದಿಗ್ಧವಾದ ಸಂರಚನೆ","निरपेक्ष विन्यास, असंदिग्ध विन्यास"
ಸಂಪೂರ್ಣ ಕೂಲಂಬ್,निरपेक्ष कूलॉम
ಸಂಪೂರ್ಣ ಕತ್ತಲೆ,पूर्ण अंधकार
ಸಂಪೂರ್ಣ ವೇಳಾಪಟ್ಟಿ,निरपेक्ष कालनिर्धारण
ಸಂಪೂರ್ಣ ಸಾಂದ್ರತೆ*,निरपेक्ष घनत्व*
ಸಂಪೂರ್ಣ ಒಳಚರಂಡಿ,निरपेक्ष अपवहन
ಸಂಪೂರ್ಣ EMU (ವಿದ್ಯುತ್ಕಾಂತೀಯ ಘಟಕ),निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक)
ಸಂಪೂರ್ಣ ESU (ಸ್ಥಾಯಿ ವಿದ್ಯುತ್ ಘಟಕ),निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक)
ಸಂಪೂರ್ಣ ದಕ್ಷತೆ,निरपेक्ष दक्षता
ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋಮೀಟರ್,निरपेक्ष विद्युतमापी
