Marathi,Hindi
Uptement,"उपशमन, कमी"
संक्षेप,संक्षिप्‍ति
अपहरण,अपहरण
अबाधित,प्रास्थगन
क्षमता,योग्यता
अब इनिशिओ,"आदित:, आरंभ से"
सक्षम,योग्य
असामान्य,अपसामान्य
निर्मूलन,"उन्मूलन, समाप्‍ति"
रद्दबातल पोस्ट,पद समाप्‍ति
वर दिल्याप्रमाणे,"ऊपर उल्लिखित, उपर्युक्‍त"
वर उद्धृत,ऊपर उद्‍धृत
वरील म्हणाले,उपर्युक्‍त
अनुपस्थिती,"अनुपस्थिति, गैरहाजि़री, अभाव"
अनुपस्थित,"अनुपस्थित, ग़ैरहाजि़र"
अनुपस्थिति,"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता"
अनुपस्थित विधान,अनुपस्थिति-विवरण
परिपूर्ण,"पूर्ण, निरपेक्ष"
परिपूर्ण मक्तेदारी,पूर्ण एकाधिकार
परिपूर्ण मालकी,पूर्ण स्वामित्व
शोषण,"आमेलन, अवशोषण"
गोषवारा,सार
अमूर्त स्टेटमेंट,सार-विवरण
बेशुद्ध,"अर्थहीन, बेतुका"
विपुलता,प्रचुरता
शक्तीचा गैरवापर,शक्‍ति का दुरुपयोग
अपमानास्पद भाषा,गाली-गलौज
शैक्षणिक,"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय"
शैक्षणिक चर्चा,शास्त्रीय चर्चा
शैक्षणिक रजा,अकादमिक छुट्टी
शैक्षणिक पात्रता,शैक्षिणिक अर्हता
शैक्षणिक नोंद,"शैक्षिक रिकार्ड, शैक्षिक अभिलेख"
प्रवेश,"मान लेना, अधिमिलन होना"
स्वीकारा,"स्वीकार करना, मानना"
स्वीकृती,"स्वीकृति, प्रतिग्रहण"
कार्यालय स्वीकारणे,पद-स्वीकृति
निविदा स्वीकारणे,निविदा की स्वीकृति
प्रवेश,पहुंच
प्रवेश,"राज्यारोहण, पदारोहण, परिग्रहण"
Ory क्सेसरी,"अनुषंगी, उपसाधन"
अपघात,"दुर्घटना, संयोग"
सहनशीलता,पर्यनुकूलन
निवास,"आवास, निर्वाह, समंजन"
सोबत,संगकार
करार,"समझौता, प्रदान करना, देना"
अनुयायी,"अनुरूपता, संगति"
त्यानुसार,तदनुसार
खाते,"लेखा, खाता, हिसाब"
उत्तरदायित्व,जवाबदेही
जबाबदार,"जवाबदेह, देनदार"
अकाउंटन्सी,"लेखा विधि, लेखा कार्य"
अकाउंटंट,लेखाकार
साठी खाते,"कारण बताना, लेखा-जोखा देना"
खाते डोके,लेखा-शीर्ष
जमा लाभ,प्रोद्‌भूत हितलाभ
जमा पेन्शन,प्रोद्‌भूत पेन्शन
संचय,"संचय, संचयन"
अचूकता,"यथार्थता, परिशुद्‌धता"
अचूक,"यथार्थ, सही, परिशुद्‌ध"
आरोप,अभियोग लगाना
आरोपी,अभियुक्‍त
यश,उपलब्‍धि
पोचपावती,"पावती, प्राप्‍ति सूचना, अभिस्वीकृति"
पावती देय,"पावती पत्र, रसीदी"
ओळखी,"(व्यक्‍ति) परिचित, परिचय"
संपादन,"अधिग्रहण, अर्जन"
शोध,"भुगतान, भरपाई, निस्तारण"
कायदा,"कार्य, कृत्य, अधिनियम"
अभिनय भत्ता,कार्यकारी भत्‍ता
क्रिया,"कार्रवाई, क्रिया, कार्य, संघर्ष"
कृती योजना,कार्य योजना
सक्रिय,सक्रिय
सक्रियपणे,"सक्रियता से, सक्रियतापूर्वक"
कार्यकर्ता,"कर्मठ कार्यकता, सक्रियतावादी"
देवाची करणी,दैव कृत्य
गैरवर्तन कायदा,कदाचार
कमिशनचे कार्य आणि वगळणे,भूल-चूक
वास्तविक,वास्तविक
वास्तविक,वास्तविक आंकडे
रुपांतर,"अनुकूलन, रूपांतर"
या व्यतिरिक्त,"योग, जोड़, परिवर्धन"
अतिरिक्त शुल्क,अतिरिक्‍त प्रभार
अतिरिक्त निधी,अतिरिक्‍त निधि
अतिरिक्त अनुदान,अतिरिक्‍त अनुदान
अतिरिक्त माहिती,"अतिरिक्‍त सूचना, अतिरिक्‍त जानकारी"
अतिरिक्त वेतन,अतिरिक्‍त वेतन
जोड आणि बदल,परिवर्तन-परिवर्धन
पत्ता,"पता, अभिभाषण, संबोधन, संबोधित करना, मानपत्र, विचार करना"
पत्ता,"पाने वाला, प्रेषिती"
स्वागताचा पत्ता,अभिनंदन पत्र
पुरेसे,पर्याप्‍त
चे पालन करा,"पर दृढ़ रहना, पर जमे रहना"
अ‍ॅड हॉक,तदर्थ
तदर्थ दावा,तदर्थ दावा
तदर्थ समिती,तदर्थ समिति
तदर्थ वाढ,तदर्थ वृद्‌धि
तदर्थ देयक,तदर्थ भुगतान
समीप,‍पार्श्‍वस्थ
शेजारी (= संमिश्र),"लगा होना, सटा होना"
तहकूब,स्थगन
तहकूब गती,"स्थगन प्रस्ताव, काम रोको प्रस्ताव"
सहभाग,न्यायनिर्णीत करना
न्यायाधीश,न्यायनिर्णय करना
निर्णय,न्यायनिर्णयन
न्यायाधीश,न्यायनिर्णायक
समायोजन,समायोजन
प्रशासकीय,"प्रशासन करना, देना, दिलाना, व्यवस्था करना"
शपथ प्रशासित करा,शपथ दिलाना
प्रशासन,प्रशासन
न्याय प्रशासन,न्याय-प्रशासन
प्रशासकीय,प्रशासनिक
प्रशासकीय कारवाई,प्रशासनिक कार्रवाई
