Hindi,Kannada
एसीडायड,ಆಸಿಡಾಯ್ಡ್
जलोढ़ मृदा,ಅಯೋಲಿಯನ್ ಮಣ್ಣು
समुच्चय,ಒಟ್ಟು
समुच्चयन,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
सस्य मृदा विज्ञान,ಕೃಷಿಶಾಸ್ತ್ರ
सस्य विज्ञान,ಕೃಷಿಶಾಸ್ತ್ರ
"A-संस्तर, A-होराइजन",ಎ-ಹಾರಿಜಾನ್
Ao-संस्तर/Ao-होराइजन,Ao-ಹಾರಿಜಾನ್
Aoo-संस्तर/होराइजन,Aoo-ಹಾರಿಜಾನ್
मृदा की वायु धारिता,ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ
मृदा का वायु अंग,ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ
वायु पिक्नोमीटर,ಏರ್ ಪಿಕ್ನೋಮೀಟರ್
एलीटिक मृदा,ಆಲಿಟಿಕ್ ಮಣ್ಣು
जलोढ़ मृदा,ಮೆಕ್ಕಲು ಮಣ್ಣು
एम्फोलीटायड,ಆಂಫೋಲಿಟಾಯ್ಡ್
ऋणायन,ಅಯಾನ್
आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व,"ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;"
कोर,ಅರ್ರಿಸ್
बारीक वराश्म चिनाई,ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು
वराश्म चिनाई,ಆಶ್ಲರ್ ಕಲ್ಲು
अस्तरीय मृदा/अक्षेत्रीय मृदा,ಅಜೋನಲ್ ಮಣ್ಣು
कर्ष खनित्र,ಹಿಂದೆ ನಟ
पश्च डाट,ಹಿಂದಿನ ಕಮಾನು
पश्च पट्ट,ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್
उपटा प्रलेप,ಬ್ಯಾಕ್ ಬ್ರಷ್
पश्च रोधक,ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ
पश्च पटल,ಹಿಂದಿನ ಕೌಂಟರ್
पश्च कर्तन,ಬೆನ್ನು ಕತ್ತರಿಸುವುದು
उपटा झोंका अवमंदक,ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್
पश्च नली,ಬ್ಯಾಕ್ ಡ್ರೈನ್
पश्च पट,ಬ್ಯಾಕ್ ಡ್ರಾಪ್
पृष्ठ भरण,ಹಿಂದೆ ಭರ್ತಿ
पश्च पट्टिका,ಬ್ಯಾಕ್ ಫಿಲೆಟ್
पृष्ठ पल्ला कब्जा,ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್
प्रतीप प्रवाह संयोजन,ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ
प्रतीप प्रवाह निरोधक,ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ
पश्चांतर,ಬ್ಯಾಕ್ ಗೇಜ್
पश्च नली,ಹಿಂಭಾಗದ ಗಟಾರ
अग्निस्थान पृष्ठ,ಹಿಂಬದಿ ಒಲೆ
पीठ/पृष्ठ भाग,ಹಿಮ್ಮೇಳ
पिछला तख्ता,ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್
पश्च दाब,ಬೆನ್ನಿನ ಒತ್ತಡ
