Tamil,Telugu
குறைப்பு,తగ్గింపు
சுருக்கம்,సంక్షిప్తీకరణ
கடத்தல்,అపహరణ
நிறுத்துதல்,Abeyance
திறன்,సామర్థ్యం
Ab initio,అబ్ ఇనిషియో
முடியும்,సామర్థ్యం
அசாதாரணமானது,అసాధారణ
ஒழிப்பு,రద్దు
இடுகை ஒழிப்பு,నిర్మూలన పోస్ట్
மேலே குறிப்பிட்டுள்ள,పైన పేర్కొన్నారు
மேலே மேற்கோள் காட்டப்பட்டுள்ளது,పైన కోట్ చేయబడింది
மேலே கூறினார்,పైన చెప్పారు
இல்லாதது,లేకపోవడం
வராதவர்,హాజరుకాని
இல்லாதது,హాజరుకానితనం
இல்லாத அறிக்கை,హాజరుకాని ప్రకటన
அறுதி,సంపూర్ణ
முழுமையான ஏகபோகம்,సంపూర్ణ గుత్తాధిపత్యం
முழுமையான உரிமை,సంపూర్ణ యాజమాన్యం
உறிஞ்சுதல்,శోషణ
சுருக்கம்,నైరూప్య
சுருக்கம்,అబ్స్ట్రాక్ట్ స్టేట్మెంట్
அபத்தமான,అసంబద్ధం
ஏராளமாக,సమృద్ధి
அதிகார துஷ்பிரயோகம்,అధికార దుర్వినియోగం
தவறான மொழி,దుర్వినియోగ భాష
கல்வி,విద్యావేత్త
கல்வி விவாதம்,విద్యా చర్చ
கல்வி விடுப்பு,విద్యా సెలవు
கல்வி தகுதி,విద్యా అర్హత
கல்வி சாதனையை,విద్యా రికార్డు
ஏற்றுக்கொள்ளுங்கள்,ACCEDE
ஏற்றுக்கொள்,అంగీకరించండి
ஏற்றுக்கொள்ளல்,అంగీకారం
பதவியை ஏற்றுக்கொள்வது,కార్యాలయం అంగీకారం
டெண்டரை ஏற்றுக்கொள்வது,టెండర్ అంగీకారం
அணுகல்,యాక్సెస్
அணுகல்,ప్రవేశం
துணை,అనుబంధ
விபத்து,ప్రమాదం
பழக்கவழக்கமயமாக்கல்,అలవాటు
தங்குமிடம்,వసతి
துணையுடன்,తోడు
உடன்பாடு,ఒప్పందం
ஒப்புதல்,అనుగుణంగా
அதன்படி,దీని ప్రకారం
கணக்கு,ఖాతా
பொறுப்புக்கூறல்,జవాబుదారీతనం
பொறுப்பு,జవాబుదారీతనం
கணக்கியல்,అకౌంటెన్సీ
கணக்காளர்,అకౌంటెంట్
கணக்கு,ఖాతా
கணக்கு தலை,ఖాతా హెడ్
திரட்டப்பட்ட நன்மை,సేకరించిన ప్రయోజనం
திரட்டப்பட்ட ஓய்வூதியம்,పెన్షన్ పెన్షన్
குவிப்பு,చేరడం
துல்லியம்,ఖచ్చితత్వం
துல்லியமானது,ఖచ్చితమైనది
குற்றம்,నిందించండి
குற்றம் சாட்டப்பட்டவர்,ఆరోపణలు
சாதனை,సాధన
ஒப்புதல்,గుర్తింపు
ஒப்புதல் காரணமாக,రసీదు గడువు
அறிமுகம்,పరిచయము
கையகப்படுத்தல்,సముపార్జన
விடுவித்தல்,సముపార్జన
நாடகம்,చట్టం
நடிப்பு கொடுப்பனவு,నటన భత్యం
செயல்,చర్య
செயல் திட்டம்,కార్య ప్రణాళిక
செயலில்,క్రియాశీల
சுறுசுறுப்பாக,చురుకుగా
ஆர்வலர்,కార్యకర్త
கடவுளின் செயல்,దైవఘటన
தவறான நடத்தை செயல்,దుష్ప్రవర్తన చర్య
கமிஷன் மற்றும் விடுபடுதல் சட்டம்,కమీషన్ మరియు కమీషన్
உண்மையான,అసలు
உண்மையான,వాస్తవాలు
தழுவல்,అనుసరణ
கூடுதலாக,అదనంగా
கூடுதல் கட்டணம்,అదనపు ఛార్జ్
கூடுதல் நிதி,అదనపు ఫండ్
கூடுதல் மானியம்,అదనపు గ్రాంట్
கூடுதல் தகவல்,అదనపు సమాచారం
கூடுதல் ஊதியம்,అదనపు వేతనం
கூட்டல் மற்றும் மாற்றம்,అదనంగా మరియు మార్పు
முகவரி,చిరునామా
முகவரி,చిరునామా
வரவேற்பின் முகவரி,స్వాగత చిరునామా
போதுமானது,తగినంత
பின்பற்றவும்,కట్టుబడి
தற்காலிக,తాత్కాలిక హాక్
தற்காலிக உரிமைகோரல்,తాత్కాలిక దావా
தற்காலிக குழு,తాత్కాలిక కమిటీ
தற்காலிக அதிகரிப்பு,తాత్కాలిక పెరుగుదల
தற்காலிக கட்டணம்,తాత్కాలిక చెల్లింపు
அருகில்,ప్రక్కనే
அருகிலுள்ள (= தொடர்ச்சியான),ప్రక్కనే (= పరస్పర)
ஒத்திவைப்பு,వాయిదా
ஒத்திவைப்பு இயக்கம்,వాయిదా చలన
தீர்ப்பளிக்கவும்,అనుబంధం
தீர்ப்பளிக்கவும்,తీర్పు
தீர்ப்பு,తీర్పు
தீர்ப்பாளர்,న్యాయాధికారి
சரிசெய்தல்,సర్దుబాటు
நிர்வாகி,నిర్వహించండి
