Marathi,Bengali
अ‍ॅबॅक्सियल पृष्ठभाग,অ্যাব্যাক্সিয়াল পৃষ্ঠ
ओटीपोट,পেট
ओटीपोटात महाधमनी,পেটের মহাধমনী
ओटीपोटात गॅंग्लिया,পেটের গ্যাংলিয়া
एबेलमोशस एस्क्युल्टस,আবেলমোসচাস এসকুলেন্টাস
विकृती,অবসন্নতা
अबीज,Abies
अबिंगडॉन कासव,অ্যাবিংডন কচ্ছপ
अ‍ॅबिओजेनेसिस,অ্যাবোজেনেসিস
अ‍ॅबिओटिक,অ্যাবায়োটিক
अ‍ॅबिओटिक फॅक्टर,জীবক্রিয়া ফ্যাক্টর
असामान्य मूत्र,অস্বাভাবিক প্রস্রাব
अबो ब्लड ग्रुप,আবো ব্লাড গ্রুপ
अ‍ॅबसिसिक acid सिड,অ্যাবসিসিক অ্যাসিড
फलंदाजी,অ্যাবসিশন
शोषून घ्या,শোষণ
शोषण शिखर,শোষণ শিখর
शोषण,শোষণ
बाभूळ कॅटेचू,বাবলা ক্যাটেকু
अकारिया अरबीका,অ্যাকারিয়া আরবিকা
अकाप्रिन,অ্যাকাপ্রিন
स्वीकार्य लैंगिक वर्तन,গ্রহণযোগ্য যৌন আচরণ
Ory क्सेसरी ग्रंथी,আনুষঙ্গিক গ্রন্থি
Ory क्सेसरी ग्रंथी,আনুষঙ্গিক গ্রন্থি
Ory क्सेसरीसाठी अवयव,আনুষঙ্গিক অঙ্গ
सहनशीलता,প্রশংসাপত্র
अनुकूलित करा,প্রশংসিত
निवास (लक्ष केंद्रित करणे),আবাসন (ফোকাসিং)
डोळ्याची निवासस्थान,চোখের থাকার ব্যবস্থা
संवर्धन वाढ,স্বীকৃত বৃদ্ধি
संचय,জমা
सेंद्रिय पदार्थाचे संचय,জৈব পদার্থ জমে
मातीचे संचय,মাটি জমে
सेल्युलर,অ্যাসেলুলার
एसेल्युलर जीव,অ্যাসেলুলার জীব
एसीटाबुलम,অ্যাসিটাবুলাম
एसीटाल्डिहाइड,অ্যাসিটালডিহাইড
एसिटिल कोएन्झाइम,এসিটাইল কোএনজাইম
अकॅटिना,আছাটিনা
अचेने प्रकार,অ্যাকিন টাইপ
अचेने,আচিন
अक्लमिडोस्पोरिया,Achlamydosporye
आम्ल वर्षा,এসিড বৃষ্টি
अम्लीय,অ্যাসিডিক
अम्लीय वायू,অ্যাসিডিক গ্যাস
आंबटपणा,অম্লতা
एसीनार सेल,অ্যাকিনার সেল
एकोलोमेट,অ্যাকোলোমেট
On कोनिटम,অ্যাকোনিটাম
अ‍ॅकॉर्न वर्म,অ্যাকর্ন কৃমি
ध्वनिक झोनिंग,অ্যাকোস্টিক জোনিং
अधिग्रहित वर्ण,অর্জিত চরিত্র
वसूल केलेली प्रतिकारशक्ती,অনাক্রম্যতা অর্জিত
अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स),অর্জিত ইমিউনো ঘাটতি সিন্ড্রোম (এইডস)
एकरानिया,অ্যাক্রানিয়া
Rid सिडिन डाई,অ্যাক্রিডিন ডাই
अ‍ॅक्रोसेन्ट्रिक,অ্যাক্রোসেন্ট্রিক
अ‍ॅक्रोमियन,অ্যাক্রোমিয়ন
अ‍ॅक्रोपेटल सीक्वेन्स,অ্যাক্রোপেটাল সিকোয়েন্স
अ‍ॅक्रोपेटल ऑर्डर,অ্যাক্রোপেটাল অর্ডার
अ‍ॅक्रोसिन,অ্যাক্রোসিন
अ‍ॅक्टिन,অ্যাক্টিন
अ‍ॅक्टिन-सारखी प्रथिने,অ্যাক্টিনের মতো প্রোটিন
अ‍ॅक्टिनोमॉर्फिक,অ্যাক্টিনোমর্ফিক
अ‍ॅक्टिनोमाइसेट्स,অ্যাক্টিনোমাইসেটস
कृती संभाव्यता,কর্ম সম্ভাব্য
सक्रिय गाळ,সক্রিয় কর্দম
सक्रिय गाळ फ्लॉक,সক্রিয় স্ল্যাজ ফ্লক
सक्रियता ऊर्जा,অ্যাক্টিভেশন শক্তি
सक्रिय शोषण,সক্রিয় শোষণ
सक्रिय प्रतिकारशक्ती,সক্রিয় অনাক্রম্যতা
सक्रिय रेडिएशन,সক্রিয় বিকিরণ
सक्रिय साइट,সক্রিয় সাইট
अ‍ॅक्टिव्हिन,অ্যাক্টিভিন
Umicate,একুমিনেট
अ‍ॅडम्सिया,অ্যাডামসিয়া
अनुकूलता,অভিযোজনযোগ্যতা
रुपांतर,অভিযোজন
हलकी व्यवस्थेशी जुळवून घेणे,হালকা শাসনের সাথে অভিযোজন
पाण्याची कमतरता रुपांतर,জলের ঘাটতির সাথে অভিযোজন
अनुकूली वैशिष्ट्ये,অভিযোজিত বৈশিষ্ট্য
अनुकूली प्रतिकारशक्ती,অভিযোজিত অনাক্রম্যতা
अनुकूली रेडिएशन,অভিযোজিত বিকিরণ
अनुकूली गुण,অভিযোজিত বৈশিষ্ট্য
अ‍ॅडॅक्सियल पृष्ठभाग,অ্যাড্যাক্সিয়াল পৃষ্ঠ
व्यसनाधीन डिसऑर्डर,আসক্তিজনিত ব্যাধি
En डेनिन,অ্যাডেনিন
En डेनोकोर्टिकोट्रोपिन,অ্যাডেনোকোর্টিকোট্রপিন
En डेनोहायपोफिसिस,অ্যাডেনোহাইপোফাইসিস
En डेनोसिन डायफॉस्फेट,অ্যাডেনোসিন ডিফোসফেট
En डेनोसिन डिमिनेस,অ্যাডেনোসিন ডায়ামিনেজ
En डेनोसाइन मोनोफॉस्फेट,অ্যাডেনোসিন মনোফসফেট
En डेनोसाइन ट्रायफॉस्फेट (एटीपी),অ্যাডেনোসিন ট্রাইফোসফেট (এটিপি)
En डेनिलेट सायक्लेज,অ্যাডিনলেট সাইক্লাস
चिकट शक्ती,আঠালো শক্তি
अ‍ॅडिपेट,Adipate
अ‍ॅडिपोसाइट (चरबी सेल),অ্যাডিপোকাইট (ফ্যাট সেল)
अ‍ॅडिपोज टिशू,মেদ কলা
Nednate,অ্যাডনেট
लगतचा समुदाय,সংলগ্ন সম্প্রদায়
Ren ड्रेनल,অ্যাড্রিনাল
Ren ड्रेनल ग्रंथी,অ্যাড্রিনাল গ্রন্থি
एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच),অ্যাড্রেনোকোর্টিকোট্রপিক হরমোন (এসিটিএইচ)
Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच),অ্যাড্রেনোকোর্টিকোট্রপিক রিলিজিং হরমোন (ACTRH)
Or सॉर्बेंट,Adsorbent
शोषण,শোষণ
प्रगत Chordate,উন্নত কর্ডেট
फायदेशीर उत्परिवर्तन,সুবিধাজনক মিউটেশন
अ‍ॅडव्हेंटिशियल,অ্যাডভেন্টিয়াল
साहसी मूळ,অ্যাডভেনটিয়াস রুট
प्रतिकूल परिणाम,বিরূপ প্রভাব
एडीज,এডেস
संस्कृतीचे वायुवीजन,সংস্কৃতি বায়ুচালনা
एरेन्चायमा,এরিচাইমা
हवाई,এরিয়াল
एरियल रूट,বায়বীয় মূল
एरियल शूट,এরিয়াল শ্যুট
एरोबिक श्वसन,বায়ুজীবী শ্বসন
एरोबिक श्वसन,বায়ুজীবী শ্বসন
सौंदर्यशास्त्र,নান্দনিকতা
एस्टिवेशन,এ্যাস্টিভেশন
एस्टिवेशन,এ্যাস্টিভেশন
Efferent,Afferent
आत्मीयता क्रोमॅटोग्राफी,অ্যাফিনিটি ক্রোমাটোগ্রাফি
पीडित अवयव,ক্ষতিগ্রস্থ অঙ্গ
वनीकरण,Afforastation
अ‍ॅगामोस्पर्मी,আগামোস্পার্মি
अगर,আগর
आगरोस,আগারোজ
अगरोस जेल इलेट्रोफोरेसीस,আগারোজ জেল এ্যালেট্রোফোরেসিস
अ‍ॅगारोज पॉलिमर जेल,আগারোজ পলিমার জেল
Agast,আগস্ট
अ‍ॅगेव्ह,আগাভা
वय वितरण,বয়স বিতরণ
वय पिरॅमिड,বয়স পিরামিড
एकत्रित,আগ্রাসন
एकूण,সমষ্টি
कूपांचे एकूण,ফলিকেলের সমষ্টি
कूपांचे एकूण,ফলিকেলের সমষ্টি
