Odiya,Gujarati
ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,A B વર્ગ એમ્પ્લીફાયર
ଘୃଣ୍ୟତା |,વિકૃતિ
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,અસામાન્ય ટ્રાન્સમિશન
"ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ ,, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |","જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ"
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,ગુમ થયેલ સ્પેક્ટ્રમ
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |","નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,સંપૂર્ણ ભેજ
ସଂପୂର୍ଣ୍ଣ ଗତି,સંપૂર્ણ ગતિ
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,સંપૂર્ણ અવલોકન
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,સંપૂર્ણ તાપમાન
ସଂପୂର୍ଣ୍ଣ ଶୂନ,સંપૂર્ણ શૂન્ય
ଶୋଷଣ,શોષી લેવું
"ଶୋଷକ, ଶୋଷକ","શોષક, શોષક"
ଅବଶୋଷଣ କ୍ଷମତା |,શોષણ ક્ષમતા
ଅବସାଦ |,શોષણ
ଶୋଷକ,શોષક
ଶୋଷଣ,શોષકતા
ବହୁଗୁଣ ଅନୁପାତ |,ગુણાકાર ગુણોત્તર
ତ୍ୱରାନ୍ୱିତ କର |,વેગ આપો
ଶୀଘ୍ର ଶୀଘ୍ର,ઉતાવળ કરી
ତ୍ୱରଣ,પ્રવેગ
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,ગુરુત્વાકર્ષણ પ્રવેગક
ତ୍ୱରକ,પ્રવેગક
ତ୍ୱରକ,પ્રવેગક
ଆକ୍ସିଲେରୋମିଟର,એક્સેલરોમીટર
ସମ୍ମାନ,prestresser
ଗ୍ରହଣୀୟ ପରୀକ୍ଷା,સ્વીકાર્ય પરીક્ષણ
ଗ୍ରହଣକାରୀ,સ્વીકારનાર
ଦାତା ଅଣୁ,દાતા પરમાણુ
"ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |","પ્રવેશ, રાહ, સુલભતા"
ଅଭିଗମ୍ୟତା,ઉપલ્બધતા
"ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)","ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)"
ପ୍ରବେଶ ସମୟ,ઍક્સેસ સમય
ପରିଦର୍ଶକ ତ୍ରୁଟି |,મુલાકાતી ભૂલ
ଆଡଜଷ୍ଟେସନ୍,ગોઠવણ
ସଂଗୃହିତ,સંચિત
"ଜମା, ଜମା","સંચય, સંચય"
ଜମାକାରୀ,સંચયક
ସଠିକତା,ચોકસાઈ
ବାସ୍ତବତା,વાસ્તવિકતા
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |,વર્ણહીન લેન્સ
ଆକ୍ରୋମାଟିକ୍ |,વર્ણહીન
ଆକ୍ରୋମାଟିଟି,વર્ણહીનતા
ଶବ୍ଦ,એકોસ્ટિક
ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |,સાઉન્ડપ્રૂફ
ଆକାଶବାଣୀ ଫୋନନ୍ |,એકોસ્ટિક ફોનોન
ଧ୍ୱନି ଏକକ |,ધ્વનિ એકમ
ଶବ୍ଦ,એકોસ્ટિક
ଶବ୍ଦ ଜେନେରେଟର,અવાજ જનરેટર
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,ક્રિયા અને પ્રતિક્રિયા
ସକ୍ରିୟ,સક્રિયકરણ
ସକ୍ରିୟ ଶକ୍ତି,સક્રિયકરણ ઊર્જા
"ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |","એક્ટિવેટર, એક્ટિવેટર"
ସକ୍ରିୟ |,સક્રિય
ସକ୍ରିୟତା,સક્રિયતા
ପ୍ରକୃତ ଚାପ,વાસ્તવિક તણાવ
ଫୁସ୍ଫୁସ୍,બબડાટ
ସଂକ୍ଷେପରେ,સારાંશ માટે
"ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)","સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)"
"ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)","સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)"
ଯୋଗୀ,ઉમેરણ
ଆଡିଶିନ୍ |,સંલગ્નતા
ଆଡେସିଭ୍ ଶକ୍ତି |,એડહેસિવ ઊર્જા
adiabat,adiabat
ଆଡିଆବାଟିକ୍ |,એડિબેટિક
ଉତ୍ତାପ ଇନସୁଲେଟିଂ,હીટ ઇન્સ્યુલેટીંગ
ସଂଲଗ୍ନ,જોડાણ
ନିୟନ୍ତ୍ରିତ,એડજસ્ટેબલ
ଅନୁପ୍ରବେଶ,પ્રવેશ
ବିଜ୍ or ାପନ,શોષણ
ଆଗକୁ,આગળ
ପ୍ରଗତିଶୀଳ |,પ્રગતિશીલ
"akashi, air (v।), aerial (ed।)","આકાશી, હવા (વિ.), હવાઈ (સં.)"
ଆଣ୍ଟେନା ଷ୍ଟ୍ରିମ୍ |,એન્ટેના સ્ટ્રીમ
ବାୟୁ ସର୍ବେକ୍ଷଣ |,હવાઈ સર્વેક્ષણ
ବାୟୁ ବେଗ,હવાનો વેગ
ଏରୋଡାଇନାମିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,એરોડાયનેમિક ગુણાંક
ଏରୋଡାଇନାମିକ୍ |,એરોડાયનેમિક
ଏରୋଡାଇନାମିକ୍ସ |,એરોડાયનેમિક્સ
ଏରୋନେଟିକାଲ୍ |,એરોનોટિકલ
ଏରୋନେଟିକ୍ସ |,એરોનોટિક્સ
ବାୟୁ ନାଡ,હવા નાડી
"ବାୟୁମଣ୍ଡଳ, ଗ୍ୟାସୋସଫର |","વાતાવરણ, ગેસોસ્ફિયર"
ଫୋକସ୍ ସିଷ୍ଟମ୍ |,ફોકસ સિસ્ટમ
ପଛ ଇଗ୍ନିସନ୍ |,પાછળની ઇગ્નીશન
ପଛ ଆଲୋକ,પાછળનો પ્રકાશ
ସଂକଟ,ઉશ્કેરાટ
"ବୟସ, ବୟସ, ବୟସ, ଯୁଗ (ଏଡି।), ସମୟ (ver।), ସମୟ, ସମୟ ଦ୍ୱାରା ପ୍ରଭାବିତ ହେବା |","ઉંમર, ઉંમર, ઉંમર, યુગ (ed.), સમયને અસર કરવા માટે (ver.), સમય, સમય દ્વારા પ્રભાવિત થવો"
ସମୟ ପ୍ରଭାବିତ |,અસરગ્રસ્ત સમય
