English,Odiya
A C equivalent circuit,AC ସମାନ ସର୍କିଟ |
A to D converter,ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |
Absolute zero,ସଂପୂର୍ଣ୍ଣ ଶୂନ
Absorption coefficient,ଶୋଷଣ ଗୁଣବତ୍ତା
Absorption spectrum,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |
Acceptor atom,ରିସେପ୍ଟର ପରମାଣୁ |
A C coupling,ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |
Accumulation of electron,ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ
Accumulation of holes,ଗର୍ତ୍ତ ସଂରକ୍ଷଣ
Activation energy,ସକ୍ରିୟ ଶକ୍ତି
Active amplifier,ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |
Active diode circuit,ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |
Active filter,ସକ୍ରିୟ ଫିଲ୍ଟର୍ |
Active high pass filter,ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |
Active load,ସକ୍ରିୟ ଭାର
Active low pass filter,ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |
Active region,ସକ୍ରିୟ କ୍ଷେତ୍ର |
Adaptive electronics,ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |
Adder,ଆଡର୍
Adjustable band width,ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |
Admittance,ଅନୁପ୍ରବେଶ
Aerial,ଆରିଏଲ
Agility frequency,ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
Air conditioner,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
Alignment,ଶ୍ରେଣୀବଦ୍ଧତା |
Algorithm,ଆଲଗୋରିଦମ |
All pass filter,ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |
Alloy junction,ମିଶ୍ରିତ ଜଙ୍କସନ |
Attenuation,ଆଘାତ
Alternating current (AC),ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |
Ambient temperature,ପରିବେଶର ତାପମାତ୍ରା |
Ambipolar,ଦ୍ୱିପାକ୍ଷିକ
Amplification,ବୃଦ୍ଧି
