Hindi,Malayalam
ए बी वर्ग प्रवर्धक,എ ബി ക്ലാസ് ആംപ്ലിഫയർ
"विपथन,अपेरण",അപഭ്രംശം
असामान्य संचरण,അസാധാരണമായ സംക്രമണം
"असंलग्न,सहसा ,खड़आ,विच्छिन्न,खंडित","ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ"
लुप्त स्पेक्ट्रम,സ്പെക്ട്രം കാണുന്നില്ല
"निरपेक्ष,परम,अचर,परिशुद्ध","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
निरपेक्ष आर्द्रता,കേവല ഈർപ്പം
निरपेक्ष गति,കേവല വേഗത
निरपेक्ष प्रेक्षण,സമ്പൂർണ നിരീക്ഷണം
परम ताप,കേവല താപനില
परम शून्य,കേവല പൂജ്യം
अवशोषण करना,ആഗിരണം ചെയ്യുക
"अवशोषक, अवशोषी","ആഗിരണം, ആഗിരണം"
अवशोषण सामर्थ्य,ആഗിരണം ശേഷി
अवशोषणांश,ആഗിരണം
अवशोषी,ആഗിരണം ചെയ്യാവുന്ന
अवशोषकता,ആഗിരണം
बाहुल्य अनुपात,ഗുണിത അനുപാതം
त्वरित करना,ത്വരിതപ്പെടുത്തുക
त्वरित,തിടുക്കപ്പെട്ടു
त्वरण,ത്വരണം
गुरुत्व त्वरण,ഗുരുത്വാകർഷണ ത്വരണം
त्वरक,ആക്സിലറേറ്റർ
"त्वरित्र,त्वरक",ആക്സിലറേറ്റർ
त्वरणमापी,ആക്സിലറോമീറ്റർ
प्राक्प्रबलक,പ്രിസ്ട്രെസർ
स्वीकारी परीक्षण,സ്വീകാര്യമായ പരിശോധന
"ग्राही,स्वीकारी",സ്വീകർത്താവ്
आदाता अणु,ദാതാവിന്റെ തന്മാത്ര
"अभिगम,प्रतीक्षा,अभिगम्यता","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത"
अभिगम्यता,പ്രവേശനക്ഷമത
"अतिरिक्त,सहायक,गौण (वि.) ,उपसाधन (सं.)","സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)"
अभिगम काल,പ്രവേശന സമയം
आगन्तुक त्रुटि,സന്ദർശക പിശക്
समंजन,ക്രമീകരിക്കൽ
संचित,കുമിഞ്ഞുകൂടി
"संचय,संचयन","ശേഖരണം, ശേഖരണം"
संचायक,ശേഖരണം
यथार्थता,കൃത്യത
यथार्थ,റിയാലിറ്റി
अवर्णक लेन्स,അക്രോമാറ്റിക് ലെൻസ്
अवर्णक,അക്രോമാറ്റിക്
अवर्णकता,അക്രോമാറ്റിറ്റി
ध्वानिक,അക്കോസ്റ്റിക്
ध्वनिरुद्ध,ശബ്ദപ്രതിരോധം
ध्वानिक फ़ओनॉन,അക്കോസ്റ്റിക് ഫോണോൺ
ध्वनि-मात्रक,ശബ്ദ യൂണിറ്റ്
ध्वानिक,അക്കോസ്റ്റിക്
ध्वनि जनित्र,ശബ്ദ ജനറേറ്റർ
क्रिया और प्रतिक्रिया,പ്രവർത്തനവും പ്രതികരണവും
सक्रियण,സജീവമാക്കൽ
सक्रियण उर्जा,സജീവമാക്കൽ ഊർജ്ജം
"सक्रियकारक,सक्रियक","ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ"
सक्रिय,സജീവമാണ്
सक्रियता,ആക്ടിവിസം
वास्तविक प्रतिबल,യഥാർത്ഥ സമ്മർദ്ദം
क्षिप्र उद्भासन,മന്ത്രിക്കുന്നു
"योग करना,जोड़ना",സംഗ്രഹിക്കാനായി
"योग,जोड़,संकलन (सं.),योगात्मक (वि.)","തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)"
"संयोजी स्वर,अतिरिक्त टोन (स्वर)","സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)"
"योज्य,योगात्मक",സങ്കലനം
आसंजन,അഡീഷൻ
आसंजी ऊर्जा,പശ ഊർജ്ജം
ऐडियाबैट,അടിയാബാറ്റ്
रुद्धोष्म,adiabatic
उष्मा-अपार्य,ചൂട് ഇൻസുലേറ്റിംഗ്
संलग्न,ബന്ധം
समायोज्य,ക്രമീകരിക്കാവുന്ന
प्रवेश्यता,നുഴഞ്ഞുകയറ്റം
अधिशोषण,ആഗിരണം
अग्रगत,മുന്നോട്ട്
प्रगामी,പുരോഗമനപരമായ
"आकाशी,वायव (वि.),एरियल (सं.)","ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)"
ऐन्टेना धारा,ആന്റിന സ്ട്രീം
आकाशी सर्वेक्षण,ഏരിയൽ സർവേ
वायव वेग,വായു വേഗത
वायुगतिक गुणांक,എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്
वायुगतिक,എയറോഡൈനാമിക്
वायुगतिकी,എയറോഡൈനാമിക്സ്
वैमानिक,എയറോനോട്ടിക്കൽ
