English,Kannada
Acidoid,ಆಸಿಡಾಯ್ಡ್
Aeolian soil,ಅಯೋಲಿಯನ್ ಮಣ್ಣು
Aggregate,ಒಟ್ಟು
Aggregation,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
Agrology,ಕೃಷಿಶಾಸ್ತ್ರ
Agronomy,ಕೃಷಿಶಾಸ್ತ್ರ
A-horizon,ಎ-ಹಾರಿಜಾನ್
Ao-horizon ,Ao-ಹಾರಿಜಾನ್
Aoo-horizon,Aoo-ಹಾರಿಜಾನ್
Air capacity of soil,ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ
Air content of soil,ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ
Air picnometer,ಏರ್ ಪಿಕ್ನೋಮೀಟರ್
Allitic soil,ಆಲಿಟಿಕ್ ಮಣ್ಣು
Alluvial soil,ಮೆಕ್ಕಲು ಮಣ್ಣು
Ampholytoid,ಆಂಫೋಲಿಟಾಯ್ಡ್
Anion,ಅಯಾನ್
"Apparent specific gravity volume weight or bulk specific gravity,""","ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;"
Arris,ಅರ್ರಿಸ್
Ashlar fine masonry,ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು
Ashlar masonry,ಆಶ್ಲರ್ ಕಲ್ಲು
Azonal soil,ಅಜೋನಲ್ ಮಣ್ಣು
Back acter ,ಹಿಂದೆ ನಟ
Back arch,ಹಿಂದಿನ ಕಮಾನು
Back band,ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್
Back brush,ಬ್ಯಾಕ್ ಬ್ರಷ್
Back check,ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ
Back counter,ಹಿಂದಿನ ಕೌಂಟರ್
Back cutting,ಬೆನ್ನು ಕತ್ತರಿಸುವುದು
Back draft damper,ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್
Back drain,ಬ್ಯಾಕ್ ಡ್ರೈನ್
Back drop,ಬ್ಯಾಕ್ ಡ್ರಾಪ್
Back fill,ಹಿಂದೆ ಭರ್ತಿ
Back fillet,ಬ್ಯಾಕ್ ಫಿಲೆಟ್
Back flap hinge,ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್
Back flow connection,ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ
Back flow preventer,ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ
Back gauge ,ಬ್ಯಾಕ್ ಗೇಜ್
Back gutter ,ಹಿಂಭಾಗದ ಗಟಾರ
Back hearth,ಹಿಂಬದಿ ಒಲೆ
Backing,ಹಿಮ್ಮೇಳ
Backing board,ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್
Back pressure,ಬೆನ್ನಿನ ಒತ್ತಡ
Back prop,ಬ್ಯಾಕ್ ಪ್ರಾಪ್
Back sight ,ಹಿಂದಿನ ದೃಷ್ಟಿ
Back water,ಹಿಂಬದಿ ನೀರು
Baffle,ಅಡ್ಡಿಪಡಿಸು
Bagwork ,ಬ್ಯಾಗ್ವರ್ಕ್
Ballast,ನಿಲುಭಾರ
Ball clay,ಬಾಲ್ ಕ್ಲೇ
Ball cone clamp,ಬಾಲ್ ಕೋನ್ ಕ್ಲಾಂಪ್
Barbed wire,ಮುಳ್ಳುತಂತಿ
Bar dog,ಬಾರ್ ನಾಯಿ
Barge board,ಬಾರ್ಜ್ ಬೋರ್ಡ್
Barium sulphate test,ಬೇರಿಯಮ್ ಸಲ್ಫೇಟ್ ಪರೀಕ್ಷೆ
Barrage,ಬ್ಯಾರೇಜ್
Barrett,ಬ್ಯಾರೆಟ್
Base,ಬೇಸ್
Base exchange,ಮೂಲ ವಿನಿಮಯ
Base line ,ಬೇಸ್ ಲೈನ್
Basement,ನೆಲಮಾಳಿಗೆ
Basement wall,ನೆಲಮಾಳಿಗೆಯ ಗೋಡೆ
Base plate,ಬೇಸ್ ಪ್ಲೇಟ್
"Base plate, adjustable","ಬೇಸ್ ಪ್ಲೇಟ್, ಹೊಂದಾಣಿಕೆ"
Base saturation,ಮೂಲ ಶುದ್ಧತ್ವ
Basoid,ಬಸಾಯಿಡ್
Bat,ಬ್ಯಾಟ್
Bath and W.C.,ಬಾತ್ ಮತ್ತು WC
Batter peg,ಬ್ಯಾಟರ್ ಪೆಗ್
Batter pier,ಬ್ಯಾಟರ್ ಪಿಯರ್
Batter rule,ಬ್ಯಾಟರ್ ನಿಯಮ
Baulk (balk),ಬಾಲ್ಕ್ (ಬಾಲ್ಕ್)
Bay,ಕೊಲ್ಲಿ
Bearer,ಬೇರರ್
Bearing capacity,ತಾಳಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
Bearing pile,ಬೇರಿಂಗ್ ಪೈಲ್
Bearing stratum,ಬೇರಿಂಗ್ ಸ್ಟ್ರಾಟಮ್
Bed,ಹಾಸಿಗೆ
Bedding plane,ಹಾಸಿಗೆ ವಿಮಾನ
Bed joint,ಬೆಡ್ ಜಂಟಿ
Bed rock,ಬೆಡ್ ರಾಕ್
Bed room,ಮಲಗುವ ಕೋಣೆ
Beeswax,ಜೇನುಮೇಣ
Bell box,ಬೆಲ್ ಬಾಕ್ಸ್
Belling bucket,ಬೆಲ್ಲಿಂಗ್ ಬಕೆಟ್
Bellofram,ಬೆಲ್ಲೋಫ್ರಾಮ್
Benched foundation,ಬೆಂಚ್ಡ್ ಅಡಿಪಾಯ
Benching,ಬೆಂಚಿಂಗ್
Bench mark,ಮಾನದಂಡ
Benefit cost analysis,ಲಾಭದ ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ
Berm,ಬೆರ್ಮ್
Bevelled closure,ಬೆವೆಲ್ಡ್ ಮುಚ್ಚುವಿಕೆ
"B-horizon,""B-","ಬಿ-ಹಾರಿಜಾನ್,&quot;ಬಿ-"
Biat,ಬಿಯಾಟ್
Binder,ಬೈಂಡರ್
Binding material,ಬೈಂಡಿಂಗ್ ವಸ್ತು
Biot's theory,ಬಯೋಟ್ ಸಿದ್ಧಾಂತ
Bitumen,ಬಿಟುಮೆನ್
Black cotton soil,ಕಪ್ಪು ಹತ್ತಿ ಮಣ್ಣು
Black earth ,ಕಪ್ಪು ಭೂಮಿ
Black turf soil,ಕಪ್ಪು ಟರ್ಫ್ ಮಣ್ಣು
Blade,ಬ್ಲೇಡ್
Blast furnace slag cement,ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್ ಸಿಮೆಂಟ್
Blocky structure,ಬ್ಲಾಕ್ ರಚನೆ
Bogie resistance,ಬೋಗಿ ಪ್ರತಿರೋಧ
Bog-iron ore,ಬಾಗ್-ಕಬ್ಬಿಣದ ಅದಿರು
Bond,ಕರಾರುಪತ್ರ
Bonded member,ಬಂಧಿತ ಸದಸ್ಯ
Bonded post tensioning,ಬಂಧಿತ ಪೋಸ್ಟ್ ಟೆನ್ಷನಿಂಗ್
Bond stone,ಬಾಂಡ್ ಕಲ್ಲು
Bound water,ಬೌಂಡ್ ನೀರು
Box gutter,ಬಾಕ್ಸ್ ಗಟರ್
Brace,ಬ್ರೇಸ್
Brick-on-edge,ಬ್ರಿಕ್ ಆನ್ ಎಡ್ಜ್
Bridle,ಬ್ರಿಡ್ಲ್
Brightness,ಹೊಳಪು
Brown soil,ಕಂದು ಮಣ್ಣು
Building,ಕಟ್ಟಡ
Building surveyor,ಕಟ್ಟಡ ಸರ್ವೇಯರ್
Buffer,ಬಫರ್
Buffer curve,ಬಫರ್ ಕರ್ವ್
Buffering,ಬಫರಿಂಗ್
Buffering capacity,ಬಫರಿಂಗ್ ಸಾಮರ್ಥ್ಯ
Bunder,ಬಂದರ್
Buttress,ಬಟ್ರೆಸ್
C-horizon,ಸಿ-ಹಾರಿಜಾನ್
Cable,ಕೇಬಲ್
Cable moulding,ಕೇಬಲ್ ಮೋಲ್ಡಿಂಗ್
Cabling,ಕೇಬಲ್ ಹಾಕುವುದು
Cabin,ಕ್ಯಾಬಿನ್
Cabin hook,ಕ್ಯಾಬಿನ್ ಹುಕ್
Cabinet,ಕ್ಯಾಬಿನೆಟ್
Cabolt's quit,ಕಾಬೋಲ್ಟ್ ತೊರೆದರು
Cafeteria,ಕೆಫೆಟೇರಿಯಾ
Cage,ಪಂಜರ
Cage construction,ಪಂಜರ ನಿರ್ಮಾಣ
Cain's formula,ಕೇನ್ ಅವರ ಸೂತ್ರ
Caisson,ಕೈಸನ್
Caisson disease,ಕೈಸನ್ ಕಾಯಿಲೆ
Caisson foundation,ಕೈಸನ್ ಅಡಿಪಾಯ
Caisson pile,ಕೈಸನ್ ರಾಶಿ
Calcareous brick,ಸುಣ್ಣದ ಇಟ್ಟಿಗೆ
Calcareous clay,ಸುಣ್ಣದ ಜೇಡಿಮಣ್ಣು
Calcareous crust,ಕ್ಯಾಲ್ಕೇರಿಯಸ್ ಕ್ರಸ್ಟ್
Calcification,ಕ್ಯಾಲ್ಸಿಫಿಕೇಶನ್
Calcination,ಕ್ಯಾಲ್ಸಿನೇಷನ್
Calcine ,ಕ್ಯಾಲ್ಸಿನ್
Calcite,ಕ್ಯಾಲ್ಸೈಟ್
Calcium-aluminate cement,ಕ್ಯಾಲ್ಸಿಯಂ-ಅಲ್ಯೂಮಿನೇಟ್ ಸಿಮೆಂಟ್
Calcium-silicate brick,ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಇಟ್ಟಿಗೆ
Calcium-silicate hydrate,ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಹೈಡ್ರೇಟ್
Caliche,ಕ್ಯಾಲಿಚೆ
California bearing ratio,ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ ಬೇರಿಂಗ್ ಅನುಪಾತ
Caliper,ಕ್ಯಾಲಿಪರ್
Calorimeter,ಕ್ಯಾಲೋರಿಮೀಟರ್
Camber,ಕ್ಯಾಂಬರ್
Canal,ಕಾಲುವೆ
Canopy,ಮೇಲಾವರಣ
Cantilever footing,ಕ್ಯಾಂಟಿಲಿವರ್ ಫೂಟಿಂಗ್
Cap,ಕ್ಯಾಪ್
Capacity,ಸಾಮರ್ಥ್ಯ
Capacity of ail track,ಏಲ್ ಟ್ರ್ಯಾಕ್ ಸಾಮರ್ಥ್ಯ
Cap cable,ಕ್ಯಾಪ್ ಕೇಬಲ್
Capillarity,ಕ್ಯಾಪಿಲ್ಲರಿಟಿ
Capillary break,ಕ್ಯಾಪಿಲ್ಲರಿ ಬ್ರೇಕ್
Capillary flow,ಕ್ಯಾಪಿಲ್ಲರಿ ಹರಿವು
Capillary moisture or capillary water,ಕ್ಯಾಪಿಲ್ಲರಿ ತೇವಾಂಶ ಅಥವಾ ಕ್ಯಾಪಿಲ್ಲರಿ ನೀರು
Capillary pore space,ಕ್ಯಾಪಿಲ್ಲರಿ ರಂಧ್ರದ ಜಾಗ
Capillary porosity,ಕ್ಯಾಪಿಲ್ಲರಿ ಸರಂಧ್ರತೆ
Capillary space,ಕ್ಯಾಪಿಲ್ಲರಿ ಸ್ಪೇಸ್
Capture velocity,ಕ್ಯಾಪ್ಚರ್ ವೇಗ
Carbonation,ಕಾರ್ಬೊನೇಶನ್
Carbon black,ಕಾರ್ಬನ್ ಕಪ್ಪು
Castble refractory,ಕ್ಯಾಸ್ಟ್ಬಲ್ ವಕ್ರೀಕಾರಕ
Cast-in-place or cast-in-situ,ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ ಅಥವಾ ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ
Cast-in-place pile,ಎರಕಹೊಯ್ದ ರಾಶಿ
Castor,ಕ್ಯಾಸ್ಟರ್
Cast stone,ಎರಕಹೊಯ್ದ ಕಲ್ಲು
Catalyst,ವೇಗವರ್ಧಕ
Catena,ಕ್ಯಾಟೆನಾ
Cat face,ಬೆಕ್ಕಿನ ಮುಖ
Cat head,ಬೆಕ್ಕಿನ ತಲೆ
Cation,ಕ್ಯಾಶನ್
Cat walk,ಬೆಕ್ಕಿನ ನಡಿಗೆ
Cavitation damage,ಗುಳ್ಳೆಕಟ್ಟುವಿಕೆ ಹಾನಿ
Celite,ಸೆಲೈಟ್
Cellular concrete,ಸೆಲ್ಯುಲಾರ್ ಕಾಂಕ್ರೀಟ್
Cellular construction,ಸೆಲ್ಯುಲಾರ್ ನಿರ್ಮಾಣ
Cement,ಸಿಮೆಂಟ್
"Cement, bituminous","ಸಿಮೆಂಟ್, ಬಿಟುಮಿನಸ್"
"Cement, high strength","ಸಿಮೆಂಟ್, ಹೆಚ್ಚಿನ ಶಕ್ತಿ"
"Cement, hydraulic","ಸಿಮೆಂಟ್, ಹೈಡ್ರಾಲಿಕ್"
"Cement, low heat","ಸಿಮೆಂಟ್, ಕಡಿಮೆ ಶಾಖ"
"Cement, masonary","ಸಿಮೆಂಟ್, ಕಲ್ಲು"
"Cement, natural","ಸಿಮೆಂಟ್, ನೈಸರ್ಗಿಕ"
"Cement, portland","ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್"
"Cement, portland blast furnace slag","ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್"
"Cement, portland pozzolan","ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಪೊಝೋಲನ್"
"Cement, slag","ಸಿಮೆಂಟ್, ಸ್ಲ್ಯಾಗ್"
"Cement, sulphate resistant","ಸಿಮೆಂಟ್, ಸಲ್ಫೇಟ್ ನಿರೋಧಕ"
"Cement, super sulphated","ಸಿಮೆಂಟ್, ಸೂಪರ್ ಸಲ್ಫೇಟ್"
"Cement, white","ಸಿಮೆಂಟ್, ಬಿಳಿ"
Cement-aggregate ratio,ಸಿಮೆಂಟ್-ಒಟ್ಟಾರೆ ಅನುಪಾತ
Cement content,ಸಿಮೆಂಟ್ ವಿಷಯ
Cement gel,ಸಿಮೆಂಟ್ ಜೆಲ್
Cement gun,ಸಿಮೆಂಟ್ ಗನ್
Cement kiln,ಸಿಮೆಂಟ್ ಗೂಡು
Cement paint,ಸಿಮೆಂಟ್ ಬಣ್ಣ
Cement plaster,ಸಿಮೆಂಟ್ ಪ್ಲಾಸ್ಟರ್
Cement rock,ಸಿಮೆಂಟ್ ಕಲ್ಲು
Cement slurry,ಸಿಮೆಂಟ್ ಸ್ಲರಿ
Cement storage,ಸಿಮೆಂಟ್ ಸಂಗ್ರಹಣೆ
Cementation process,ಸಿಮೆಂಟೇಶನ್ ಪ್ರಕ್ರಿಯೆ
Centering,ಕೇಂದ್ರೀಕರಣ
Centering and shuttering,ಕೇಂದ್ರೀಕರಿಸುವುದು ಮತ್ತು ಮುಚ್ಚುವುದು
Central mixed concrete,ಕೇಂದ್ರ ಮಿಶ್ರ ಕಾಂಕ್ರೀಟ್
Central mixer,ಕೇಂದ್ರ ಮಿಕ್ಸರ್
Centrifugal fan,ಕೇಂದ್ರಾಪಗಾಮಿ ಫ್ಯಾನ್
Chalk,ಚಾಕ್
Chamfer,ಚೇಂಫರ್
Chamfer strip,ಚೇಂಫರ್ ಸ್ಟ್ರಿಪ್
Channel beam,ಚಾನಲ್ ಕಿರಣ
Characteristic load,ವಿಶಿಷ್ಟ ಲೋಡ್
Characteristic strength,ವಿಶಿಷ್ಟ ಶಕ್ತಿ
Charge off,ಚಾರ್ಜ್ ಆಫ್
Charging,ಚಾರ್ಜ್ ಆಗುತ್ತಿದೆ
Checking,ಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ
Chemical bond,ರಾಸಾಯನಿಕ ಬಂಧ
Chernozem,ಚೆರ್ನೋಜೆಮ್
Chestnut soil,ಚೆಸ್ಟ್ನಟ್ ಮಣ್ಣು
Chimney gutter,ಚಿಮಣಿ ಗಟಾರ
Chip board,ಚಿಪ್ ಬೋರ್ಡ್
Chipping,ಚಿಪ್ಪಿಂಗ್
Chips,ಚಿಪ್ಸ್
Chute,ಗಾಳಿಕೊಡೆ
Class (of concrete),ವರ್ಗ (ಕಾಂಕ್ರೀಟ್)
Clay,ಕ್ಲೇ
Clay content,ಕ್ಲೇ ವಿಷಯ
Clay pan,ಕ್ಲೇ ಪ್ಯಾನ್
Cleanout,ಕ್ಲೀನ್ಔಟ್
Clean up,ಸ್ವಚ್ಛಗೊಳಿಸಿ
Cleat,ಕ್ಲೀಟ್
Clinker,ಕ್ಲಿಂಕರ್
Clip,ಕ್ಲಿಪ್
Coagulation,ಹೆಪ್ಪುಗಟ್ಟುವಿಕೆ
Coarse aggregate,ಒರಟಾದ ಒಟ್ಟು
Coarse grained soil,ಒರಟಾದ ಧಾನ್ಯದ ಮಣ್ಣು
Coat,ಕೋಟ್
Coffer dam,ಕಾಫರ್ ಅಣೆಕಟ್ಟು
Cohesion,ಒಗ್ಗಟ್ಟು
Colloid,ಕೊಲಾಯ್ಡ್
