Kannada,Marathi
ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್,एसी समतुल्य सर्किट
ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,एनालॉग ते अंकीय कनवर्टर
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,पूर्ण शून्य
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,शोषण गुणांक
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ,शोषण स्पेक्ट्रम
ಗ್ರಾಹಕ ಪರಮಾಣು,रिसेप्टर अणू
ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ,पर्यायी वर्तमान जोडणी
ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು,इलेक्ट्रॉन कापणी
ರಂಧ್ರ ಸಂಗ್ರಹಣೆ,भोक संचयन
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,सक्रियता ऊर्जा
ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್,सक्रिय अॅम्प्लीफायर
ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್,सक्रिय डायोड सर्किट
ಸಕ್ರಿಯ ಫಿಲ್ಟರ್,सक्रिय फिल्टर
ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್,सक्रिय उच्च वारंवारता पर्केट फिल्टर
ಸಕ್ರಿಯ ಲೋಡ್,सक्रिय भार
ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್,सक्रिय कमी वारंवारता पार्स फिल्टर
ಸಕ್ರಿಯ ಪ್ರದೇಶ,सक्रिय क्षेत्र
ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,अनुकूली इलेक्ट्रॉनिक्स
ಸೇರಿಸುವವನು,जोडणारा
ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ,समायोज्य बँड विस्तार
ನುಗ್ಗುವಿಕೆ,प्रवेश
ಏರಿಯಲ್,एरियल
ಪೆಪ್ ಆವರ್ತನ,pep वारंवारता
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,एअर कंडिशनर
ಜೋಡಣೆ,संरेखन
ಅಲ್ಗಾರಿದಮ್,अल्गोरिदम
ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್,सर्व पास फिल्टर
ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್,मिश्र धातु जंक्शन
ಕ್ಷೀಣತೆ,क्षीणन
ಪರ್ಯಾಯ ಪ್ರವಾಹ,पर्यायी प्रवाह
ಹೊರಗಿನ ತಾಪಮಾನ,वातावरणीय तापमान
ಬೈಪೋಲಾರ್,द्विध्रुवीय
ವರ್ಧನೆ,प्रवर्धन
ಆಂಪ್ಲಿಫಯರ್,अॅम्प्लिफायर
ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ,एम्पलीफायर कार्यक्षमता
ಆಯಾಮಗಳು,परिमाण
ವೈಶಾಲ್ಯ ಕ್ಷೀಣತೆ,मोठेपणा क्षीणन
ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್ AM ಆಂದೋಲಕ,अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर
ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಶನ್,मोठेपणा मॉड्यूलेशन
ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಟರ್,मोठेपणा मॉड्युलेटर
ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ,अँग्स्ट्रोम युनिट
ಅನಲಾಗ್ ಸರ್ಕ್ಯೂಟ್,अॅनालॉग सर्किट
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,अॅनालॉग संगणक
ಅನಲಾಗ್ ಫಿಲ್ಟರ್,अॅनालॉग फिल्टर
ಅನಲಾಗ್ ಮಲ್ಟಿಮೀಟರ್,अॅनालॉग मल्टीमीटर
ಅನಲಾಗ್ ಸ್ವಿಚ್,अॅनालॉग स्विच
ಮತ್ತು ಗೇಟ್,आणि गेट
ಕೋನೀಯ ಆವರ್ತನ,कोनीय वारंवारता
"ಅಯಾನ್, ಅಯಾನ್","anion, anion"
ಅನೆಲಿಂಗ್ ತಾಪಮಾನ,एनीलिंग तापमान
ಆನೋಡ್,एनोड
ಆನೋಡ್ ಆಂಪ್ಲಿಫಯರ್,एनोड अॅम्प्लिफायर
ಅನೋಡೈನ್,anodyne
ಆಂಟೆನಾ,अँटेना
ಆಂಟೆನಾ ಘಟಕ,अँटेना घटक
ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ ಲೇಪನ,विरोधी परावर्तक कोटिंग
ಪ್ರತಿಲೋಜಿನ್ ಆಂಪ್ಲಿಫಯರ್,अँटिलॉगिन अॅम्प्लिफायर
ಆಂಟಿರೆಸೋನೆಂಟ್ ಸರ್ಕ್ಯೂಟ್,अँटीरेझोनंट सर्किट
ದ್ವಾರಕ ಕಾಲ,द्वारक काळ
ವರ್ಚುವಲ್ ಶಕ್ತಿ,आभासी शक्ती
ತಂತಿ ಸಂಪರ್ಕ,वायर कनेक्शन
ಅಂದಾಜು ವೋಲ್ಟೇಜ್ ಲಾಭ,अंदाजे व्होल्टेज वाढ
ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ಮಾಡ್ಯುಲೇಟರ್,आर्मस्ट्राँग मॉड्युलेटर
ಆಂಟೆನಾ ರಚನೆ,अँटेना अॅरे
"ಗಾತ್ರ ಅನುಪಾತ, ಆಕಾರ ಅನುಪಾತ","आकार गुणोत्तर, गुणोत्तर"
ತೇಲುವ ಸರ್ಕ್ಯೂಟ್ (ಉಚಿತ ಆಪರೇಟಿಂಗ್ ಸರ್ಕ್ಯೂಟ್),फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट)
