Hindi,Malayalam
"1.एबेकस ,2. गिनतारा","1.അബാക്കസ്, 2. എണ്ണുന്നു"
असामान्य समापन,അസാധാരണമായ അവസാനം
अवरोधन,തടസ്സപ്പെടുത്തുക
"1. निरपेक्ष ,2. परम","1. കേവലം, 2. പരമോന്നത"
निरपेक्ष पता,സമ്പൂർണ്ണ വിലാസം
निरपेक्ष पताभिगमन,സമ്പൂർണ്ണ വിലാസക്ഷമത
निरपेक्ष कोडांतरक,കേവല അസംബ്ലർ
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड","1. കേവല കോഡ്, 2. കേവല കോഡ്"
निरपेक्ष समादेश,സമ്പൂർണ്ണ കമാൻഡ്
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा","1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ"
निरपेक्ष अनुदेश,സമ്പൂർണ്ണ നിർദ്ദേശം
निरपेक्ष विधा,കേവല മോഡ്
निरपेक्ष पथ,കേവല പാത
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन","1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്"
अमूर्त वर्ग,അമൂർത്ത ക്ലാസ്
अमूर्त आंकड़ा प्रकार,അമൂർത്ത ഡാറ്റ തരം
अमूर्त मशीन,അമൂർത്ത യന്ത്രം
अमूर्त प्रतीक,അമൂർത്ത ചിഹ്നം
अमूर्त वाक्य विन्यास,അമൂർത്തമായ വാക്യഘടന
स्वीकृति परीक्षण,സ്വീകാര്യത പരിശോധന
अभिगम प्रमाणन,പ്രവേശന സർട്ടിഫിക്കേഷൻ
"1. अभिगम कूट ,2. अभिगम कोड","1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്"
अभिगम नियंत्रण,പ്രവേശന നിയന്ത്രണം
अभिगम क्रमवीक्षण,ആക്സസ് സ്കാനിംഗ്
सहयंत्र,സാധനങ്ങൾ
लेखा,അക്കൌണ്ടിംഗ്
"1. एकाउंट आई डी ,2. लेखा पहचान","1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ"
संचायक,ശേഖരണം
"1. विशुद्धता ,2. यर्थाथता","1. കൃത്യത, 2. കൃത്യത"
अभिगम,പ്രവേശനം
अभिगम नियंत्रण बाइट,ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ
अभिगम सूचक,പ്രവേശന സൂചകം
अभिगम कुंजी,ആക്സസ് കീ
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स","1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്"
अभिगम विधा,ആക്സസ് മോഡ്
अभिगम विशेषाधिकार,പ്രവേശനാവകാശങ്ങൾ
अभिगम सुरक्षा,ആക്സസ് സുരക്ഷ
"1. अभिगम परिसेवक ,2. अभिगम सर्वर","1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ"
अभिगम काल,പ്രവേശന സമയം
अभिस्वीकृति,അംഗീകാരം
ध्वनिकी,ശബ്ദശാസ്ത്രം
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप","1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി"
क्रिया संदेश,പ്രവർത്തന സന്ദേശം
सक्रियण,സജീവമാക്കൽ
सक्रिय सर्वर पृष्ठ,സജീവ സെർവർ പേജ്
सक्रिय वर्जन,സജീവ പതിപ്പ്
अचक्रीय,അസൈക്ലിക്
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ","1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്"
एडा कंप्यूटर भाषा,അഡാ കമ്പ്യൂട്ടർ ഭാഷ
"1. अनुकूलक ,2. अनुकूलित्र","1. ഒപ്റ്റിമൈസർ, 2. ഒപ്റ്റിമൈസർ"
योग (करना),ആകെ)
योग संचिका,തുക ഫയൽ
"1. जोड़ संक्रिया ,2. योग संक्रिया","1. കൂട്ടിച്ചേർക്കൽ പ്രവർത്തനം, 2. ആകെ പ്രവർത്തനം"
योजक,ചേർക്കുന്നയാൾ
पता,അറിയുക
पता बस,വിലാസം ബസ്
पता संचिका,വിലാസ ഫയൽ
पता आरूप,വിലാസ ഫോർമാറ്റ്
पता जनक,വിലാസ ജനറേറ്റർ
पता पंक्ति,വിലാസ ലൈൻ
पता प्रतिचित्रण,വിലാസ മാപ്പിംഗ്
पता संकेतक,വിലാസ സൂചകം
पता पंजी,വിലാസ രജിസ്റ്റർ
पता विघटन,വിലാസ തകർച്ച
पता अनुवाद,വിലാസ വിവർത്തനം
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी","1. അഡ്രസ് ചെയ്യാവുന്ന മെമ്മറി, 2. അഭിസംബോധന ചെയ്യാവുന്ന മെമ്മറി"
पताभिगमन,അഭിസംബോധന
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी","1. പര്യാപ്തത മാനദണ്ഡം, 2. പര്യാപ്തത മാനദണ്ഡം"
संलग्न,ബന്ധം
"1. प्रबंधन ,2. नियंत्रण","1. മാനേജ്മെന്റ്, 2. നിയന്ത്രണം"
"1. प्रबंधक ,2. नियंत्रक","1. മാനേജർ, 2. കണ്ട്രോളർ"
ऐडोब एक्रोबेट,അഡോബ് അക്രോബാറ്റ്
ऐडोब फोटोशोप,അഡോബ് ഫോട്ടോഷോപ്പ്
ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),ABAP (അഡ്വാൻസ്ഡ് ബിസിനസ് പ്രോഗ്രാമിംഗ്)
"1. उन्नत आंकड़ा ,2. उन्नत डाटा","1. വിപുലമായ ഡാറ്റ, 2. വിപുലമായ ഡാറ്റ"
उन्नत सूचना तंत्र,വിപുലമായ വിവര സംവിധാനം
उन्नत प्रौद्योगिकी (ए टी),അഡ്വാൻസ്ഡ് ടെക്നോളജി (AT)
कर्मक,നടപടി
समुच्चयन,സമാഹരണം
विमानवाहित कंप्यूटर तंत्र,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
एल्डस पेज-मेक,ആൽഡസ് പേജ് മേക്ക്
सचेत पेटी,മുന്നറിയിപ്പ് ബോക്സ്
ऐल्गॉल (कंप्यूटर भाषा),അൽഗോൾ (കമ്പ്യൂട്ടർ ഭാഷ)
"1.  एल्गोरिथ्म ,2. कलन विधि","1. അൽഗോരിതം, 2. അൽഗോരിതം"
"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण","1. അൽഗോരിതം വിശകലനം, 2. അൽഗോരിതം വിശകലനം"
एल्गोरिथ्म दक्षता,അൽഗോരിതം കാര്യക്ഷമത
"1. एलिआस ,2. उपनाम ,3. उर्फ","1. ഏലിയാസ്, 2. വിളിപ്പേര്, 3. അല്ലെങ്കിൽ"
संरेखण,വിന്യാസം
"1. आवंटन ,2. नियतन","1. വിഹിതം, 2. വിഹിതം"
"1.अक्षरात्मक ,2. वर्णानुक्रम","1. അക്ഷരമാല, 2. അക്ഷരമാല ക്രമത്തിൽ"
अक्षरांकीय,ആൽഫാന്യൂമെറിക്
"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड","1. ആൽഫാന്യൂമെറിക് കീബോർഡ്, 2. ആൽഫാന്യൂമെറിക് കീബോർഡ്"
अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण),ആൽഫ-ടെസ്റ്റിംഗ് (ഒന്നാം ലെവൽ ടെസ്റ്റ്)
"1. अल्फा वर्जन ,2. अल्फा रूप","1. ആൽഫ പതിപ്പ്, 2. ആൽഫ രൂപം"
आल्ट कुंजी,alt കീ
आल्टाविस्टा,ആൾട്ടാവിസ്റ്റ
अनेकार्थकता,ബഹുസ്വരത
संदिग्ध व्याकरण,അവ്യക്തമായ വ്യാകരണം
अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.),അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡീസ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI)
अमेरिकी मानक कट (आस्की),അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കട്ട് (ascii)
"1. अनुरुप ,2. एनालॉग","1. സാദൃശ്യം, 2. അനലോഗ്"
"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर","1. അനലോഗ് കമ്പ്യൂട്ടർ, 2. അനലോഗ് കമ്പ്യൂട്ടർ"
"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस","1. അനലോഗ് ഉപകരണം, 2. അനലോഗ് ഉപകരണം"
"1. एनालॉग मोडेम ,2. अनुरुप मोडेम","1. അനലോഗ് മോഡം, 2. അനലോഗ് മോഡം"
अनुरुप से अंकीय रुपांतरक,അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ
एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त),അവസാനം (ഡിജിറ്റൽ/പ്ലെയിൻ ലോജിക് &#39;ഉം&#39; ഉപയോഗിച്ചു)
एंड परिपथ,അവസാന സർക്യൂട്ട്
एंड गेट और द्वार,അവസാന ഗേറ്റും ഗേറ്റും
एंड नॉट संक्रिया (अपवर्जन),എൻഡ് അല്ല ഓപ്പറേഷൻ (ഒഴിവാക്കൽ)
"1. एनीमेशन, 2.  सजीवन","1. ആനിമേഷൻ, 2. വൈബ്രേഷൻ"
टिप्पण,കുറിപ്പ്
असंगता,പൊരുത്തക്കേട്
पूर्ववर्ती,മുമ്പത്തെ
प्रत्याशामूलक पृष्ठन,മുൻകൂർ പേജിംഗ്
प्रति-सममित,എതിർ-സമമിതി
विषाणुरोधी क्रमादेश,ആൻറിവൈറൽ പ്രോഗ്രാം
"1. एपलेट ,2. अनुप्रयोगिका","1. ആപ്ലെറ്റ്, 2. അപേക്ഷ"
अनुप्रयोग विकासक,ആപ്ലിക്കേഷൻ ഡെവലപ്പർ
अनुप्रयोग प्रोग्रामन,ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
