English,Odiya
Aborted organ,ପରିତ୍ୟାଗ ଅଙ୍ଗ |
Aborted seed,ପରିତ୍ୟାଗ
Abortion,ଗର୍ଭପାତ
Absolute weed,ସଂପୂର୍ଣ୍ଣ ତୃଣ
Absorbed cation,ଅବଶୋଷିତ କେସନ
Absorption,ଶୋଷଣ
Abyssinian mustard,Abayssinian mystard |
Acaricide,ଅରିକାଇଡ୍ |
Accentric,ଉଚ୍ଚାରଣ
Accentuate (cell),ଉଚ୍ଚାରଣ (ସେଲ୍)
Accepted tolerance,ଗ୍ରହଣ କରାଯାଇଥିବା ସହନଶୀଳତା |
Accessory,ଆନୁଷଙ୍ଗିକ
Acclimatization,ସୁକମ୍ଲାଇଜେସନ୍
Accumulation,ଜମା
Accuracy,ସଠିକତା
Acervulus,Acervulus
Acetification,ଯୁକ୍ତିଯୁକ୍ତିକ
Acidification,ଅମ୍ଳଗତ
Acidimeter,ଏସିଡିମିଟର
Acidity,ଅମ୍ଳତା
Acidophilic,ଏସିଡୋଫିଲିକ୍ |
Acidulated rock phosphate,ACIDUCED ROX FHSHATE |
Aciduric,ଅସିଡିଆରି |
Aquifer,ଜଳଜଳ |
Acquisition,ଅଧିଗ୍ରହଣ
Acre,ଏକର
Acreage,ଏକରାଗେଜ୍
Acrocentric chromosome,ଆକ୍ରୋଣ୍ଟ୍ରିକ୍ କ୍ରୋମୋଜୋମ୍ |
Acropetal,ଆଖୋପ୍ଟାଲ୍ |
Acrosome,ଆନୋକୋମ୍
Actinomycetes,ଆକ୍ଟିନୋମିସେସିସ୍ |
Active root zone,ସକ୍ରିୟ ମୂଳ କ୍ଷେତ୍ର
Acute,ତୀବ୍ର
Adaptability,ଅନୁକେତ
Adaptation,ଆଡାପ୍ଟେସନ୍
Adhesion,ଆଡେସନ୍
Adipose,ଆଦିବ
Adjustment equation,ଆଡଜଷ୍ଟମେଣ୍ଟ ସମୀକରଣ |
Adobe soil,ଆଡୋବ ମାଟି |
Adulterant,ବ୍ୟଭିଚାର
Adventitious,ବିଶ୍ୱସ୍ତତା
Aecidiospore,Aechidispor
Aeolian process,ଏଓଲ୍ସିଆସ୍ ପ୍ରକ୍ରିୟା |
Aeolian,ଆଦାମୀ
Aerate,ଆରେଟ୍
Aerial,ବାୟୁ
Aerometer,ଏରୋମିଟର |
Aerosol,ଏରୋସୋଲ୍ |
Aestivation,ବାୟେ
Aetiology (etiology),ଆୟନୋଜି (ଇଟିଓଲୋଜି)
Afforestation,ଆଗ ଶତ୍ରୁମାନଙ୍କର
Agitation,ଆଗ୍ରିଲେସନ୍
Agmark,Awarmark
Agrarian,କୃଷି
Agricultural clinic,କୃଷି କ୍ଲିନିକ୍ |
Agricultural labour,କୃଷି ଶ୍ରମ
Agricultural marketing,କୃଷି ମାର୍କେଟିଂ |
Agricultural technology,କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
Agriculture,କୃଷି
Agrisilviculture,ଯୁକ୍ତିଯୁକ୍ତ
Agrobiodiversity,Agrobizioditicity |
Agrobiological defects,Agrobiofogic ତ୍ରୁଟିଗୁଡିକ |
Agrobiology,Agrobiogioly |
Agroclimatic diversity,ଭୟଙ୍କର ବିବିଧତା |
Agroclimatic zoning,ଭୟଙ୍କର ଜୋନିଂ |
Agroforestry,Agroftry
Agrology,ସହଯୋଗୀ
Agronomy,କିରେନୋନୋମ୍ବନ
Agropastoral,Agronastoal
Agroprocessing,ସହପ୍ରଗୋକ୍ତ
Agrostology,ଦୁର୍ଗସ୍
Agrotype,Agrotype
Air plant,ବାୟୁ ପ୍ଲାଣ୍ଟ |
Akiochi soil,ଆକିଓଚି ମାଟି |
Albinism,ଆଲବିନିମ୍
Alfisols,Altfisolles
Algae,ଆଲିଜି |
Algal disease,Alegal ରୋଗ
Alkali water,ଆଲକାଲି ପାଣି |
Alkaline,କ୍ଷାରିକ |
Allele,ଆହେଲେ |
Allelochemicals,ଆଲଲେଇଚିକ୍
Allelomorph,ଆଲୋଲେମୋର୍ଫେଫେଫେଫ |
Allelopathy,ଆଲୋଲୋପାଥି |
Alley cropping,ଆଲି କ୍ରପ୍ କରିବା |
Allocarpy,Alloarcy
Allogamy,ଆଲଗଲାମି |
Allometry,Allomitry
Allopolyploid,ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |
Allosynapsis (allosyndesis),Allosynapp ଗୁଡିକ (ଆଲିଷ୍ଟିଣ୍ଡେସ୍)
Alternate bearing,ବିକଳ୍ପ ନୋଟିଂ |
Alternate land use,ବିକଳ୍ପ ଭୂମି ବ୍ୟବହାର |
Ambient,ପରିବେଶ
Ameliorant,ଅମୃତାରା
Amitosis,ଅମିତୋସାଇସ୍ |
Amminization,ଅମୃତନ
Ammonification,ଆମୋନିଫିକେଟ୍
Ammonifier,ଆମୋନିଫାୟର୍
Amorph,ଅମୋରଫ
Amphimixis,ଆମ୍ଫିମିକ୍ସିସ୍ |
Amphoteric,ଆମ୍ଫୋଷ୍ଟିକ୍ |
Anabolism,ଆନାବୋଲିଜିମ୍ |
Anaerobe,ଆନାରୋବେ |
Aneuploid,ଆନୁପ୍ଲଏଡ୍ |
Angle planting,କୋଣ ବୃକ୍ଷ
Animal husbandry,ପଶୁ କୁମ୍ଭାରୀ
Animal refuse,ପଶୁ ମନା କରେ |
Animate energy,ଆନିମେଟ୍ ଶକ୍ତିମାନ |
Anisoploid,Aningoploid
Annual plant,ବାର୍ଷିକ ଉଦ୍ଭିଦ |
Annual,ବାର୍ଷିକ
Anthesis,ଆନେସିଟି
Anthrax,ଆନ୍ଥ୍ରାକ୍ସ |
Anthropogenic factor,ଆନ୍ଥ୍ରୋପେନିକ୍ କାରକ |
Antibiosis,ଆଣ୍ଟିବାସିସ୍
Antibiotic,ଆଣ୍ଟିବାୟୋଟିକ୍ |
Antidote,ପ୍ରତିକାର
Antioxidants,ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |
Antitoxin,ଆଣ୍ଟିଟୋକ୍ସିନ୍ |
Annulus,ବ୍ରହ୍ମାଣ୍ଡ
Aphid,ଆପିଡ୍ |
Apical bud,ଆପିକାଲ୍ ଗୁଣ୍ଡ |
Apical dominance,ଆପିକାଲ୍ ପ୍ରାଧାନ୍ୟ |
Apiculture (bee keeping),ଆପିକାଲ୍ଟର୍ (ମହୁମାଛି ରଖିବା)
Apomixis,ଆପୋମିକ୍ସସ୍ |
Apoptosis,ଆପୋଟୋଏସ୍
Appendage,ଅନୁକ୍ରମଣିକା
Appetizer,ଭୋକକାରୀ
Applied,ପ୍ରୟୋଗ କରାଯାଏ |
Aquatic weed,ଜଳୀୟ ତୃଣ
Arboreal,ଅର୍ବ୍ରାଲ୍ |
Arborization,ସ୍ଥାପନ |
Archaeo-botanical records,ପ୍ରତ୍ନତାତ୍ତ-ବଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |
Area statistics,କ୍ଷେତ୍ର ପରିସଂଖ୍ୟାନ
Area,କ୍ଷେତ୍ର
Arid ecosystem,ARID ECOSYSem |
Aril,ଅରିଲ୍
