Tamil,Assamese
ஏசி சமமான சுற்று,এ চি সমতুল্য বৰ্তনী
எண் மாற்றிக்கு ஒப்புமை,এনালগ টু সংখ্যাগত ৰূপান্তৰক
முழுமையான பூஜ்ஜியம்,নিৰপেক্ষ শূন্য
உறிஞ்சுதல் குணகம்,শোষণ সহগ
உறிஞ்சுதல் நிறமாலை,শোষণ বৰ্ণালী
ஏற்பி அணு,ৰিচেপ্টৰ পৰমাণু
மாற்று மின்னோட்ட இணைப்பு,বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন
எலக்ட்ரான் அறுவடை,ইলেক্ট্ৰন সংগ্ৰহ কৰা
துளை சேமிப்பு,ফুটা সংৰক্ষণ
செயல்படுத்தும் ஆற்றல்,সক্ৰিয়কৰণ শক্তি
செயலில் பெருக்கி,সক্ৰিয় পৰিবৰ্ধক
செயலில் உள்ள டையோடு சுற்று,সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী
செயலில் வடிகட்டி,সক্ৰিয় ফিল্টাৰ
செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி,সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ
செயலில் சுமை,সক্ৰিয় লোড
செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி,সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ
செயலில் உள்ள பகுதி,সক্ৰিয় অঞ্চল
தகவமைப்பு மின்னணுவியல்,অভিযোজিত ইলেক্ট্ৰনিক্স
சேர்ப்பான்,adder
சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு,এডজাষ্টেবল বেণ্ড এক্সটেনচন
ஊடுருவல்,ভেদ
ஏரியல்,এৰিয়েল
பெப் அதிர்வெண்,pep কম্পাঙ্ক
காற்றுச்சீரமைப்பி,এয়াৰ কণ্ডিচনাৰ
சீரமைப்பு,প্ৰান্তিককৰণ
அல்காரிதம்,এলগৰিদম
அனைத்து பாஸ் வடிகட்டி,সকলো পাছ ফিল্টাৰ
அலாய் சந்திப்பு,মিশ্ৰণ সংযোগ
தணிவு,ক্ষীণকৰণ
மாறுதிசை மின்னோட்டம்,বিকল্প বিদ্যুৎ প্ৰবাহ
சுற்றுப்புற வெப்பநிலை,পৰিৱেশৰ উষ্ণতা
இருமுனை,বাইপোলাৰ
பெருக்கம்,এম্প্লিফিকেশন
பெருக்கி,এম্প্লিফায়াৰ
பெருக்கி செயல்திறன்,এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা
பரிமாணங்கள்,মাত্ৰাসমূহ
வீச்சு குறைதல்,প্ৰসাৰণ ক্ষীণকৰণ
அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்,প্ৰসাৰণ মডুলেটেড AM দোলক
வீச்சு பண்பேற்றம்,প্ৰসাৰণ মডুলেচন
வீச்சு மாடுலேட்டர்,প্ৰসাৰণ মডুলেটৰ
angstrom அலகு,angstrom একক
அனலாக் சுற்று,এনালগ বৰ্তনী
அனலாக் கணினி,এনালগ কম্পিউটাৰ
அனலாக் வடிகட்டி,এনালগ ফিল্টাৰ
அனலாக் மல்டிமீட்டர்,এনালগ মাল্টিমিটাৰ
அனலாக் சுவிட்ச்,এনালগ চুইচ
மற்றும் வாயில்,AND গেট
கோண அதிர்வெண்,কৌণিক কম্পাঙ্ক
"அயனி, அயனி","এনিয়ন, এনিয়ন"
அனீலிங் வெப்பநிலை,এনিয়েলিং উষ্ণতা
நேர்மின்முனை,এনোড
அனோட் பெருக்கி,এনোড এম্প্লিফায়াৰ
அனோடைன்,এনোডাইন
ஆண்டெனா,এন্টেনা
ஆண்டெனா கூறு,এন্টেনা উপাদান
எதிர்ப்பு பிரதிபலிப்பு பூச்சு,এন্টি-ৰিফ্লেক্টিভ আৱৰণ
ஆன்டிலோகின் பெருக்கி,এন্টিলগিন এম্প্লিফায়াৰ
எதிரொலி சுற்று,এন্টিৰেজোনেণ্ট চাৰ্কিট
துவாரகர் காலம்,দ্বাৰক যুগ
மெய்நிகர் சக்தி,ভাৰ্চুৱেল শক্তি
கம்பி இணைப்பு,তাঁৰৰ সংযোগ
தோராயமான மின்னழுத்த ஆதாயம்,আনুমানিক ভোল্টেজ লাভ
