English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Abnormal,अपसामान्य,"અસામાન્ય, નિયમબાહ્ય, વિકૃતિ, અસાધારણ","असामान्य, प्रमाणाबाहेर","ਅਸਹਿਜ, ਅਸਮਾਨ",অস্বাভাবিক,"अपसामान्य,विचित्र","ಅಸಹಜ, ಅಪಸಾಮಾನ್ಯ",വികല,இயல்பு மீறிய,"అసాధారణ,అసామాన్య,",غیر معمولی,অস্বাভাৱিক,"ଅସ୍ୱାଭାବିକ, ଅନିୟମିତ","असामान्य, विकृत"
Abort,विफलन,વિફલન,विफलन,ਗਰਭ ਪਾਤ ਹੋਣਾ,বিফলন,विफलन,ಕಾರ್ಯಭಂಗ,വിഫലന,விபலந,విఫలన,وپھلن,িফলন,ବିଫଲନ,विफलन
Abrasion," अपघर्षण , घिसाई","અપઘર્ષણ , ઘિસાઈ","अपघर्षण , घिसाई",ਖੁਰਚਣ,"অপঘর্ষণ , ঘিসাঈ","अपघर्षण , घिसाई","ಉಜ್ಜುವಿಕೆ, ತರಚಿಕೆ","അപഘര്ഷണ , ഘിസാഈ","அபகர்ஷண , கிஸாஈ","అపఘర్షణ , ఘిసాఈ",خراشید گی۔ سائید گی۔ سایش,"অপঘর্ষণ , ঘিসাঈ","ଅପଘର୍ଷଣ, ଘର୍ଷଣଜନିତ ଚର୍ମକ୍ଷୟ","अपघर्षण , घिसाई"
Abrupt," असंलग्न , अचानक, सहसा   , विच्छिन्न","અસંલગ્ન , અચાનક, સહસા   , વિચ્છિન્ન","असंलग्न , अचानक, सहसा   , विच्छिन्न","ਅਚਾਨਕ, ਸਿੱਧਾ, ਉੱਚਾ, ਖੜਾ","অসংলগ্ন , অচানক, সহসা   , বিচ্ছিন্ন","असंलग्न , अचानक, सहसा   , विच्छिन्न","ಅಸಂಲಗ್ನ , ಅಚಾನಕ, ಸಹಸಾ   , ವಿಚ್ಛಿನ್ನ","അസംലഗ്ന , അചാനക, സഹസാ   , വിച്ഛിന്ന","அஸங்லக்ந , அசாநக, ஸஹஸா   , விச்சிந்ந","అసంలగ్న , అచానక, సహసా   , విచ్ఛిన్న",اسنلگن ، اچانک، سہسا   ، وچھن,"অসংলগ্ন , অচানক, সহসা   , িচ্ছিন্ন","ଅସଂଲଗ୍ନ , ଅଚାନକ, ସହସା   , ବିଚ୍ଛିନ୍ନ","असंलग्न , अचानक, सहसा   , विच्छिन्न"
Absolute field strength,निरपेक्ष क्षेत्र सामर्थ्य,નિરપેક્ષ ક્ષેત્ર સામર્થ્ય,निरपेक्ष क्षेत्र सामर्थ्य,ਨਿਰਪੇਕ੍਷ ਕ੍਷ੇਤ੍ਰ ਸਾਮਰ੍ਥ੍ਯ,নিরপেক্ষ ক্ষেত্র সামর্থ্য,निरपेक्ष क्षेत्र सामर्थ्य,ನಿರಪೇಕ್ಷ ಕ್ಷೇತ್ರ ಸಾಮರ್ಥ್ಯ,നിരപേക്ഷ ക്ഷേത്ര സാമര്ഥ്യ,நிரபேக்ஷ க்ஷேத்ர ஸாமர்த்ய,నిరపేక్ష క్షేత్ర సామర్థ్య,نرپیکش شیتر سامرتھیہ,নিরপক্ষ ক্ষত্র সামর্থ্য,ନିରପେକ୍ଷ କ୍ଷେତ୍ର ସାମର୍ଥ୍ଯ,निरपेक्ष क्षेत्र सामर्थ्य
Absolute temperature,परम ताप,પરમ તાપ,परम ताप,ਪਰਮ ਤਾਪ,পরম তাপ,परम ताप,ನಿರಪೇಕ್ಷ ಉಷ್ಣತೆ,പരമ താപ,பரம தாப,పరమ తాప,مطلق تاپ / ٹمپر یچر,পরম তাপ,ପରମ ତାପ,परम ताप
Absolute value,निरपेक्ष मान,નિરપેક્ષ માન,निरपेक्ष मान,ਨਿਰਪੇਕ੍਷ ਮਾਨ,নিরপেক্ষ মান,निरपेक्ष मान,ನಿರಪೇಕ್ಷಬೆಲೆ/ ಮೌಲ್ಯ,നിരപേക്ഷ മാന,நிரபேக்ஷ மாந,నిరపేక్ష మాన,مطلق قدر,নিরপক্ষ মান,ଚିହ୍ନ ନିରପେକ୍ଷ ମାନ,निरपेक्ष मान
Absorb,"अवशोषित करना, अवशोषण करना","અવશોષિત કરના, અવશોષણ કરના","अवशोषित करना, अवशोषण करना","ਰਚਾ ਲੈਣ , ਚੂਸਣਾ ,ਮਗਨ ਹੋਣਾ, ਕਿਸੇ ਕੰਮ ਵਿੱਚ ਲੱਗਣਾ","অবশোষিত করনা, অবশোষণ করনা","अवशोषित करना, अवशोषण करना",ಹೀರು ಅಪಕರ್ಷಿಸು,"അവശോഷിത കരനാ, അവശോഷണ കരനാ","அவசோஷித கரநா, அவசோஷண கரநா","అవశోషిత కరనా, అవశోషణ కరనా",جذب کرنا,"অশষিত করনা, অশষণ করনা","ଅବଶୋଷିତ କରନା, ଅବଶୋଷଣ କରନା","अवशोषित करना, अवशोषण करना"
Absorption co-efficient,अवशोषण गुणांक,અવશોષણ ગુણાંક,अवशोषण गुणांक,ਅਵਸ਼ੋ਷ਣ ਗੁਣਾਂਕ,অবশোষণ গুণাংক,अवशोषण गुणांक,ಅವಶೋಷಣ ಗುಣಾಂಕ,അവശോഷണ ഗുണാംക,அவசோஷண குணாங்க,అవశోషణ గుణాంక,جاذبیت ضربیہ,অশষণ গুণাংক,ଅବଶୋଷଣ ଗୁଣାଂକ,अवशोषण गुणांक
Absorption loss,अवशोषण हानि,અવશોષણ હાનિ,अवशोषण हानि,ਅਵਸ਼ੋ਷ਣ ਹਾਨਿ,অবশোষণ হানি,अवशोषण हानि,ಅವಶೋಷಣ ಹಾನಿ,അവശോഷണ ഹാനി,அவசோஷண ஹாநி,అవశోషణ హాని,اوشوشن ہانی,অশষণ হানি,ଅବଶୋଷଣ ହାନି,अवशोषण हानि
