English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Abiogenesis (abiogeny),अजीवात्जनन,અજીવાત્જનન,अजीवात्जनन,ਅਜੀਵਾਤ੍ਜਨਨ,অজীবাত্জনন,अजीवात्जनन,ಅಜೀವಾತ್ಜನನ,അജീവാത്ജനന,அஜீவாத்ஜநந,అజీవాత్జనన,اجیواتجنن,অজীাত্জনন,ଅଜୀବାତ୍ଜନନ,अजीवात्जनन
ABO blood group system,ए.बी.ओ. रूधिरवर्ग तंत्र,એ.બી.ઓ. રૂધિરવર્ગ તંત્ર,ए.बी.ओ. रूधिरवर्ग तंत्र,ਏ.ਬੀ.ਓ. ਰੂਧਿਰਵਰ੍ਗ ਤਂਤ੍ਰ,এ.বী.ও. রূধিরবর্গ তংত্র,ए.बी.ओ. रूधिरवर्ग तंत्र,ಏ.ಬೀ.ಓ. ರೂಧಿರವರ್ಗ ತಂತ್ರ,ഏ.ബീ.ഓ. രൂധിരവര്ഗ തംത്ര,ஏ.பீ.ஓ. ரூதிரவர்க தங்த்ர,ఏ.బీ.ఓ. రూధిరవర్గ తంత్ర,ای۔بی۔او۔ رودھرورگ تنتر,.বী.. রূধিরর্গ তংত্র,ଏ.ବୀ.ଓ. ରୂଧିରବର୍ଗ ତଂତ୍ର,ए.बी.ओ. रूधिरवर्ग तंत्र
Abortive lysogenization,विफल लयजनीभवन,વિફલ લયજનીભવન,विफल लयजनीभवन,ਵਿਫਲ ਲਯਜਨੀਭਵਨ,বিফল লযজনীভবন,विफल लयजनीभवन,ವಿಫಲ ಲಯಜನೀಭವನ,വിഫല ലയജനീഭവന,விபல லயஜநீபவந,విఫల లయజనీభవన,وپھل لیجنیبھون,িফল লযজনীভন,ବିଫଳ ଲୟଜନୀ ଭବନ,विफल लयजनीभवन
Abortive transduction,विफल पारक्रमण,વિફલ પારક્રમણ,विफल पारक्रमण,ਵਿਫਲ ਪਾਰਕ੍ਰਮਣ,বিফল পারক্রমণ,विफल पारक्रमण,"ಭಗ್ನ ಅನ್ಯುವಹನ, ನಿಷ್ಫಲ ಅನ್ಯುವಹನ",വിഫല പാരക്രമണ,விபல பாரக்ரமண,విఫల పారక్రమణ,وپھل پارکرمن,িফল পারক্রমণ,ବିଫଲ ପାରକ୍ରମଣ,विफल पारक्रमण
Abscisic acid (ABA),एब्सिसिक अम्ल (ए.बी.ए),એબ્સિસિક અમ્લ (એ.બી.એ),एब्सिसिक अम्ल (ए.बी.ए),ਏਬ੍ਸਿਸਿਕ ਅਮ੍ਲ (ਏ.ਬੀ.ਏ),এব্সিসিক অম্ল (এ.বী.এ),एब्सिसिक अम्ल (ए.बी.ए),ಏಬ್ಸಿಸಿಕ ಅಮ್ಲ (ಏ.ಬೀ.ಏ),ഏബ്സിസിക അമ്ല (ഏ.ബീ.ഏ),ஏப்ஸிஸிக அம்ல (ஏ.பீ.ஏ),ఏబ్సిసిక అమ్ల (ఏ.బీ.ఏ),ایبسسک عمل (ای۔بی۔ای),ব্সিসিক অম্ল (.বী.),ଏବ୍ସିସିକ ଅମ୍ଲ (ଏ.ବୀ.ଏ),एब्सिसिक अम्ल (ए.बी.ए)
Absolute configuration,निरपेक्ष विन्यास,નિરપેક્ષ વિન્યાસ,निरपेक्ष विन्यास,ਨਿਰਪੇਕ੍਷ ਵਿਨ੍ਯਾਸ,নিরপেক্ষ বিন্যাস,निरपेक्ष विन्यास,ನಿರಪೇಕ್ಷ ವಿನ್ಯಾಸ,നിരപേക്ഷ വിന്യാസ,நிரபேக்ஷ விந்யாஸ,నిరపేక్ష విన్యాస,نرپیکش ونیاس,নিরপক্ষ িন্যাস,ନିରପେକ୍ଷ ବିନ୍ଯାସ,निरपेक्ष विन्यास
Absolute plating efficiency,निरपेक्ष प्लेटन दक्षता,નિરપેક્ષ પ્લેટન દક્ષતા,निरपेक्ष प्लेटन दक्षता,ਨਿਰਪੇਕ੍਷ ਪ੍ਲੇਟਨ ਦਕ੍਷ਤਾ,নিরপেক্ষ প্লেটন দক্ষতা,निरपेक्ष प्लेटन दक्षता,ನಿರಪೇಕ್ಷ ಪ್ಲೇಟನ ದಕ್ಷತಾ,നിരപേക്ഷ പ്ലേടന ദക്ഷതാ,நிரபேக்ஷ ப்லேடந தக்ஷதா,నిరపేక్ష ప్లేటన దక్షతా,نرپیکش پلیٹن دکشتا,নিরপক্ষ প্লটন দক্ষতা,ନିରପେକ୍ଷ ପ୍ଲେଟନ ଦକ୍ଷତା,निरपेक्ष प्लेटन दक्षता
Absorbance,"अवशोष्यता, अवशोषणांक","અવશોષ્યતા, અવશોષણાંક","अवशोष्यता, अवशोषणांक","ਅਵਸ਼ੋ਷੍ਯਤਾ, ਅਵਸ਼ੋ਷ਣਾਂਕ","অবশোষ্যতা, অবশোষণাংক","अवशोष्यता, अवशोषणांक","ಅವಶೋಷ್ಯತಾ, ಅವಶೋಷಣಾಂಕ","അവശോഷ്യതാ, അവശോഷണാംക","அவசோஷ்யதா, அவசோஷணாங்க","అవశోష్యతా, అవశోషణాంక",اوشوشیتا، اوشوشنانک,"অশষ্যতা, অশষণাংক","ଅବଶୋଷ୍ୟତା, ଅବଶୋଷଣାଙ୍କ","अवशोष्यता, अवशोषणांक"
Absorption,अवशोषण,"સમાવેશ, સમાસ","शोषण, समावेशन","ਲੀਣ ਹੋਣਾ, ਵਿੱਚੇ ਸਮਾ ਜਾਣਾ, ਸਮੋ-ਲੈਣਾ",অন্তর্ভূক্তিকরণ,"1. च्यूसप,शोशून घेवप,2. अवशोषण","ಹೀರಿಕೆ, ರಕ್ತಗತ, ಅವಶೋಷಣೆ",ലയനം,"1. ஏற்றுக்கொள்ளல் 2. உறிஞ்சல், உட்கொள்ளல்,","లోపలికి గ్రహించుట,పీల్చుట",جاذبیت,"বিশোষণ, শোষণ, অৱশোষণ",ଅବଶୋଷଣ,"1. समावेश 2. सोसन, पाचन"
Absorption coefficient,अवशोषण -गुणांक,અવશોષણ -ગુણાંક,अवशोषण -गुणांक,ਅਵਸ਼ੋ਷ਣ -ਗੁਣਾਂਕ,অবশোষণ -গুণাংক,अवशोषण -गुणांक,ಹೀರುವಿಕೆ; ಅವಶೇಷಣ ಹೀರುಗುಣಕ.,അവശോഷണ -ഗുണാംക,அவசோஷண -குணாங்க,అవశోషణ -గుణాంక,اوشوشن -گنانک,অশষণ -গুণাংক,ଅବଶୋଷକ ଗୁଣାଙ୍କ,अवशोषण -गुणांक
