English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
A-band,ए.-पट्ट,એ.-પટ્ટ,ए.-पट्ट,ਏ.-ਪਟ੍ਟ,এ.-পট্ট,ए.-पट्ट,ಏ.-ಪಟ್ಟ,ഏ.-പട്ട,ஏ.-பட்ட,ఏ.-పట్ట,ای۔-پٹ,.-পট্ট,ଏ.-ପଟ୍ଟ,ए.-पट्ट
A-zone,"ए.-मंडल, ए.-जोन","એ.-મંડલ, એ.-જોન","ए.-मंडल, ए.-जोन","ਏ.-ਮਂਡਲ, ਏ.-ਜੋਨ","এ.-মংডল, এ.-জোন","ए.-मंडल, ए.-जोन","ಏ.-ಮಂಡಲ, ಏ.-ಜೋನ","ഏ.-മംഡല, ഏ.-ജോന","ஏ.-மங்டல, ஏ.-ஜோந","ఏ.-మండల, ఏ.-జోన",ای۔-منڈل، ای۔-زون,".-মংডল, .-জন","ଏ.-ମଂଡଲ, ଏ.-ଜୋନ","ए.-मंडल, ए.-जोन"
Abaxial,अपाक्ष,અપાક્ષ,अपाक्ष,ਅਪਾਕ੍਷,অপাক্ষ,अपाक्ष,"ಅಪಾಕ್ಷ, ಅಕ್ಷಕ್ಕೆ ವಿಮುಖವಾದ",അപാക്ഷ,அபாக்ஷ,అపాక్ష,بدرمحوری,অপাক্ষ,ଅପାକ୍ଷ,अपाक्ष
Abductor muscle,अपवर्तनी पेशी,અપવર્તની પેશી,अपवर्तनी पेशी,ਅਪਵਰ੍ਤਨੀ ਪੇਸ਼ੀ,অপবর্তনী পেশী,अपवर्तनी पेशी,ಅಪವರ್ತನೀ ಪೇಶೀ,അപവര്തനീ പേശീ,அபவர்தநீ பேசீ,అపవర్తనీ పేశీ,اپورتنی پیشی,অপর্তনী পশী,"ଅପକର୍ଷକ ପେଶୀ, ଆକର୍ଷକ ପେଶୀ, ଅପବର୍ତ୍ତନୀ ପେଶୀ, ସ୍ଥାନଚ୍ୟୁତକାରୀ ମାଂସପେଶୀ",अपवर्तनी पेशी
Abiotic,अजैव,અજૈવ,अजैव,ਅਜੈਵ,অজৈব,अजैव,"ಅಜೈವಿಕ, ಅಜೈವ",അജൈവ,அஜைவ,అజైవ,اجیو,অজৈ,"ଅଜୀବୀୟ, ଅଜୈବ",अजैव
Abrasion,"अपघर्षण, खरोंच घर्षण अथवा रगड़ से होने वाली क्षति।","અપઘર્ષણ, ખરોંચ ઘર્ષણ અથવા રગડ઼ સે હોને વાલી ક્ષતિ.","अपघर्षण, खरोंच घर्षण अथवा रगड़ से होने वाली क्षति.",ਖੁਰਚਣ,"অপঘর্ষণ, খরোংচ ঘর্ষণ অথবা রগড় সে হোনে বালী ক্ষতি.","अपघर्षण, खरोंच घर्षण अथवा रगड़ से होने वाली क्षति.","ಉಜ್ಜುವಿಕೆ, ತರಚಿಕೆ","അപഘര്ഷണ, ഖരോംച ഘര്ഷണ അഥവാ രഗഡ സേ ഹോനേ വാലീ ക്ഷതി.","அபகர்ஷண, கரோங்ச கர்ஷண அதவா ரகட ஸே ஹோநே வாலீ க்ஷதி.","అపఘర్షణ, ఖరోంచ ఘర్షణ అథవా రగడ సే హోనే వాలీ క్షతి.",خراشید گی۔ سائید گی۔ سایش,"অপঘর্ষণ, খরংচ ঘর্ষণ অথা রগড় স হন ালী ক্ষতি.","ଅପଘର୍ଷଣ, ଘର୍ଷଣଜନିତ ଚର୍ମକ୍ଷୟ","अपघर्षण, खरोंच घर्षण अथवा रगड़ से होने वाली क्षति."
Acaudate,अपुच्छि,અપુચ્છિ,अपुच्छि,ਅਪੁਚ੍ਛਿ,অপুচ্ছি,अपुच्छि,ಅಪುಚ್ಛಿ,അപുച്ഛി,அபுச்சி,అపుచ్ఛి,اپوچھی,অপুচ্ছি,ଅପୁଚ୍ଛି,अपुच्छि
Accessory sexual character,सहायक लैंगिक लक्षण,સહાયક લૈંગિક લક્ષણ,सहायक लैंगिक लक्षण,ਸਹਾਯਕ ਲੈਂਗਿਕ ਲਕ੍਷ਣ,সহাযক লৈংগিক লক্ষণ,सहायक लैंगिक लक्षण,ಸಹಾಯಕ ಲೈಂಗಿಕ ಲಕ್ಷಣ,സഹായക ലൈംഗിക ലക്ഷണ,ஸஹாயக லைங்கிக லக்ஷண,సహాయక లైంగిక లక్షణ,سہایک لینگک لکشن,সহাযক লৈংগিক লক্ষণ,ସହାଯକ ଲୈଂଗିକ ଲକ୍ଷଣ,सहायक लैंगिक लक्षण
Acicular,सूच्याकार,સૂચ્યાકાર,सूच्याकार,ਸੂਚ੍ਯਾਕਾਰ,সূচ্যাকার,सूच्याकार,ಸೂಚ್ಯಾಕಾರ,സൂച്യാകാര,ஸூச்யாகார,సూచ్యాకార,سوچیاکار,সূচ্যাকার,ସୂଚ୍ୟାକାର,सूच्याकार
Acoelomate,अगुहिक,અગુહિક,अगुहिक,ਅਗੁਹਿਕ,অগুহিক,अगुहिक,ಅಗುಹಿಕ,അഗുഹിക,அகுஹிக,అగుహిక,اگہک,অগুহিক,ଶରୀର - ଗହ୍ଵର ହୀନ,अगुहिक
