English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Abnormal,अपसामान्य,"અસામાન્ય, નિયમબાહ્ય, વિકૃતિ, અસાધારણ","असामान्य, प्रमाणाबाहेर","ਅਸਹਿਜ, ਅਸਮਾਨ",অস্বাভাবিক,"अपसामान्य,विचित्र","ಅಸಹಜ, ಅಪಸಾಮಾನ್ಯ",വികല,இயல்பு மீறிய,"అసాధారణ,అసామాన్య,",غیر معمولی,অস্বাভাৱিক,"ଅସ୍ୱାଭାବିକ, ଅନିୟମିତ","असामान्य, विकृत"
Abreaction,भावविरेचन,ભાવવિરેચન,भावविरेचन,ਭਾਵਵਿਰੇਚਨ,ভাববিরেচন,भावविरेचन,ಭಾವವಿರೇಚನ,ഭാവവിരേചന,பாவவிரேசந,భావవిరేచన,بھاووریچن,ভািরচন,ଭାବବିରେଚନ,भावविरेचन
Absconder,"भगोड़ा, फरार","ભગોડ઼ા, ફરાર","भगोड़ा, फरार","ਭਗੋਡ਼ਾ, ਫਰਾਰ","ভগোড়া, ফরার","भगोड़ा, फरार","ಭಗೋಡ಼ಾ, ಫರಾರ","ഭഗോഡാ, ഫരാര","பகோடா, பரார","భగోడా, ఫరార",بھگوڑا، فرار,"ভগড়া, ফরার","ଭଗୋଡ଼ା, ଫରାର","भगोड़ा, फरार"
Absenteeism,अनुपस्थितता,"ગેરહાજર રહેવાનું વલણ,ગેરહાજર રહેવાની માનસિકતા",अनुपस्थिती प्रवृत्ती,"ਗੈਰਹਾਜ਼ਿਰ ਰਹਿਣ ਦਾ ਸ਼ੁਭਾ, ਕਿਧਰੇ ਹੋਰ ਰਹਿਣਾ","অনুপস্থিতিবাদ,কর্মেঅনুপস্থিতথাকারঅভ্যাস","अनुपस्थिती-प्रवृत्ती,गैरहाजिरी-प्रवृत्ती","ಗೈರು ಹಾಜರಿ, ಅಭಾವ",ഹാജരാകാതിരിക്കുന്ന പ്രവണത,(உடமையினின்றோ கடமையினின்றோ) விலகியிருத்தல்,గైరు హాజరు అయ్యే అలవాటు లేక ప్రవృత్తి,عدم شرکت,অনুপস্থিতিপ্রবৃত্তি,"ଅନୁପସ୍ଥିତିତ୍ୱ, ଅନୁପସ୍ଥାନ",अनुपस्थित रहने प्रवृत्ति
Abulia,संकल्प-अक्षमता,સંકલ્પ-અક્ષમતા,संकल्प-अक्षमता,ਸਂਕਲ੍ਪ-ਅਕ੍਷ਮਤਾ,সংকল্প-অক্ষমতা,संकल्प-अक्षमता,ಸಂಕಲ್ಪ-ಅಕ್ಷಮತಾ,സംകല്പ-അക്ഷമതാ,ஸங்கல்ப-அக்ஷமதா,సంకల్ప-అక్షమతా,سنکلپ-اکشمتا,সংকল্প-অক্ষমতা,ସଂକଲ୍ପ-ଅକ୍ଷମତା,संकल्प-अक्षमता
Acceptance,"स्वीकरण, स्वीकृति","સ્વીકાર, સ્વીકૃતિ","स्वीकृति, स्वीकार","ਮੰਜੂਰੀ, ਗਰਹਿਣ ਕਰਨਾ(ਕਨੂੰਨ) ਸਵੀਕਾਰਨ, ਪ੍ਰਵਾਗੀਤ","স্বীকার(-পত্র),গ্রহণ,স্বীকৃতি,প্রাপ্তিস্বীকার","स्विकार,हयकार/मान्यताय","ಸ್ವೀಕಾರ, ಅಂಗೀಕಾರ, ಒಪ್ಪಿಗೆ","സ്വീകരിക്കൽ, പ്രതിഗ്രഹണം","ஏற்றுக்கொள்ளுதல், ஒப்புக்கொள்ளுதல்","స్వీకృతి,అంగీకారం,స్వీకారం",منظوری,"গ্রহণ, স্বীকৃতি",ସ୍ୱୀକୃତି,"मञ्जूरी, मान्यता, स्वीकृति"
Accident prevention,दुर्घटना निवारण,દુર્ઘટના નિવારણ,दुर्घटना निवारण,ਦੁਰ੍ਘਟਨਾ ਨਿਵਾਰਣ,দুর্ঘটনা নিবারণ,दुर्घटना निवारण,ದುರ್ಘಟನಾ ನಿವಾರಣ,ദുര്ഘടനാ നിവാരണ,துர்கடநா நிவாரண,దుర్ఘటనా నివారణ,درگھٹنا نوارن,দুর্ঘটনা নিারণ,ଦୁର୍ଘଟନା ନିବାରଣ,दुर्घटना निवारण
Accident proneness,दुर्घटना प्रवणता,દુર્ઘટના પ્રવણતા,दुर्घटना प्रवणता,ਦੁਰ੍ਘਟਨਾ ਪ੍ਰਵਣਤਾ,দুর্ঘটনা প্রবণতা,दुर्घटना प्रवणता,ದುರ್ಘಟನಾ ಪ್ರವಣತಾ,ദുര്ഘടനാ പ്രവണതാ,துர்கடநா ப்ரவணதா,దుర్ఘటనా ప్రవణతా,درگھٹنا پرونتا,দুর্ঘটনা প্রণতা,ଦୁର୍ଘଟନା ପ୍ରବଣତା,दुर्घटना प्रवणता
Acclimation (acclimatization),पर्यनुकूलन,પર્યનુકૂલન,पर्यनुकूलन,ਪਰ੍ਯਨੁਕੂਲਨ,পর্যনুকূলন,पर्यनुकूलन,ಪರ್ಯನುಕೂಲನ,പര്യനുകൂലന,பர்யநுகூலந,పర్యనుకూలన,پرینکولن,পর্যনুকূলন,ପର୍ଯନୁକୂଲନ,पर्यनुकूलन
Accused,अभियुक्त,"આરોપી, તહોમતદાર","आरोप असलेला, आरोपी",ਦੋਸ਼ੀ ਅਪਰਾਧੀ,"অভিযুক্ত,আসামী","आरोपी,दोशी",ಆಪಾದಿತ,പ്രതി,குற்றம் சாட்டப்பட்டவர்,"నిందితుడు,ముద్దాయి",ملزم,"অভিযুক্তব্যক্তি,পদকীয়া,আচামী",ଅଭିଯୁକ୍ତ,"अभियुक्त, आरोपित व्यक्ति"
Achievement,उपलब्धि,"લક્ષ્યપ્રાપ્તિ, કાર્યસિદ્ધિ, સિદ્ધિ","संपादणूक, कामगिरी, उपलब्धि","ਪ੍ਰਾਪਤੀ, ਉਪਲਬਧੀ","অর্জন,সিদ্ধি,কীর্তি","प्राप्‍ती,(कर्तृत्व प्राप्‍ती)",ಸಾಧನೆ,നേട്ടം,"சாதனை, முடிந்த செயல்","సాఫల్యం,సిద్ధి,సాధించిన కార్యం",کارنامہ,"সিদ্ধি,সাফল্য","ସଫଳତା, ସିଦ୍ଧି, କୃତି,ଉପଲବ୍ଧି, ସଫଳ ସଂପାଦନ",उपलब्‍धि
Achievement test,उपलब्धि परीक्षण,ઉપલબ્ધિ પરીક્ષણ,उपलब्धि परीक्षण,ਉਪਲਬ੍ਧਿ ਪਰੀਕ੍਷ਣ,উপলব্ধি পরীক্ষণ,उपलब्धि परीक्षण,ಉಪಲಬ್ಧಿ ಪರೀಕ್ಷಣ,ഉപലബ്ധി പരീക്ഷണ,உபலப்தி பரீக்ஷண,ఉపలబ్ధి పరీక్షణ,اپلبدھی پریکشن,উপলব্ধি পরীক্ষণ,ଉପଲବ୍ଧି ପରୀକ୍ଷଣ,उपलब्धि परीक्षण
Acquittal,दोषमुक्ति,દોષમુક્તિ,दोषमुक्ति,ਦੋ਷ਮੁਕ੍ਤਿ,দোষমুক্তি,दोषमुक्ति,ದೋಷಮುಕ್ತಿ,ദോഷമുക്തി,தோஷமுக்தி,దోషముక్తి,دوشمکتی,দষমুক্তি,ଦୋଷମୁକ୍ତି,दोषमुक्ति
Action research,क्रियानिष्ठ अनुसंधान,ક્રિયાનિષ્ઠ અનુસંધાન,क्रियानिष्ठ अनुसंधान,ਕ੍ਰਿਯਾਨਿ਷੍ਠ ਅਨੁਸਂਧਾਨ,ক্রিযানিষ্ঠ অনুসংধান,क्रियानिष्ठ अनुसंधान,ಕ್ರಿಯಾನಿಷ್ಠ ಅನುಸಂಧಾನ,ക്രിയാനിഷ്ഠ അനുസംധാന,க்ரியாநிஷ்ட அநுஸங்தாந,క్రియానిష్ఠ అనుసంధాన,کریانشٹھ انوسندھان,ক্রিযানিষ্ঠ অনুসংধান,କ୍ରିଯାନିଷ୍ଠ ଅନୁସଂଧାନ,क्रियानिष्ठ अनुसंधान
Activity,"सक्रियता, क्रिया कलाप","સક્રિયતા, ક્રિયા કલાપ","सक्रियता, क्रिया कलाप","ਸਰਗਰਮੀ,ਚੁਸਤੀ","সক্রিযতা, ক্রিযা কলাপ","सक्रियता, क्रिया कलाप","ಸಕ್ರಿಯತೆ, ಪಟುತ್ವ, ಕಾರ್ಯಶೀಲತೆ",പ്രവര്‍ത്തനം,"ஸக்ரியதா, க்ரியா கலாப","సక్రియతా, క్రియా కలాప",سرگرمی,"সক্রিযতা, ক্রিযা কলাপ",ସକ୍ରିୟତା,"सक्रियता, क्रिया कलाप"
