Malayalam,Kannada
വിലക്ഷണമായ,ಅಸಹಜ
ഉപേക്ഷിക്കുക,ಸ್ಥಗಿತಗೊಳಿಸು
വധനം,ಸವೆದುಹೋಗುವಿಕೆ
ആകസ്മികമായ,ಹಠಾತ್ತಾಗಿ
കേവല ഫീൽഡ് ശക്തി,ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ
കേവല താപനില,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
യഥാർത്ഥ മൂല്യം,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
ഉള്ക്കൊള്ളുക,ಹೀರಿಕೊಳ್ಳಿ
ആഗിരണം കോ-കാര്യക്ഷമമാണ്,ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ
ആഗിരണം നഷ്ടം,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
വേര്പെട്ടുനില്ക്കുന്ന,ಅಮೂರ್ತ
ആക്സിലറോമീറ്റർ,ವೇಗವರ್ಧಕ ಮಾಪಕ
സ്വീകാര്യത പരിശോധന,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
പ്രവേശനം,ಪ್ರವೇಶ
പ്രവേശന നിയന്ത്രണം,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
പ്രവേശന പോയിന്റ്,ಪ್ರವೇಶ
ആക്സസ് സമയം,ಪ್ರವೇಶ ಸಮಯ
പ്രവേശനക്ഷമത,ಪ್ರವೇಶಿಸುವಿಕೆ
സഞ്ചിത സെൽ,ಸಂಚಯಕ ಕೋಶ
കൃതത,ನಿಖರತೆ
സൂക്ഷ്മമായ,ನಿಖರವಾದ
അച്രോമാറ്റിക് ലെൻസ്,ವರ್ಣರಂಜಿತ ಮಸೂರದ
പുളിപ്പുള്ള,ಆಮ್ಲ
ആസിഡ് തെളിവ്,ಆಮ್ಲ ಪುರಾವೆ
അസിഡിറ്റി,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
അംഗീകാര ബിറ്റ്,ಸ್ವೀಕೃತ ಬಿಟ್
അക്കോസ്റ്റിക്,Acೇಳ್ಳರದ
അക്കോസ്റ്റിക് ആശയവിനിമയം,ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ
അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
അക്കോസ്റ്റിക് ഇക്വൈസർ,ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ
അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
അക്ക ou സ്റ്റിക് ഫിൽട്ടർ,ಕೊಳೆತ ಫಿಲ್ಟರ್
അക്കോസ്റ്റിക് ഇംപാസ്,ಸಕಲಿಯ ಪ್ರತಿರೋಧ
അക്കോസ്റ്റിക് മാസ്കിംഗ്,ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ
അക്കോസ്റ്റിക് പവർ,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ
അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി,ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ
അക്കോട്ടിക് റിയാൻസ്,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്,ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್
അക്കോസ്റ്റിക് ടൈൽ,ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್
അക്ക ou സ്റ്റിക് തരംഗം,ಸ ೦ ವರ ತರಂಗ
ശബ്ദ ആഗിരണം,ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം,ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ
അക്കോസ്റ്റിക്കൽ നനവ്,ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್
