Marathi,Gujarati
Uptement,ખર્ચ
संक्षेप,સંક્ષેપ
अपहरण,અપહરણ
अबाधित,સ્થગ
क्षमता,ક્ષમતા
अब इनिशिओ,આરંભ
सक्षम,કઠોર
असामान्य,અસામાન્ય
निर्मूलन,નાબૂદી
रद्दबातल पोस्ट,નાબૂદી પોસ્ટ
वर दिल्याप्रमाणे,ઉપર ઉલ્લેખ કર્યો છે
वर उद्धृत,ઉપર જણાવેલ
वरील म्हणाले,ઉપર જણાવ્યું હતું કે
अनुपस्थिती,ગેરહાજરી
अनुपस्थित,ગેરહાજર
अनुपस्थिति,ગેરહાજરી
अनुपस्थित विधान,અનુપસ્થિત નિવેદનો
परिपूर्ण,અબાધિત
परिपूर्ण मक्तेदारी,અબાધિત ઈજારો
परिपूर्ण मालकी,અબાધિત માલિકી
शोषण,સમાવેશ
गोषवारा,નિષ્ક્રિય
अमूर्त स्टेटमेंट,અખબારો
बेशुद्ध,વાહિયાત
विपुलता,વિપુલતા
शक्तीचा गैरवापर,સત્તાનો દુરુપયોગ
अपमानास्पद भाषा,અપશબ્દો
शैक्षणिक,શૈક્ષણિક
शैक्षणिक चर्चा,શૈક્ષણિક ચર્ચા
शैक्षणिक रजा,શૈક્ષણિક રજા
शैक्षणिक पात्रता,શૈક્ષણિક લાયકાત
शैक्षणिक नोंद,વિદ્યા
प्रवेश,સહયોગ કરવો
स्वीकारा,સ્વીકારવું
स्वीकृती,સ્વીકૃતિ
कार्यालय स्वीकारणे,પદની સ્વીકૃતિ
निविदा स्वीकारणे,પ્રતિજ્ ofા
प्रवेश,પ્રવેશ
प्रवेश,સંચાર
Ory क्सेसरी,સહાયક
अपघात,અકસ્માત
सहनशीलता,સ્વાર્થીકરણ
निवास,આવાસ
सोबत,સંલગ્ન
करार,સંલગ્ન
अनुयायी,અનુસાર
त्यानुसार,તદનુસાર
खाते,હિસાબ
उत्तरदायित्व,જવાબદારી
जबाबदार,જવાબદાર
अकाउंटन्सी,હિસાબની સંખ્યા
अकाउंटंट,હિસાબ રાખનાર
साठी खाते,માટે એકાઉન્ટ
खाते डोके,હિસાબનું માથું
जमा लाभ,ઉપાર્જિત લાભ
जमा पेन्शन,ઉપાર્જિત પેન્શન
संचय,સંચય
अचूकता,ચોકસાઈ
अचूक,ચોક્કસ
आरोप,આક્ષેપ કરવો
आरोपी,આરોપી
यश,સિદ્ધિ
पोचपावती,સ્વીકૃતિ
पावती देय,સ્વીકૃતિ
ओळखी,પરિચય
संपादन,સંપાદન
शोध,મુક્તિ
कायदा,કૃત્ય
अभिनय भत्ता,કાર્યકારી ભથ્થું
क्रिया,ક્રિયા
कृती योजना,કાર્ય યોજના
सक्रिय,સક્રિય
सक्रियपणे,સક્રિયપણે
कार्यकर्ता,સક્રિયકાર્ય
देवाची करणी,ભગવાનનો કૃત્ય
गैरवर्तन कायदा,ગેરવર્તન
कमिशनचे कार्य आणि वगळणे,કમિશન અને કમિશન અને બાદબાકી
वास्तविक,વાસ્તવિક
वास्तविक,વાસ્તવિક
रुपांतर,અનુકૂલન
या व्यतिरिक्त,વધારા
अतिरिक्त शुल्क,વધારાનો ખર્ચ
अतिरिक्त निधी,વધારાના નિધિ
अतिरिक्त अनुदान,વધારાની અનુદાન
अतिरिक्त माहिती,વધારાની માહિતી
अतिरिक्त वेतन,વધારાનો પગાર
जोड आणि बदल,ઉમેરો અને ફેરફાર
पत्ता,સંબોધન
पत्ता,સંબોધન કરનાર
स्वागताचा पत्ता,સ્વાગતનું સરનામું
पुरेसे,પૂરતું
चे पालन करा,ને અનુરૂપ બનાવવું
अ‍ॅड हॉक,તદર્થ
तदर्थ दावा,તદર્થપત્ર
तदर्थ समिती,તદર્થ સમિતિ
तदर्थ वाढ,તદર્થ વધારો
तदर्थ देयक,તદ્દન ચુકવણી
समीप,અડીને
शेजारी (= संमिश्र),અડીને (= સુસંગત)
तहकूब,મોકૂફી
तहकूब गती,મોકૂફીની દરખાસ્ત
सहभाग,ન્યાયનિર્ણય કરવો
न्यायाधीश,ન્યાયનિર્ણય કરવો
निर्णय,ન્યાયનિર્ણય
न्यायाधीश,ન્યાયનિધીકરણ કરનાર
समायोजन,સમાયોજન
प्रशासकीय,સંચાલન કરવું
शपथ प्रशासित करा,સોગંદ કરવો
प्रशासन,વહીવટ
न्याय प्रशासन,ન્યાય પ્રણાલી
प्रशासकीय,વહીવટી
प्रशासकीय कारवाई,વહીવટી પગલાં
प्रशासकीय मूल्यांकन,વહીવટી મૂલ્યાંકન
प्रशासकीय मान्यता,વહીવટી મંજૂરી
प्रशासकीय अधिकार,વહીવટી સત્તા
प्रशासकीय नियंत्रण,વહીવટી નિયંત્રણ
प्रशासकीय निर्णय,વહીવટી નિર્ણય
