Odiya,Hindi
ପରିତ୍ୟାଗ,विफलन
ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |,विफलन कालद
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,निरपेक्ष पता
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,निरपेक्ष पताभिगमन
ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |,निरपेक्ष कोडांतरक
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,निरपेक्ष कूट
ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |,निरपेक्ष कूटलेखन
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,निरपेक्ष समादेश
ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |,निरपेक्ष निर्देशांक
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,निरपेक्ष आंकड़े
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,निरपेक्ष त्रुटि
ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |,निरपेक्ष व्यंजक
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା,निरपेक्ष अनुदेश
ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |,निरपेक्ष भारक
ସଂପୂର୍ଣ୍ଣ କ୍ରମ,निरपेक्ष आदेश
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,निरपेक्ष क्रमादेशन
ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ,निरपेक्ष पद
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,निरपेक्ष मान
ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |,निरपेक्ष सदिश
ବିସ୍ତୃତ,"सारांश, अमूर्त"
ବିସ୍ତୃତ,"सारांशन, अमूर्तकरण, साराहरण"
ବିସ୍ତୃତ ପ୍ରତୀକ |,अमूर्त प्रतीक
ତ୍ୱରଣ ସମୟ,त्वरण अवधि
ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |,त्वरण काल
ଉଚ୍ଚାରଣ,उच्चारण चिह्न
