Hindi,Kannada
अपाक्ष पृष्ठ,ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ
उदर,ಹೊಟ್ಟೆ
उदर महाधमनी,ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ
उदर गुच्छिका,ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ
अबेलमॉस्कस एस्कुलेन्टस,ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್
विपथन,ವಿರೂಪಗೊಳಿಸುವಿಕೆ
ऐबीज (बलूत),ಅಬ್ಬರ
ऐबिंग्डन कछुआ,ಅಬಿಂಗ್ಡನ್ ಆಮೆ
अजीवात्जनन,ಕ್ಷು ತನ್ನತೆ
अजीवीय,ಅಸಹ್ಯವಾದ
"अजीवीय कारक, अजैव कारक",ಉದಾಸೀಯ ಅಂಶ
अपसामानय मूत्र,ಅಸಹಜ ಮೂತ್ರ
ए.बी.ओ. रुधिर वर्ग,ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್
एब्सिसिक अम्ल,ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ
विलगन,ಕಂದಿಸುವುದು
अवशोषण करना,ಹೀರಿಕೊಳ್ಳಿ
अवशोषण शिखर,ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ
अवशोषण,ಹೀರುವಿಕೆ
अकेशिया कैटेच्यू,ಅಕಿಯಾ ಕ್ಯಾಟೆಚು
अकेशिया अरेबिका (बबूल),ಅಕ್ಯಾಬಿಕಾ
ऐकैप्रिन,ಅಣಕಾದ
स्वीकार्य लैंगिक व्यवहार,ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ
सहायक ग्रंथि,ಪರಿಕರ ಗ್ರಂಥಿ
अतिरिक्त ग्रंथि,ಪರಿಕರ ಗ್ರಂಥಿ
सहायक अंग,ಪರಿಕರ ಅಂಗ
"पर्यनुकूलन, दशानुकूलन",ಒಗ್ಗೂಡಿಸುವಿಕೆ
"पर्यनुकूलित करना, दशानुकूलित करना",ಒಗ್ಗಿಸು
समंजन (फोकसन),ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು)
नेत्र की समंजन क्षमता,ಕಣ್ಣಿನ ವಸತಿ
अभिवर्धी वृद्धि,ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ
"संचय, संचयन",ಸಂಗ್ರಹಣೆ
कार्बनिक पदार्थों का एकत्रीकरण,ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ
मृदा संचयन,ಮಣ್ಣಿನ ಸಂಗ್ರಹ
अकोशिकीय,ಉಭಯಾಕಾರದ
अकोशिकीय जीव,ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ
"श्रोणिउलूखल, ऐसीटैबुलम",ಅಸೆಟಾಬುಮ್
ऐसीटेल्डिहाइड,ಅಸೆಟಾಲ್ಡಿಹೈಡ್
ऐसीटिल सह-ऐंजाइम,ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್
ऐकेटाइना,ಕಸ
ऐकीन प्रकार,ಮೊಲ ಪ್ರಕಾರ
ऐकीन,ಉಂಗುರ
ऐक्लेमाइडोस्पोरी,ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ
अम्ल वर्षा,ಆಮ್ಲ ಮಳೆ
अम्लीय,ಆಮ್ಲೀಯ
अम्लीय गैस,ಆಮ್ಲೀಯ ಅನಿಲ
अम्लता,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
गुच्छकोष्ठक कोशिका,ಅಸಿನಾರ್ ಕೋಶ
अगुहिक,ಜಾಮಕೀಯ
ऐकोनिटम,ಅನನಟ
"एकॉर्न कृमि, बंजुक कृमि",ಆಕ್ರೋಶದ ಹುಳು
"ध्वानिक मंडलन, ध्वानिक जोननिर्माण",ಅಕೌಸ್ಟಿಕ್ ವಲಯ
उपार्जित लक्षण,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ
उपार्जित प्रतिरक्षा,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ
उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स),ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಇಮ್ಯುನೊ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್ (ಏಡ್ಸ್)
ऐक्रैनिया,ಪ್ರಾದೇಶಿಕ
एक्रिडीन रंजक,ಅಣಕಾದ ಬಣ್ಣ
अग्रकेंद्री,ವ್ಯಾಪಕವಾದ
अंसकूट,ಅಕ್ರಾಮನ್
अग्राभिसारी अनुक्रम,ಸ್ಥಗಿತದ ಅನುಕ್ರಮ
अग्राभिसारी क्रम,ಅಕ್ರೊಫೆಟಲ್ ರಾಶಿ
एक्रोसिन,ಅಕ್ರೋಸಿನ್
