English,Malayalam
Aberration,"വിപഥന, അപേരണ"
Abnormal propagation,അസാമാന്യ സംചരണ
Abrupt,"അസംലഗ്ന, സഹസാ, ഖഡാ, വിച്ഛിന്ന, ഖംഡിത"
Absent spectrum,ലുപ്ത സ്പേക്ട്രമ
Absolute,കേവല
Absolute humidity,നിരപേക്ഷ ആര്ദ്രതാ
Absolute motion,നിരപേക്ഷ ഗതി
Absolute observation,നിരപേക്ഷ പ്രേക്ഷണ
Absolute temperature,പരമ താപ
Absolute zero,പരമ ശൂന്യ
Absorb,അവശോഷണ കരനാ
Absorber,"അവശോഷക, അവശോഷീ"
Absorbing power,അവശോഷണ സാമര്ഥ്യ
Absorptance,അവശോഷണാംശ
Absorptive,അവശോഷീ
Absorptivity,അവശോഷകതാ
Abundance ratio,ബാഹുല്യ അനുപാത
Accelerate,ത്വരിത കരനാ
Accelerated,ത്വരിത
Acceleration,ത്വരണ
Acceleration of gravity,ഗുരുത്വ ത്വരണ
Accelerative,ത്വരക
Accelerator,"ത്വരിത്ര, ത്വരക"
Accelerometer,ത്വരണമാപീ
Accentuator,പ്രാക്പ്രബലക
Acceptance test,സ്വീകാരീ പരീക്ഷണ
Acceptor,"ഗ്രാഹീ, സ്വീകാരീ"
Acceptor molecule,ആദാതാ അണു
Access,പ്രവേശം
Accessibility,അഭിഗമ്യതാ
Accessory,"അനുബന്ധം, ഉപസാധനം, സഹായകോപകരണം, പങ്കാളി"
Access time,അഭിഗമ കാല
Accidental error,ആഗന്തുക ത്രുടി
Accommodation,"വാസം, സ്ഥലസൌകര്യം, താമസസൌകര്യം"
Accumulated,സംചിത
Accumulation,"സഞ്ചയനം, ശേഖരം"
Accumulator,സംചായക
Accuracy,"കൃത്യത, വാസ്തവികത, കണിശത"
Accurate,കൃത്യമായ
Achromat,അവര്ണക ലേന്സ
Achromatic,അവര്ണക
Achromatism,അവര്ണകതാ
Acoustical,ധ്വാനിക
Acoustically insulated,ധ്വനിരുദ്ധ
Acoustical phonon,ധ്വാനിക ഫോനൌന
Acoustical unit,ധ്വനി-മാത്രക
Acoustic,ധ്വാനിക
Acoustic generator,ധ്വനി ജനിത്ര
Action and reaction,ക്രിയാ ഔര പ്രതിക്രിയാ
Activation,സക്രിയണ
Activation energy,സക്രിയണ ഉര്ജാ
Activator,"സക്രിയകാരക, സക്രിയക"
Active,സക്രിയമായ
Activity,പ്രവര്‍ത്തനം
Actual stress,വാസ്തവിക പ്രതിബല
Acute exposure,ക്ഷിപ്ര ഉദ്ഭാസന
Add,കൂട്ട്
Addition,"സങ്കലനം, കൂട്ടൽ, ചേ൪പ്പ്, കൂട്ടിച്ചേ൪ക്കൽ"
Additional tone,"സംയോജീ സ്വര, അതിരിക്ത ടോന (സ്വര)"
Additive,"യോജ്യ, യോഗാത്മക"
Adhesion,ആസംജന
