Punjabi,Assamese
ਐਂਪੀਅਰ (ਯੂਨਿਟ),এম্পিয়াৰ (ইউনিট)
angstrum,angstrum
ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,এ-ক্লাছ এম্প্লিফায়াৰ
ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ,এ এন ৰেডিঅ&#39; সহায়
ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ,a-স্কেনিং উপস্থাপন
a-ਦਰਸ਼,আ-দৰ্শ
ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ,এ-স্কোপ পৰিৱেশন
A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ,A-T বক্ৰ স্ফটিক
"AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ","এ চি-ডি চি লাভ, ক. চিডি। চি লাভী, এ. চিডি। গ) পৰিবৰ্ধন"
am,am
ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),এ এম ইউ (পাৰমাণৱিক ভৰ একক)
ਆਰਡ-ਵਰਕ*,aard-vark* গেস্টবুক
ਐਬ-ਐਂਪੀਅਰ,ab-ampere
ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A-B শ্ৰেণীৰ এম্প্লিফায়াৰ
adah,আদাহ
ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ,ক-খ শক্তি পিটকা
abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ,abc = প্ৰান্তিককৰণ চাৰ্ট = নোমোগ্ৰাফ
ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ),Abe সংখ্যা (Abe ধ্ৰুৱক)
abe refractometer,abe বিবৰ্তনমাপক
ਅਬੇ ਸਾਈਨ ਸਟੇਟ,abe চাইন অৱস্থা
ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ,স্বয়ংক্ৰিয় পক্ষপাতিত্ব ক্ষতিপূৰণ
abcoulom,abcoulom
ਵਿਗਾੜ,বিচ্যুতি
ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ,বিচ্যুতি সংশোধক লেন্স
ਅਸਮਾਨ ਵਿਕਾਰ,আকাশৰ বিচ্যুতি
abfarad,abfarad
ਈਬੇਨਰੀ,এবেনৰী
ਈਬੋਨੀ ਪ੍ਰਭਾਵ,আবলুস ইফেক্ট
ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ,অস্বাভাৱিক মেৰুকৰণ
ਅਸਧਾਰਨ ਸੰਚਾਰ,অস্বাভাৱিক সংক্ৰমণ
ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ,অস্বাভাৱিক প্ৰতিফলন
ਅਸਧਾਰਨ ਅਪਵਰਤਨ*,অস্বাভাৱিক বিবৰ্তন*
ਅਲੌਕਿਕ ਵਿਰੋਧ,পেৰানাৰ্মেল ৰেজিষ্টেন্স
ab-om,ab-om
"ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ","preponderance, বিফলতা"
"ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","সংলগ্ন, সাধাৰণতে, থিয় হৈ, কাটি যোৱা, খণ্ডিত"
ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ,সঘনাই জপিয়াই পৰে
ਹੱਥ*,হাত*
ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ,হেৰুৱা প্ৰতিফলন
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,অনুপস্থিত বৰ্ণালী
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
ਪੂਰਨ ਪ੍ਰਵੇਗ,নিৰপেক্ষ ত্বৰণ
ਪੂਰਨ ਅਸਲੀਅਤ,নিৰপেক্ষ বাস্তৱতা
ਪੂਰਾ ਪਤਾ,নিৰপেক্ষ ঠিকনা
ਭੂ-ਸੰਬੰਧੀ ਉਚਾਈ ਮੀਟਰ,ভূ-আপেক্ষিক উচ্চতামাপক
ਭੂ-ਵਿਗਿਆਨਕ ਉਚਾਈ,ভূতাত্ত্বিক উচ্চতা
ਪੂਰਨ ਐਂਪੀਅਰ,নিৰপেক্ষ এম্পিয়াৰ
ਪੂਰਨ ਉਬਾਲ ਬਿੰਦੂ,নিৰপেক্ষ উতলাংক
ਪੂਰਨ ਪ੍ਰਕਾਸ਼,নিৰপেক্ষ আলোকসজ্জা
ਪੂਰਨ ਸਮਰੱਥਾ,নিৰপেক্ষ ধাৰণক্ষমতা
ਪੂਰਨ ਉਚਾਈ,নিৰপেক্ষ উচ্চতা
ਪੂਰਨ ਰੰਗ,নিৰপেক্ষ ৰঞ্জক পদাৰ্থ
"ਪੂਰਨ ਸੰਰਚਨਾ, ਅਸਪਸ਼ਟ ਸੰਰਚਨਾ","নিৰপেক্ষ বিন্যাস, নিৰ্দ্বিধায় বিন্যাস"
ਪੂਰਨ ਕੂਲੰਬ,নিৰপেক্ষ coulomb
ਪੂਰਾ ਹਨੇਰਾ,সম্পূৰ্ণ অন্ধকাৰ
ਪੂਰਨ ਸਮਾਂ-ਸਾਰਣੀ,নিৰপেক্ষ সময়সূচী
ਸੰਪੂਰਨ ਘਣਤਾ*,নিৰপেক্ষ ঘনত্ব*
