Malayalam,English
ആസിഡോയിഡ്,Acidoid
അയോലിയൻ മണ്ണ്,Aeolian soil
ആകെത്തുകയായുള്ള,Aggregate
സമാഹരണം,Aggregation
അഗ്രോളജി,Agrology
അഗ്രോണമി,Agronomy
എ-ചക്രവാളം,A-horizon
Ao-ചക്രവാളം,Ao-horizon 
Aoo-ചക്രവാളം,Aoo-horizon
മണ്ണിന്റെ വായു ശേഷി,Air capacity of soil
മണ്ണിന്റെ വായു ഉള്ളടക്കം,Air content of soil
എയർ പിക്നോമീറ്റർ,Air picnometer
അല്ലിറ്റിക് മണ്ണ്,Allitic soil
എക്കൽ മണ്ണ്,Alluvial soil
ആംഫോളിറ്റോയ്ഡ്,Ampholytoid
അനിയോൺ,Anion
"പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;","Apparent specific gravity volume weight or bulk specific gravity,"""
ആരിസ്,Arris
അഷ്ലാർ നല്ല കൊത്തുപണി,Ashlar fine masonry
ആഷ്ലാർ കൊത്തുപണി,Ashlar masonry
അസോണൽ മണ്ണ്,Azonal soil
പിന്നണി നടൻ,Back acter 
പിന്നിലെ കമാനം,Back arch
ബാക്ക് ബാൻഡ്,Back band
ബാക്ക് ബ്രഷ്,Back brush
തിരികെ പരിശോധിക്കുക,Back check
ബാക്ക് കൗണ്ടർ,Back counter
ബാക്ക് കട്ടിംഗ്,Back cutting
ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ,Back draft damper
ബാക്ക് ഡ്രെയിനേജ്,Back drain
ബാക്ക് ഡ്രോപ്പ്,Back drop
തിരികെ പൂരിപ്പിക്കുക,Back fill
ബാക്ക് ഫില്ലറ്റ്,Back fillet
ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്,Back flap hinge
ബാക്ക് ഫ്ലോ കണക്ഷൻ,Back flow connection
ബാക്ക് ഫ്ലോ പ്രിവന്റർ,Back flow preventer
ബാക്ക് ഗേജ്,Back gauge 
പിന്നിലെ ഗട്ടർ,Back gutter 
പിന്നിലെ അടുപ്പ്,Back hearth
പിന്തുണ,Backing
ബാക്കിംഗ് ബോർഡ്,Backing board
പിന്നിലെ മർദ്ദം,Back pressure
ബാക്ക് പ്രോപ്പ്,Back prop
പിന്നാമ്പുറ കാഴ്ച,Back sight 
പിൻ വെള്ളം,Back water
തടസ്സപ്പെടുത്തുക,Baffle
ബാഗ് വർക്ക്,Bagwork 
ബാലസ്റ്റ്,Ballast
പന്ത് കളിമണ്ണ്,Ball clay
ബോൾ കോൺ ക്ലാമ്പ്,Ball cone clamp
മുള്ളുകമ്പി,Barbed wire
ബാർ നായ,Bar dog
ബാർജ് ബോർഡ്,Barge board
ബേരിയം സൾഫേറ്റ് പരിശോധന,Barium sulphate test
