Odiya,English
ଅସ୍ୱାଭାବିକ |,Abnormal
ପରିତ୍ୟାଗ,Abort
ଅଳିଆ ଆବେଗ,Abrasion
ଆକସ୍ମିକ,Abrupt
ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |,Absolute field strength
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,Absolute temperature
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,Absolute value
ଶୋଷଣ,Absorb
ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |,Absorption co-efficient
ଶୋଷଣୀୟ କ୍ଷତି |,Absorption loss
ବିସ୍ତୃତ,Abstract
ଆକ୍ସଲେରୋମିଟର |,Accelerometer
ଗ୍ରହଣ ପରୀକ୍ଷା,Acceptance test
ପ୍ରବେଶ,Access
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,Access control
ପ୍ରବେଶ ବିନ୍ଦୁ,Access point
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,Access time
ଅଭିଗମ୍ୟତା |,Accessibility
ଆକ୍ୟୁଲେଟର କକ୍ଷ |,Accumulator cell
ସଠିକତା,Accuracy
ସଠିକ୍,Accurate
ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |,Achromatic lens
ଏସିଡ୍ |,Acid
ଏସିଡ୍ ପ୍ରମାଣ |,Acid proof
ଅମ୍ଳତା,Acidity
ସ୍ୱୀକୃତି ବିଟ୍,Acknowledgement bit
ଆକାଶବାଣୀ |,Acoustic
ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |,Acoustic communication
ଆକାଶବାଣୀ ବିସ୍ତାର,Acoustic diffusion
ଆକାଶବାଣୀ ସମାନତା |,Acoustic equalizer
ଆକାଶବାଣୀ ମତାମତ |,Acoustic feedback
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,Acoustic filter
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,Acoustic impedance
ଆକାଶବାଣୀ ମାସ୍କିଂ |,Acoustic masking
ଆକାଶବାଣୀ ଶକ୍ତି |,Acoustic power
ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |,Acoustic property
ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |,Acoustic reactance
ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |,Acoustic reflex
ଆକାଶବାଣୀ ଟାଇଲ୍ |,Acoustic tile
ଆକାଶବାଣୀ ତରଙ୍ଗ |,Acoustic wave
ଆକାଶବାଣୀ ଅବଶୋଷଣ |,Acoustical absorption
ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |,Acoustical attenuation constant
ଆକାଶବାଣୀ ଡମ୍ପିଂ |,Acoustical damping
ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |,Acoustical delay line
ଆକାଶବାଣୀ ବିକୃତି |,Acoustical distortion
ଆକାଶବାଣୀ ନଳୀ |,Acoustical duct
ଆକାଶବାଣୀ ଶକ୍ତି |,Acoustical energy
ଆକାଶବାଣୀ ମତାମତ |,Acoustical feedback
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,Acoustical filter
ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |,Acoustical impedance
ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |,Acoustical propagation constant
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,Acoustical resistance
ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |,Acoustically insulated
ଆକାଶବାଣୀ |,Acoustics
ଅଧିଗ୍ରହଣ,Acquisition
ଆକ୍ରୋନିମ୍ |,Acronym
କ୍ରିୟା କ୍ଷେତ୍ର,Action area
ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |,Activated filament
ସକ୍ରିୟ,Active
ସକ୍ରିୟ କ୍ଷେତ୍ର,Active area
ସକ୍ରିୟ ୱିଣ୍ଡୋ |,Active window
ଅନୁକେତ,Adaptability
ଆଡାପ୍ଟର (ଆଡାପ୍ଟର),Adapter (adaptor)
ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |,Adaptive differential pulse code modulation
ଠିକଣା ବହି,Address book
ଠିକଣା ବସ୍,Address bus
ଠିକଣା ରେଜୋଲୁସନ,Address resolution
ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |,Adjacent channel interference
ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ,Adjacent channel selectivity
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |,Adjacent frequency
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |,Adjacent frequency channel
ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |,Adjacent picture carrier
ସଂଲଗ୍ନ ସାଉଣ୍ଡ ବାହକ |,Adjacent sound carrier
ସଂଲଗ୍ନ ଷ୍ଟେସନ |,Adjacent station
ନିୟନ୍ତ୍ରିତ,Adjustable
ନିୟନ୍ତ୍ରିତ କଣ୍ଡେନ୍ସର୍ |,Adjustable condenser
ଚାପକୁ ସଜାଡିବା |,Adjusting pressure
ରେଞ୍ଚ ଆଡଜଷ୍ଟ କରିବା |,Adjusting wrench
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,Adjustment
ପ୍ରଶାସକ,Administrator
ଉନ୍ନତ ଟେକ୍ନୋଲୋଜି |,Advanced technology
ବାୟୁ,Aerial
ଏରିଲ୍ ଆରେ |,Aerial array
ଏରିଲ୍ ବୁଷ୍ଟର୍ |,Aerial booster
ଏରିଲ୍ କରେଣ୍ଟ୍ |,Aerial current
ଏରିଲ୍ ମାଟିଙ୍ଗ୍ ସୁଇଚ୍ |,Aerial earthing switch
ଏରିଲ୍ ଦକ୍ଷତା |,Aerial efficiency
ଏରିଲ୍ ଇନପେଟେନ୍ସ |,Aerial impedance
ଏରିଲ୍ ଇଣ୍ଡିକାନ୍ସ |,Aerial inductance
ଏରିଆଲ୍ ଇନସୁଲେଟର |,Aerial insulator
ଏରିଆଲ୍ ଲୋଡିଂ କୋଇଲ୍ |,Aerial loading coil
