Kannada,Hindi
ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ,अजीवात् जनन
ಅಧಿಸಾಮಾನ್ಯ,अपसामान्य
1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್,1. चतुर्थ आमाशय 2. ऐवोमैसम
ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ,रुद्ध-वृद्धि अंग
ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ,रुद्ध वृद्धि बीज
1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ,1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध
1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು,1. अवांछित अपतृण 2. पूर्ण खरपतवार
ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್,अवशोषित धनायन
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,अवशोषण
ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ,ऐबिसिनी सरसों
1. ಅಕಾರಿಸೈಡ್,1.एकेरेसनाशी 2. चिचड़ीनाशी
ಕೇಂದ್ರಾಭಿಮುಖ,अकेंद्री
ವರ್ಧನೆ (ಕೋಶ),प्रवर्धन (कोशिका)
ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ,स्वीकृत सह्यता
1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ,1.अतिरिक्त 2. सहायक 3. गौण
ರೂಪಾಂತರ,पर्यनुकूलन
ಶೇಖರಣೆ,संचय
1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ,1.vयथार्थता 2. परिशुद्धता
1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್,1. एसर्वुलस 2. बीजाणुपात्र
1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್,1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन
1. ಆಮ್ಲೀಕರಣ 2. ಆಮ್ಲೀಕರಣ,1. अम्लीकरण 2. अम्लन
1. ಆಸಿಡೋಮೀಟರ್ 2. ಆಸಿಡಿಮೀಟರ್,1.अम्लतामापी 2. एसिडीमीटर
ಆಮ್ಲೀಯತೆ,अम्लता
ಅಸಿಡೋಫೈಲ್,अम्लरागी
ಆಮ್ಲೀಕೃತ ರಾಕ್ ಫಾಸ್ಫೇಟ್,अम्लीकृत रॉक फॉस्फेट
ಆಮ್ಲೀಕೃತ,अम्लसह
ಜಲಚರ,जलभृत
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ,अधिग्रहण
ಎಕರೆ,एकड़
1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ,1.क्षेत्रफल 2. रकबा
ಎಂಡ್ ಪಾಯಿಂಟ್ ಕ್ರೋಮೋಸೋಮ್,उपांत बिंदु क्रोमोसोम
ಮುಂದೆ ನೋಡುವ,अग्राभिसारी
ಅಕ್ರೋಸೋಮ್,ऐक्रोसोम
ಆಕ್ಟಿನೊಮೈಸೆಟ್ಸ್,एक्टिनोमाइसिटीज
ಸಕ್ರಿಯ ಕೋರ್,सक्रिय मूलक्षेत्र
1. ಉಗ್ರ 2. ತೀವ್ರ,1.उग्र 2. तीव्र
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,अनुकूलनशीलता
ಗ್ರಾಹಕೀಕರಣ,अनुकूलन
1. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ 2. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,1. आसंजन 2. अभिलाग
ಮೇದಸ್ಸಿನ,वसामय
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,समायोजन समीकरण
ಅಡೋಬ್ ಮಣ್ಣು,ऐडोब मृदा
ಕಲಬೆರಕೆ,अपमिश्रक
ಅಪಸ್ಥಾನೀಯ,अपस्थानिक
ಇಸಿಡಿಯೋಸ್ಪೋರ್ ಐಸಿಡಿಯಮ್ ಸ್ಪೋರ್,इसीडियोस्पोर इसीडियम बीजाणु
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಪ್ರಕ್ರಿಯೆ,वातोढ़ प्रक्रिया
ಕುಹರದ,वातोढ़
ಗಾಳಿ ಹಾಕಲು,वातन करना
1. ಗಾಳಿ 2. ಆಕಾಶಿ,1. वायव 2. आकाशी
1. ಏರೋಮೀಟರ್ 2. ಏರೋಮೀಟರ್ 3. ಏರೋಮೀಟರ್,1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप
ಏರೋಸಾಲ್,ऐरोसोल
1. ಹೂಗೊಂಚಲು 2. ಬೇಸಿಗೆ ಸುಪ್ತ,1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता
ರೋಗದ ವಿಜ್ಞಾನ,रोग हेतु विज्ञान
ಅರಣ್ಯೀಕರಣ,वनरोपण
1. ತಳಮಳ 2. ಪ್ರಕ್ಷುಬ್ಧತೆ,1. विलोडन 2. प्रक्षोभन
ಅಗ್ಮಾರ್ಕ್,ऐगमार्क
1. ಭೂಮಿಗೆ ಸಂಬಂಧಿಸಿದ 2. ಕೃಷಿ,1. भूमि संबंधी 2. कृषि संबंधी
ಕೃಷಿ ಕ್ಲಿನಿಕ್,कृषि निदानालय
1. ಕೃಷಿ ಕಾರ್ಮಿಕ 2. ಕೃಷಿ ಕಾರ್ಮಿಕ,1. कृषि श्रम 2. खेतिहर मजदूर
ಕೃಷಿ ಮಾರುಕಟ್ಟೆ,कृषि विपणन
ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ,कृषि प्रद्योगिकी
1. ಕೃಷಿ 2. ಕೃಷಿ 3. ಕೃಷಿ ವಿಜ್ಞಾನ,1. कृषि 2. खेतीबारी 3. कृषि विज्ञान
ಕೃಷಿ ಅರಣ್ಯ,कृषि वनवर्धन
ಕೃಷಿ ಜೀವವೈವಿಧ್ಯ,कृषि जैविक विविधता
ಕೃಷಿ ಸಾವಯವ ದೋಷಗಳು,कृषि जैविक दोष
ಕೃಷಿ ಜೀವಶಾಸ್ತ್ರ,कृषि जैविकी
ಕೃಷಿ-ಹವಾಮಾನ ವೈವಿಧ್ಯ,कृषि जलवायुवीय विविधता
ಕೃಷಿ ಹವಾಮಾನ ವಲಯದ ಸೃಷ್ಟಿ,कृषिजलवायुवीय जोन निर्माण
ಕೃಷಿ ಅರಣ್ಯ,कृषिवानिकी
