Malayalam,Bengali
അബാക്കസ്,অ্যাবাকাস
അസാധാരണമായ അവസാനിപ്പിക്കൽ,অস্বাভাবিক সমাপ্তি
ഉപേക്ഷിക്കുക,গর্ভপাত
കേവല,পরম
സമ്പൂർണ്ണ വിലാസം,পরম ঠিকানা
സമ്പൂർണ്ണ അഭിസംബോധന,পরম ঠিকানা
കേവല അസംബ്ലർ,পরম সংযোজনকারী
കേവല കോഡ്,পরম কোড
സമ്പൂർണ്ണ കമാൻഡ്,পরম আদেশ
സമ്പൂർണ്ണ ഡാറ്റ,পরম তথ্য
സമ്പൂർണ്ണ നിർദ്ദേശം,পরম নির্দেশ
കേവല മോഡ്,পরম মোড
കേവല പാത,পরম পথ
സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്,পরম প্রোগ্রামিং
അമൂർത്ത ക്ലാസ്,বিমূর্ত ক্লাস
അമൂർത്ത ഡാറ്റ തരം,বিমূর্ত তথ্য প্রকার
അമൂർത്ത യന്ത്രം,বিমূর্ত মেশিন
അമൂർത്ത ചിഹ്നം,বিমূর্ত প্রতীক
അമൂർത്തമായ വാക്യഘടന,বিমূর্ত বাক্য গঠন
സ്വീകാര്യത പരിശോധന,স্বীকৃতি যাচাইকরণ
ആക്സസ് പ്രാമാണീകരണം,অ্যাক্সেস প্রমাণীকরণ
പ്രവേശന കോഡ്,প্রবেশাধিকার কোড
പ്രവേശന നിയന്ത്രണം,প্রবেশাধিকার নিয়ন্ত্রণ
ആക്സസ് സ്കാൻ,অ্যাক্সেস স্ক্যান
ഉപസാധനം,আনুষঙ্গিক
അക്കൗണ്ട്,অ্যাকাউন্ট
അക്കൗണ്ട് ID,অ্যাকাউন্ট আইডি
ശേഖരണം,সঞ্চয়কারী
കൃത്യത,সঠিকতা
പ്രവേശനം,অ্যাক্সেস
ആക്സസ് കൺട്രോൾ ബൈറ്റ്,অ্যাক্সেস নিয়ন্ত্রণ বাইট
പ്രവേശന സൂചിക,অ্যাক্সেস সূচক
ആക്സസ് കീ,অ্যাক্সেস কী
ആക്സസ് മാട്രിക്സ്,অ্যাক্সেস ম্যাট্রিক্স
ആക്സസ് മോഡ്,অ্যাক্সেস মোড
ആക്സസ് പ്രിവിലേജ്,প্রবেশাধিকার
ആക്സസ് സുരക്ഷ,অ্যাক্সেস নিরাপত্তা
ആക്സസ് സെർവർ,অ্যাক্সেস সার্ভার
പ്രവേശന സമയം,অ্যাক্সেস সময়
അംഗീകാരം,স্বীকৃতি
ശബ്ദശാസ്ത്രം,ধ্বনিবিদ্যা
സംക്ഷേപം,সংক্ষিপ্ত রূপ
പ്രവർത്തന സന്ദേശം,কর্ম বার্তা
സജീവമാക്കൽ,সক্রিয়করণ
സജീവ സെർവർ പേജ് (ASP),সক্রিয় সার্ভার পৃষ্ঠা (এএসপি)
സജീവ പതിപ്പ്,সক্রিয় সংস্করণ
അസൈക്ലിക്,অ্যাসাইক্লিক
അസൈക്ലിക് ഗ്രാഫ്,অ্যাসাইক্লিক গ্রাফ
അഡാ ഭാഷ,অ্যাডা ভাষা
അഡാപ്റ്റർ,অ্যাডাপ্টার
ചേർക്കുക,যোগ করুন
ഫയൽ ചേർക്കുക,ফাইল যুক্ত কর
പ്രവർത്തനം ചേർക്കുക,অপারেশন যোগ করুন
ചേർക്കുന്നയാൾ,যোগকারী
വിലാസം,ঠিকানা
വിലാസം ബസ്,ঠিকানা বাস
വിലാസ ഫയൽ,ঠিকানা ফাইল
വിലാസ ഫോർമാറ്റ്,ঠিকানা বিন্যাস
വിലാസ ജനറേറ്റർ,ঠিকানা জেনারেটর
വിലാസ ലൈൻ,ঠিকানা লাইন
വിലാസ മാപ്പിംഗ്,ঠিকানা ম্যাপিং
വിലാസ സൂചിക,ঠিকানা নির্দেশক
വിലാസ രജിസ്റ്റർ,ঠিকানা রেজিস্টার
വിലാസം റെസലൂഷൻ,ঠিকানা রেজোলিউশন
വിലാസ വിവർത്തനം,ঠিকানা অনুবাদ
അഭിസംബോധന ചെയ്ത മെമ്മറി,ঠিকানাযুক্ত স্মৃতি
അഭിസംബോധന,সম্বোধন
പര്യാപ്തത മാനദണ്ഡം,পর্যাপ্ততার মানদণ্ড
അനുബന്ധം,সংলগ্ন
ഭരണകൂടം,প্রশাসন
കാര്യനിർവാഹകൻ,প্রশাসক
അഡോബ് അക്രോബാറ്റ്,অ্যাডোবি অ্যাক্রোব্যাট
അഡോബ് ഫോട്ടോഷോപ്പ്,অ্যাডোবি ফটোশপ
അഡ്വാൻസ് ബിസിനസ് ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് (ABAP),অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP)
വിപുലമായ ഡാറ്റ,উন্নত তথ্য
വിപുലമായ വിവര സംവിധാനം,উন্নত তথ্য সিস্টেম
നൂതന സാങ്കേതികവിദ്യ (AT),উন্নত প্রযুক্তি (AT)
ഏജന്റ്,প্রতিনিধি
സമാഹരണം,সমষ্টি
വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം,বায়ুবাহিত কম্পিউটার সিস্টেম
ആൽഡസ് പേജ് മേക്കർ,aldus পেজ মেকার
മുന്നറിയിപ്പ് ബോക്സ്,সতর্কতা বাক্স
ആൽഗോൾ,algol
അൽഗോരിതം,অ্যালগরিদম
