Hindi,English
"1.एबेकस ,2. गिनतारा",abacus
असामान्य समापन,abnormal termination
अवरोधन,abort
"1. निरपेक्ष ,2. परम",absolute
निरपेक्ष पता,absolute address
निरपेक्ष पताभिगमन,absolute addressing
निरपेक्ष कोडांतरक,absolute assembler
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड",absolute code
निरपेक्ष समादेश,absolute command
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा",absolute data
निरपेक्ष अनुदेश,absolute instruction
निरपेक्ष विधा,absolute mode
निरपेक्ष पथ,absolute path
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन",absolute programming
अमूर्त वर्ग,abstract class
अमूर्त आंकड़ा प्रकार,abstract data type
अमूर्त मशीन,abstract machine
अमूर्त प्रतीक,abstract symbol
अमूर्त वाक्य विन्यास,abstract syntax
स्वीकृति परीक्षण,acceptance testing
अभिगम प्रमाणन,access authentication
"1. अभिगम कूट ,2. अभिगम कोड",access code
अभिगम नियंत्रण,access control
अभिगम क्रमवीक्षण,access scan
सहयंत्र,accessory
लेखा,account
"1. एकाउंट आई डी ,2. लेखा पहचान",account ID
संचायक,accumulator
"1. विशुद्धता ,2. यर्थाथता",accuracy
अभिगम,acess
अभिगम नियंत्रण बाइट,acess control byte
अभिगम सूचक,acess index
अभिगम कुंजी,acess key
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स",acess matrix
अभिगम विधा,acess mode
अभिगम विशेषाधिकार,acess privilege
अभिगम सुरक्षा,acess security
"1. अभिगम परिसेवक ,2. अभिगम सर्वर",acess server
अभिगम काल,acess time
अभिस्वीकृति,acknowledgement
ध्वनिकी,acoustics
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप",acronym
क्रिया संदेश,action message
सक्रियण,activation
सक्रिय सर्वर पृष्ठ,active server page (ASP)
सक्रिय वर्जन,active version
अचक्रीय,acyclic
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ",acyclic graph
एडा कंप्यूटर भाषा,Ada language
"1. अनुकूलक ,2. अनुकूलित्र",adapter
योग (करना),add
योग संचिका,add file
"1. जोड़ संक्रिया ,2. योग संक्रिया",add operation
योजक,adder
पता,address
पता बस,address bus
पता संचिका,address file
पता आरूप,address format
पता जनक,address generator
पता पंक्ति,address line
पता प्रतिचित्रण,address mapping
पता संकेतक,address pointer
पता पंजी,address register
पता विघटन,address resolution
पता अनुवाद,address translation
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी",addressed memory
पताभिगमन,addressing
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी",adequacy criteria
संलग्न,adjoint
"1. प्रबंधन ,2. नियंत्रण",administration
"1. प्रबंधक ,2. नियंत्रक",administrator
ऐडोब एक्रोबेट,adobe acrobat
ऐडोब फोटोशोप,adobe photoshop
ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),Advance Business Application Programming (ABAP)
"1. उन्नत आंकड़ा ,2. उन्नत डाटा",advanced data
उन्नत सूचना तंत्र,advanced information system
उन्नत प्रौद्योगिकी (ए टी),advanced technology (AT)
कर्मक,agent
समुच्चयन,aggregation
विमानवाहित कंप्यूटर तंत्र,airborne computer system
एल्डस पेज-मेक,aldus page maker
सचेत पेटी,alert box
ऐल्गॉल (कंप्यूटर भाषा),algol
"1.  एल्गोरिथ्म ,2. कलन विधि",algorithm
"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण",algorithm analysis
एल्गोरिथ्म दक्षता,algorithm efficiency
"1. एलिआस ,2. उपनाम ,3. उर्फ",alias
संरेखण,alignment
"1. आवंटन ,2. नियतन",allocation
"1.अक्षरात्मक ,2. वर्णानुक्रम",alphabetic
अक्षरांकीय,alphanumeric
"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड",alphanumeric key board
अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण),alpha-test
"1. अल्फा वर्जन ,2. अल्फा रूप",alpha-version
आल्ट कुंजी,alt key
आल्टाविस्टा,altavista
अनेकार्थकता,ambiguity
संदिग्ध व्याकरण,ambiguous grammar
अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.),American National Standards Institute (ANSI)
अमेरिकी मानक कट (आस्की),American Standard Code For Information Interchange (ASCII)
"1. अनुरुप ,2. एनालॉग",analog
"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर",analog computer
"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस",analog device
"1. एनालॉग मोडेम ,2. अनुरुप मोडेम",analog modem
अनुरुप से अंकीय रुपांतरक,Analog To Digital Converter (ADC)
एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त),AND
एंड परिपथ,AND circuit
एंड गेट और द्वार,AND gate
एंड नॉट संक्रिया (अपवर्जन),AND not operation (Exclusion)
"1. एनीमेशन, 2.  सजीवन",animation
टिप्पण,annotation
असंगता,anomaly
पूर्ववर्ती,antecedent
प्रत्याशामूलक पृष्ठन,anticipatory paging
प्रति-सममित,anti-symmetric
विषाणुरोधी क्रमादेश,antivirus program
"1. एपलेट ,2. अनुप्रयोगिका",applet
अनुप्रयोग विकासक,application developer
अनुप्रयोग प्रोग्रामन,application programming
"1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ ,2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)",application programming interface (API)
अनुप्रयोग सॉफ्टवेयर,application software
अनुप्रयोगी भाषा,applicative language
सन्निकटण सिद्धांत,approximation theory
संरचना,architecture
क्षेत्र अंतरण,area transfer
"1. प्राचर,स्वतंत्रचर, 2. कोणांक",argument
"1. अंकगणितीय एवं तर्क एकक ,2. अंकगणितीय एवं तर्क इकाई",arithmatic and logic unit
अंकगणितीय जांच,arithmatic check
अंकगणितीय अचर,arithmatic constant
अंकगणितीय आंकडा,arithmatic data
अंकगणितीय अनुदेश,arithmatical instruction
गणितीय एवं तार्किक इकाई (ए. एल. यू.),arithmetic and logic unit (ALU)
ए आर पी ए नेट (आरपानेट),ARPANET
सरणी,array
"1. सरणी कैशे ,2. सरणी द्रुतिका ,3. सरणी द्रुतस्मृति",array cache
सरणी कंप्यूटर,array computer
सरणी अवयव,array element
सरणी नाम,array name
सरणी प्रकर्मक,array processor
एरो कुंजी,arrow keys
संधि,articulation
संधि बिन्दु,articulation point
कृत्रिम संहनन,artificial compaction
कृत्रिम नियंत्रण,artificial control
कृत्रिम बोध,artificial intelligence
आरोहक,ascender
आरोही छंटाई,ascending sort
आस्की वर्णक्रम,ASCII betical order
आस्की नियंत्रण संप्रतीक,ASCII control character
आस्की संचिका,ASCII file
आस्की फॉन्ट,ASCII font
आस्की अंतरण,ASCII transfer
अभिमुखता अनुपात,aspect ratio
"1. ऐस्पी ,2. ए एस पी आई",ASPI
ए एस आर कालद,ASR timer
"1. स्मरांतरण ,2. कोडांतरण ,3. कोडांतर करना",assemble
"1. कोडांतरक ,2. स्मरांतरक",assembler
"1. कोडांतरण ,2. स्मरांतरण",assembly
"1. स्मरांतरण भाषा ,2. कोडांतरण भाषा",assembly language
निश्चयन,assertion
"1. निर्दिष्ट कार्य ,2. नियतन",assignment
साहचर्य,association
साहचर्य पता,associative address
"1. साहचर्य स्मृति ,2. साहचर्य मेमोरी",associative memory
तारक (*का चिन्ह),asteric
असम्मित,asymmetric
"1. अतुल्यकालिक ,2. अतुल्यकाली",asynchronous
अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल),asynchronous Digital Subscriber Line (ADSL)
अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम),asynchronous Time Division Multiplexing (ATDM)
अतुल्यकालिक अंतरण,asynchronous transfer
अतुल्यकालिक अंतरण विधा (ए टी एम),asynchronous Transfer Mode (ATM)
"1. एटम ,2. परमाण",atom
संलग्न प्रलेख,attached document
"1. संलग्न संचिका/मिसिल ,2. संलग्न फाइल",attached file
"1. संलग्नक ,2. संबंद्ध",attachment
"1. गुण ,2. विशेषता",attribute
श्रव्य,audio
"1. लेखा परीक्षा क्रमादेशन ,2. लेखा परीक्षा प्रोग्रामन",audit programming
लेखा सत्यापन,audit trail
संवर्धन,augmentation
प्रमाणन प्रोटोकॉल,authentication protocol
संलेखन पद्धति,authoring system
"1. प्राधिकरण ,2. अधिकृति ,3. अधिकरण",authorization
स्वत: सार,auto abstract
"1. स्वतः बूटिंग ,2. स्व बूटन",autobooting
ऑटोकैड (एक कंप्यूटर भाषा),autocad
स्वत: लॉग-ऑन,autolog on
ऑटोमेटा,automata
आटोमेटा सिद्धांत,automata theory
स्वत: अभिकलन,automatic computing
स्वत: आंकड़ा प्रक्रमण,automatic data processing
स्वत: त्रुटि संशोधन,automatic error correction
स्वत: फलन,automatic function
"1.  स्वत: सूचकीकरण ,2. स्वत: सूचीकरण",automatic indexing
स्वत: संग्रह आह्वान,automatic library call
"1. स्वत: क्रमादेशन ,2. स्वत: प्रोग्रामन",automatic programming
"1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम",automatic recovery program
स्वत: नेमका,automatic routine
स्वत: सिस्टम पुन: प्राप्ति,automatic system recovery
"1. स्वत: टेलर मशीन्अ (ए टी एम) ,2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)",automatic teller machine (ATM)
स्वचालन,automation
"1. आटोप्ले ,2. स्वत: चलन",autoplay
स्वरक्षण,autosave
सहायक,auxiliary
सहायक स्मृति,auxiliary memory
सहायक भंडारण,auxiliary storage
उपलब्ध लिस्ट,available list
उपलब्ध समय,available time
औसत,average
ए डब्ल्यू के (एक कंप्यूटर समादेश),awk (language)
पश्चांत,backend
पश्चांत प्रक्रमक,backend processor
पश्च फलन विलोपन,backface removal
पृष्ठभूमि प्रक्रमण,background processing
सहायक भंडार,backing store
पश्च पैचीकरण,backpatching
"1. पश्चीयन ,2. बैकस्पेस",backspace
पश्चपथन,backtracking
"1. बैक-अप ,2. पूर्तिकर",back-up
"1. पूर्तिकर स्मृति ,2. बैक-अप मेमोरी",back-up memory
पश्च त्रुटि सुधार,backward error recovery
(आय-व्यय) तुलन पत्र,balance sheet
पट्टी,band
"1. बैंड चौड़आई ,2. बैंड विड्थ/क्षमता",band width
बैंकर एल्गोरिथ्म,banker's algorithm
"1.बार कूट ,2. बार कोड",bar code
बार कोड स्कैनर,bar code scanner
बार ग्राफ,bar graph
आधार पता,base address
आधार बैंड,base band
आधार संख्या,base number
आधार सारणी,base table
बेसिक (एक कंप्यूटर भाषा),BASIC
"1. मूल नियंत्रण ,2. आधार नियंत्रण",basic control
"1. मूल निवेश ,2. आधारी निवेश",basic input
आधारभूत अनुदेश,basic instruction
आधारी निर्गम,basic output
मूल चरण,basic step
"1. बैच ,2. समूह ,3. प्रचय",batch
"1. बैच फाइल ,2. बैच संचिका",batch file
बैच स्थिति,batch position
"1. बैच प्रक्रमण ,2. समूह प्रक्रमण",batch processing
"1. बैच तंत्र ,2. प्रचय तंत्र",batch system
बॉड,baud
बॉड दर,baud rate
किरण पुंज,beam
"1. निर्देशमानक ,2. बैचमार्क",benchmark
द्विदिश संचार,bidirectional communication
विदिश कड़ी,bidirectional link
द्विआधारी कूट,binary code
द्विआधारी अंक,binary digit
द्विआधारी निवेश निर्गम तंत्र (बायोस),binary Input output system (BIOS)
द्विआधारी संख्या,binary number
द्विआधारी संकारक,binary operator
द्विआधारी संबंध,binary relation
द्विआधारी खोज,binary search
द्विआधारी अन्वेषण तरु (बी एस टी),binary search tree (BST)
"1. द्विआधारी ट्रांसफर तरु ,2. द्विआधारी अंतरण",binary transfer
द्विआधारी तरु,binary tree
"1. द्विध्रुवी स्मृति ,2. द्विध्रुवी मेमोरी",bipolar memory
"1. जन्म मरण मॉडल ,2. जन्म मरण निदर्श",birth death model
जन्म मरण प्रक्रम,birth death process
"1. द्वयंक ,2. बिट",bit
बिट दोष,bit fault
बिट प्रतिचित्र,bit map
"1. बिट ,2. प्रतिचित्र ,3. पिक्सेल (बी एम पी)",bit map pixel (BMP)
"1. बिट आव्यूह ,2. बिट सारणी",bit matrix
बिट प्रतिरूप,bit pattern
बिट स्थिति,bit position
"1. बिट रेट ,2. बिट दर",bit rate
अंध पेटी परीक्षण,black box testing
टिमटिमाना,blinking
ब्लॉक,block
"1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति",block cache
खंडक जांच,block check
खंड प्रतिलिपि,block copy
खंडक आरेख,block diagram
"1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम",blocking network
बोर्ड,board
पृष्ठ स्मृति,book mark
बूलीय बीजगणित,boolean algebra
बूलीय संबंध,boolean relation
बूट विभाजन,boot partition
बूट स्ट्रैपिंग,boot strapping
1.बूटस्ट्रैप भारक 2. स्वोत्थानी,boot-strap loader
"1.ब्रिज, 2. सेतु",bridge
ब्राडबैंड नेटवर्क,broadband networking
प्रसारण,broadcast
प्रसारण रेडियो,broadcast radio
(नेट) विचरण,browse
(नेट) विचरक,browser
बी-तरु,B-Tree
"1.बुदबुद स्मृति, 2.बबल मेमोरी",bubble memory
बुदबुद छंटाी,bubble sort
"1.बाल्टी, 2.बकेट",bucket
"1.बंधुता तंत्र, 2.बडी तंत्र",buddy system
बजट प्रभावी नियंत्रण,budget effective control
बफर,buffer
दोष,bug
बस,bus
"1.अष्ट वयंक,2. बािट (आठ बिट)",byte
बािट कोड,byte code
सी (कंप्यूटर भाषा),c
"1.सी प्लस प्लस,2.C++(कंप्यूटर भाषा)",C++
"1.कैश,2. द्रुतिका,3.द्रुत",cache
"1.कैश बफर, 2.द्रुतस्मृति बफर",cache buffer
"1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति",cache memory
परिकलन,calculation
"1.कैलकुलेटर, 2.परिकलक",calculator
