Assamese,Punjabi
এ চি সমতুল্য বৰ্তনী,ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ
এনালগ টু সংখ্যাগত ৰূপান্তৰক,ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ
নিৰপেক্ষ শূন্য,ਪੂਰਨ ਜ਼ੀਰੋ
শোষণ সহগ,ਸਮਾਈ ਗੁਣਾਂਕ
শোষণ বৰ্ণালী,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ
ৰিচেপ্টৰ পৰমাণু,ਰੀਸੈਪਟਰ ਐਟਮ
বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন,ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ
ইলেক্ট্ৰন সংগ্ৰহ কৰা,ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ
ফুটা সংৰক্ষণ,ਮੋਰੀ ਸਟੋਰੇਜ਼
সক্ৰিয়কৰণ শক্তি,ਸਰਗਰਮੀ ਊਰਜਾ
সক্ৰিয় পৰিবৰ্ধক,ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ
সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী,ਸਰਗਰਮ diode ਸਰਕਟ
সক্ৰিয় ফিল্টাৰ,ਸਰਗਰਮ ਫਿਲਟਰ
সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ,ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ
সক্ৰিয় লোড,ਸਰਗਰਮ ਲੋਡ
সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ,ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ
সক্ৰিয় অঞ্চল,ਸਰਗਰਮ ਖੇਤਰ
অভিযোজিত ইলেক্ট্ৰনিক্স,ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
adder,ਜੋੜਨ ਵਾਲਾ
এডজাষ্টেবল বেণ্ড এক্সটেনচন,ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ
ভেদ,ਪ੍ਰਵੇਸ਼
এৰিয়েল,ਏਰੀਅਲ
pep কম্পাঙ্ক,pep ਬਾਰੰਬਾਰਤਾ
এয়াৰ কণ্ডিচনাৰ,ੲੇ. ਸੀ
প্ৰান্তিককৰণ,ਅਲਾਈਨਮੈਂਟ
এলগৰিদম,ਐਲਗੋਰਿਦਮ
সকলো পাছ ফিল্টাৰ,ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ
মিশ্ৰণ সংযোগ,ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ
ক্ষীণকৰণ,ਧਿਆਨ
বিকল্প বিদ্যুৎ প্ৰবাহ,ਬਦਲਵੇਂ ਮੌਜੂਦਾ
পৰিৱেশৰ উষ্ণতা,ਅੰਬੀਨਟ ਤਾਪਮਾਨ
বাইপোলাৰ,ਬਾਈਪੋਲਰ
এম্প্লিফিকেশন,ਵਾਧਾ
এম্প্লিফায়াৰ,ਐਂਪਲੀਫਾਇਰ
এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা,ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ
মাত্ৰাসমূহ,ਮਾਪ
প্ৰসাৰণ ক্ষীণকৰণ,ਐਪਲੀਟਿਊਡ attenuation
প্ৰসাৰণ মডুলেটেড AM দোলক,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ
প্ৰসাৰণ মডুলেচন,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਸ਼ਨ
প্ৰসাৰণ মডুলেটৰ,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਰ
angstrom একক,ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ
এনালগ বৰ্তনী,ਐਨਾਲਾਗ ਸਰਕਟ
এনালগ কম্পিউটাৰ,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
এনালগ ফিল্টাৰ,ਐਨਾਲਾਗ ਫਿਲਟਰ
এনালগ মাল্টিমিটাৰ,ਐਨਾਲਾਗ ਮਲਟੀਮੀਟਰ
এনালগ চুইচ,ਐਨਾਲਾਗ ਸਵਿੱਚ
AND গেট,ਅਤੇ ਗੇਟ
কৌণিক কম্পাঙ্ক,ਕੋਣੀ ਬਾਰੰਬਾਰਤਾ
"এনিয়ন, এনিয়ন","anion, anion"
এনিয়েলিং উষ্ণতা,ਐਨੀਲਿੰਗ ਤਾਪਮਾਨ
এনোড,ਐਨੋਡ
এনোড এম্প্লিফায়াৰ,ਐਨੋਡ ਐਂਪਲੀਫਾਇਰ
এনোডাইন,anodyne
এন্টেনা,ਐਂਟੀਨਾ
