English,Bengali
Acidoid,অ্যাসিডয়েড
Aeolian soil,বায়বীয় মাটি
Aggregate,সমষ্টি
Aggregation,সমষ্টি
Agrology,কৃষিবিদ্যা
Agronomy,কৃষিবিদ্যা
A-horizon,A- দিগন্ত
Ao-horizon ,আও-দিগন্ত
Aoo-horizon,আও-দিগন্ত
Air capacity of soil,মাটির বায়ু ক্ষমতা
Air content of soil,মাটির বায়ু উপাদান
Air picnometer,এয়ার পিকনোমিটার
Allitic soil,অ্যালিটিক মাটি
Alluvial soil,পলিমাটি
Ampholytoid,অ্যামফোলাইটয়েড
Anion,অ্যানিয়ন
"Apparent specific gravity volume weight or bulk specific gravity,""","আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;"
Arris,আরিস
Ashlar fine masonry,আশলার সূক্ষ্ম গাঁথনি
Ashlar masonry,আশলার রাজমিস্ত্রি
Azonal soil,অ্যাজোনাল মাটি
Back acter ,পেছনের অভিনেতা
Back arch,পিছনের খিলান
Back band,ব্যাক ব্যান্ড
Back brush,পিছনের ব্রাশ
Back check,ফিরে চেক
Back counter,পিছনে কাউন্টার
Back cutting,পিছনে কাটা
Back draft damper,ব্যাক ড্রাফ্ট ড্যাম্পার
Back drain,পিছনের ড্রেন
Back drop,ব্যাকড্রপ
Back fill,ব্যাক ফিল
Back fillet,ব্যাক ফিললেট
Back flap hinge,পিছনে ফ্ল্যাপ কবজা
Back flow connection,পিছনে প্রবাহ সংযোগ
Back flow preventer,পিছনে প্রবাহ প্রতিরোধক
Back gauge ,ব্যাক গেজ
Back gutter ,পিছনে নর্দমা
Back hearth,পিছনের চুলা
Backing,ব্যাকিং
Backing board,ব্যাকিং বোর্ড
Back pressure,ফিরতি চাপ
Back prop,পিছনে প্রপ
Back sight ,পিছনের দৃষ্টি
Back water,পিঠের জল
Baffle,বিভ্রান্ত
Bagwork ,ব্যাগওয়ার্ক
Ballast,ব্যালাস্ট
Ball clay,বল কাদামাটি
Ball cone clamp,বল শঙ্কু বাতা
Barbed wire,কাঁটাতার
Bar dog,বার কুকুর
Barge board,বার্জ বোর্ড
Barium sulphate test,বেরিয়াম সালফেট পরীক্ষা
Barrage,ব্যারেজ
Barrett,ব্যারেট
Base,বেস
Base exchange,বেস বিনিময়
Base line ,বেস লাইন
Basement,বেসমেন্ট
Basement wall,বেসমেন্ট প্রাচীর
Base plate,বেস প্লেট
"Base plate, adjustable","বেস প্লেট, নিয়মিত"
Base saturation,বেস স্যাচুরেশন
Basoid,বেসয়েড
Bat,ব্যাট
Bath and W.C.,স্নান এবং WC
Batter peg,ব্যাটার পেগ
Batter pier,ব্যাটার পিয়ার
Batter rule,ব্যাটারের নিয়ম
Baulk (balk),বাল্ক (বাল্ক)
Bay,বে
Bearer,বহনকারী
Bearing capacity,ভারবহন ক্ষমতা
Bearing pile,ভারবহন গাদা
Bearing stratum,ভারবহন স্তর
Bed,বিছানা
Bedding plane,বেডিং প্লেন
Bed joint,বেড জয়েন্ট
Bed rock,বিছানা শিলা
Bed room,শয়নকক্ষ
Beeswax,মোম
Bell box,বেল বক্স
Belling bucket,বেলিং বালতি
Bellofram,বেলোফ্রাম
Benched foundation,বেঞ্চড ফাউন্ডেশন
Benching,বেঞ্চিং
Bench mark,মাপকাঠি
Benefit cost analysis,বেনিফিট খরচ বিশ্লেষণ
Berm,বারম
Bevelled closure,বেভেলড ক্লোজার
"B-horizon,""B-","বি-দিগন্ত,&quot;বি-"
Biat,বিয়াট
Binder,বাইন্ডার
Binding material,বাঁধাই উপাদান
Biot's theory,বায়োটের তত্ত্ব
Bitumen,বিটুমেন
Black cotton soil,কালো তুলার মাটি
Black earth ,কালো পৃথিবী
Black turf soil,কালো টার্ফ মাটি
Blade,ব্লেড
Blast furnace slag cement,ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট
Blocky structure,অবরুদ্ধ কাঠামো
Bogie resistance,বগি প্রতিরোধ
Bog-iron ore,বগ-লোহা আকরিক
Bond,বন্ধন
Bonded member,বন্ডেড সদস্য
Bonded post tensioning,বন্ধন পোস্ট উত্তেজনা
Bond stone,বন্ড পাথর
Bound water,আবদ্ধ জল
Box gutter,বক্স নর্দমা
Brace,বন্ধনী
Brick-on-edge,ইট-অন-এজ
Bridle,লাগাম
Brightness,উজ্জ্বলতা
Brown soil,বাদামী মাটি
Building,বিল্ডিং
Building surveyor,বিল্ডিং সার্ভেয়ার
Buffer,বাফার
Buffer curve,বাফার বক্ররেখা
Buffering,বাফারিং
Buffering capacity,বাফার ক্ষমতা
Bunder,বান্দর
Buttress,বাট্রেস
C-horizon,সি-দিগন্ত
Cable,তারের
Cable moulding,তারের ছাঁচনির্মাণ
Cabling,ক্যাবলিং
Cabin,কেবিন
Cabin hook,কেবিন হুক
Cabinet,মন্ত্রিসভা
Cabolt's quit,ক্যাবল্টের পদত্যাগ
Cafeteria,ক্যাফেটারিয়া
Cage,খাঁচা
Cage construction,খাঁচা নির্মাণ
Cain's formula,কেইনের সূত্র
Caisson,কাইসন
Caisson disease,ক্যাসন রোগ
Caisson foundation,ক্যাসন ফাউন্ডেশন
Caisson pile,Caisson pile
Calcareous brick,চুনযুক্ত ইট
Calcareous clay,চুনযুক্ত কাদামাটি
Calcareous crust,চুনযুক্ত ভূত্বক
Calcification,ক্যালসিফিকেশন
Calcination,ক্যালসিনেশন
Calcine ,ক্যালসিন
Calcite,ক্যালসাইট
Calcium-aluminate cement,ক্যালসিয়াম-অ্যালুমিনেট সিমেন্ট
Calcium-silicate brick,ক্যালসিয়াম-সিলিকেট ইট
Calcium-silicate hydrate,ক্যালসিয়াম-সিলিকেট হাইড্রেট
Caliche,ক্যালিছে
California bearing ratio,ক্যালিফোর্নিয়া ভারবহন অনুপাত
Caliper,ক্যালিপার
Calorimeter,ক্যালোরিমিটার
Camber,ক্যাম্বার
Canal,খাল
Canopy,ক্যানোপি
Cantilever footing,ক্যান্টিলিভার ফুটিং
Cap,ক্যাপ
Capacity,ক্ষমতা
Capacity of ail track,আইল ট্র্যাকের ক্ষমতা
Cap cable,ক্যাপ তারের
Capillarity,কৈশিকতা
Capillary break,কৈশিক বিরতি
Capillary flow,কৈশিক প্রবাহ
Capillary moisture or capillary water,কৈশিক আর্দ্রতা বা কৈশিক জল
Capillary pore space,কৈশিক ছিদ্র স্থান
Capillary porosity,কৈশিক ছিদ্র
Capillary space,কৈশিক স্থান
Capture velocity,ক্যাপচার বেগ
Carbonation,কার্বনেশন
Carbon black,কার্বন কালো
Castble refractory,কাস্টবল অবাধ্য
Cast-in-place or cast-in-situ,কাস্ট-ইন-প্লেস বা কাস্ট-ইন-সিটু
Cast-in-place pile,কাস্ট-ইন-প্লেস গাদা
Castor,ক্যাস্টর
Cast stone,ঢালাই পাথর
Catalyst,প্রভাবক
Catena,ক্যাটেনা
Cat face,বিড়ালের মুখ
Cat head,বিড়ালের মাথা
Cation,ক্যাটান
Cat walk,বিড়াল হাঁটা
Cavitation damage,গহ্বরের ক্ষতি
Celite,সেলাইট
Cellular concrete,সেলুলার কংক্রিট
Cellular construction,সেলুলার নির্মাণ
Cement,সিমেন্ট
"Cement, bituminous","সিমেন্ট, বিটুমিনাস"
"Cement, high strength","সিমেন্ট, উচ্চ শক্তি"
"Cement, hydraulic","সিমেন্ট, জলবাহী"
"Cement, low heat","সিমেন্ট, কম তাপ"
"Cement, masonary","সিমেন্ট, রাজমিস্ত্রি"
"Cement, natural","সিমেন্ট, প্রাকৃতিক"
"Cement, portland","সিমেন্ট, পোর্টল্যান্ড"
"Cement, portland blast furnace slag","সিমেন্ট, পোর্টল্যান্ড ব্লাস্ট ফার্নেস স্ল্যাগ"
"Cement, portland pozzolan","সিমেন্ট, পোর্টল্যান্ড পোজোলান"
"Cement, slag","সিমেন্ট, স্ল্যাগ"
"Cement, sulphate resistant","সিমেন্ট, সালফেট প্রতিরোধী"
"Cement, super sulphated","সিমেন্ট, সুপার সালফেটেড"
"Cement, white","সিমেন্ট, সাদা"
Cement-aggregate ratio,সিমেন্ট-সমষ্টি অনুপাত
Cement content,সিমেন্ট সামগ্রী
Cement gel,সিমেন্ট জেল
Cement gun,সিমেন্টের বন্দুক
Cement kiln,সিমেন্টের ভাটা
Cement paint,সিমেন্ট পেইন্ট
Cement plaster,সিমেন্ট প্লাস্টার
Cement rock,সিমেন্ট শিলা
Cement slurry,সিমেন্ট স্লারি
Cement storage,সিমেন্ট স্টোরেজ
Cementation process,সিমেন্টেশন প্রক্রিয়া
Centering,কেন্দ্রীভূত করা
Centering and shuttering,সেন্টারিং এবং শাটারিং
Central mixed concrete,কেন্দ্রীয় মিশ্র কংক্রিট
Central mixer,কেন্দ্রীয় মিশুক
Centrifugal fan,কেন্দ্রাতিগ পাখা
Chalk,চক
Chamfer,চেম্ফার
Chamfer strip,চেম্ফার ফালা
Channel beam,চ্যানেল বিম
Characteristic load,চরিত্রগত লোড
Characteristic strength,চারিত্রিক শক্তি
Charge off,বন্ধ চার্জ
Charging,চার্জিং
Checking,চেক করা হচ্ছে
Chemical bond,রাসায়নিক বন্ধন
Chernozem,চেরনোজেম
Chestnut soil,চেস্টনাট মাটি
Chimney gutter,চিমনি নর্দমা
Chip board,চিপ বোর্ড
Chipping,চিপিং
Chips,চিপস
Chute,চুট
Class (of concrete),শ্রেণী (কংক্রিটের)
Clay,কাদামাটি
Clay content,কাদামাটি বিষয়বস্তু
Clay pan,মাটির প্যান
Cleanout,পরিস্কার করা
Clean up,পরিষ্কার কর
Cleat,ক্লিট
Clinker,ক্লিঙ্কার
Clip,ক্লিপ
Coagulation,জমাট বাঁধা
Coarse aggregate,মোটা সমষ্টি
Coarse grained soil,মোটা দানাদার মাটি
Coat,কোট
Coffer dam,কফার বাঁধ
Cohesion,সংহতি
Colloid,কলয়েড
Colloidal moisture equivalent ratio,কোলয়েডাল আর্দ্রতা সমতুল্য অনুপাত
Colloidal system,কলয়েডাল সিস্টেম
Colluvial soil,কোলুভিয়াল মাটি
Column,কলাম
Combed finish,কম্বড ফিনিস
Combined footing,সম্মিলিত পাদদেশ
Combined water,মিলিত জল
Common room,বৈঠকখানা
Completion certificate,সমাপনী সনদ
Component square,উপাদান বর্গক্ষেত্র
Concrete,কংক্রিট
Concretion,কংক্রিশন
Consolidated rate/flat rate,একত্রিত হার/সমতল হার
Contaminants,দূষক
Cooking alcove,আলকোভ রান্না করা
Coping,মোকাবিলা করা
Corbel,করবেল
Cornice,কার্নিস
Coupler,কাপলার
"Coupler, double","যুগল, দ্বিগুণ"
"Coupler, putlog","কাপলার, পুটলগ"
"Coupler, swivel","কাপলার, সুইভেল"
Course,কোর্স
Coursed random rubble masonry,র্যান্ডম ধ্বংসস্তূপ রাজমিস্ত্রি কোর্স করা
Covered area,ঢাকা এলাকা
Creep,হামাগুড়ি
Creep coefficient,ক্রীপ সহগ
Crotovine,ক্রোটোভাইন
Crow foot,কাকের পা
Crumb structure,চূর্ণবিচূর্ণ গঠন
Curb,প্রতিবন্ধক
Current,কারেন্ট
Curve resistance,বক্ররেখা প্রতিরোধের
Damp proof course,স্যাঁতসেঁতে প্রুফ কোর্স
Date of completion,সমাপ্তির তারিখ
Dead load,মৃত লোড
Dead water,মরা জল
Decibel,ডেসিবেল
Deflocculation,ডিফ্লোকুলেশন
Degree of aeration or air space ratio,বায়ুচলাচল বা বায়ু স্থান অনুপাত ডিগ্রী
Degree of aggregation,সমষ্টির ডিগ্রি
Degree of dispersion,বিচ্ছুরণ ডিগ্রী
Degree of saturation,স্যাচুরেশন ডিগ্রী
Density,ঘনত্ব
Desert pavement,মরুভূমির ফুটপাথ
Desert soil,মরুভূমির মাটি
Details,বিস্তারিত
Development period,উন্নয়নের সময়কাল
D-horizon,ডি-দিগন্ত
Diagonal bond,তির্যক বন্ধন
Diagram,ডায়াগ্রাম
Digital dock,ডিজিটাল ডক
Differential water rate,পার্থক্য জলের হার
Dilution ventilation,পাতলা বায়ুচলাচল
Diluvium,ডিলুভিয়াম
Dining room,খাবার কক্ষ
Direction peg,দিকনির্দেশনা পেগ
Dispersion,বিচ্ছুরণ
Distemper,ডিস্টেম্পার
Dock,ডক
Door,দরজা
Dormer,ডর্মার
Dormer check,ডর্মার চেক
Double flemish bond,ডাবল ফ্লেমিশ বন্ড
Double layer,ডবল লেয়ার
Dowel,দোয়েল
Drawing board,অঙ্কন বোর্ড
Drawing room,বৈঠকখানা
Drift,প্রবাহ
Dry bulb temperature,শুকনো বাল্বের তাপমাত্রা
Dry dock,শুকনো ডক
Dry rubber masonry,শুকনো রাবার রাজমিস্ত্রি
Dutch bond,ডাচ বন্ড
Dwarf wall,বামন প্রাচীর
Dwelling unit,বাস ইউনিট
Eave,ইভ
Eaves gutter,ইভস নর্দমা
Economic feasibility,অর্থনৈতিক সম্ভাব্যতা
Ectodynamorphic soil,এক্টোডাইনামরফিক মাটি
Eddy,এডি
Effective size,কার্যকরী আকার
Efflorescence,প্রস্ফুটিত
Effluent,বর্জ্য
Elevation,উচ্চতা
Eluviation,ইলুভিয়েশন
Eluvium,এলুভিয়াম
Endodynamorphic soil,এন্ডোডাইনামরফিক মাটি
Engineering feasibility,ইঞ্জিনিয়ারিং সম্ভাব্যতা
English bond,ইংরেজি বন্ড
English garden wall bond,ইংরেজি বাগান প্রাচীর বন্ধন
"E.P.M. (equivalent per million),""","EPM (প্রতি মিলিয়নের সমতুল্য),&quot;"
Equivalent weight,সমান ওজন
Erg,অর্গ
Exchangeable,বিনিময়যোগ্য
Exchangeable acidity,বিনিময়যোগ্য অম্লতা
Exchangeable sodium percentage (ESP),বিনিময়যোগ্য সোডিয়াম শতাংশ (ESP)
E. S P.,ই এস পি
Exchange acidity,এক্সচেঞ্জ অ্যাসিডিটি
Exchange complex,এক্সচেঞ্জ কমপ্লেক্স
Exhaust,নিষ্কাশন
Exposed finish,উন্মুক্ত ফিনিস
Eye,আই
Eye brow,ভুরু
Facing,সম্মুখ
Facing bond,বন্ড সম্মুখীন
Factor of safety,নিরাপত্তার ফ্যাক্টর
Fall,পতন
Facia,ফেসিয়া
Facia board,ফেসিয়া বোর্ড
Fault,দোষ
Field moisture,মাঠের আর্দ্রতা
Final moisture equivalent,চূড়ান্ত আর্দ্রতা সমতুল্য
Fillet (of mortar),ফিলেট (মর্টার)
Finial,চূড়ান্ত
Final measurement,চূড়ান্ত পরিমাপ
Final paymentq,চূড়ান্ত অর্থপ্রদান
Final pre stress,চূড়ান্ত প্রাক চাপ
Final tension,চূড়ান্ত উত্তেজনা
Financial feasibility,আর্থিক সম্ভাব্যতা
Fine aggregate,সূক্ষ্ম সমষ্টি
Fissured rock,ফিসার্ড শিলা
Flag stone,পতাকা পাথর
Flemish bond,ফ্লেমিশ বন্ড
Flashing,ঝলকানি
Flashy stream,চটকদার স্রোত
Flat roof,সমতল ছাদ
Fleche,ফ্লেচে
Flemish garden wall bond,ফ্লেমিশ গার্ডেন ওয়াল বন্ড
Flint,চকমকি
Flint wall,চকমকি দেয়াল
Floating floor,ভাসমান মেঝে
Flocculation,ফ্লোকুলেশন
Flocculation limit,ফ্লোকুলেশন সীমা
Flocculation ratio,ফ্লোকুলেশন অনুপাত
Floccules,ফ্লোকুলস
Floor,মেঝে
Floor seal,মেঝে সিল
Flow,প্রবাহ
Fluctuation,ওঠানামা
Footing,ফুটিং
Foundation,ফাউন্ডেশন
Free fall barrow topping mixer,ফ্রি ফল ব্যারো টপিং মিক্সার
Free fall mixer (drum type),ফ্রি ফল মিক্সার (ড্রাম টাইপ)
Free stone,বিনামূল্যে পাথর
Freshet,ফ্রেশেট
Friction pile,ঘর্ষণ গাদা
Frog,ব্যাঙ
Gable,গ্যাবল
Gablet,গ্যাবলেট
Gambrel roof,গ্যাম্বেলের ছাদ
Gauge,গেজ
Gauging section,পরিমাপক বিভাগ
Gauging station,গেজিং স্টেশন
General location plan,সাধারণ অবস্থান পরিকল্পনা
General ventilation,সাধারণ বায়ুচলাচল
G horizon or gley horizon,G দিগন্ত বা gley দিগন্ত
Glacial till,হিমবাহ পর্যন্ত
Gneiss,জিনিস
Goods yard,গুডস ইয়ার্ড
Gradient resistance,গ্রেডিয়েন্ট প্রতিরোধ
Granite,গ্রানাইট
Granular structure,দানাদার গঠন
Granulation,দানাদার
Granule,কণিকা
Gravitational water free water,মহাকর্ষীয় জল মুক্ত জল
Gravitational yard,গ্র্যাভিটেশনাল ইয়ার্ড
Great soil group,মহান মাটি গ্রুপ
Grillage foundation,গ্রিলেজ ফাউন্ডেশন
Ground hand moulding,স্থল হাত ছাঁচনির্মাণ
Grouped dock,দলবদ্ধ ডক
Group housing,গ্রুপ হাউজিং
Guest room,অতিথি কক্ষ
Gutter,নর্দমা
Gutter bearer,নর্দমা বহনকারী
Gutter check,গটার চেক
Hammer dressing,হাতুড়ি ড্রেসিং
Harbour,হারবার
Harbour of refuge,আশ্রয়ের পোতাশ্রয়
Hard pan,শক্ত প্যান
Header,হেডার
Header bond,হেডার বন্ড
Header course,হেডার কোর্স
