Gujarati,Kannada
A B વર્ગ એમ્પ્લીફાયર,ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್
વિકૃતિ,ವಿಪಥನ
અસામાન્ય ટ્રાન્સમિશન,ಅಸಹಜ ಪ್ರಸರಣ
"જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ","ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ"
ગુમ થયેલ સ્પેક્ટ્રમ,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
સંપૂર્ણ ભેજ,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
સંપૂર્ણ ગતિ,ಸಂಪೂರ್ಣ ವೇಗ
સંપૂર્ણ અવલોકન,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
સંપૂર્ણ તાપમાન,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
સંપૂર્ણ શૂન્ય,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
શોષી લેવું,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
"શોષક, શોષક","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
શોષણ ક્ષમતા,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
શોષણ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
શોષક,ಹೀರಿಕೊಳ್ಳುವ
શોષકતા,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ગુણાકાર ગુણોત્તર,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
વેગ આપો,ವೇಗವನ್ನು
ઉતાવળ કરી,ಆತುರಪಟ್ಟರು
પ્રવેગ,ವೇಗವರ್ಧನೆ
ગુરુત્વાકર્ષણ પ્રવેગક,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
પ્રવેગક,ವೇಗವರ್ಧಕ
પ્રવેગક,ವೇಗವರ್ಧಕ
એક્સેલરોમીટર,ವೇಗವರ್ಧಕ
prestresser,ಪ್ರಿಸ್ಟ್ರೆಸರ್
સ્વીકાર્ય પરીક્ષણ,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
સ્વીકારનાર,ಸ್ವೀಕರಿಸುವವರು
દાતા પરમાણુ,ದಾನಿ ಅಣು
"પ્રવેશ, રાહ, સુલભતા","ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ"
ઉપલ્બધતા,ಪ್ರವೇಶಿಸುವಿಕೆ
"ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)","ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)"
ઍક્સેસ સમય,ಪ್ರವೇಶ ಸಮಯ
મુલાકાતી ભૂલ,ಸಂದರ್ಶಕರ ದೋಷ
ગોઠવણ,ಹೊಂದಾಣಿಕೆ
સંચિત,ಸಂಗ್ರಹಿಸಲಾಗಿದೆ
"સંચય, સંચય","ಶೇಖರಣೆ, ಶೇಖರಣೆ"
સંચયક,ಸಂಚಯಕ
ચોકસાઈ,ನಿಖರತೆ
વાસ્તવિકતા,ರಿಯಾಲಿಟಿ
