Hindi,Odiya
वैस्‍टम‍िन्‍स्‍टर मठ,ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |
मालखाना,ଅବକ୍ଷୟ
दासता का उन्मूलन,ଦାସତ୍ୱ ରଦ୍ଦ
आदिवासी,ଆଦିବାସୀ
अब्राहम काल,ଅବ୍ରହାମ ଏରା
प्रवासी ज़मींदार,ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |
अकादमी; विद्वत्परिषद,ଏକାଡେମୀ |
अक्रा सम्मेलन,ଆକ୍ରା ସମ୍ମିଳନୀ |
"प्रोद्भूत सामग्री, उपचित सामग्री",ଆକ୍ରୁଏଲ୍ |
"परसंस्कृति-ग्रहण, उत्संस्करण",ଆକଲଚ୍ୟୁଚର୍
एसेलडामा,ଆକେଲଡାମା |
एकियायी,ଆଖିଆନ୍ (= ଆଚିଆନ୍)
एकीयायी लीग,ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍)
एक्रोपोलिस,ଆକ୍ରୋପଲିସ୍ |
"शाही रोज़नामचा, दैनिक समाचार",ଆକ୍ଟା ଡିଆର୍ନା |
सीनेट का कार्यवृत्त,ଆକ୍ଟା ସେନାଟସ୍ |
"अपर प्रपत्र, एक्टे एडिशनेल",ଆକ୍ଟ ଆଡେଲ୍ |
सक्रिय रिकार्ड,ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ)
अपकीर्त्ति अधिनियम,ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |
दंड विमुक्ति एवं विस्मरण अधिनियम,କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |
"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट",ସମାଧାନ ନିୟମ
संविदा मुद्रा,ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |
आडुलम गुटवादी,ଆଡୁଲାମାଇଟ୍ସ |
विपक्षी,ଶତ୍ରୁ
2. शत्रु,ଶତ୍ରୁ
