Malayalam,Punjabi
അബാക്കസ്,abacus
അസാധാരണമായ അവസാനിപ്പിക്കൽ,ਅਸਧਾਰਨ ਸਮਾਪਤੀ
ഉപേക്ഷിക്കുക,ਅਧੂਰਾ ਛੱਡੋ
കേവല,ਅਸੀਮ
സമ്പൂർണ്ണ വിലാസം,ਪੂਰਾ ਪਤਾ
സമ്പൂർണ്ണ അഭിസംബോധന,ਪੂਰਨ ਸੰਬੋਧਨ
കേവല അസംബ്ലർ,ਪੂਰਨ ਅਸੈਂਬਲਰ
കേവല കോഡ്,ਪੂਰਨ ਕੋਡ
സമ്പൂർണ്ണ കമാൻഡ്,ਪੂਰਨ ਹੁਕਮ
സമ്പൂർണ്ണ ഡാറ്റ,ਪੂਰਨ ਡਾਟਾ
സമ്പൂർണ്ണ നിർദ്ദേശം,ਪੂਰਨ ਹਿਦਾਇਤ
കേവല മോഡ്,ਪੂਰਨ ਮੋਡ
കേവല പാത,ਪੂਰਨ ਮਾਰਗ
സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
അമൂർത്ത ക്ലാസ്,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
അമൂർത്ത ഡാറ്റ തരം,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
അമൂർത്ത യന്ത്രം,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
അമൂർത്ത ചിഹ്നം,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
അമൂർത്തമായ വാക്യഘടന,ਸੰਖੇਪ ਸੰਟੈਕਸ
സ്വീകാര്യത പരിശോധന,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ
ആക്സസ് പ്രാമാണീകരണം,ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ
പ്രവേശന കോഡ്,ਐਕਸੈਸ ਕੋਡ
പ്രവേശന നിയന്ത്രണം,ਪਹੁੰਚ ਕੰਟਰੋਲ
ആക്സസ് സ്കാൻ,ਐਕਸੈਸ ਸਕੈਨ
ഉപസാധനം,ਸਹਾਇਕ
അക്കൗണ്ട്,ਖਾਤਾ
അക്കൗണ്ട് ID,ਖਾਤਾ ID
ശേഖരണം,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
കൃത്യത,ਸ਼ੁੱਧਤਾ
