Tamil,English
ஆம்பியர் (அலகு),A (Ampere unit of current)
ஆங்ஸ்ட்ரம்,A (angstrom)
ஏ-வகுப்பு பெருக்கி,A amplifier
ஏஎன் ரேடியோ சஹே,A-N radio range
ஒரு ஸ்கேனிங் விளக்கக்காட்சி,A-scan presentation
ஒரு-தர்ஷ்,A-scope
ஏ-ஸ்கோப் செயல்திறன்,A-scope display
ஏ-டி வளைந்த படிகம்,A-T Cut crystal
"ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்",A.c-d.c. gain
நான்,A.M. (ante meridiem)
AMU (அணு நிறை அலகு),A.m.u. (atomic mass unit)
aard-vark*,Aard-vark
ab-ஆம்பியர்,Ab ampere
A-B வகுப்பு பெருக்கி,AB amplifier
அட,Ab initio
ஏ-பி சக்தி பிடகா,AB power pack
abc = சீரமைப்பு விளக்கப்படம் = nomograph,Abac=alignment chart=nomograph
அபே எண் (அபே மாறிலி),Abbe number (=Abbe constant)
அபே ரிஃப்ராக்டோமீட்டர்,ABBE refractometer
அபே சைன் நிலை,Abbe sine condition
தானியங்கி சார்பு இழப்பீடு,Abc (automatic bias compensation)
abcoulom,Abcoulomb
"பிறழ்வு, பிறழ்வு",Aberration
பிறழ்வு திருத்தி லென்ஸ்,Aberration corrector lens
வானம் பிறழ்வு,Aberration of light
அபராட்,Abfarad
எபென்ரி,Abhenry
கருங்காலி விளைவு,Abney effect (=Abney law)
அசாதாரண துருவமுனைப்பு,Abnormal polarisation
அசாதாரண பரிமாற்றம்,Abnormal propagation
அமானுஷ்ய பிரதிபலிப்பு,Abnormal reflection
அசாதாரண ஒளிவிலகல்*,Abnormal refraction
அமானுஷ்ய எதிர்ப்பு,Abnormal resistance
ab-om,Abohm
"முன்னுரிமை, தோல்வி",Abortion
"இணைக்கப்பட்ட, வழக்கமாக, நின்று, துண்டிக்கப்பட்ட, துண்டு துண்டாக",Abrupt
அடிக்கடி குதிக்கிறது,Abrupt jump
கை*,Abscissa
பிரதிபலிப்பு இழந்தது,Absent reflection
ஸ்பெக்ட்ரம் காணவில்லை,Absent spectrum
"முழுமையான, முழுமையான, நிலையான, சரியான",Absolute
முழுமையான முடுக்கம்,Absolute acceleration
முழுமையான உண்மை,Absolute accuracy
முழுமையான முகவரி,Absolute address-specific address
புவிசார்ந்த உயரமானி,Absolute altimeter
புவியியல் உயரம்,Absolute altitude
முழுமையான ஆம்பியர்,Absolute ampere
முழுமையான கொதிநிலை,Absolute boilling point
முழுமையான ஒளிர்வு,Absolute bolometric luminosity
முழுமையான கொள்ளளவு,Absolute capacity
முழுமையான உயரம்,Absolute ceiling
முழுமையான நிறமி,Absolute colour index
"முழுமையான கட்டமைப்பு, தெளிவற்ற கட்டமைப்பு",Absolute configuration
முழுமையான கூலம்,Absolute coulomb
முழு இருள்,Absolute darkness
முழுமையான திட்டமிடல்,Absolute dating
முழுமையான அடர்த்தி*,Absolute density
முழுமையான வடிகால்,Absolute drift
முழுமையான EMU (மின்காந்த அலகு),Absolute e.m.u.
முழுமையான ESU (நிலையான அலகு),Absolute e.s.u.
முழுமையான செயல்திறன்,Absolute efficiency
முழுமையான எலக்ட்ரோமீட்டர்,Absolute electrometer
முழுமையான அதிர்வெண் முழுமையான அதிர்வெண்,Absolute frequency
முழுமையான ஈரப்பதம்,Absolute humidity
முழுமையான நிகழ்வு,Absolute incidence
முழுமையான ஒளிவிலகல் குறியீடு,Absolute index of refraction
முழுமையான உறுதியற்ற தன்மை,Absolute instability
முழுமையான உறுதியற்ற தன்மை,Absolute intensity
"முழுமையான தீவிரம், முழுமையான தீவிரம்",Absolute length
ஆஸ்தீனியாவின் முழுமையான வரம்பு,Absolute limit of hysteresis
முழுமையான வெளிச்சம் சன்னல்,Absolute luminance threshold
முழுமையான ஒளி வளைவு,Absolute luminosity curve
முழுமையான அளவு,Absolute magnitude
முழுமையான காற்றழுத்தமானி,Absolute manometer
உச்ச உச்ச,Absolute maximum
முழுமையான தீவிர,Absolute maximum rating
முற்றிலும் குறைந்த,Absolute minimum
முழுமையான வேகம்,Absolute momentum
முழுமையான வேகம்,Absolute motion
முழுமையான இசை,Absolute music=pure music
முழுமையான கவனிப்பு,Absolute observation
முழுமையான ஓம்,Absolute ohm
முழுமையான நோக்குநிலை,Absolute orientation
