Kannada,Punjabi
ಅಸಹಜ,ਅਸਧਾਰਨ
ಸ್ಥಗಿತಗೊಳಿಸು,ਅਧੂਰਾ ਛੱਡਣਾ
ಸವೆದುಹೋಗುವಿಕೆ,ਘ੍ਰਿਣਾ
ಹಠಾತ್ತಾಗಿ,ਅਚਾਨਕ
ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ,ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,ਪੂਰਨ ਤਾਪਮਾਨ
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,ਸਹੀ ਮੁੱਲ
ಹೀರಿಕೊಳ್ಳಿ,ਸੋਖਣਾ
ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ,ਸਮਾਈ ਸਹਿਕਾਰਤਾ
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,ਸਮਾਈ ਨੁਕਸਾਨ
ಅಮೂರ್ತ,ਸਾਰ
ವೇಗವರ್ಧಕ ಮಾಪಕ,ਐਕਸੀਲਾਮੀਟਰ
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
ಪ್ರವೇಶ,ਪਹੁੰਚ
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,ਐਕਸੈਸ ਕੰਟਰੋਲ
ಪ್ರವೇಶ,ਐਕਸੈਸ ਪੁਆਇੰਟ
ಪ್ರವೇಶ ಸಮಯ,ਐਕਸੈਸ ਟਾਈਮ
ಪ್ರವೇಶಿಸುವಿಕೆ,ਪਹੁੰਚਯੋਗਤਾ
ಸಂಚಯಕ ಕೋಶ,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ
ನಿಖರತೆ,ਸ਼ੁੱਧਤਾ
ನಿಖರವಾದ,ਸਹੀ
ವರ್ಣರಂಜಿತ ಮಸೂರದ,ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼
ಆಮ್ಲ,ਐਸਿਡ
ಆಮ್ಲ ಪುರಾವೆ,ਐਸਿਡ ਦਾ ਸਬੂਤ
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,ਐਸਿਡਿਟੀ
ಸ್ವೀಕೃತ ಬಿಟ್,ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ
Acೇಳ್ಳರದ,ਧੁਨੀ
ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ,ਧੁਨੀ ਸੰਚਾਰ
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ,ਧੁਨੀ ਫੈਲਾਉਣ
ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ,ਧੁਨੀ ਬਰਾਬਰੀ
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,ਧੁਨੀ ਫੀਡਬੈਕ
ಕೊಳೆತ ಫಿಲ್ಟರ್,ਧੁਨੀ ਫਿਲਟਰ
ಸಕಲಿಯ ಪ್ರತಿರೋಧ,ਧੁਨੀ ਰੁਕਾਵਟ
ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ,ਧੁਨੀ ਮਾਸਕਿੰਗ
ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ,ਧੁਨੀ ਸ਼ਕਤੀ
ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ,ਧੁਨੀ ਸੰਪਤੀ
