Punjabi,English
ਅਸਧਾਰਨ,Abnormal
ਅਧੂਰਾ ਛੱਡਣਾ,Abort
ਘ੍ਰਿਣਾ,Abrasion
ਅਚਾਨਕ,Abrupt
ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ,Absolute field strength
ਪੂਰਨ ਤਾਪਮਾਨ,Absolute temperature
ਸਹੀ ਮੁੱਲ,Absolute value
ਸੋਖਣਾ,Absorb
ਸਮਾਈ ਸਹਿਕਾਰਤਾ,Absorption co-efficient
ਸਮਾਈ ਨੁਕਸਾਨ,Absorption loss
ਸਾਰ,Abstract
ਐਕਸੀਲਾਮੀਟਰ,Accelerometer
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,Acceptance test
ਪਹੁੰਚ,Access
ਐਕਸੈਸ ਕੰਟਰੋਲ,Access control
ਐਕਸੈਸ ਪੁਆਇੰਟ,Access point
ਐਕਸੈਸ ਟਾਈਮ,Access time
ਪਹੁੰਚਯੋਗਤਾ,Accessibility
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ,Accumulator cell
ਸ਼ੁੱਧਤਾ,Accuracy
ਸਹੀ,Accurate
ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼,Achromatic lens
ਐਸਿਡ,Acid
ਐਸਿਡ ਦਾ ਸਬੂਤ,Acid proof
ਐਸਿਡਿਟੀ,Acidity
ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ,Acknowledgement bit
ਧੁਨੀ,Acoustic
ਧੁਨੀ ਸੰਚਾਰ,Acoustic communication
ਧੁਨੀ ਫੈਲਾਉਣ,Acoustic diffusion
ਧੁਨੀ ਬਰਾਬਰੀ,Acoustic equalizer
ਧੁਨੀ ਫੀਡਬੈਕ,Acoustic feedback
ਧੁਨੀ ਫਿਲਟਰ,Acoustic filter
ਧੁਨੀ ਰੁਕਾਵਟ,Acoustic impedance
ਧੁਨੀ ਮਾਸਕਿੰਗ,Acoustic masking
ਧੁਨੀ ਸ਼ਕਤੀ,Acoustic power
ਧੁਨੀ ਸੰਪਤੀ,Acoustic property
ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ,Acoustic reactance
ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ,Acoustic reflex
ਧੁਨੀ ਟਾਈਲ,Acoustic tile
ਧੁਨੀ ਲਹਿਰ,Acoustic wave
ਧੁਨੀ ਸਮਾਈ,Acoustical absorption
ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ,Acoustical attenuation constant
ਧੁਨੀ ਗਿੱਲੀ,Acoustical damping
ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ,Acoustical delay line
ਧੁਨੀ ਵਿਗਾੜ,Acoustical distortion
ਧੁਨੀ ਨਲੀ,Acoustical duct
ਧੁਨੀ energy ਰਜਾ,Acoustical energy
ਧੁਨੀ ਫੀਡਬੈਕ,Acoustical feedback
ਧੁਨੀ ਫਿਲਟਰ,Acoustical filter
ਧਾਰਨਾ,Acoustical impedance
ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ,Acoustical propagation constant
ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ,Acoustical resistance
ਧੁਨੀ,Acoustically insulated
ਧੁਨੀ,Acoustics
ਗ੍ਰਹਿਣ,Acquisition
ਐਕਰੋਨਾਈਮ,Acronym
ਕਾਰਵਾਈ ਖੇਤਰ,Action area
ਸਰਗਰਮ ਤੰਦ,Activated filament
ਕਿਰਿਆਸ਼ੀਲ,Active
ਐਕਟਿਵ ਖੇਤਰ,Active area
ਐਕਟਿਵ ਵਿੰਡੋ,Active window
ਅਨੁਕੂਲਤਾ,Adaptability
ਅਡੈਪਟਰ (ਅਡੈਪਟਰ),Adapter (adaptor)
ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ,Adaptive differential pulse code modulation
ਐਡਰੈੱਸ ਬੁੱਕ,Address book
ਪਤਾ ਬੱਸ,Address bus
ਪਤਾ ਹੱਲ,Address resolution
ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ,Adjacent channel interference
ਨਾਲਤ ਚੈਨਲ ਚੋਣ,Adjacent channel selectivity
ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ,Adjacent frequency
ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ,Adjacent frequency channel
ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ,Adjacent picture carrier
