Hindi,Odiya
ऐम्पियर (मात्रक),ଆମ୍ପେର୍ (ୟୁନିଟ୍)
ऐंगस्ट्रम,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ |
ए-वर्ग प्रवर्धक,ଏକ ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
ए.एन रेडियो सहाय,ଏକ ରେଡିଓ ସାହା |
ए-क्रमवीक्षण प्रस्तुति,ଏକ ସ୍କାନିଂ ଉପସ୍ଥାପନା |
ए-दर्श,a-darsh
ए-स्कोप प्रदर्शन,ଏକ ପରିସର କାର୍ଯ୍ୟଦକ୍ଷତା |
ए-टी कर्तित क्रिस्टल,A-T ବକ୍ର ସ୍ଫଟିକ୍ |
"ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन","ଏସି ଡିସି ଲାଭ, a। CD C. Labhi, A. CD ଗ"
पूर्वाह्न,ମୁଁ
ए.एम.यू. (परमाणु संहति मात्रक),AMU (ପରମାଣୁ ମାସ ଏକକ)
आर्ड-वार्क*,aard-vark *
ऐब-ऐम्पियर,ab-ampere
ए-बी वर्ग प्रवर्धक,A-B ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
आदितः,ଆଦା
ए-बी शक्ति पिटक,A-B ଶକ୍ତି ପିଟାକା |
एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़,abc = ଆଲାଇନ୍ମେଣ୍ଟ ଚାର୍ଟ = ନାମୋଗ୍ରାଫ୍ |
ऐबे संख्या (ऐबे नियतांक),ଆବେ ସଂଖ୍ୟା (ଆବେ ସ୍ଥିର)
ऐबे अपवर्तनमापी,abe refractometer
ऐबे ज्या अवस्था,ଆବେ ସାଇନ ଅବସ୍ଥା |
स्वचालित बायस प्रतिकार,ସ୍ୱୟଂଚାଳିତ ପକ୍ଷପାତ କ୍ଷତିପୂରଣ |
ऐबकूलॉम,abcoulom
"विपथन, अपेरण","ଘୃଣ୍ୟତା, ଅବକ୍ଷୟ |"
विपथन संशोधक लेन्स,ଅବରାଟେସନ୍ ସଂଶୋଧନକାରୀ ଲେନ୍ସ |
