Assamese,English
এ চি সমতুল্য বৰ্তনী,A C equivalent circuit
এনালগ টু সংখ্যাগত ৰূপান্তৰক,A to D converter
নিৰপেক্ষ শূন্য,Absolute zero
শোষণ সহগ,Absorption coefficient
শোষণ বৰ্ণালী,Absorption spectrum
ৰিচেপ্টৰ পৰমাণু,Acceptor atom
বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন,A C coupling
ইলেক্ট্ৰন সংগ্ৰহ কৰা,Accumulation of electron
ফুটা সংৰক্ষণ,Accumulation of holes
সক্ৰিয়কৰণ শক্তি,Activation energy
সক্ৰিয় পৰিবৰ্ধক,Active amplifier
সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী,Active diode circuit
সক্ৰিয় ফিল্টাৰ,Active filter
সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ,Active high pass filter
সক্ৰিয় লোড,Active load
সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ,Active low pass filter
সক্ৰিয় অঞ্চল,Active region
অভিযোজিত ইলেক্ট্ৰনিক্স,Adaptive electronics
adder,Adder
এডজাষ্টেবল বেণ্ড এক্সটেনচন,Adjustable band width
ভেদ,Admittance
এৰিয়েল,Aerial
pep কম্পাঙ্ক,Agility frequency
এয়াৰ কণ্ডিচনাৰ,Air conditioner
প্ৰান্তিককৰণ,Alignment
এলগৰিদম,Algorithm
সকলো পাছ ফিল্টাৰ,All pass filter
মিশ্ৰণ সংযোগ,Alloy junction
ক্ষীণকৰণ,Attenuation
বিকল্প বিদ্যুৎ প্ৰবাহ,Alternating current (AC)
পৰিৱেশৰ উষ্ণতা,Ambient temperature
বাইপোলাৰ,Ambipolar
এম্প্লিফিকেশন,Amplification
এম্প্লিফায়াৰ,Amplifier
এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা,Amplifier efficiency
মাত্ৰাসমূহ,Amplitude
প্ৰসাৰণ ক্ষীণকৰণ,Amplitude altenuation
প্ৰসাৰণ মডুলেটেড AM দোলক,Amplitude modulated oscillator
প্ৰসাৰণ মডুলেচন,Amplitude modulation
প্ৰসাৰণ মডুলেটৰ,Amplitude modulator
angstrom একক,Angstrom unit
এনালগ বৰ্তনী,Analog circuit
এনালগ কম্পিউটাৰ,Analog computer
এনালগ ফিল্টাৰ,Analog filter
এনালগ মাল্টিমিটাৰ,Analog multimeter
এনালগ চুইচ,Analog switch
AND গেট,AND gate
কৌণিক কম্পাঙ্ক,Angular frequency
"এনিয়ন, এনিয়ন",Anion
এনিয়েলিং উষ্ণতা,Annealing temperature
এনোড,Anode
এনোড এম্প্লিফায়াৰ,Anode amplifier
এনোডাইন,Anodization
এন্টেনা,Antenna
এন্টেনা উপাদান,Antenna elements
এন্টি-ৰিফ্লেক্টিভ আৱৰণ,Anti-reflection coating
এন্টিলগিন এম্প্লিফায়াৰ,Anti-log amplifier
এন্টিৰেজোনেণ্ট চাৰ্কিট,Anti-resonant circuit
দ্বাৰক যুগ,Aperture time
ভাৰ্চুৱেল শক্তি,Apparent power
তাঁৰৰ সংযোগ,Apparent wiring
আনুমানিক ভোল্টেজ লাভ,Approximate voltage gain
আৰ্মষ্ট্ৰং মডুলেটৰ,Armstrong modulator
এন্টেনা এৰে,Arrays of antenna
"আকাৰৰ অনুপাত, দৃষ্টি অনুপাত",Aspect ratio
ভাসমান বৰ্তনী (মুক্ত অপাৰেটিং বৰ্তনী),Astable circuit (free running circuit)
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,Astable multivibrator
ভাসমান মাল্টিভাইব্ৰেটৰ,Astable multivibrator
অসমতাপূৰ্ণ সংযোগস্থল,Asymmetrical junction
এচিনক্ৰ&#39;নাছ কেলকুলেটৰ,Asynchronous counters
পাৰমাণৱিক,Atom
পাৰমাণৱিক সংখ্যা,Atomic number
পাৰমাণৱিক গঠন,Atomic structure
অডিঅ&#39; এম্প্লিফায়াৰ,Audio amplifier
অডিঅ&#39; এম্প্লিফায়াৰ,Audio amplifier
অডিঅ&#39; কেছেট,Audio cassette
অডিঅ&#39; বৰ্তনী,Audio circuit
শ্ৰৱণযোগ্য কম্পাঙ্ক,Audio frequency
স্বয়ংক্ৰিয় ভল্টেজ নিয়ন্ত্ৰণ,Automatic voltage control
হিমস্খলন,Avalanche
গড় ডিটেক্টৰ,Average detector
অক্ষীয় ধৰণ,Axial mode
অক্ষীয় অনুপাত,Axial ratio
এন্টেনা,Antenna
পিছলৈ ইলেক্ট্ৰ&#39;ম&#39;টিভ বল,Back e.m.f.
পিছফালৰ অঞ্চল,Back field
পিছলৈ বিক্ষিপ্ততা,Back scattering
পটভূমি চাৰ্জ,Background charge
কাষৰ শব্দ,Background noise
ৰেট্ৰ&#39;গ্ৰেছন,Backlash
পশ্চাৎ বিকিৰণ,Backlobe radiation
বেকৱাৰ্ড ডাইঅ&#39;ড / বেকৱাৰ্ড ডাইঅ&#39;ড,Backward diode
পিছলৈ তৰংগ দোলক,Backward wave oscillator
"বাধা, বাধা",Baffle
বাধাগ্ৰস্ততা,Baffle shield
সুষম দলং,Balanced bridge
সুষম মডুলেটৰ,Balanced demodulator
সুষম মডুলেটৰ,Balanced modulator
সুষম বৰ্তনী,Balanced network
ভাৰসাম্যপূৰ্ণ গ্ৰেডিয়েণ্ট ডিটেক্টৰ,Balancedslope detector
কাৰেণ্ট ষ্টেবিলাইজাৰ ৰেজিষ্টেন্স,Ballast resistors
বলোমিটাৰ,Balometer
বলোমিটাৰ দলং,Balometer bridge
বেলুন,Balun
কল জেক,Banana jack
কল প্লাগ,Banana plug
"বেণ্ড, বেণ্ডেজ",Band
বেণ্ড ড্ৰাইভাৰ,Band conduction
বেণ্ড শক্তি,Band energy
বেণ্ড গেপ,Band gap
badpark এম্প্লিফায়াৰ,Band pass amplifier
বেণ্ড পাছ ফিল্টাৰ,Band pass filter
বড হাৰ জেনেৰেটৰ,Baud rate generator
banddispersion,Band spreading
বেণ্ড ৰেজিষ্টৰ,Band stop
বেণ্ড ব্ৰেকাৰ ফিল্টাৰ,Band stop filter
বেণ্ড সম্প্ৰসাৰণ,Band width
বেণ্ড আঁতৰোৱা ফিল্টাৰ,Band-elimination filter
বেণ্ড এক্সপান্সন ডিফ্লেকচন মাল্টিপ্লাইয়াৰ,Bandwidth dispersion product
বেণ্ড সম্প্ৰসাৰণ দূৰত্ব বহুগুণক,Bandwidth distance product
"ৰশ্মি কেপাচিটৰ, বেংক কেপাচিটৰ",Bank capacity
"বাৰ্কাৰ কোড, বাৰ্কাৰ কোড",Barker code
barravaugen মাপকাঠী,Barkhausen criterion
বেৰেটৰ,Barretter
বাধা,Barrier
ইনচুলেটিং কেপাচিটৰ,Barrier capacitor
বাধা শক্তি,Barrier energy
ৰেজিষ্টৰ ভল্টেজ,Barrier voltage
বাৰ্টলেট উইণ্ড&#39;,Bartlett window
"ভিত্তি, ভিত্তি",Base
বেচ বেণ্ড,Base band
বেচ বেণ্ড ট্ৰেন্সমিছন,Base band transmission
ভিত্তি চাৰ্জ,Base charge
বেচ কাৰেণ্ট,Base current
ভিত্তি বিদ্যুৎ প্ৰবাহৰ উৎস,Base current source
বেচ শ্বিয়াৰিং,Base dipping
আধাৰ মদন,Base doping
বেচ এমিটাৰ ফিড,Base emitter feedback
বেচ এমিটাৰ জংচন,Base emitter junction
বেচ ইনজেকচন,Base infection
গ্ৰাউণ্ড লাইন,Base line
ভিত্তি ৰেজিষ্টেন্স,Base resistance
ভিত্তি উৎস,Base source
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,Base spreading resistance
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,Base spreading resistance
ভিত্তিৰ বেধ,Base thickness
ভিত্তি অভিগম,Base transport
"ভিত্তি প্ৰস্থ মডুলেচন, ভিত্তি সম্প্ৰসাৰণ মডুলেচন",Base width modulation
ভিত্তি সংগ্ৰাহক চুক্তি,Base-collector junction
গোন্ধ,Bass
বেছ ফ্ৰিকুৱেন্সি,Bass frequency
বেটাৰি,Battery
baud,Baud
বড হাৰ,Baud rate
বড হাৰ জেনেৰেটৰ,Baud rate generator
বডো ক&#39;ড,Baudot code
"সংকেত, বিকন",Beacon
"মণিকা, বিড",Bead
মেনিক কেপাচিটৰ,Bead capacitor
মণিকাৰতাপি ৰেজিষ্টৰ,Bead thermister
"ৰশ্মি এন্টেনা, ৰশ্মি এন্টেনা",Bean antenna
ৰশ্মি ডিটেক্টৰ,Beam finder
ৰশ্মি শক্তিৰ নলী,Beam power tube
ৰশ্মি চুইচিং নজেল,Beam switching tube
ৰশ্মি প্ৰসাৰণ,Beam width
বিট ফ্ৰিকুৱেন্সি,Beat frequency
বিট-ফ্ৰিকুৱেন্সি অচিলেটৰ,Beat frequency oscillator
পালছ দোলক,Beat oscillator
বেল,Bel
বেণ্ডিং লছ,Bending loss
বেচেল ফিল্টাৰ,Bessel filter
বিটা,Beta
