Gujarati,Hindi
વેસ્ટમિન્સ્ટરના એબી,वैस्‍टम‍िन्‍स्‍टर मठ
ત્યાગી,मालखाना
ગુલામી નાબૂદી,दासता का उन्मूलन
એબોરિજિનલ,आदिवासी
અબ્રાહમ યુગ,अब्राहम काल
ગેરહાજર મકાનમાલિકો,प्रवासी ज़मींदार
એકેડમી,अकादमी; विद्वत्परिषद
અકરા કોન્ફરન્સ,अक्रा सम्मेलन
સંસાધનો,"प्रोद्भूत सामग्री, उपचित सामग्री"
સંવર્ધન,"परसंस्कृति-ग्रहण, उत्संस्करण"
એસેલડામા,एसेलडामा
અચેઅન (=અચિયન),एकियायी
આચિયન લીગ (=એચિયન લીગ),एकीयायी लीग
એક્રોપોલિસ,एक्रोपोलिस
એક્ટા દીર્ના,"शाही रोज़नामचा, दैनिक समाचार"
એક્ટા સેનાટસ,सीनेट का कार्यवृत्त
એક્ટ એડિશનલ,"अपर प्रपत्र, एक्टे एडिशनेल"
સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ),सक्रिय रिकार्ड
પ્રાપ્ત કરનારનું કાર્ય,अपकीर्त्ति अधिनियम
ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય,दंड विमुक्ति एवं विस्मरण अधिनियम
સમાધાનનો અધિનિયમ,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट"
જાહેરાત કરાર સીલ,संविदा मुद्रा
અદુલ્લામાઈટસ,आडुलम गुटवादी
વિરોધી,विपक्षी
વિરોધી,2. शत्रु
એઓન,युग
એરેરિયમ,इरेरियम
હવાઈ યુદ્ધ,"आकाशी युद्ध, हवाई लड़ाई"
એટોલિયન લીગ,"एटोलियन लीग, एटोलियायी संघ"
ઉંમર,"काल, युग"
વૃદ્ધત્વ (=વૃદ્ધત્વ),"काल-प्रभावन, जीर्णन"
વૃદ્ધત્વ પ્રક્રિયા,जीर्णन-प्रक्रिया
અગેલાઈ,एजिलायी
શૌર્યની ઉંમર,शौर्य युग
જ્ઞાનની ઉંમર,"प्रबोध युग, ज्ञानोदय युग"
પેરિકલ્સની ઉંમર,पेरीक्लीज़ युग
કારણની ઉંમર,तर्क प्रधान युग
કૃષિવાદ,भूमि सुधारवाद
કૃષિ આંદોલન,भूमि सुधारवादी आंदोलन
એલ્બિયન,एलबियन
આલ્બમ,अलबम
એલ્ડરમેન,"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन"
મોહક શસ્ત્રો,कुलांकित आयुध
સૌમ્યતા,मैत्री
એમ્ફિક્ટિઓનિક કાઉન્સિલ,एम्फिकटिआनी परिषद
એમ્ફિક્ટિઓનિક લીગ,ऊपर देo : Amphictyonic Council
એમ્ફીથિયેટર,"रंगवाट, रंगभूमि, अखाड़ा"
અમરી નલ જૂથ (માટીના વાસણો),(मृद्भांडों का) अमरीनाल वर्ग
અનાક્રોનિઝમ,"काल-वैषम्य, काल-दोष"
એનાક્રોનિસ્ટિક,काल-वैषम्ययुक्त
પૂર્વજ,पूर्वज
પૂર્વજની પૂજા,पितृ-पूजा
વંશ,कुल-परंपरा
વંશ,2. वंश
વંશ,3. वंश-क्रम
વંશ,4. उच्च कुल
પ્રાચીન શાસન,"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था"
પ્રાચીન,"पुरातन, प्राचीन"
પ્રાચીન લોકગીત,प्राचीन गाथा
પ્રાચીન માન્યતા,प्राचीन मत
પ્રાચીન રિવાજ,प्राचीन प्रथा
પ્રાચીન ઇતિહાસ,प्राचीन हतिहास
પ્રાચીન સ્મારકો,प्राचीन स्मारक
ટુચકો,उपाख्यान
એન્જેલોટ,एन्जिलोट
એન્જલસ,देवदूत पूजा
એન્જેવિન (=એન્જેવિન),आन्जवै
ખૂણો,ऐन्गल्स
એંગ્લિકન,आंग्लिक
એંગ્લિકન કોમ્યુનિયન,आंग्ल चर्च
અંગ્રેજવાદ,आंग्ल चर्चवाद
એંગ્લો-ફોબ,आंग्ल विरोधी
એંગ્લો-ફોબિયા,आंग्ल-दुर्भीति
એંગ્લો-સેક્સન,आंग्ल सैक्सन
એંગ્લો-સેક્સોનિઝમ,आंग्ल-सैक्सनवाद
એનાલિસ્ટ,"आख्यान-लेखक, आख्यानकार"
ઇતિહાસ,"वर्षवृत्त, आख्यान, ख्यात"
જોડાણ,"अधिनहन, मिला देना"
એન્ટિ-બેલમ,युद्ध पूर्व (स्थिति)
તારીખ પહેલાં,"पूर्वतिथि-निर्धांरण, पूर्वकाल निर्धारण"
ક્લેરિકલિઝમ વિરોધી,पादरी प्रथा विरोधी
કારકુની વિરોધી કાયદો,पादरी प्रथा विरोधी विधान
પ્રાચીનકાળ,"पुरावशेष, पुरावस्तु"
વિરોધી ભાડા,लगान-विरोधी
વિરોધી ભાડા,2. एन्टी रैन्ट पार्टी
વિરોધી સેમિટિઝમ,"यहूदी विरोध, यहूदीवाद-विरोध, यहूदी विरोधवाद"
એન્ઝેક,ऐन्ज़ेक
અપેલા,नागरिक सभा
અરાલુ,अरालू
આર્ક બિશપ,आर्च बिशप
કમાન ડચી,आर्च डची
આર્ક ડ્યુક,आर्च ड्यूक
આર્કાઇફ (=આર્કાઇવલ સંગ્રહ),पुरालेख संग्रह
આર્કિપીસ્કોપેટ,महाधर्माध्यक्ष का पद
કુલીન વર્ગ,अभिजाततंत्र
કુલીન,अभिजात
કુલીન સ્નોબરી,अभिजातीय दंभ
એરિસ્ટોટેલિયન,अरस्तूवादी
આર્માડા,आर्मेडा
આર્મડા (=ધ સ્પેનિશ આર્મડા),स्पेन का आर्मेडा
આર્મોરિસ્ટ (=આર્મરિસ્ટ),कवच-विशारद
બખ્તર (=બખ્તર),"कवच, बख्तर, वर्म"
આર્મરિસ્ટ,अo देo armorist
આર્યન,आर्य
આર્યન,2. कुलीन
અસ્કરી,अस्कारी
સોંપણી,"आसिग्ना, भू-प्रतिभृत मुद्रा"
સહાય કરો,अभिसत्र
સહાય કરો,2. विधिपृच्छा
સહાય કરો,3. अभिसत्राधिनियम
આર્મ્સ એક્ટની સહાય,आयुध अभिसत्राधिनियम
ડેરેન પ્રેઝન્ટમેન્ટની સહાય,डारेन उपस्थापन अभिसत्राधिनियम
મોર્ટ &#39;ડી&#39; પૂર્વજની સહાય,मृत पूर्वज अभिसत्राधिनियम
નવલકથા ડીસીસીનની સહાય,अभिनव अधिधारणोत्सादन अभिसत्राधिनियम
અત્યાચાર,नृशंसता
હુમલો,आक्रमण
ઓલિક કાઉન્સિલ,"सर्वोच्च न्यायालय, ऑलिक काउन्सिल"
દેવીની કુહાડી (=દેવીની કુહાડી),गेडिस समाधान
એક્સિસ (=ધ રોમ-બર્લિન-ટોક્યો એક્સિસ),धुरी राष्ट्र
બેબીલોન,"बाबुल, बेबीलोन"
બેબીલોનીયન કેદ (=બેબીલોનીશ કેદ),बेबीलोनी बंदीकरण
બચનલ ભક્ત,बाखुसी उपासक
બચ્ચનલિયા,मद्यपानोत्सव
સ્નાતક,युवा योद्धा
બગદાદ કરાર,"बगदाद अनुबंध, बगदाद पैक्ट"
બાલ્કન લીગ,बाल्कन लीग
બાલ્કન કરાર,बाल्कन अनुबंध
બાલ્કન યુદ્ધો,बाल्कन युद्ध
બાલ્ટિક સંધિ,बाल्टिक अनुबंध
ડાકુ,दस्यु
બાંડુંગ કોન્ફરન્સ,बांडुंग सम्मेलन
દેશનિકાલ,"निर्वासन, देश-निकाला"
બેનર,"पताका, ध्वजा"
અસંસ્કારી,बर्बर
બાર્બીકન,कोट-घूँघट
બારડોલી સત્યાગ્રહ,बारदोली सत्याग्रह
બાર્ન બર્નર્સ,बार्न बर्नस
બેરોન,"बैरन, सामंत"
બેરોનેજ,बैरोनेज
બેરોન્સ મેજર,महासामंत
બેરોન્સ સગીર,लघु सामंत
બેરોનેસ,सामंत पत्नी
બેરોનેટ,उपसामंत
બેરોનેટેજ,उपसामंत वर्ग
બેરોનેટેજ,2. बैरोनेट वंशावली
બેરોનેટસી,उपसामंत
બેરોની,बैरोनी
બેરાકૂન,दास बंदीगृह
બેરાકૂન,2. दास-गृह
બેરિકેડ (=બેરિકેડ),अवरोध
બેરિકેડ (=બેરિકેડ),2. घिराव
બેરિકેડ (=બેરિકેડ),3. मोचबिंदी
મુખ્ય છાવણી,आधार शिबिर
બેસિલિકા,वैसिलिका
બેસિલિકા,2. सभा भवन
બેસ્ટિલા,बैस्टील
બેસ્ટિલ,बैस्टील
બેસ્ટિલ,2. कारागार
બેટરી,तोपखाना
યુદ્ધ,"रण, समर, युद्ध"
Batlle-એરે,रण-व्यूह
યુદ્ધ ક્રાય,युद्ध-घोष
યુદ્ધ દિન,युद्ध कोलाहल
યુદ્ધ ક્ષેત્ર,"रण भूमि, रण क्षेत्र, समरांगण"
યુદ્ધ સ્તોત્ર,युद्ध-गान
સ્પર્સનું યુદ્ધ,एड़-युद्ध
ધોરણનું યુદ્ધ,ध्वज-संग्राम
યુદ્ધજહાજ,"रणपोत, जंगी जहाज़, संगरपोत"
યુદ્ધજહાજ-શક્તિ,"संगरपोत शक्ति, रणपोत-शक्ति"
Bayeux ટેપેસ્ટ્રી,बेयू चित्रपट
બીકન,संकेत प्रकाश
બીકન ટાવર,प्रकाश स्तंभ
બીવર,मुखरक्षी
બીવર,2. बीवर सिक्का
સમુદ્રના ભિખારીઓ,समुद्री बैगर
બેલીકોઝ,युयुत्यु
બેલીકોઝ,2. लड़ाकू
બેલીકોઝ,3. युद्धप्रिय
બેલીકોસીટી,"युयुत्सा, युद्धप्रियता, लड़ाकूपन"
બેલોના,बेलोना
લાભ,"मठवृत्ति, धमवृत्ति, पादरी की वृत्ति"
ધર્મગુરુઓનો લાભ,पादरी-सुविधा
બેનેલક્સ,बेनीलक्स
બર્લિન હુકમનામું,"बर्लिन डिकी, बर्लिन निषेध"
બેર્સકર,"जुझारू योद्धा, नार्सी योद्धा"
બેસન્ટ (=બેઝન્ટ),बजांत
બેથેલ,बैथेल
ગ્રંથસૂચિ,ग्रंथ-पूजक
ગ્રંથસૂચિ,ग्रंथपूजन
મોટા બર્થા,बिग बर्था
ધર્માંધ,धर्मांध
બિલેટિંગ,वासादेश
અટેન્ડરનું બિલ,बिल ऑफ अटेन्डर
અધિકારોનું વિયેધક,अधिकार-पत्र
જીવનચરિત્રકાર,"जीवनीकार, चरित लेखक"
જન્મ કથાઓ,जातक कथाएँ
બિવૉક,पड़ाव
બિવૉક,2. रण-शिविर
બિવૉક,3. सैनिक पहरा
બિઝોનિયા,बाइज़ोनिया
બ્લેક બર્ડિંગ,अवैध दास आयात
કાળો ઝંડો,काला झंडा
બ્લેક હોલ,काल-कोठरी
બ્લેક હોલ,2. ब्लैक होल
કાળો પગ (= સ્કેબ),"गद्दार, द्रोही"
કાળો શર્ટ,"ब्लैक शर्ट, काली कुर्ती दल"
બ્લેઝોન,कुल चिह्र
બ્લેઝોન,2. कुल चिह्र अंकन
બ્લેઝોનરી,कुल-चिह्रांकन कला
બ્લેઝોનરી,2. कलात्मक प्रदर्शन
બ્લિટ્ઝક્રેગ,"तड़ित युद्ध, तूफानी हमला"
લોહી વગરની ક્રાંતિ (= ભવ્ય ક્રાંતિ),"गौरवमय क्रांति, रक्तहीन क्रांति"
બ્લડવાઈટ,"रक्तपात देय, खून की कीमत, रक्तपात दण्ड"
બ્લડી મેરી,खूनी मेरी (सन् - ईo)
વાદળી,ब्लू
વાદળી રક્ત,"आभिजात्य, कुलीनता"
વાદળી પુસ્તક,"नीली पुस्तिका, सरकारी रिपोर्ट, ब्लू बुक"
વાદળી રિબન,"नीला फीता, ब्लू रिबन"
વાદળી રિબન,2. सर्वोच्च सम्मान
બ્લૂઝ (= રોયલ હોર્સ ગાર્ડ્સ),राजकीय रक्षक
વાદળી શર્ટ,नीली कुर्ती दल (इटली)
બ્લુ વોટર સ્કૂલ,नौसेना समर्थक
બોર્ડ ઓફ કંટ્રોલ,"संचालन-मंडल, संचालन-बोर्ड, नियंन्त्रण मंडल"
શારીરિક બખ્તર,"वर्म, जिरह-बख्तर"
બોઅર,बूर
લૂંટ,लूट का माल
બરો,बरो
બુલ્યુટેરિયન,सीनेट सदन
બોર્બોન,बूर्बा
બોક્સર બળવો,बॉक्सर विद्रोह
તાણવું,भुज कवच
બ્રાસર્ડ,बाहु पट्टिका
બ્રાસર્ડ,"2. भुज बंध, भुज कवच"
બ્રેડ વસાહતો,बहुधान्यक प्रदेश
સ્તન પ્લેટ,"वक्षस्त्राण, उरस्ताण"
સ્તન કામ,आवक्ष भित्ति
બ્રેટવાલ્ડા,"ब्रेटवाल्डा, ब्रिटनों का अधिपति"
બ્રિગન્ડ,बटमार
બ્રિગેન્ડેજ,"बटमारी, लुंठन, राहजनी"
બ્રિટિશ કોમનવેલ્થ ઓફ નેશન્સ,"ब्रिटिश कॉमनवेल्य, राष्ट्रमंडल"
બ્રાઉન શર્ટ્સ (=નાઝીઓ),"ब्राउन शर्ट्स, भूरी कुर्ती दल"
બ્રસેલ્સ સંધિ (સંધિ) સંસ્થા (=વેસ્ટર્ન યુરોપિયન યુનિયન),ब्रुसेल्स संधि संगठन
બફ,महिष चर्म
બફ,2. लघु कोट
બફ-કોટ,बफ़-कोट
બફ્સ,बफ़-रेज़िमेंट
બુલે (= કાઉન્સિલ),ब्यूल
બર્ગેજ,पट्टेदारी
બર્જેસ,पौर प्रतिनिधि
બાયઝેન્ટાઇન,बाईजेन्टिनी
બાયઝેન્ટાઇન ચર્ચ,बाइजेन्टिनी गिरजाघर
બાયઝેન્ટાઇન સામ્રાજ્ય,बाइजेन्टिनी साम्राज्य; पूर्वी रोम साम्राज्य
બાયઝેન્ટાઇન યુગ,बाइजेन्टिनी संवत्
બાયઝેન્ટાઇન ઇતિહાસકારો,बाइजेन्टिनी इतिहासकार
કેબલ,"काबेल, षडयंत्रकारियों का गुट"
સીઝરિઝમ,सीज़रतंत्र
ખલીફા,खलीफ़ा
સુલેખનકાર,"खुशनवीस, सुलेखक"
સુલેખનકાર,सुलेख-विशारद
સુલેખન,सुलेख
કેલ્ટ્રોપ,कैल्ट्रॉप
મિત્રતા,सौहार्द
કેમેરિલા,लघु कक्ष
