Bengali,Kannada
A B শ্রেণীর পরিবর্ধক,ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್
বিকৃতি,ವಿಪಥನ
অস্বাভাবিক সংক্রমণ,ಅಸಹಜ ಪ್ರಸರಣ
"অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা","ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ"
অনুপস্থিত বর্ণালী,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"পরম, পরম, ধ্রুবক, নিখুঁত","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
পরম আর্দ্রতা,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
পরম গতি,ಸಂಪೂರ್ಣ ವೇಗ
পরম পর্যবেক্ষণ,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
পরম তাপমাত্রা,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
পরম শূন্য,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
শোষণ করা,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
"শোষক, শোষক","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
শোষণ ক্ষমতা,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
শোষণ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
শোষক,ಹೀರಿಕೊಳ್ಳುವ
শোষণ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
বহুগুণ অনুপাত,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
ত্বরান্বিত করা,ವೇಗವನ್ನು
তাড়াতাড়ি,ಆತುರಪಟ್ಟರು
ত্বরণ,ವೇಗವರ್ಧನೆ
অভিকর্ষের ত্বরণ,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
এক্সিলারেটর,ವೇಗವರ್ಧಕ
এক্সিলারেটর,ವೇಗವರ್ಧಕ
অ্যাক্সিলোমিটার,ವೇಗವರ್ಧಕ
prestresser,ಪ್ರಿಸ್ಟ್ರೆಸರ್
গ্রহণযোগ্য পরীক্ষা,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
গ্রহণকারী,ಸ್ವೀಕರಿಸುವವರು
দাতা অণু,ದಾನಿ ಅಣು
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা","ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ"
অ্যাক্সেসযোগ্যতা,ಪ್ರವೇಶಿಸುವಿಕೆ
"অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)","ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)"
প্রবেশাধিকার সময়,ಪ್ರವೇಶ ಸಮಯ
ভিজিটর ত্রুটি,ಸಂದರ್ಶಕರ ದೋಷ
সমন্বয়,ಹೊಂದಾಣಿಕೆ
পুঞ্জীভূত,ಸಂಗ್ರಹಿಸಲಾಗಿದೆ
"accumulation, accumulation","ಶೇಖರಣೆ, ಶೇಖರಣೆ"
সঞ্চয়কারী,ಸಂಚಯಕ
সঠিকতা,ನಿಖರತೆ
বাস্তবতা,ರಿಯಾಲಿಟಿ
অ্যাক্রোমেটিক লেন্স,ವರ್ಣರಹಿತ ಮಸೂರ
অ্যাক্রোমেটিক,ವರ್ಣರಹಿತ
বর্ণহীনতা,ವರ್ಣರಹಿತತೆ
শাব্দিক,ಅಕೌಸ್ಟಿಕ್
শব্দরোধী,ಧ್ವನಿ ನಿರೋಧಕ
শাব্দিক ফোনন,ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್
শব্দ ইউনিট,ಧ್ವನಿ ಘಟಕ
শাব্দিক,ಅಕೌಸ್ಟಿಕ್
শব্দ জেনারেটর,ಧ್ವನಿ ಜನರೇಟರ್
কর্ম এবং প্রতিক্রিয়া,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
সক্রিয়করণ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
অ্যাক্টিভেশন শক্তি,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
"সক্রিয়কারী, সক্রিয়কারী","ಆಕ್ಟಿವೇಟರ್, ಆಕ್ಟಿವೇಟರ್"
সক্রিয়,ಸಕ್ರಿಯ
সক্রিয়তা,ಕ್ರಿಯಾಶೀಲತೆ
প্রকৃত চাপ,ನಿಜವಾದ ಒತ್ತಡ
ফিসফিস,ಗುಸುಗುಸು
যোগফল,ಒಟ್ಟುಗೂಡಿಸಲು
