Marathi,Odiya
अ‍ॅबॅक्सियल पृष्ठभाग,ଅବକାଶର ପୃଷ୍ଠ |
ओटीपोट,ପେଟ
ओटीपोटात महाधमनी,ପେଟର ଆର୍ଟା |
ओटीपोटात गॅंग्लिया,ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |
एबेलमोशस एस्क्युल्टस,ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |
विकृती,ଆବର୍ଗନ
अबीज,ଆବିସ୍
अबिंगडॉन कासव,ଆବିଙ୍ଗଡନ୍ କଇଁଛ |
अ‍ॅबिओजेनेसिस,Abognescesis
अ‍ॅबिओटिक,ଅବିଟ
अ‍ॅबिओटिक फॅक्टर,ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |
असामान्य मूत्र,ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |
अबो ब्लड ग्रुप,ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |
अ‍ॅबसिसिक acid सिड,ଅବସିସିକ୍ ଏସିଡ୍ |
फलंदाजी,ଅବସିସନ
शोषून घ्या,ଶୋଷଣ
शोषण शिखर,ଅବଶୋଷଣ ଶିଖର |
शोषण,ଶୋଷଣ
बाभूळ कॅटेचू,ଆକାସିଆ କ୍ୟାଚଚୁ |
अकारिया अरबीका,ଆକାରିଆ ଆରବୀ |
अकाप्रिन,ଆକ୍ରିନ
स्वीकार्य लैंगिक वर्तन,ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |
Ory क्सेसरी ग्रंथी,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
Ory क्सेसरी ग्रंथी,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
Ory क्सेसरीसाठी अवयव,ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |
सहनशीलता,ସୁକମ୍ଲାଇଜେସନ୍
अनुकूलित करा,ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |
निवास (लक्ष केंद्रित करणे),ଆବାସ (ଧ୍ୟାନ)
डोळ्याची निवासस्थान,ଆଖିରେ ରହିବା
संवर्धन वाढ,ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |
संचय,ଜମା
सेंद्रिय पदार्थाचे संचय,ଜମାକାରୀ ପଦାର୍ଥର ଜମା |
मातीचे संचय,ମାଟିର ଜମା |
सेल्युलर,Acellululula |
एसेल्युलर जीव,ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |
एसीटाबुलम,ଏସିଟାବୁଲମ୍
एसीटाल्डिहाइड,ACTalDeyDee
एसिटिल कोएन्झाइम,ACETIL କୋଏନୋଜିମ୍ |
अकॅटिना,ଆଖିନିନା |
अचेने प्रकार,ଅହିଯାଉଥିବା ପ୍ରକାର |
अचेने,ଅହିଯେ
अक्लमिडोस्पोरिया,ଅଖ୍ଲଣିଡୋସପୋରିଆ |
आम्ल वर्षा,ଅମ୍ଳ ବର୍ଷା
अम्लीय,ଅମ୍ଳୀୟ
अम्लीय वायू,ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |
आंबटपणा,ଅମ୍ଳତା
एसीनार सेल,ଆଖର ସେଲ୍ |
एकोलोमेट,ଆକ୍ୱେମିଲେଟ୍ |
On कोनिटम,ଆକୋନିଟମ୍
अ‍ॅकॉर्न वर्म,ଆକ୍ୟୁନ୍ ପୋକ |
ध्वनिक झोनिंग,ଆକାଶବାଣୀ ଜୋନିଂ |
अधिग्रहित वर्ण,ଅର୍ଜନ ବର୍ଣ୍ଣ
वसूल केलेली प्रतिकारशक्ती,ଅଜାଣତର କାରଣ
अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स),ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |
एकरानिया,ଅକାନିଆ
Rid सिडिन डाई,ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ
अ‍ॅक्रोसेन्ट्रिक,ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |
अ‍ॅक्रोमियन,ଆକ୍ରୋମିଅନ୍ |
अ‍ॅक्रोपेटल सीक्वेन्स,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
अ‍ॅक्रोपेटल ऑर्डर,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
अ‍ॅक्रोसिन,ଆକ୍ରୋସିନ୍ |
अ‍ॅक्टिन,ଆକ୍ଟିନ୍ |
अ‍ॅक्टिन-सारखी प्रथिने,ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |
अ‍ॅक्टिनोमॉर्फिक,ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |
अ‍ॅक्टिनोमाइसेट्स,ଆକ୍ଟିନୋମିସେସିସ୍ |
कृती संभाव्यता,କାର୍ଯ୍ୟ ସମ୍ଭାବନା
सक्रिय गाळ,ସକ୍ରିୟ ସ୍ଲେଜ୍ |
सक्रिय गाळ फ्लॉक,ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |
सक्रियता ऊर्जा,ସକ୍ରିୟ ଶକ୍ତି
सक्रिय शोषण,ସକ୍ରିୟ ଶୋଷଣ
सक्रिय प्रतिकारशक्ती,ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |
सक्रिय रेडिएशन,ସକ୍ରିୟ ବିକିରଣ |
सक्रिय साइट,ସକ୍ରିୟ ସାଇଟ୍
अ‍ॅक्टिव्हिन,କାର୍ଯ୍ୟକର୍ତ୍ତା
Umicate,ଆକ୍ରମିନେଟ୍ |
अ‍ॅडम्सिया,ଆଡାମାସିଆ |
अनुकूलता,ଅନୁକେତ
रुपांतर,ଆଡାପ୍ଟେସନ୍
हलकी व्यवस्थेशी जुळवून घेणे,ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |
पाण्याची कमतरता रुपांतर,ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |
अनुकूली वैशिष्ट्ये,ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |
अनुकूली प्रतिकारशक्ती,ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |
अनुकूली रेडिएशन,ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |
अनुकूली गुण,ଆଡାପ୍ଟିଭ୍ ଗୁଣ |
अ‍ॅडॅक्सियल पृष्ठभाग,ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |
व्यसनाधीन डिसऑर्डर,ନିଶା ବ୍ୟାଧି |
En डेनिन,ଆଡେନିନ୍
En डेनोकोर्टिकोट्रोपिन,ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |
En डेनोहायपोफिसिस,Adenehiopophisisisis
En डेनोसिन डायफॉस्फेट,ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |
En डेनोसिन डिमिनेस,ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |
En डेनोसाइन मोनोफॉस्फेट,ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |
En डेनोसाइन ट्रायफॉस्फेट (एटीपी),ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP)
En डेनिलेट सायक्लेज,ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |
चिकट शक्ती,ଆଡେସିଭ୍ ଫୋର୍ସ |
अ‍ॅडिपेट,ଆଡିପେଟ୍ କରନ୍ତୁ |
अ‍ॅडिपोसाइट (चरबी सेल),Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍)
अ‍ॅडिपोज टिशू,ସିସ୍ୟୁଜ୍ ଟିସୁ |
Nednate,ଆଡନେଟ୍ |
लगतचा समुदाय,ସଂଲଗ୍ନ ସମ୍ପ୍ରଦାୟର |
Ren ड्रेनल,ଆଡ୍ରେନାଲ୍
Ren ड्रेनल ग्रंथी,ଆଡ୍ରେନାଲ୍ ଗ୍ରନ୍ଥି |
एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच),ଆଡ୍ରେନିକୋ ବୋଟ୍ରୋପିକ୍ ହରମୋନ୍ (ACTH)
Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच),ଆଡ୍ରେନାକର୍ଟିକୋଟ୍ରପିକ୍ ରିଲିଜ୍ ହରମୋନ୍ (ACTRH)
Or सॉर्बेंट,ଆଡସରବେଣ୍ଟ
शोषण,ଆଡେର୍ସନ୍
प्रगत Chordate,ଉନ୍ନତ ମୂଲ୍ୟ |
फायदेशीर उत्परिवर्तन,ଲାଭଦାୟକ ଗଣିତ |
अ‍ॅडव्हेंटिशियल,ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ |
साहसी मूळ,ଖରାପ ମୂଳ
प्रतिकूल परिणाम,ପ୍ରତିକୂଳ ପ୍ରଭାବ
एडीज,AED ଗୁଡିକ
संस्कृतीचे वायुवीजन,ସଂସ୍କୃତିର ଆରେସନ୍
एरेन्चायमा,ଆତଙ୍କିତାମା |
हवाई,ବାୟୁ
एरियल रूट,ବାୟୁଏଟ୍ ମୂଳ |
एरियल शूट,ଏରିଲ୍ ସୁଟ୍ |
एरोबिक श्वसन,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
एरोबिक श्वसन,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
सौंदर्यशास्त्र,ସ est ନ୍ଦର୍ଯ୍ୟ
एस्टिवेशन,ବାୟେ
एस्टिवेशन,ବାୟେ
Efferent,ବିଶଙ୍ଗ
आत्मीयता क्रोमॅटोग्राफी,ଆଫିନିଟି କ୍ରୋମାଟୋଗ୍ରାଫି |
पीडित अवयव,ଅଙ୍ଗପ୍ରତ୍ୟଙ୍ଗ ଅଙ୍ଗ |
वनीकरण,ଆଗ ଶତ୍ରୁମାନଙ୍କର
अ‍ॅगामोस्पर्मी,ଆଗାମୋପର୍ମୀ |
अगर,ଅଗର
आगरोस,ଆଗ୍ରୋଜ୍
अगरोस जेल इलेट्रोफोरेसीस,ଆଗାରୋସ୍ ଗେଲ୍ ଇଟ୍ରୋଫୋରସ୍ |
अ‍ॅगारोज पॉलिमर जेल,ଆର୍ଗ୍ରୋଜ ପଲିମର ଜେଲ୍ |
Agast,ଆଗିଷ୍ଟ
अ‍ॅगेव्ह,ଆଗେଭ୍
वय वितरण,ବୟସ ବଣ୍ଟନ |
वय पिरॅमिड,ବୟସ ପିରାମିଡ୍ |
एकत्रित,Agglutination
एकूण,ସମୁଦାୟ
कूपांचे एकूण,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
कूपांचे एकूण,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
एकत्रिकरण,ମିଳନ
आक्रमकता,ଆକ୍ରମଣାତ୍ମକତା
आंदोलन प्रणाली,Agiitor ତନ୍ତ୍ର
अग्नथ,ଆଗନାଥା
अगोती,ଆଗାଉଟି
अ‍ॅग्रॅनल क्लोरोप्लास्ट,ଆଗ୍ରାନାଲ କ୍ଲୋରୋପ୍ଲାଷ୍ଟ |
अ‍ॅग्रॅन्युलर,ଆଗ୍ରାନୁଲାର୍
अ‍ॅग्रानुलोसाइट,ଆଗ୍ରାନୁଲୋସେଟେଟ୍ |
शेती,କୃଷି
अ‍ॅग्रोफोरेस्ट्री,Agroftry
अ‍ॅग्रोबॅक्टीरियम मध्यस्थी,Agrobacterium ମଧ୍ୟସ୍ଥି |
अ‍ॅग्रोबॅक्टीरियम ट्यूमेफेसियन्स,Agrobacterium tumfacienss |
अ‍ॅग्रोकेमिकल,ଆଗ୍ରୋକେମିକାଲ୍ |
अ‍ॅग्रोकेमिकल,ଆଗ୍ରୋକେମିକାଲ୍ |
अ‍ॅग्रोक्लिमॅटिक झोन,Agrovillatatic ଜୋନ୍ |
कृषी गुणधर्म,କ agnownom ଣସି ଗୁଣଗତ ଗୁଣ |
अ‍ॅग्रोनॉमी,କିରେନୋନୋମ୍ବନ
एड्स,ଏଡଡ୍ସ
एअर मूत्राशय,ଏୟାର ବ୍ଲାଡର |
वातानुकूलन,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
हवाई रस्ता,ବାୟୁ ପାସ୍ |
वायू प्रदूषण,ବାୟୁ ପ୍ରଦୂଷଣ
एअर थैली,ଏୟାର ଥଳି
एअर व्हॅक्यूओल,ବାୟୁ ଶୂନ୍ୟ
हवाई श्वास,ବାୟୁ ନିଶ୍ୱାସ ନେବା |
अलेन,ଅଲିନ୍ |
अ‍ॅलरी स्नायू,ଆଲେରୀ ମାଂସପେଶୀ |
अलास्कन तपकिरी अस्वल,ଆଲାସ୍କାନ୍ ବ୍ରାଉନ୍ ଭାଲୁ |
अल्बिनो,ଆଲବିନୋ |
अल्बुगो,ଆଲବୁଗୋ |
अल्बमिन,ଆଲବମିନ |
अल्ब्युमिनस बियाणे,ଆଲବମିନସ୍ ବିହନ |
अल्बमिनुरिया,ଆଲବୁମିନିରିଆ |
अल्बर्नम,ଆଲବର୍ନମ୍
Lescedae,ଆଲେଡା
Ld ल्डिहेडे,ଆଲଡେହେଡି
Ld ल्डोस्टेरॉन सिस्टम,ଆଲଡୋଷ୍ଟେରନ୍ ସିଷ୍ଟମ୍ |
अ‍ॅल्डोस्टेरॉन,ଆଲଡୋଷ୍ଟେରୋନ୍ |
अलेरोन लेयर,ଆଲେରୋନ୍ ସ୍ତର |
अलेरोप्लास्ट,ଆଲେରୋପ୍ଲେଷ୍ଟ |
अल्फल्फा,Alfalfa
अल्गल ब्लूम,ଆଲଗାଲ୍ ଫୁଲ |
अल्गिन,ଅପଗନ୍
एलियन डीएनए,ଏଲିଏନ୍ ଡିଏନ୍
एलियन प्रजाती,ଏଲିଏନ୍ ପ୍ରଜାତି |
संरेखन,ପରିଚାଳିତ
संरेखन,ପରିଚାଳିତ
एलिमेंटरी कालवा,ଆଲିମେଣ୍ଟେରି କେନାଲ୍ |
एलिमेंटरी सिस्टम,ଆଲିମେଣ୍ଟାରୀ ସିଷ୍ଟମ୍ |
अलिसमासेस,ଆଲି ବ୍ୟଞ୍ଜସେମେସେସ୍ |
अल्कलॉइड,ଆଲକାଲାଇଡ୍ |
अल्कधर्मी,କ୍ଷାରିକ |
अल्काप्टोनुरिया,ଅଲକାପଟୋନେର୍ଜିଆ
अलांटोइस,ଆଲାନ୍ସିଟ୍
अ‍ॅलेल वारंवारता,ଆଲେଲେ ଫ୍ରିକ୍ୱେନ୍ସି |
अ‍ॅलेल,ଆହେଲେ |
Lel लोमॉर्फिक जोडी,ଆଲୋଲେମୋମିକ୍ ଯୋଡି |
L लर्जीन,ଆଲ୍ରେଜେନ |
अ‍ॅलिगेटर,ଆଲିଗେଟର୍ |
अ‍ॅलियम सेपा,ଅସ୍ତ୍ରଶିୟ୍ ସେପୁ
अ‍ॅलोगॅमी,ଆଲଗଲାମି |
अ‍ॅलोग्राफ्ट,ଆଲିଗ୍ରାଫ୍ଟ |
अ‍ॅलोपॅट्रिक स्पेशिएशन,ଆଲପ୍ପାଟ୍ରିକ୍ ଯଥାର୍ଥ |
Ol लोपोलिपॉइड,ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |
अ‍ॅलोस्टेरिक प्रभाव,ଆଲିସ୍ମିକ ପ୍ରଭାବ
अ‍ॅलोस्टेरिक एंझाइम,ଆଲିଶୋରଙ୍କ ଏନଜାଇମ୍ |
अ‍ॅलोस्टेरिक इनहिबिटर,ଆଲିସ୍ଟର ଇନହିବିଟର୍ |
अ‍ॅलोस्टेरिक मॉड्यूलेशन,ଆଲିସ୍ମିକ ମୋଡୁଲେସନ୍ |
अ‍ॅलोस्टेरिक साइट,ଆଲିସର୍ଏଣ୍ଟିକ୍ ସାଇଟ୍ |
अ‍ॅलोस्टेरिक इनहिबिशन,ଆଲିସ୍ଟର ପ୍ରତିବନ୍ଧକ |
अ‍ॅलोटेट्रॅप्लॉइड,Allototreplid
अल्नस,Alnus
कोरफड,ଆଲୋ
On क्सॉनच्या बाजूने,ଆକ୍ସନ୍ ସହିତ |
अल्फा-अँटीट्रिप्सिन,ଆଲଫା-ଆଣ୍ଟିକ୍ରିପ୍ସିନ୍ |
अल्फा-लेक्टलब्यूमिन,ଆଲଫା-ଲାକ୍ଟାଲବ୍ୟୁମିନ୍ |
अल्पाइन हवामान स्थिती,ଆଲପାଇନ୍ ଜଳବାୟୁ ଅବସ୍ଥା |
अल्पाइन कुरण,ଆଲପାଇନ୍ ମଟର |
अल्पाइन झोन,ଆଲପାଇନ୍ ଜୋନ୍
अल्स्टोनिया,ଆଲଷ୍ଟୋନିଆ
अल्टरनेरिया,ସର୍ବୋଚ୍ଚame
वैकल्पिक,ବିକଳ୍ପ
पिढीचे पर्यायी,ପି generation ଼ିର ବିକଳ୍ପ
उंची आजारपण,ଉଚ୍ଚତା ରୋଗ
समुद्रसपाटीपासूनची उंची,ଉଚ୍ଚତା
अल्व्होलर नलिका,ଆଲଭୋଲାର୍ ନଳୀ |
एलिटेस,Aytes
अल्झायमर रोग,ଅଲଜାଇମର ରୋଗ |
अमॅक्रिन सेल,ଆମାକରାଇନ୍ ସେଲ୍ |
अमरॅन्थेसी,ଅମରନ୍ତାସିଦା |
अमरॅन्थस,ଅମରାନ୍ତିନ |
वातावरणीय ऑस्मोटिक एकाग्रता,ପରିବେଶ ଓସମାଟିକ୍ ଏକାଗ୍ରତା |
अ‍ॅम्बिस्टोमा,ଅମ୍ବିଷ୍ଟୋମା |
अमाइड,ବନ୍ଧୁତ୍ୱ
अमिनो आम्ल,ଆମିନୋ ଏସିଡ୍ |
अमीनो acid सिड स्वीकारणारा,ଆମିନୋ ଏସିଡ୍ ଗ୍ରହଣକାରୀ |
एमिनोआसिल टी आरएनए सिंथेथेस,AminoicaL t rna syntHetase |
एमिनोआसिलेशन,ଆମିନୋଫାଇସନ୍ |
अमिटोसिस,ଅମିତୋସାଇସ୍ |
अमोनिया,ଆମୋନିଆ
अमोनिफिकेशन,ଆମୋନିଫିକେଟ୍
अमोनोटेलिझम,ଆମାମୋଟେଲ୍ଜିମ୍ |
अ‍ॅम्निओसेन्टेसिस,ଆମନିଓସେଣ୍ଟେସିସ୍ |
अ‍ॅम्निओसेन्टेसिस तंत्र,ଆମନିଓସେଣ୍ଟେଟିସ୍ କ techni ଶଳ |
अ‍ॅम्निओसाइट,ଆମନିଓକେଟ୍ |
अम्नियन,ଆମନିଅନ୍
गर्भाशयातील द्रव,ଆମନିଓଟିକ୍ ଫ୍ଲୁଇଡ୍ |
अम्नीओटिक झिल्ली,ଆମନିଓଟିକ୍ ମେମ୍ବ୍ରେନ୍ |
अम्नीओटिक थैली,ଆମନିଓଟିକ୍ ଥଳି |
अमोबा,ଆମୋବା
अमीबोसाइट,ଆମୋବାଇଟିଟ୍ |
अमोबॉइड,ଆମୋବିଏଡ୍
अ‍ॅमोबॉइड लिम्फोसाइट,ଆମୋବିଏଡ୍ ଲିମ୍ଫୋସିଟିଟ୍ |
अ‍ॅमोबॉइड चळवळ,ଆମୋବିଏଡ୍ ଆନ୍ଦୋଳନ |
अनाकार,ଆମୋରଫସ୍ |
रक्कम,ପରିମାଣ
अ‍ॅम्फेटामाइन,ଆମ୍ଫେଟାମାଇନ୍ |
उभयचर,ଆମ୍ଫିବିଆ
उभयचर,ଆମ୍ଫିବିଆନ୍
उभयचर,ଆମ୍ଫିବିଆନ୍
अ‍ॅम्फिओक्सस,ଆମ୍ଫାଇଓକ୍ସସ୍ |
अ‍ॅम्फिओक्सस लॅन्सोलाटस,ଆମ୍ଫାଇଓକ୍ସସ୍ ଲାନସୋପାଟସ୍ |
अ‍ॅम्फिपाथिक,ଆମ୍ଫିସିଚିକ୍ |
अ‍ॅम्फिपाथिक लिपिड,ଆମ୍ଫିପିଟିକ୍ ଲିପିଡ୍ |
अ‍ॅम्फिसार्का,ଆମ୍ଫାଇସାର୍କା |
अ‍ॅम्पिसिलिन,Ampicilillin
अ‍ॅम्पुल्ला,ଅମପୁଲାଲା |
अ‍ॅम्प्युलरी ग्रंथी,ଆମପୁଲାରୀ ଗ୍ରନ୍ଥି |
अ‍ॅमीगडल,ଆମିଜିଡାଲ୍ |
अ‍ॅमीगडेल,ଆମିଗଡାଲେ |
अ‍ॅमीग्डालिन,ଆମିଗାଡାଲିନ୍ |
अ‍ॅमिलेज,ଆମିଲେଜ୍
अ‍ॅमिलोप्लास्ट,ଆମିଏଲପ୍ଲାଷ୍ଟ |
अनाबेना,ଅବାନା
अनबास,ଅରବା
अ‍ॅनाबॉलिक मार्ग,ଆନାବୋଲିକ୍ ପଥ |
अ‍ॅनाबोलिझम,ଆନାବୋଲିଜିମ୍ |
अ‍ॅनाकार्डियासी,ଆନାଚାର୍ଡସିଆନା |
अशक्तपणा,ରକ୍ତଦାତା
अनरोब,ଆନାରୋବେ |
अनॅरोबिक इंधन,ଆନାରୋବିକ୍ ଇନ୍ଧନ |
अनरोबिक श्वसन,ଆନାରକୋବର ଶ୍ iration ାସକ୍ରିୟା |
अनॅरोबिक गाळ डायजेस्टर,ଆନାରୋବିକ୍ ରୋକ୍ଲିଜ୍ ଡିଜିଟର୍ |
अनॅरोबिक,ଆନାରକୋବର |
अनाईमा,ଆନିମା
गुदद्वारासंबंधीचा,ଆନାଲ୍
गुदद्वारासंबंधीचा,ଆନାଲ୍
गुदद्वारासंबंधीचा छिद्र,ଆନାଲ୍ ଆପେଚର |
गुदद्वारासंबंधीचा सेर्सी,ଆନାଲ୍ ccor
गुद्द्वार लूप,ଆନାଲ୍ ଲୁପ୍ |
गुद्द्वार शैली,ଆନାଲ୍ ଶ style ଳୀ
समान,ଅନୁରୂପ
समान,ଅନୁରୂପ
समानता,ଆନାଲୋଜି
समानता,ଆନାଲୋଜି
विश्लेषण,ବିଶ୍ଳେଷଣ |
अनाफेस,ଅଯାସୀ
शरीरशास्त्र अडथळा,ଆନାଟୋମିକ୍ ପ୍ରତିବନ୍ଧକ |
शारीरिक पैलू,ଆନାଟୋମିକାଲ୍ ଦିଗ |
शरीरशास्त्रज्ञ,Anatomist-
शरीरशास्त्र,ଆନାଟୋମି |
पूर्वज वंशज अनुक्रम,ପିତୃପୁରୁଷ ବଂଶର କ୍ରମ |
वडिलोपार्जित वंश,ପ ancest ତୃକ ରେଖା |
वडिलोपार्जित क्रम,ପ ancest ତୃକ କ୍ରମ |
एन्सिलोस्टोमा,ଏକସେଲୋସୋମା |
एंड्रोइसीयम,ଆଣ୍ଡ୍ରୋକିୟମ୍ |
एंड्रोजेन,ଆଣ୍ଡ୍ରୋଜେନ |
अशक्तपणा,ରକ୍ତଦାତା
Enemone,ଆନିମୋନ୍ |
Eneuploid,ଆନୁପ୍ଲଏଡ୍ |
Eneuploidy,ଆନୁପ୍ଲୋଡି
एनजाइना,ଆଞ୍ଜିନା
एंजिओग्राम,ଆଞ୍ଜିୟରମ୍ |
एंजियोग्राफ,ଆଙ୍ଗିଓଗ୍ରାଗ୍
एंजियोग्राफी,ଆଙ୍ଗିଓଗ୍ରାଫି |
एंजियोप्लास्टी,An anivoplasty
एंजिओस्पर्म,ଅଙ୍ଗୁଳି ପାରସ୍ପରିକ
अँजिओटेन्सिन,Anigiotensin |
एंजियोटेंसीनोजेन,ଆଙ୍ଗିଓଟେନିନୋଜେନ |
अँगलर फिश,ଅଙ୍ଗର ମାଛ |
एंगुइना,ଆଞ୍ଜୁଆନା
एंगुइस,ଆଙ୍ଗୁଠି
प्राणी,ପଶୁ
प्राणी,ପଶୁ
प्राणी शेण,ପଶୁ ଗୋବର
पशुसंवर्धन,ପଶୁ କୁମ୍ଭାରୀ
