Gujarati,English
વેસ્ટમિન્સ્ટરના એબી,Abbey of Westminster
ત્યાગી,Abditory
ગુલામી નાબૂદી,Abolition of slavery
એબોરિજિનલ,Aboriginal
અબ્રાહમ યુગ,Abraham Era
ગેરહાજર મકાનમાલિકો,Absentee landlords
એકેડમી,Academy
અકરા કોન્ફરન્સ,Accra conference
સંસાધનો,Accruals
સંવર્ધન,Acculturation
એસેલડામા,Aceldama
અચેઅન (=અચિયન),Achaean (=Achian)
આચિયન લીગ (=એચિયન લીગ),Achaean League (=Achian League)
એક્રોપોલિસ,Acropolis
એક્ટા દીર્ના,Acta Diurna
એક્ટા સેનાટસ,Acta Senatus
એક્ટ એડિશનલ,Acte Additionel
સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ),Active record (=current record)
પ્રાપ્ત કરનારનું કાર્ય,Act of attainder
ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય,Act of Indemnity and oblivion
સમાધાનનો અધિનિયમ,Act of Settlement
જાહેરાત કરાર સીલ,Ad contractus seal
અદુલ્લામાઈટસ,Adullamites
વિરોધી,Adversary
વિરોધી,Adversary
એઓન,Aeon
એરેરિયમ,Aerarium
હવાઈ યુદ્ધ,Aerial warfare
એટોલિયન લીગ,Aetolian League
ઉંમર,Age
વૃદ્ધત્વ (=વૃદ્ધત્વ),Ageing (=aging)
વૃદ્ધત્વ પ્રક્રિયા,Ageing process
અગેલાઈ,Agelai
શૌર્યની ઉંમર,Age of chivalry
જ્ઞાનની ઉંમર,Age of Englightment
પેરિકલ્સની ઉંમર,Age of Pericles
કારણની ઉંમર,Age of reason
કૃષિવાદ,Agrarianism
કૃષિ આંદોલન,Agrarian movement
એલ્બિયન,Albion
આલ્બમ,Album
એલ્ડરમેન,Alderman
મોહક શસ્ત્રો,Allusive arms
સૌમ્યતા,Amity
એમ્ફિક્ટિઓનિક કાઉન્સિલ,Amphictyonic Council
એમ્ફિક્ટિઓનિક લીગ,Amphictyonic League
એમ્ફીથિયેટર,Amphitheatre
અમરી નલ જૂથ (માટીના વાસણો),Amri Nal group (of pottery)
અનાક્રોનિઝમ,Anachronism
એનાક્રોનિસ્ટિક,Anachronistic
પૂર્વજ,Ancestor
પૂર્વજની પૂજા,Ancestor Worship
વંશ,Ancestry
વંશ,Ancestry
વંશ,Ancestry
વંશ,Ancestry
પ્રાચીન શાસન,Ancien regime
પ્રાચીન,Ancient
પ્રાચીન લોકગીત,Ancient ballad
પ્રાચીન માન્યતા,Ancient belief
પ્રાચીન રિવાજ,Ancient custom
પ્રાચીન ઇતિહાસ,Ancient history
પ્રાચીન સ્મારકો,Ancient monuments
ટુચકો,Anecdote
એન્જેલોટ,Angelot
એન્જલસ,Angelus
એન્જેવિન (=એન્જેવિન),Angevin (=anjevin)
ખૂણો,Angles
એંગ્લિકન,Anglican
એંગ્લિકન કોમ્યુનિયન,Anglican Communion
અંગ્રેજવાદ,Anglicanism
એંગ્લો-ફોબ,Anglo-phobe
એંગ્લો-ફોબિયા,Anglo-phobia
એંગ્લો-સેક્સન,Anglo-Saxon
એંગ્લો-સેક્સોનિઝમ,Anglo-Saxonism
એનાલિસ્ટ,Annalist
ઇતિહાસ,Annals
જોડાણ,Annexation
એન્ટિ-બેલમ,Ante-bellum
તારીખ પહેલાં,Ante date
ક્લેરિકલિઝમ વિરોધી,Anti-clericalism
કારકુની વિરોધી કાયદો,Anti-clerical legislation
પ્રાચીનકાળ,Antiquity
વિરોધી ભાડા,Anti-rent
વિરોધી ભાડા,Anti-rent
વિરોધી સેમિટિઝમ,Anti Semitism
એન્ઝેક,Anzac
અપેલા,Apella
અરાલુ,Aralu
આર્ક બિશપ,Arch bishop
કમાન ડચી,Arch duchy
આર્ક ડ્યુક,Arch duke
આર્કાઇફ (=આર્કાઇવલ સંગ્રહ),Archief (=archival collection)
આર્કિપીસ્કોપેટ,Archiepiscopate
કુલીન વર્ગ,Aristocracy
કુલીન,Aristocrat
કુલીન સ્નોબરી,Aristocratic snobbery
એરિસ્ટોટેલિયન,Aristotelian
આર્માડા,Armada
આર્મડા (=ધ સ્પેનિશ આર્મડા),Armada (=The Spanish Armada)
આર્મોરિસ્ટ (=આર્મરિસ્ટ),Armorist (=armourist)
બખ્તર (=બખ્તર),Armour (=armor)
આર્મરિસ્ટ,Armourist
આર્યન,Aryan
આર્યન,Aryan
અસ્કરી,Askari
સોંપણી,Assignat
સહાય કરો,Assize
સહાય કરો,Assize
સહાય કરો,Assize
આર્મ્સ એક્ટની સહાય,Assize of Arms Act
ડેરેન પ્રેઝન્ટમેન્ટની સહાય,Assize of Darrein Presentment
મોર્ટ &#39;ડી&#39; પૂર્વજની સહાય,Assize of Mort 'D' Ancestor
નવલકથા ડીસીસીનની સહાય,Assize of Novel Disseisin
અત્યાચાર,Atrocity
હુમલો,Attack
ઓલિક કાઉન્સિલ,Aulic Council
દેવીની કુહાડી (=દેવીની કુહાડી),Axe of the Geddess (=the Geddess axe)
એક્સિસ (=ધ રોમ-બર્લિન-ટોક્યો એક્સિસ),Axis (=The Rome-Berlin-Tokyo Axis)
બેબીલોન,Babylon
બેબીલોનીયન કેદ (=બેબીલોનીશ કેદ),Babylonian captivity (=Babylonish captivity)
બચનલ ભક્ત,Bacchanal devotee
બચ્ચનલિયા,Bacchanalia
સ્નાતક,Bachelor
બગદાદ કરાર,Baghdad Pact
બાલ્કન લીગ,Balkan League
બાલ્કન કરાર,Balkan Pact
બાલ્કન યુદ્ધો,Balkan Wars
બાલ્ટિક સંધિ,Baltic Pact
ડાકુ,Bandit
બાંડુંગ કોન્ફરન્સ,Bandung Conference
દેશનિકાલ,Banishment
બેનર,Banner
અસંસ્કારી,Barbarian
બાર્બીકન,Barbican
બારડોલી સત્યાગ્રહ,Bardoli satyagraha
બાર્ન બર્નર્સ,Barn Burners
બેરોન,Baron
બેરોનેજ,Baronage
બેરોન્સ મેજર,Barones majores
બેરોન્સ સગીર,Barones minores
બેરોનેસ,Baroness
બેરોનેટ,Baronet
બેરોનેટેજ,Baronetage
બેરોનેટેજ,Baronetage
બેરોનેટસી,Baronetcy
બેરોની,Barony
બેરાકૂન,Barracoon
બેરાકૂન,Barracoon
બેરિકેડ (=બેરિકેડ),Barricade (=barricado)
બેરિકેડ (=બેરિકેડ),Barricade (=barricado)
બેરિકેડ (=બેરિકેડ),Barricade (=barricado)
મુખ્ય છાવણી,Base camp
બેસિલિકા,Basilica
બેસિલિકા,Basilica
બેસ્ટિલા,Bastila
બેસ્ટિલ,Bastille
બેસ્ટિલ,Bastille
બેટરી,Battery
યુદ્ધ,Battle
Batlle-એરે,Batlle-array
યુદ્ધ ક્રાય,Battle cry
યુદ્ધ દિન,Battle din
યુદ્ધ ક્ષેત્ર,Battle field
યુદ્ધ સ્તોત્ર,Battle hymn
સ્પર્સનું યુદ્ધ,Battle of the Spurs
ધોરણનું યુદ્ધ,Battle of the Standard
યુદ્ધજહાજ,Battleship
યુદ્ધજહાજ-શક્તિ,Battleship-strength
Bayeux ટેપેસ્ટ્રી,Bayeux tapestry
બીકન,Beacon
બીકન ટાવર,Beacon tower
બીવર,Beaver
બીવર,Beaver
સમુદ્રના ભિખારીઓ,Beggars of the sea
બેલીકોઝ,Bellicose
બેલીકોઝ,Bellicose
બેલીકોઝ,Bellicose
બેલીકોસીટી,Bellicosity
બેલોના,Bellona
લાભ,Benefice
ધર્મગુરુઓનો લાભ,Benefit of clergy
બેનેલક્સ,Benelux
બર્લિન હુકમનામું,Berlin Decree
બેર્સકર,Berserker
બેસન્ટ (=બેઝન્ટ),Besant (=bezant)
બેથેલ,Bethel
ગ્રંથસૂચિ,Bibliolater
ગ્રંથસૂચિ,Bibliolatry
મોટા બર્થા,Big Bertha
ધર્માંધ,Bigot
બિલેટિંગ,Billeting
અટેન્ડરનું બિલ,Bill of Attainder
અધિકારોનું વિયેધક,Bill of Rights
જીવનચરિત્રકાર,Biographer
જન્મ કથાઓ,Birth stories
બિવૉક,Bivouac
બિવૉક,Bivouac
બિવૉક,Bivouac
બિઝોનિયા,Bizonia
બ્લેક બર્ડિંગ,Black birding
કાળો ઝંડો,Black flag
