English,Tamil
Abnormal,அசாதாரணமானது
Abort,கருக்கலைப்பு
Abrasion,சிராய்ப்பு
Abrupt,திடீரென்று
Absolute field strength,முழுமையான புல வலிமை
Absolute temperature,முழுமையான வெப்பநிலை
Absolute value,துல்லியமான மதிப்பு
Absorb,உறிஞ்சும்
Absorption co-efficient,உறிஞ்சுதல் சக செயல்திறன்
Absorption loss,உறிஞ்சுதல் இழப்பு
Abstract,சுருக்கம்
Accelerometer,முடுக்கமானி
Acceptance test,ஏற்பு சோதனை
Access,அணுகல்
Access control,நுழைவு கட்டுப்பாடு
Access point,அணுகல் புள்ளி
Access time,அணுகல் நேரம்
Accessibility,அணுகல்
Accumulator cell,குவிப்பான் செல்
Accuracy,துல்லியம்
Accurate,துல்லியமானது
Achromatic lens,முடிச்சு லென்ஸ்
Acid,அமிலம்
Acid proof,அமில ஆதாரம்
Acidity,அமிலத்தன்மை
Acknowledgement bit,ஒப்புதல் பிட்
Acoustic,ஒலி
Acoustic communication,ஒலி தொடர்பு
Acoustic diffusion,ஒலி பரவல்
Acoustic equalizer,ஒலி சமநிலைப்படுத்தி
Acoustic feedback,ஒலி கருத்து
Acoustic filter,ஒலி வடிகட்டி
Acoustic impedance,ஒலி மின்மறுப்பு
Acoustic masking,ஒலி முகமூடி
Acoustic power,ஒலி சக்தி
Acoustic property,சட்டவிரோத சொத்து
Acoustic reactance,ஒலி எதிர்வினை
Acoustic reflex,ஒலி ரிஃப்ளெக்ஸ்
Acoustic tile,ஒலி ஓடு
Acoustic wave,ஒலி அலை
Acoustical absorption,ஒலியியல் உறிஞ்சுதல்
Acoustical attenuation constant,ஒலியியல் விழிப்புணர்வு மாறிலி
Acoustical damping,ஒலியியல் ஈரமாக்குதல்
Acoustical delay line,ஒலியியல் தாமத வரி
Acoustical distortion,ஒலியியல் விலகல்
Acoustical duct,ஒலியியல் குழாய்
Acoustical energy,ஒலியியல் ஆற்றல்
Acoustical feedback,ஒலியியல் கருத்து
Acoustical filter,ஒலியியல் வடிகட்டி
Acoustical impedance,ஒலியியல் மின்மறுப்பு
Acoustical propagation constant,ஒலியியல் பரப்புதல் மாறிலி
Acoustical resistance,ஒலியியல் எதிர்ப்பு
Acoustically insulated,ஒலியியல் ரீதியாக காப்பிடப்பட்டது
Acoustics,ஒலியியல்
Acquisition,கையகப்படுத்தல்
Acronym,சுருக்கம்
Action area,செயல் பகுதி
Activated filament,செயல்படுத்தப்பட்ட இழை
Active,செயலில்
Active area,செயலில் உள்ள பகுதி
Active window,செயலில் சாளரம்
Adaptability,தகவமைப்பு
Adapter (adaptor),அடாப்டர் (அடாப்டர்)
Adaptive differential pulse code modulation,தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்
Address book,முகவரி புத்தகம்
Address bus,முகவரி பஸ்
Address resolution,முகவரி தீர்மானம்
Adjacent channel interference,அருகிலுள்ள சேனல் குறுக்கீடு
Adjacent channel selectivity,அருகிலுள்ள சேனல் தேர்வு
Adjacent frequency,அருகிலுள்ள அதிர்வெண்
Adjacent frequency channel,அருகிலுள்ள அதிர்வெண் சேனல்
Adjacent picture carrier,அருகிலுள்ள படம் கேரியர்
Adjacent sound carrier,அருகிலுள்ள ஒலி கேரியர்
Adjacent station,அருகிலுள்ள நிலையம்
Adjustable,சரிசெய்யக்கூடியது
Adjustable condenser,சரிசெய்யக்கூடிய மின்தேக்கி
Adjusting pressure,அழுத்தம் சரிசெய்தல்
Adjusting wrench,குறடு சரிசெய்தல்
Adjustment,சரிசெய்தல்
Administrator,நிர்வாகி
Advanced technology,மேம்பட்ட தொழில்நுட்பம்
Aerial,வான்வழி
Aerial array,வான்வழி வரிசை
Aerial booster,வான்வழி பூஸ்டர்
Aerial current,வான்வழி மின்னோட்டம்
Aerial earthing switch,வான்வழி பூமி சுவிட்ச்
Aerial efficiency,வான்வழி செயல்திறன்
Aerial impedance,வான்வழி மின்மறுப்பு
Aerial inductance,வான்வழி தூண்டல்
Aerial insulator,வான்வழி இன்சுலேட்டர்
Aerial loading coil,வான்வழி ஏற்றுதல் சுருள்
Aerial photography,வான்வழி புகைப்படம்
Aerial power,வான்வழி சக்தி
Aerial radiation reistance,வான்வழி கதிர்வீச்சு
Aerial reactance,வான்வழி எதிர்வினை
Aerodynamics,ஏரோடைனமிக்ஸ்
Agency,ஏஜென்சி
Air compressor,காற்று அழுத்தி
Air condenser,ஏர் மின்தேக்கி
Air cooled,குளிா்ந்த காற்று
Air cored coil,காற்று கோர்ட் சுருள்
Airconditioning,ஏர் கண்டிஷனிங்
Albedo,ஆல்பெடோ
Algorithm,வழிமுறை
Aliasing,மாற்றுப்பெயர்ச்சி
Aligning,சீரமைத்தல்
Alignment,சீரமைப்பு
All wave aerial,அனைத்து அலை வான்வழி
Allocation,ஒதுக்கீடு
Alphabetic,அகரவரிசை
Alphanumeric,எண்ணெழுத்து
Alphanumeric character,எண்ணெழுத்து எழுத்து
Alphanumeric information,எண்ணெழுத்து தகவல்
Alternating current (a.c.),மாற்று மின்னோட்டம் (ஏ.சி.)
Alternation,மாற்று
Alternator,மின்மாற்றி
Altitude,உயரம்
Altitude of the apogee,அப்போஜியின் உயரம்
Altitude of the perigee,பெரிஜியின் உயரம்
Amateur radio communication,அமெச்சூர் வானொலி தொடர்பு
Ambience,சூழ்நிலை
Ambience microphone,சுற்றுப்புற மைக்ரோஃபோன்
Ambient condition,சுற்றுப்புற நிலை
Ambient lighting,சுற்றுப்புற விளக்குகள்
Ambient noise,சுற்றுப்புற சத்தம்
Ambient temperature,சுற்றுப்புற வெப்பநிலை
American standard code,அமெரிக்கன் ஸ்டாண்டர்ட் கோட்
Ampere,ஆம்பியர்
Ampere meter,ஆம்பியர் மீட்டர்
Amplification,பெருக்கம்
Amplification factor,பெருக்க காரணி
Amplifier,பெருக்கி
Amplifier gain,பெருக்கி ஆதாயம்
Amplifier noise,பெருக்கி சத்தம்
Amplifying equipment,உபகரணங்கள் பெருக்குதல்
Amplifying klystron,கிளிஸ்ட்ரான் பெருக்குதல்
Amplifying unit,பெருக்குதல் அலகு
Amplitude,வீச்சு
Amplitude distortion,வீச்சு விலகல்
Amplitude excursion,வீச்சு உல்லாசப் பயணம்
Amplitude factor,வீச்சு காரணி
Amplitude limiter,அலைவீச்சு வரம்பு
Amplitude modulated,வீச்சு பண்பேற்றப்பட்டது
Amplitude modulation,வீச்சு பண்பேற்றம்
Analog (analogue),ஒப்புமை (அனலாக்)
Analog circuit,அனலாக் சுற்று
Analog computer,அனலாக் கணினி
Analog radio frequency channel,அனலாக் ரேடியோ அதிர்வெண் சேனல்
Analog representation,அனலாக் பிரதிநிதித்துவம்
