Hindi,Odiya
विफलन,ପରିତ୍ୟାଗ
विफलन कालद,ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |
निरपेक्ष पता,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
निरपेक्ष पताभिगमन,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
निरपेक्ष कोडांतरक,ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |
निरपेक्ष कूट,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
निरपेक्ष कूटलेखन,ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |
निरपेक्ष समादेश,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
निरपेक्ष निर्देशांक,ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |
निरपेक्ष आंकड़े,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
निरपेक्ष त्रुटि,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
निरपेक्ष व्यंजक,ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |
निरपेक्ष अनुदेश,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା
निरपेक्ष भारक,ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |
निरपेक्ष आदेश,ସଂପୂର୍ଣ୍ଣ କ୍ରମ
निरपेक्ष क्रमादेशन,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
निरपेक्ष पद,ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ
निरपेक्ष मान,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
निरपेक्ष सदिश,ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |
"सारांश, अमूर्त",ବିସ୍ତୃତ
"सारांशन, अमूर्तकरण, साराहरण",ବିସ୍ତୃତ
अमूर्त प्रतीक,ବିସ୍ତୃତ ପ୍ରତୀକ |
त्वरण अवधि,ତ୍ୱରଣ ସମୟ
त्वरण काल,ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |
उच्चारण चिह्न,ଉଚ୍ଚାରଣ
स्वीकरण परीक्षण,ଗ୍ରହଣ ପରୀକ୍ଷା
अभिगम,ପ୍ରବେଶ
अभिगम बाहु,ଆକ୍ସେସ୍ ବାହୁ
अभिगम व्यवस्था,ପ୍ରବେଶ ବ୍ୟବସ୍ଥା
अभिगम प्राधिकारक,ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ
अभिगम शुल्क,ପ୍ରବେଶ ଚାର୍ଜ
अभिगम वर्ग,ଶ୍ରେଣୀ ଶ୍ରେଣୀ
अभिगम आँकड़ासंचय प्रबंध,ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |
अभिगम परिवेश,ପ୍ରବେଶ ପରିବେଶ ସେବା
अभिगम अंतराल,ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
