Bengali,Malayalam
অবসান,ശീതീകരണം
সংক্ষেপণ,ചുരുക്കല്
অপহরণ,പിടിച്ചുകൊണ്ടുപോകല്
অবসান,Aveyne
ক্ষমতা,കഴിവ്
অ্যাব initio,Ab initio
সক্ষম,കഴിവുള്ള
অস্বাভাবিক,വിലക്ഷണമായ
বিলুপ্তি,നിർത്തലാക്കൽ
বিলোপ পোস্ট,നിർത്തലാക്കൽ പോസ്റ്റ്
উপর্যুক্ত,മുകളിൽ സൂചിപ്പിച്ച
উপরে উদ্ধৃত,മുകളിൽ ഉദ്ധരിച്ചത്
উপরে বলেছেন,മുകളിൽ പറഞ്ഞത്
অনুপস্থিতি,അസാന്നിദ്ധം
অনুপস্থিত,ഹാജരാകാത്ത
অনুপস্থিতি,ഹാജരാകാത്തീയത
অনুপস্থিত বিবৃতি,ഹാജരാകാതിരിക്കുക
পরম,കേശവം
পরম একচেটিয়া,കേവല കുത്തക
পরম মালিকানা,കേവല ഉടമസ്ഥാവകാശം
শোষণ,ആഗിരണം
বিমূর্ত,വേര്പെട്ടുനില്ക്കുന്ന
অ্যাবস্ট্রাক্টস্টেটমেন্ট,അനുഗമിക്കുന്നു
অযৌক্তিক,അസംബന്ധം
প্রাচুর্য,സമൃദ്ധി
ক্ষমতার অপব্যবহার,അധികാര ദുരുപയോഗം
অবমাননাকর ভাষা,അധിക്ഷേപകരമായ ഭാഷ
একাডেমিক,പണ്ഡിതോചിതമായ
একাডেমিক আলোচনা,അക്കാദമിക് ചർച്ച
একাডেমিক ছুটি,അക്കാദമിക് അവധി
শিক্ষাগত যোগ্যতা,വിദ്യാഭ്യാസ യോഗ്യത
একাডেমিক রেকর্ড,അക്കാദമിക് റെക്കോർഡ്
প্রশংসা,നിര്വഹിക്കുക
গ্রহণ,അംഗീകരിക്കുക
গ্রহণযোগ্যতা,കൈക്കൊള്ളല്
অফিস গ্রহণ,ഓഫീസിന്റെ സ്വീകാര്യത
দরপত্র গ্রহণ,ടെണ്ടർ സ്വീകാര്യത
অ্যাক্সেস,പ്രവേശനം
প্রবেশ,അപേക്ഷ
আনুষঙ্গিক,ഉപസാധനം
দুর্ঘটনা,ആകസ്മികത
প্রশংসাপত্র,ACCLIMATIES
থাকার ব্যবস্থা,സ്ഥലസൗകരം
সহকারী,അനുഗമിച്ചു
চুক্তি,അക്കോര്
অ্যাকশন,അഭാവം
তদনুসারে,അക്കാരണത്താല്
অ্যাকাউন্ট,കണക്ക്
দায়িত্ব,ഉത്തരവാദിത്തം
দায়ী,ഉത്തരവാദിയായ
হিসাবরক্ষণ,അക്കൗണ്ടൻസി
হিসাবরক্ষক,കണക്കെഴുത്തുകാരി
কি কারণে,അക്കൗണ്ട്
অ্যাকাউন্ট হেড,അക്കൗണ്ട് തല
অর্জিত সুবিধা,വർദ്ധിച്ച ആനുകൂല്യം
পেনশন আদায়,വർദ്ധിച്ച പെൻഷൻ
জমা,കൂന്വാരം
সঠিকতা,കൃതത
নির্ভুল,സൂക്ഷ്മമായ
অভিযোগ,ബോധിപ്പിക്കുന്ന
অভিযুক্ত,കുറ്റക്കാരന്
অর্জন,നേട്ടം
স্বীকৃতি,അംഗീകാരം
স্বীকৃতি বকেয়া,അംഗീകാരത്തിന്റെ
পরিচিত,പരിചയം
অধিগ্রহণ,കൈവശപ്പെടുത്തൽ
খালাস,കുറ്റപാട്വിൽപ്പന
আইন,പവര്ത്തിക്കുക
অভিনয় ভাতা,അഭിനയ അലവൻസ്
কর্ম,പവര്ത്തി
অ্যাকশন প্ল্যান,പ്രവർത്തന പദ്ധതി
সক্রিয়,സജീവമായ
সক্রিয়ভাবে,സജീവമായി
কর্মী,ചുറുചുറുക്കുള്ളവള്
Of শ্বরের আইন,ദൈവിക പ്രവൃത്തി
অসদাচরণের আইন,ദുരാചാരത്തിന്റെ പ്രവർത്തനം
কমিশন ও বাদ দেওয়া আইন,കമ്മീഷന്റെയും ഒഴിവാക്കലിന്റെയും നിയമം
আসল,യഥാര്ത്ഥത്തിലുള്ള
বাস্তব,വാസ്തവങ്ങൾ
অভিযোজন,പൊരുത്തപ്പെടുത്തൽ
সংযোজন,കൂട്ടല്
অতিরিক্ত চার্জ,അധിക നിരക്ക്
অতিরিক্ত তহবিল,അധിക ഫണ്ട്
অতিরিক্ত অনুদান,അധിക ഗ്രാന്റ്
অতিরিক্ত তথ্য,അധിക വിവരം
অতিরিক্ত বেতন,അധിക വേതനം
সংযোজন এবং পরিবর্তন,കൂട്ടിച്ചേർക്കലും മാറ്റവും
ঠিকানা,അഭിസംബോധന ചെയ്യുക
ঠিকানা,വിലാസശാല
স্বাগত ঠিকানা,സ്വാഗത വിലാസം
পর্যাপ্ত,പരാപ്തമായ
মেনে চলুন,ഇത് പാലിക്കുക
