Odiya,Assamese
ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |,এবেলিয়ান গোট
ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |,abelian অৰ্ধগোট
abscissa,abscissa
ସଂପୂର୍ଣ୍ଣ,নিৰপেক্ষ
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,নিৰপেক্ষ অভিসৰণ
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,নিৰপেক্ষ ভুল
ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ,নিৰপেক্ষ সৰ্বোচ্চ
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,নিৰপেক্ষ নূন্যতম
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,নিৰপেক্ষ মূল্য
ସଂପୂର୍ଣ୍ଣ ବେଗ,নিৰপেক্ষ বেগ
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,বিমূৰ্ত বীজগণিত
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,বিমূৰ্ত গোট তত্ত্ব
ତ୍ୱରଣ,বেগ বৃদ্ধি
ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |,গ্ৰহণযোগ্য পছন্দৰ ছেট
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
ଗ୍ରହଣୀୟ ପରିସର |,গ্ৰহণযোগ্য পৰিসৰ
ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ
ଗ୍ରହଣୀୟ ନମୁନା,গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা
ସଂଗୃହିତ ତ୍ରୁଟି |,সঞ্চিত ভুল
ସଠିକତା,শুদ্ধতা
ଅଭିନୟ ଶକ୍ତି,ক্ৰিয়াশীল শক্তি
କାର୍ଯ୍ୟ,কাৰ্য কৰা
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |,কৃষি বিজ্ঞান
ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |,তীব্ৰ কোণীয়া ত্ৰিভুজ
acyclic,অচক্ৰীয়
ଯୋଡନ୍ତୁ |,যোগ কৰা
ଆଡର୍,adder
ଯୋଗ,যোগ
ଯୋଗ ସୂତ୍ର,যোগ সূত্ৰ
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |,জটিল সংখ্যাৰ সংযোজন
କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ,ফলনসমূহৰ সংযোজন
ମାଟ୍ରିକ୍ସର ଯୋଗ,মেট্ৰিক্সৰ সংযোজন
ବହୁଭାଷୀ ଯୋଗ |,বহুপদ যোগ কৰা
ସମ୍ଭାବ୍ୟତାର ଯୋଗ |,সম্ভাৱনাৰ সংযোজন
ଭେକ୍ଟର ଯୋଗ,ভেক্টৰৰ সংযোজন
ଯୋଗ ତତ୍ତ୍ୱ,যোগ উপপাদ্য
ଯୋଗୀ ଗୋଷ୍ଠୀ |,যোগকৰণ গোট
ଯୋଗୀ ଓଲଟା |,যোগকৰণৰ বিপৰীত
ଯୋଗୀ ସମ୍ପତ୍ତି |,যোগসূত্ৰৰ বৈশিষ্ট্য
ଯୋଗୀତା |,যোগকৰণ
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,সংলগ্নতা মেট্ৰিক্স
ସଂଲଗ୍ନ,পাৰ্শ্বৱৰ্তী
ସଂଲଗ୍ନ କୋଣ,কাষৰীয়া কোণ
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,কাষৰীয়া শিখৰ
ସଂଲଗ୍ନ,adjoin
ସଂଲଗ୍ନ,সংলগ্ন
ନିର୍ଣ୍ଣୟକାରୀ,সংযুক্ত নিৰ্ণায়ক
ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ,সংযুক্ত অৱভেদ্য সমীকৰণ
ସମୀକରଣ,সংযুক্ত সমীকৰণ
ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |,সংলগ্ন মেট্ৰিক্স
ମାଟ୍ରିକ୍ସର ଯୋଗ,মেট্ৰিক্সৰ সংযুক্ত
ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |,এডজুগেট মেট্ৰিক্স
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
ଗ୍ରହଣୀୟ ଅନୁମାନ,গ্ৰহণযোগ্য অনুমান
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,বায়ুগতিবিদ্যা বল
ଏରୋଡାଇନାମିକ୍ସ |,বায়ুগতিবিদ্যা
ଆଫାଇନ୍ ଜ୍ୟାମିତି |,affine জ্যামিতি
ଆଫାଇନ୍ ମ୍ୟାପିଙ୍ଗ୍ |,affine মেপিং
ଆଫାଇନ୍ ଟ୍ରାନ୍ସଫର୍ମେସନ୍ |,affine ৰূপান্তৰ
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,চলকসমূহ একত্ৰিত কৰা
ବୀଜ ବିବେଚନା,বীজগণিত
ବୀଜ ବର୍ଣ୍ଣିତ ଭାବରେ ବନ୍ଦ |,বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,বীজগণিতীয় সমীকৰণ
ବୀଜ ବର୍ଣ୍ଣନା,বীজগণিতীয় প্ৰকাশ
ବୀଜ ବର୍ଣ୍ଣିତ ଫର୍ମ |,বীজগণিতীয় ৰূপ
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,বীজগণিতীয় ফলন
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,বীজগণিতীয় জ্যামিতি
ବୀଜ ବର୍ଣ୍ଣିତ ଗୁଣ |,বীজগণিতীয় বহুগুণতা
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,বীজগণিতীয় ব্যৱস্থা
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,সকলো-পূৰ্ণসংখ্যা সমস্যা
ବଣ୍ଟନ ସମସ୍ୟା,আবণ্টনৰ সমস্যা
ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |,বৰ্ণানুক্ৰমিক সংকেত
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ,বৰ্ণানুক্ৰমিক আখৰ
ବିକଳ୍ପ କୋଣ,বিকল্প কোণ
ବିକଳ୍ପ ଫର୍ମ |,বিকল্প ৰূপ
ବିକଳ୍ପ ଗୋଷ୍ଠୀ,বিকল্প গোট
ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |,বিকল্প মেট্ৰিক্স
ବିକଳ୍ପ କ୍ରମ |,বিকল্প শৃংখলা
ବିକଳ୍ପ ଅନୁମାନ,বিকল্প অনুমান
ବିକଳ୍ପ ଅପ୍ଟିମା |,বিকল্প optima
ବିକଳ୍ପ ଫଳାଫଳ |,বিকল্প ফলাফল
ଆନାଗଲ୍-ଟୁ-ଡିଜିଟାଲ୍ କନଭର୍ଟର |,এনালগ-টু-ডিজিটেল ৰূপান্তৰক
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,এনালগ কম্পিউটাৰ
ବିଶ୍ଳେଷଣ |,বিশ্লেষণ
କୋଭାରିଆନ୍ସର ବିଶ୍ଳେଷଣ |,সহাৱস্থানৰ বিশ্লেষণ
ଗଣନା ତଥ୍ୟର ବିଶ୍ଳେଷଣ |,গণনা তথ্যৰ বিশ্লেষণ
ଭିନ୍ନତାର ବିଶ୍ଳେଷଣ |,ভ্যাৰিয়েন্সৰ বিশ্লেষণ
ଆନାଲିଟିକ୍ ଜ୍ୟାମିତି |,বিশ্লেষণাত্মক জ্যামিতি
ଆନାଲିଟିକ୍ କାର୍ଯ୍ୟ,বিশ্লেষণাত্মক কাৰ্য্য
କୋଣ,কোণ
ଯୋଗାଯୋଗ କୋଣ,সংস্পৰ্শৰ কোণ
ବିଘ୍ନର କୋଣ |,বিচ্যুতিৰ কোণ
ଉଦାସୀନତାର କୋଣ,বিষণ্ণতাৰ কোণ
ବିଘ୍ନର କୋଣ |,বিচ্যুতিৰ কোণ
ବିଭାଜନର କୋଣ |,বিবৰ্তনৰ কোণ
ଉଚ୍ଚତାର କୋଣ,উচ্চতাৰ কোণ
ଘଟଣାର କୋଣ,প্ৰাদুৰ্ভাৱৰ কোণ
ପ୍ରୋଜେକ୍ଟର କୋଣ,প্ৰক্ষেপণৰ কোণ
ପ୍ରତିଫଳନ କୋଣ,প্ৰতিফলনৰ কোণ
ପ୍ରତିଫଳନ କୋଣ,বিবৰ্তনৰ কোণ
ଘୂର୍ଣ୍ଣନ କୋଣ,ঘূৰ্ণনৰ কোণ
ସମୁଦାୟ ପ୍ରତିଫଳନର କୋଣ |,মুঠ প্ৰতিফলনৰ কোণ
କୋଣାର୍କ ତ୍ୱରଣ |,কৌণিক ত্বৰণ
କୋଣାର୍କ ଗତି |,কৌণিক গতি
କୋଣାର୍କ ଗତି,কৌণিক গতি
କୋଣାର୍କ ବେଗ |,কৌণিক বেগ
annulus,annulus
ଉତ୍ତର ଦିଅ,উত্তৰ
ଆଣ୍ଟି-ଡେରିଭେଟିଭ୍ |,এন্টি – ডেৰাইভেটিভ
ଆଣ୍ଟିସାଇମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ,এন্টিচিমেট্ৰিক ফাংচন
ପ୍ରଯୁଜ୍ୟ |,প্ৰযোজ্য
ପ୍ରୟୋଗ,দৰ্খাস্ত
ପ୍ରୟୋଗ ହୋଇଥିବା ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ |,ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে
ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |,প্ৰয়োগ কৰা জ্যামিতি
ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |,প্ৰয়োগ কৰা গণিত
ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |,প্ৰয়োগ কৰা পৰিসংখ্যা
ପାଖାପାଖି,অনুমানিক
ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |,প্ৰায় অবিৰত ফলন
ଆନୁମାନିକ ପଦ୍ଧତି |,আনুমানিক পদ্ধতি
ଆନୁମାନିକ ସମାଧାନ,আনুমানিক সমাধান
ଆନୁମାନିକ ସମସ୍ୟା,আনুমানিক সমস্যা
